SMILES0,SMILES,gamma1,gamma2
C1OC1,OC(C)C(O)=O,-0.86997595,-0.21202801
C1OC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.28598301,-0.04813326
C1OC1,OCC(O)C,0.42324702,0.0873819
C1OC1,O=C1CCO1,0.19703157,0.04994297
C1OC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.3099882,-0.05841701
C1OC1,CCOCC,0.46135415,0.112548
C1OC1,OCC,0.61928161,0.14225924
C1OC1,CCCCCC=O,0.11077624,0.02631308
C1OC1,CO,0.8045937,0.18440163
C1OC1,OC(C)C,0.54355858,0.12554843
C1OC1,CC(C)=O,-0.00559473,-0.00139717
C1OC1,OCCC,0.48472327,0.11122813
C1OC1,OCCCC,0.47122576,0.10981482
C1OC1,OCCCCC,0.45103111,0.10341547
C1OC1,CC1OC1,0.04374476,0.01083397
C1OC1,CCC(C)(C)C,1.41006088,0.34606063
C1OC1,CC(C)(C)C(C)=O,0.13317058,0.03105657
C1OC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.20956382,0.04603615
C1OC1,COC(C)(C)OC,0.2284262,0.05418191
C1OC1,CCC1(CC)CCCCC1,1.30710747,0.30896197
C1OC1,CCOC(C)(OCC)OCC,0.20779363,0.04627503
C1OC1,CC(C)CCCC(O)(C)CC,0.47582832,0.10040079
C1OC1,CCC(C)C,1.47513966,0.3643678
C1OC1,CC(=C)C=C,0.31365468,0.0816679
C1OC1,CC(=C)C#C,-0.85474549,-0.21398132
C1OC1,OCC(C)C,0.32683156,0.07575028
C1OC1,CC(C)C=O,0.06941959,0.01694009
C1OC1,CC(=C)C=O,-0.02546727,-0.00598613
C1OC1,CCC(O)C,0.43953325,0.10276229
C1OC1,CCC(C)=O,0.02255732,0.00534765
C1OC1,COC(C)=O,-0.04118148,-0.01006183
C1OC1,CC(C)C(C)C,1.42551386,0.35002389
C1OC1,CC(C)C(O)=O,-0.870609,-0.20419101
C1OC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.01548892,0.00302795
C1OC1,OOC(C)(C)C(CC1)CCC1C,-0.65021089,-0.16488046
C1OC1,CCOC(C(O)(C)C)=O,0.01553773,0.00449521
C1OC1,COC(=O)C(C)=C,-0.01782805,-0.00284138
C1OC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.77385038,-0.15078633
C1OC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.35589341,-0.07028423
C1OC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.089156,-0.01158876
C1OC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.29598905,-0.05789236
C1OC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.2056009,-0.03833345
C1OC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.13434077,-0.02767254
C1OC1,CC(C)CCOC(=O)c1ccccc1O,-0.01185544,0.00308038
C1OC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.34849267,-0.06183365
C1OC1,O=C2c1ccccc1CO2,-0.22140057,-0.04993048
C1OC1,OCC(O)C(O)C(O)CO,-0.01784142,-0.01460487
C1OC1,CCC(CC)C(O)=O,-0.86123497,-0.20166918
C1OC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.52894738,-0.12652077
C1OC1,COc1cc(C)ccc1C(C)(C)C,0.22879669,0.05735445
C1OC1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.81467822,0.18262817
C1OC1,COC(=O)c1ccccc1C,-0.10733358,-0.01926349
C1OC1,CC(=O)c1ccc(C)cc1C,-0.05104235,-0.00815417
C1OC1,Cc2c1ccccc1ccc2,-0.08510457,-0.01158448
C1OC1,O=C2CCCCC2C1CCCCC1,0.3237417,0.06874573
C1OC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.43341502,-0.08217842
C1OC1,CC(C=O)c1ccccc1,-0.2182491,-0.04658905
C1OC1,CCC(O)c1ccccc1,-0.67041858,-0.16158358
C1OC1,CCOC(=O)c1ccccc1,-0.10139538,-0.01861808
C1OC1,CC(OC(C)c2ccccc2)c1ccccc1,-0.16539651,-0.02572646
C1OC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.53392385,-0.09214621
C1OC1,CCOC(=O)c(cc1)ccc1C,-0.04325765,-0.00559469
C1OC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.2072616,-0.04656603
C1OC1,O=C(OCCc1ccccc1)c2ccccc2,-0.29974141,-0.05428928
C1OC1,CCCc2cc1OCOc1cc2,-0.27515058,-0.0548062
C1OC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.18289537,-0.03881549
C1OC1,CCCC1CCCCC1=O,0.24447231,0.05428135
C1OC1,CCOc1ccc(C=CC)cc1O,-1.15813488,-0.27619568
C1OC1,CCCC(O)C(CO)CC,0.3826499,0.07380241
C1OC1,Cc(ccc1C)cc1C,0.29967326,0.07648071
C1OC1,CCOC(=O)C(OCC)=O,-0.18529033,-0.04084443
C1OC1,CC1OC(C(C)OC1=O)=O,-0.41731731,-0.08775676
C1OC1,CCCCC(=O)C(C)=O,-0.06072078,-0.01264091
C1OC1,C=CCOC(=O)C(C)=C,-0.05119458,-0.00838622
C1OC1,C1OC1c2ccccc2,-0.22107665,-0.04897726
C1OC1,CCC(C)CC,1.44089202,0.35246414
C1OC1,CCC(CC)=O,0.0924614,0.02175912
C1OC1,OCC(CO)=O,0.10860687,0.01754098
C1OC1,COC(=O)C=C,-0.10164321,-0.02406199
C1OC1,COC(CO)=O,-0.05083056,-0.01346831
C1OC1,CC1CCCC1,1.47453965,0.36319384
C1OC1,CC1CCCO1,0.33230411,0.0797142
C1OC1,O=C1CCCO1,0.0414276,0.00969225
C1OC1,CCCC(C)C(O)=O,-0.87641164,-0.20392709
C1OC1,CCOC(C(C)C)=O,0.15611941,0.03631172
C1OC1,CCOC(=O)C(C)=C,0.08709868,0.02244771
C1OC1,CCOC(C(O)C)=O,-0.06269839,-0.01450151
C1OC1,CC(C)C(OC(C(C)C)=O)=O,-0.01443894,-0.00282224
C1OC1,CC(C)COC(C(C)C)=O,0.28751419,0.06296748
C1OC1,CC(C)COC(=O)C(C)=C,0.1962077,0.04576235
C1OC1,CCCCOC(C(C)C)=O,0.27170707,0.05923739
C1OC1,CCCCOC(=O)C(C)=C,0.195743,0.04546377
C1OC1,CCC(CC)C=O,0.20178772,0.0470823
C1OC1,OCC1CCCO1,0.24281588,0.05377002
C1OC1,OCc1occc1,-0.63967536,-0.16203534
C1OC1,O=Cc1occc1,-0.17718533,-0.04283074
C1OC1,CC(C)(C)c1ccccc1,0.27324031,0.07063578
C1OC1,OOC(C)(C)c(cc1)ccc1C(C)C,-0.97499907,-0.23397632
C1OC1,CC(C)(C)c(cc1)ccc1C,0.37180795,0.09090163
C1OC1,OC1CCC(CC1)C(C)(C)C,0.41403796,0.088342
C1OC1,CC(C)(C)C1CCC(CC1)=O,0.13747629,0.02889412
C1OC1,CC(C)c1ccccc1,0.25360829,0.06661357
C1OC1,COC(=O)c(ccc1)cc1C,-0.11263533,-0.02153944
C1OC1,OC1CC(CC=C1C)C(C)=C,-0.18432911,-0.04564695
C1OC1,CC(C)c1cc(C(C)C)ccc1,0.41799205,0.09798134
C1OC1,CCCC(CCC)C(O)=O,-0.83544299,-0.19853028
C1OC1,CC(C=O)c(cc1)ccc1C,-0.15395688,-0.03077191
C1OC1,CC1CCC(C(C)C)CC1,1.35472714,0.31432824
C1OC1,CC(C)c(cc1)ccc1C,0.35178139,0.08755063
C1OC1,C=CC1CC=CCC1,0.49294367,0.12274388
C1OC1,CCc1ccccc1,0.20922973,0.05629968
C1OC1,C=Cc1ccccc1,-0.12461862,-0.02374127
C1OC1,OCC1CCCCC1,0.36528533,0.08181393
C1OC1,COc1ccccc1,-0.16971013,-0.03701956
C1OC1,OCC1CCCCO1,0.32797859,0.06956708
C1OC1,OCC(CO1)OC1(C)C,-0.01641427,-0.00557264
C1OC1,Cc1cc(C=C)ccc1,-0.01895109,0.00253783
C1OC1,COc(ccc1)cc1C,-0.08405603,-0.01516936
C1OC1,COC(=O)Cc1ccccc1,-0.25176198,-0.05304329
C1OC1,COC(OC)Cc1ccccc1,-0.15743242,-0.03014914
C1OC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.42110001,-0.07874479
C1OC1,CC(C)COC(=O)Cc1ccccc1,-0.15461987,-0.02877745
C1OC1,O=C(OCc2ccccc2)Cc1ccccc1,-0.42986463,-0.08039966
C1OC1,CCc1cc(CC)cc(CC)c1,0.50639503,0.11680892
C1OC1,CC(=O)Oc(ccc1)cc1O,-1.64329417,-0.37081279
C1OC1,COC(OC)CC(OC)OC,-0.04436852,-0.00985151
C1OC1,CCCCC(CC)COC(C)=O,0.24305712,0.04939383
C1OC1,CCCCC(CC)COC(=O)C=C,0.20677153,0.04427708
C1OC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.05459819,-0.00501894
C1OC1,COC(CCc1ccccc1)=O,-0.2273996,-0.04691547
