SMILES0,SMILES,gamma1,gamma2
C1OCCCO1,OC(C)C(O)=O,-1.82446154,-0.48425333
C1OCCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.00678568,0.00497194
C1OCCCO1,OCC(O)C,0.21271951,0.04638824
C1OCCCO1,O=C1CCO1,0.53268716,0.12998809
C1OCCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.23412737,-0.04732119
C1OCCCO1,CCOCC,0.50470493,0.12653437
C1OCCCO1,OCC,0.43085094,0.10687267
C1OCCCO1,CCCCCC=O,0.10999865,0.02825582
C1OCCCO1,CO,0.67812025,0.16587806
C1OCCCO1,OC(C)C,0.36906103,0.09165207
C1OCCCO1,CC(C)=O,0.01532061,0.0037918
C1OCCCO1,OCCC,0.21921474,0.05675352
C1OCCCO1,OCCCC,0.23029445,0.06349115
C1OCCCO1,OCCCCC,0.21323662,0.05999472
C1OCCCO1,CC1OC1,0.04628887,0.01150856
C1OCCCO1,CCC(C)(C)C,1.73235701,0.43050283
C1OCCCO1,CC(C)(C)C(C)=O,0.16507465,0.04126502
C1OCCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.33678272,0.08304577
C1OCCCO1,COC(C)(C)OC,0.26920521,0.06748185
C1OCCCO1,CCC1(CC)CCCCC1,1.65685081,0.41419894
C1OCCCO1,CCOC(C)(OCC)OCC,0.30283985,0.0759317
C1OCCCO1,CC(C)CCCC(O)(C)CC,0.41691933,0.10424024
C1OCCCO1,CCC(C)C,1.79937038,0.44241409
C1OCCCO1,CC(=C)C=C,0.48526185,0.12144992
C1OCCCO1,CC(=C)C#C,-1.13523263,-0.27450294
C1OCCCO1,OCC(C)C,-0.01512185,0.00448233
C1OCCCO1,CC(C)C=O,0.05385961,0.013498
C1OCCCO1,CC(=C)C=O,0.09569069,0.02390097
C1OCCCO1,CCC(O)C,0.22024269,0.05802276
C1OCCCO1,CCC(C)=O,0.02706396,0.00677041
C1OCCCO1,COC(C)=O,0.02253166,0.00563177
C1OCCCO1,CC(C)C(C)C,1.75863233,0.43760339
C1OCCCO1,CC(C)C(O)=O,-2.00821993,-0.52633847
C1OCCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.15794598,0.03833927
