SMILES0,SMILES,gamma1,gamma2
C1OCCO1,OC(C)C(O)=O,-1.34297659,-0.35386899
C1OCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.16960753,0.04286136
C1OCCO1,OCC(O)C,0.48502104,0.10878376
C1OCCO1,O=C1CCO1,0.24133512,0.05999793
C1OCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.11120718,-0.02310523
C1OCCO1,CCOCC,0.71511874,0.17911763
C1OCCO1,OCC,0.75885658,0.18198509
C1OCCO1,CCCCCC=O,0.27507476,0.06853841
C1OCCO1,CO,0.90091331,0.21264262
C1OCCO1,OC(C)C,0.72284562,0.17558275
C1OCCO1,CC(C)=O,0.00123401,0.00033191
C1OCCO1,OCCC,0.63009363,0.15446049
C1OCCO1,OCCCC,0.65490468,0.16474245
C1OCCO1,OCCCCC,0.65987934,0.16597618
C1OCCO1,CC1OC1,0.11776146,0.02952226
C1OCCO1,CCC(C)(C)C,2.10168163,0.52047522
C1OCCO1,CC(C)(C)C(C)=O,0.3003391,0.07373415
C1OCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.56074784,0.13044338
C1OCCO1,COC(C)(C)OC,0.43257695,0.10705488
C1OCCO1,CCC1(CC)CCCCC1,2.01169775,0.49309967
C1OCCO1,CCOC(C)(OCC)OCC,0.47968683,0.11462739
C1OCCO1,CC(C)CCCC(O)(C)CC,0.83822819,0.19732269
C1OCCO1,CCC(C)C,2.17438135,0.53593605
C1OCCO1,CC(=C)C=C,0.74712602,0.18846591
C1OCCO1,CC(=C)C#C,-0.78728968,-0.18697991
C1OCCO1,OCC(C)C,0.46098668,0.1191347
C1OCCO1,CC(C)C=O,0.15923402,0.03985801
C1OCCO1,CC(=C)C=O,0.13014558,0.03246562
C1OCCO1,CCC(O)C,0.63190479,0.15760415
C1OCCO1,CCC(C)=O,0.08777068,0.02181655
C1OCCO1,COC(C)=O,0.02572586,0.00641214
C1OCCO1,CC(C)C(C)C,2.12642951,0.52696762
C1OCCO1,CC(C)C(O)=O,-1.27496467,-0.32703863
C1OCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.35098862,0.07672664
C1OCCO1,OOC(C)(C)C(CC1)CCC1C,-0.83108697,-0.21875051
C1OCCO1,CCOC(C(O)(C)C)=O,0.18659586,0.04671001
C1OCCO1,COC(=O)C(C)=C,0.21382533,0.05355708
C1OCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.52120698,-0.11479078
C1OCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.03901565,-0.00977546
C1OCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.44936212,0.05836676
C1OCCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.05964362,-0.01208147
C1OCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.08957616,0.01892742
C1OCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.2005222,0.03576253
C1OCCO1,CC(C)CCOC(=O)c1ccccc1O,0.38821321,0.09360015
C1OCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,0.01710955,0.01008365
C1OCCO1,O=C2c1ccccc1CO2,-0.01051209,-0.00261163
C1OCCO1,OCC(O)C(O)C(O)CO,-0.0212884,-0.01709234
C1OCCO1,CCC(CC)C(O)=O,-1.21380654,-0.30873961
C1OCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.43865106,-0.11586024
C1OCCO1,COc1cc(C)ccc1C(C)(C)C,0.68471295,0.16805071
C1OCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.42415634,0.33833491
C1OCCO1,COC(=O)c1ccccc1C,0.22735931,0.05813066
C1OCCO1,CC(=O)c1ccc(C)cc1C,0.26442263,0.06458056
C1OCCO1,Cc2c1ccccc1ccc2,0.33418414,0.08666417
C1OCCO1,O=C2CCCCC2C1CCCCC1,0.60363377,0.14030307
C1OCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.15031111,-0.03149667
C1OCCO1,CC(C=O)c1ccccc1,0.02373003,0.00771167
C1OCCO1,CCC(O)c1ccccc1,-0.6731238,-0.16545995
C1OCCO1,CCOC(=O)c1ccccc1,0.23051193,0.0577558
C1OCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.23933878,0.06023252
C1OCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.16594844,-0.03335869
C1OCCO1,CCOC(=O)c(cc1)ccc1C,0.29914306,0.07310659
C1OCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.01629941,-0.00846349
C1OCCO1,O=C(OCCc1ccccc1)c2ccccc2,0.06772497,0.01924134
C1OCCO1,CCCc2cc1OCOc1cc2,0.00455138,0.00702063
C1OCCO1,COC(C1CCC(CC1)C(OC)=O)=O,-0.05481084,-0.01243383
C1OCCO1,CCCC1CCCCC1=O,0.47509527,0.1136544
C1OCCO1,CCOc1ccc(C=CC)cc1O,-1.28032831,-0.30992473
C1OCCO1,CCCC(O)C(CO)CC,0.65511056,0.14515794
C1OCCO1,Cc(ccc1C)cc1C,0.75703586,0.19036083
C1OCCO1,CCOC(=O)C(OCC)=O,-0.06571678,-0.01533191
C1OCCO1,CC1OC(C(C)OC1=O)=O,-0.46676055,-0.10898047
C1OCCO1,CCCCC(=O)C(C)=O,0.11170999,0.02847791
C1OCCO1,C=CCOC(=O)C(C)=C,0.26328119,0.06584237
C1OCCO1,C1OC1c2ccccc2,0.04606332,0.01254962
C1OCCO1,CCC(C)CC,2.15318851,0.53278318
C1OCCO1,CCC(CC)=O,0.22218481,0.05475706
C1OCCO1,OCC(CO)=O,0.06186327,0.00280669
C1OCCO1,COC(=O)C=C,0.08347773,0.02087419
C1OCCO1,COC(CO)=O,-0.04765913,-0.01390011
C1OCCO1,CC1CCCC1,2.14306825,0.53017745
C1OCCO1,CC1CCCO1,0.50034354,0.12561787
C1OCCO1,O=C1CCCO1,0.03191223,0.00786576
C1OCCO1,CCCC(C)C(O)=O,-1.23034653,-0.3127562
C1OCCO1,CCOC(C(C)C)=O,0.37920548,0.09281339
C1OCCO1,CCOC(=O)C(C)=C,0.36829041,0.09138443
C1OCCO1,CCOC(C(O)C)=O,0.05881391,0.01491318
C1OCCO1,CC(C)C(OC(C(C)C)=O)=O,0.19180044,0.04542925
C1OCCO1,CC(C)COC(C(C)C)=O,0.591432,0.13978914
C1OCCO1,CC(C)COC(=O)C(C)=C,0.53726462,0.12944725
C1OCCO1,CCCCOC(C(C)C)=O,0.56906636,0.13446976
C1OCCO1,CCCCOC(=O)C(C)=C,0.52987993,0.12758877
C1OCCO1,CCC(CC)C=O,0.39786522,0.09746383
C1OCCO1,OCC1CCCO1,0.35290233,0.08469223
C1OCCO1,OCc1occc1,-0.70103702,-0.17909501
C1OCCO1,O=Cc1occc1,0.01869049,0.00415009
C1OCCO1,CC(C)(C)c1ccccc1,0.73429627,0.18513841
C1OCCO1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.12164654,-0.29362665
C1OCCO1,CC(C)(C)c(cc1)ccc1C,0.86377982,0.21343691
C1OCCO1,OC1CCC(CC1)C(C)(C)C,0.70185821,0.16834835
C1OCCO1,CC(C)(C)C1CCC(CC1)=O,0.34345745,0.07992889
C1OCCO1,CC(C)c1ccccc1,0.70673494,0.1792121
C1OCCO1,COC(=O)c(ccc1)cc1C,0.21028101,0.05231009
C1OCCO1,OC1CC(CC=C1C)C(C)=C,-0.02702828,-0.00827587
C1OCCO1,CC(C)c1cc(C(C)C)ccc1,0.93099858,0.22522312
C1OCCO1,CCCC(CCC)C(O)=O,-1.13543664,-0.29370897
C1OCCO1,CC(C=O)c(cc1)ccc1C,0.11225709,0.02927272
C1OCCO1,CC1CCC(C(C)C)CC1,2.04572549,0.49761022
C1OCCO1,CC(C)c(cc1)ccc1C,0.83287101,0.20765439
C1OCCO1,C=CC1CC=CCC1,0.95372138,0.24050132
C1OCCO1,CCc1ccccc1,0.63668951,0.16243568
C1OCCO1,C=Cc1ccccc1,0.26144262,0.06876047
C1OCCO1,OCC1CCCCC1,0.54830182,0.13816529
C1OCCO1,COc1ccccc1,0.11756754,0.03126356
C1OCCO1,OCC1CCCCO1,0.49879677,0.11632948
C1OCCO1,OCC(CO1)OC1(C)C,0.0613316,0.0138661
C1OCCO1,Cc1cc(C=C)ccc1,0.39208667,0.10117254
C1OCCO1,COc(ccc1)cc1C,0.2295489,0.0595738
C1OCCO1,COC(=O)Cc1ccccc1,-0.01335533,-0.00092527
C1OCCO1,COC(OC)Cc1ccccc1,0.11177102,0.03010441
C1OCCO1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.12750192,-0.02450431
C1OCCO1,CC(C)COC(=O)Cc1ccccc1,0.13828199,0.03477497
C1OCCO1,O=C(OCc2ccccc2)Cc1ccccc1,-0.14149876,-0.0275803
C1OCCO1,CCc1cc(CC)cc(CC)c1,1.02718933,0.2473622
C1OCCO1,CC(=O)Oc(ccc1)cc1O,-2.15979314,-0.5525968
C1OCCO1,COC(OC)CC(OC)OC,0.12319274,0.02944027
C1OCCO1,CCCCC(CC)COC(C)=O,0.56851542,0.12887558
C1OCCO1,CCCCC(CC)COC(=O)C=C,0.5891138,0.13513012
C1OCCO1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.41515277,0.06404831
C1OCCO1,COC(CCc1ccccc1)=O,0.01817119,0.00616005
C1OCCO1,CC(C)C(OCc1ccccc1)=O,0.13072771,0.0326867
C1OCCO1,CCCC(OCc1ccccc1)=O,0.11672375,0.03054484
C1OCCO1,CC(C)CC(OCc1ccccc1)=O,0.14426218,0.03897587
C1OCCO1,CC(OCCc1ccccc1)=O,0.05483688,0.01496369
C1OCCO1,CC(C)C(OCCc1ccccc1)=O,0.19840993,0.04896434
C1OCCO1,CC(C)C(OCCOc1ccccc1)=O,-0.09325381,-0.01720574
C1OCCO1,CCCc1ccccc1,0.71058255,0.17981291
C1OCCO1,CC(C)C(=O)Oc(cc1)ccc1C,0.17865188,0.04350305
C1OCCO1,CCCc(cc1)ccc1OC,0.37085962,0.09376853
C1OCCO1,CCCCC1OC(CC1)=O,0.05021833,0.01167549
C1OCCO1,CCCCc1ccccc1,0.77835017,0.1943215
C1OCCO1,O=COCc1ccccc1,-0.15273164,-0.03617756
C1OCCO1,CCCCCC1OC(CC1)=O,0.09027605,0.02054517
C1OCCO1,O=COCCc1ccccc1,-0.11968749,-0.02665331
C1OCCO1,CCCCCCCC1OC(CC1)=O,0.1686034,0.0368446
C1OCCO1,CCCCC(CO)CC,0.47083175,0.11334381
C1OCCO1,COc(cc1)ccc1C,0.23465439,0.06096066
C1OCCO1,CC(C)COC(CCc1occc1)=O,0.0973891,0.02598325
C1OCCO1,CCc1ccc(CC)cc1,0.86784723,0.21568437
C1OCCO1,C=Cc1ccc(C=C)cc1,0.16461047,0.0450996
C1OCCO1,CCCC1OC(CC1)=O,0.01624543,0.00368311
C1OCCO1,OCC=C(C)C#C,-1.08238555,-0.27853532
C1OCCO1,CCCC(C)CO,0.47797517,0.12378861
C1OCCO1,CCCC(O)C#C,-1.64170449,-0.4126216
C1OCCO1,CCOC(CC)=O,0.24649406,0.06043727
C1OCCO1,CCC(OC=C)=O,0.20658799,0.05275303
C1OCCO1,CCC(C)CC(C)=O,0.34844411,0.08480419
C1OCCO1,CCC(C)CC(O)=O,-1.27822118,-0.3253915
C1OCCO1,CCC(C)OC(C)=O,0.32679809,0.0798117
C1OCCO1,CCOC(CC(OCC)=O)=O,-0.11183036,-0.02550272
C1OCCO1,CCOC(CCC)=O,0.34832982,0.08524878
C1OCCO1,CCOC(C)OCC,0.5019355,0.1243233
C1OCCO1,CCOC(OCC)=O,0.10918291,0.0268712
C1OCCO1,CCCOC(CCC)=O,0.45418371,0.10961293
C1OCCO1,CC(C)CCOC(CC)=O,0.49823804,0.11835157
C1OCCO1,CCCCOC(=O)C=CC(OCCCC)=O,0.00240013,0.00054815
C1OCCO1,O=C1OCCOC(CCCCCCCCCCC1)=O,0.0335063,0.00997058
C1OCCO1,CCCCCCCCCCCC(OCCCC)=O,0.83795627,0.16359428
C1OCCO1,OCCC(C)CCCC(C)C,0.62051407,0.14247783
C1OCCO1,CC(C)CCOC(CCC)=O,0.56533207,0.13215863
C1OCCO1,CCCCCCC(OCC)=O,0.5427359,0.1261875
C1OCCO1,CCCC(OC(CCC)=O)=O,0.11864289,0.02826946
C1OCCO1,CCCCCCCC(OCC)=O,0.58902104,0.13451096
C1OCCO1,CCCCC(CC)=O,0.39225909,0.09414319
C1OCCO1,CCCOC(CC)=O,0.35980273,0.08788503
C1OCCO1,CC(C)COC(=O)C=C,0.36478189,0.08965515
C1OCCO1,CCCCCC(CC)=O,0.47201327,0.11234272
C1OCCO1,CCCCCC(OC)=O,0.36131569,0.08805456
C1OCCO1,CC(CCC=C(C)C)C=O,0.3674304,0.08913661
C1OCCO1,CCCCCCC(OC)=O,0.42964796,0.10258206
C1OCCO1,CCOCCOC(=O)C=C,0.03635587,0.00931781
C1OCCO1,C=CC2CC1OC1CC2,0.32363944,0.08059446
C1OCCO1,C1OC1C3CC2OC2CC3,0.03202533,0.00747948
C1OCCO1,CCC1OC1,0.26498373,0.06665906
C1OCCO1,C=CC(OCC1OC1)=O,-0.07184509,-0.01745864
C1OCCO1,CC(=C)C(OCC1OC1)=O,-0.03351831,-0.00780945
C1OCCO1,C=CCOCC1OC1,-0.00244155,0.0002778
C1OCCO1,O=CC=C,0.11999326,0.02986591
C1OCCO1,OCC=C,-0.19085536,-0.04285815
C1OCCO1,OCC#C,-1.57103961,-0.40001868
C1OCCO1,COC=O,-0.03981953,-0.00990787
C1OCCO1,CC(C)(C)CC(C)=C,1.53847565,0.38209919
C1OCCO1,CC(C)(C)C=C(C)C,1.57815362,0.39128282
C1OCCO1,OC(C)CC(O)(C)C,0.71914204,0.15860678
C1OCCO1,COC(C)(C)CC(C)=O,0.1332091,0.03319878
C1OCCO1,OCCC(C)CCCC(O)(C)C,0.49814593,0.09906475
C1OCCO1,OC(C)(C)CCCC(C)CC=O,0.16942029,0.03535923
C1OCCO1,CCCC(C)C,2.15016789,0.53211148
C1OCCO1,CC(C)=CC=O,0.06763405,0.01643114
C1OCCO1,CCCC(C)=O,0.17373878,0.04279186
C1OCCO1,OCCC(O)C,0.70820271,0.15592559
C1OCCO1,COCC(O)C,0.41423027,0.09882897
C1OCCO1,CC(OC=C)=O,0.07274423,0.01851051
C1OCCO1,CC(C)CC(C)C,2.08578442,0.5153614
C1OCCO1,CC(C)CC(C)=O,0.27818363,0.06817885
C1OCCO1,OC(C)CC(C)C,0.60776425,0.15445859
C1OCCO1,CC(C)OC(C)C,0.88272455,0.21822718
C1OCCO1,CC(C)OC(C)=O,0.22832961,0.0567473
C1OCCO1,CC(OC(C)=C)=O,0.11637975,0.02999214
C1OCCO1,CC(OC(C)=O)=O,-0.0509445,-0.01246808
C1OCCO1,O=C1C=CC(O1)=C,-0.08301664,-0.02040774
C1OCCO1,CC1OC(CC1)=O,-0.01507037,-0.00370433
C1OCCO1,CC1OC(OC1)=O,0.03362454,0.00874452
C1OCCO1,Cc1cc(C)ccc1,0.6822295,0.17317846
C1OCCO1,C=Cc1cc(C=C)ccc1,0.17889228,0.04843657
C1OCCO1,COC(CC(OC)=O)=O,-0.14912573,-0.03568406
C1OCCO1,CCOC(CC(C)C)=O,0.4175027,0.10090062
C1OCCO1,COCC(C)OC(C)=O,0.0513051,0.01277713
C1OCCO1,Cc1cc(C)cc(C)c1,0.81158086,0.20329791
C1OCCO1,CC(C)CC(O)CC(C)C,0.64010528,0.15467111
C1OCCO1,CC(C)CC(CC(C)C)=O,0.64090003,0.15230936
C1OCCO1,CC(C)CC(C)OC(C)=O,0.46249879,0.10965767
C1OCCO1,CC1CCCCC1,2.14340639,0.5311036
C1OCCO1,Cc1ccccc1,0.54194149,0.1384521
C1OCCO1,O=C1CCCCC1,0.1409887,0.0342719
C1OCCO1,O=C1C=COC=C1,0.47635539,0.11347747
C1OCCO1,CCCCOC(CC(C)C)=O,0.58615922,0.13884143
C1OCCO1,CCCCOC(CCC)=O,0.5288429,0.12506937
C1OCCO1,O=C1CCCCCCCCCCCCCCCO1,0.65649748,0.1430099
C1OCCO1,CC(CCC=C)=O,0.0752825,0.01872196
C1OCCO1,CCC#CC(O)C,-0.36714347,-0.08994802
C1OCCO1,CCCCC(O)=O,-1.22583893,-0.31148433
C1OCCO1,CC(C)COC=C,0.71982834,0.18295573
C1OCCO1,OCCOC(C)C,0.50416009,0.11644886
C1OCCO1,CCCOC(C)=O,0.21734081,0.05315263
C1OCCO1,CCCCC,2.1996324,0.54280926
C1OCCO1,CCCC=C,1.33407381,0.33321388
C1OCCO1,COCCO,0.40853636,0.09507978
C1OCCO1,COCOC,0.13518012,0.0337701
C1OCCO1,CCOC=C,0.36547368,0.09307816
C1OCCO1,C=COC=C,-0.25673492,-0.06285164
C1OCCO1,CCOC=O,-0.02171214,-0.00550805
C1OCCO1,O1CCCC1,0.28275673,0.0718148
C1OCCO1,c1cocc1,-0.38470729,-0.09496823
C1OCCO1,CC(C)(C)OOC(C)(C)C,1.02262836,0.24789959
C1OCCO1,CC(C)CCC(C)=O,0.30822755,0.0746943
C1OCCO1,CC(C)COC(C)=O,0.31794757,0.0779361
C1OCCO1,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,0.28689619,0.04587361
C1OCCO1,CCCCCCCCOC(CCC)=O,0.72411813,0.15641588
C1OCCO1,CCCCCCCCCC(C)C=O,0.73661693,0.16164384
C1OCCO1,CCCCCC(C)=O,0.33690344,0.0812314
C1OCCO1,CC(C)CCOC=O,0.19268164,0.04778487
C1OCCO1,COCCOC(C)=O,-0.0209333,-0.00503592
C1OCCO1,CCCCCC,2.17022458,0.53673354
C1OCCO1,CCCCC=O,0.19388161,0.04893312
