SMILES0,SMILES,gamma1,gamma2
C1OCCOC1,OC(C)C(O)=O,-2.37200308,-0.63316584
C1OCCOC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.0410215,0.01210412
C1OCCOC1,OCC(O)C,-0.04446849,-0.01395528
C1OCCOC1,O=C1CCO1,0.51550276,0.12571921
C1OCCOC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.21448246,-0.04383614
C1OCCOC1,CCOCC,0.53807808,0.13444519
C1OCCOC1,OCC,0.20353018,0.0549732
C1OCCOC1,CCCCCC=O,0.12846511,0.03266916
C1OCCOC1,CO,0.4244443,0.10837383
C1OCCOC1,OC(C)C,0.17951006,0.0482109
C1OCCOC1,CC(C)=O,0.00848888,0.00208176
C1OCCOC1,OCCC,-0.01988963,0.00101851
C1OCCOC1,OCCCC,0.00992524,0.01249363
C1OCCOC1,OCCCCC,-0.00225653,0.01000322
C1OCCOC1,CC1OC1,0.0535741,0.0133218
C1OCCOC1,CCC(C)(C)C,1.81233012,0.44789764
C1OCCOC1,CC(C)(C)C(C)=O,0.18207938,0.0453787
C1OCCOC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.38098177,0.09314027
C1OCCOC1,COC(C)(C)OC,0.29855226,0.0746491
C1OCCOC1,CCC1(CC)CCCCC1,1.73769028,0.4326401
C1OCCOC1,CCOC(C)(OCC)OCC,0.33728564,0.08419361
C1OCCOC1,CC(C)CCCC(O)(C)CC,0.29206468,0.07479315
C1OCCOC1,CCC(C)C,1.8807282,0.45960366
C1OCCOC1,CC(=C)C=C,0.52838783,0.13187527
C1OCCOC1,CC(=C)C#C,-1.21473663,-0.2941204
C1OCCOC1,OCC(C)C,-0.26441389,-0.0548056
C1OCCOC1,CC(C)C=O,0.06379245,0.01596562
C1OCCOC1,CC(=C)C=O,0.10640218,0.02657166
C1OCCOC1,CCC(O)C,0.02631133,0.0122381
C1OCCOC1,CCC(C)=O,0.0307019,0.00767959
C1OCCOC1,COC(C)=O,0.03353999,0.00837432
C1OCCOC1,CC(C)C(C)C,1.83954483,0.45523986
C1OCCOC1,CC(C)C(O)=O,-2.5985617,-0.70310973
C1OCCOC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.19044472,0.04527148
C1OCCOC1,OOC(C)(C)C(CC1)CCC1C,-2.0395396,-0.54466672
C1OCCOC1,CCOC(C(O)(C)C)=O,-0.01284292,-0.00217908
C1OCCOC1,COC(=O)C(C)=C,0.14016177,0.03504119
