SMILES0,SMILES,gamma1,gamma2
C1OCCOCCOCCOC1,OC(C)C(O)=O,-8.1787726,-2.11447019
C1OCCOCCOCCOC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.26792027,0.0703942
C1OCCOCCOCCOC1,OCC(O)C,-1.72754215,-0.38295757
C1OCCOCCOCCOC1,O=C1CCO1,0.89473345,0.18165
C1OCCOCCOCCOC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.13975241,-0.03044977
C1OCCOCCOCCOC1,CCOCC,0.61944027,0.14207958
C1OCCOCCOCCOC1,OCC,-1.22162708,-0.21443454
C1OCCOCCOCCOC1,CCCCCC=O,0.10631278,0.02687118
C1OCCOCCOCCOC1,CO,-1.0865318,-0.16261874
C1OCCOCCOCCOC1,OC(C)C,-1.00071558,-0.18730358
C1OCCOCCOCCOC1,CC(C)=O,-0.11074661,-0.02523221
C1OCCOCCOCCOC1,OCCC,-1.58411413,-0.30718218
C1OCCOCCOCCOC1,OCCCC,-1.38498294,-0.26191373
C1OCCOCCOCCOC1,OCCCCC,-1.34425558,-0.25148456
C1OCCOCCOCCOC1,CC1OC1,-0.11302518,-0.02521307
C1OCCOCCOCCOC1,CCC(C)(C)C,2.54652213,0.57152361
C1OCCOCCOCCOC1,CC(C)(C)C(C)=O,0.20714176,0.05077786
C1OCCOCCOCCOC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.64547413,0.16579787
C1OCCOCCOCCOC1,COC(C)(C)OC,0.3643596,0.08744059
C1OCCOCCOCCOC1,CCC1(CC)CCCCC1,2.55576815,0.61746624
C1OCCOCCOCCOC1,CCOC(C)(OCC)OCC,0.54605659,0.14038179
C1OCCOCCOCCOC1,CC(C)CCCC(O)(C)CC,-0.32289097,-0.02645701
C1OCCOCCOCCOC1,CCC(C)C,2.60460136,0.56418702
C1OCCOCCOCCOC1,CC(=C)C=C,0.60650274,0.13352994
C1OCCOCCOCCOC1,CC(=C)C#C,-2.51357678,-0.50676568
C1OCCOCCOCCOC1,OCC(C)C,-1.976175,-0.39011301
C1OCCOCCOCCOC1,CC(C)C=O,-0.04794645,-0.01094611
C1OCCOCCOCCOC1,CC(=C)C=O,0.08762783,0.02060775
C1OCCOCCOCCOC1,CCC(O)C,-1.21997265,-0.24186036
C1OCCOCCOCCOC1,CCC(C)=O,-0.06430557,-0.01478394
C1OCCOCCOCCOC1,COC(C)=O,-0.03608215,-0.00853893
C1OCCOCCOCCOC1,CC(C)C(C)C,2.59331021,0.5842661
C1OCCOCCOCCOC1,CC(C)C(O)=O,-8.25701447,-2.02060027
C1OCCOCCOCCOC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.41609166,0.10742454
C1OCCOCCOCCOC1,OOC(C)(C)C(CC1)CCC1C,-5.95825788,-1.34243706
C1OCCOCCOCCOC1,CCOC(C(O)(C)C)=O,-0.27175889,-0.06195182
C1OCCOCCOCCOC1,COC(=O)C(C)=C,0.1771835,0.04354378
C1OCCOCCOCCOC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.29047293,-0.32609916
C1OCCOCCOCCOC1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.31445962,0.07829211
C1OCCOCCOCCOC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.15000274,-0.25189988
C1OCCOCCOCCOC1,CCOC(=O)c1ccccc1C(OCC)=O,0.04938466,0.01383233
C1OCCOCCOCCOC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.13643985,0.03644609
C1OCCOCCOCCOC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.26363618,0.06769752
C1OCCOCCOCCOC1,CC(C)CCOC(=O)c1ccccc1O,0.35979816,0.09542102
C1OCCOCCOCCOC1,Oc2ccccc2C(OCCc1ccccc1)=O,0.01534757,0.00761095
C1OCCOCCOCCOC1,O=C2c1ccccc1CO2,0.30380316,0.07227546
C1OCCOCCOCCOC1,OCC(O)C(O)C(O)CO,-1.95544003,-0.47902309
C1OCCOCCOCCOC1,CCC(CC)C(O)=O,-8.08946691,-1.9637937
C1OCCOCCOCCOC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-3.5675011,-0.79556793
C1OCCOCCOCCOC1,COc1cc(C)ccc1C(C)(C)C,0.72592513,0.1860768
C1OCCOCCOCCOC1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.80743923,0.46241079
C1OCCOCCOCCOC1,COC(=O)c1ccccc1C,0.26845224,0.06907098
C1OCCOCCOCCOC1,CC(=O)c1ccc(C)cc1C,0.32463936,0.08248056
C1OCCOCCOCCOC1,Cc2c1ccccc1ccc2,0.31663403,0.08123336
C1OCCOCCOCCOC1,O=C2CCCCC2C1CCCCC1,0.65814467,0.16655061
C1OCCOCCOCCOC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.01765415,0.00505293
C1OCCOCCOCCOC1,CC(C=O)c1ccccc1,0.01864737,0.00574626
C1OCCOCCOCCOC1,CCC(O)c1ccccc1,-4.0729678,-0.88497021
C1OCCOCCOCCOC1,CCOC(=O)c1ccccc1,0.29478238,0.07536281
C1OCCOCCOCCOC1,CC(OC(C)c2ccccc2)c1ccccc1,0.28171627,0.07544436
C1OCCOCCOCCOC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.01641854,-0.00262206
C1OCCOCCOCCOC1,CCOC(=O)c(cc1)ccc1C,0.37610578,0.09621885
C1OCCOCCOCCOC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.10838148,0.02414733
C1OCCOCCOCCOC1,O=C(OCCc1ccccc1)c2ccccc2,0.1773165,0.04682862
C1OCCOCCOCCOC1,CCCc2cc1OCOc1cc2,-0.37121393,-0.08901652
C1OCCOCCOCCOC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.02410082,-0.00592033
C1OCCOCCOCCOC1,CCCC1CCCCC1=O,0.46574958,0.11807728
C1OCCOCCOCCOC1,CCOc1ccc(C=CC)cc1O,-5.54794238,-1.03969507
C1OCCOCCOCCOC1,CCCC(O)C(CO)CC,-0.6865913,-0.14232661
C1OCCOCCOCCOC1,Cc(ccc1C)cc1C,0.78795479,0.19317124
C1OCCOCCOCCOC1,CCOC(=O)C(OCC)=O,0.02500962,0.00670506
C1OCCOCCOCCOC1,CC1OC(C(C)OC1=O)=O,-0.96761329,-0.2475777
C1OCCOCCOCCOC1,CCCCC(=O)C(C)=O,-0.01277826,-0.00257517
C1OCCOCCOCCOC1,C=CCOC(=O)C(C)=C,0.28606458,0.07252442
C1OCCOCCOCCOC1,C1OC1c2ccccc2,0.05768079,0.01518441
C1OCCOCCOCCOC1,CCC(C)CC,2.6440573,0.59907341
C1OCCOCCOCCOC1,CCC(CC)=O,0.08265749,0.02014815
