SMILES0,SMILES,gamma1,gamma2
C1OCCOCCOCCOCCOC1,OC(C)C(O)=O,-10.26179152,-2.86734268
C1OCCOCCOCCOCCOC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.5159457,0.13182648
C1OCCOCCOCCOCCOC1,OCC(O)C,-2.76257441,-0.59182408
C1OCCOCCOCCOCCOC1,O=C1CCO1,1.05642268,0.19385622
C1OCCOCCOCCOCCOC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.04937366,-0.01047408
C1OCCOCCOCCOCCOC1,CCOCC,0.62771062,0.13917605
C1OCCOCCOCCOCCOC1,OCC,-2.17411618,-0.3422021
C1OCCOCCOCCOCCOC1,CCCCCC=O,0.09534418,0.02388157
C1OCCOCCOCCOCCOC1,CO,-1.96931434,-0.28695881
C1OCCOCCOCCOCCOC1,OC(C)C,-1.83668358,-0.29528919
C1OCCOCCOCCOCCOC1,CC(C)=O,-0.25473136,-0.05563359
C1OCCOCCOCCOCCOC1,OCCC,-2.69019992,-0.46765803
C1OCCOCCOCCOCCOC1,OCCCC,-2.43898817,-0.41247978
C1OCCOCCOCCOCCOC1,OCCCCC,-2.40378042,-0.40385311
C1OCCOCCOCCOCCOC1,CC1OC1,-0.25286785,-0.05356092
C1OCCOCCOCCOCCOC1,CCC(C)(C)C,2.97593898,0.63185915
C1OCCOCCOCCOCCOC1,CC(C)(C)C(C)=O,0.18771991,0.04578304
C1OCCOCCOCCOCCOC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.8114077,0.20797815
C1OCCOCCOCCOCCOC1,COC(C)(C)OC,0.36955294,0.08681982
C1OCCOCCOCCOCCOC1,CCC1(CC)CCCCC1,3.02814042,0.70801812
C1OCCOCCOCCOCCOC1,CCOC(C)(OCC)OCC,0.63729947,0.16366103
C1OCCOCCOCCOCCOC1,CC(C)CCCC(O)(C)CC,-0.84348014,-0.07448679
C1OCCOCCOCCOCCOC1,CCC(C)C,3.02459884,0.61502371
C1OCCOCCOCCOCCOC1,CC(=C)C=C,0.73124148,0.14940552
C1OCCOCCOCCOCCOC1,CC(=C)C#C,-2.81479024,-0.50377004
C1OCCOCCOCCOCCOC1,OCC(C)C,-3.18618059,-0.56556376
C1OCCOCCOCCOCCOC1,CC(C)C=O,-0.1448524,-0.03184525
C1OCCOCCOCCOCCOC1,CC(=C)C=O,0.07740513,0.01502599
C1OCCOCCOCCOCCOC1,CCC(O)C,-2.10867502,-0.35734724
C1OCCOCCOCCOCCOC1,CCC(C)=O,-0.16507692,-0.03682348
C1OCCOCCOCCOCCOC1,COC(C)=O,-0.11284733,-0.02678237
C1OCCOCCOCCOCCOC1,CC(C)C(C)C,3.0308186,0.64668258
C1OCCOCCOCCOCCOC1,CC(C)C(O)=O,-10.83314117,-2.78545166
C1OCCOCCOCCOCCOC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.57062557,0.14793016
C1OCCOCCOCCOCCOC1,OOC(C)(C)C(CC1)CCC1C,-8.28696694,-1.8306836
C1OCCOCCOCCOCCOC1,CCOC(C(O)(C)C)=O,-0.32666197,-0.06534709
C1OCCOCCOCCOCCOC1,COC(=O)C(C)=C,0.21824189,0.05059671
C1OCCOCCOCCOCCOC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.3016351,-0.32635963
C1OCCOCCOCCOCCOC1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.56555799,0.13818036
C1OCCOCCOCCOCCOC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.10672322,-0.38721535
C1OCCOCCOCCOCCOC1,CCOC(=O)c1ccccc1C(OCC)=O,0.16828618,0.04228511
C1OCCOCCOCCOCCOC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.27524967,0.0713401
C1OCCOCCOCCOCCOC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.43335438,0.11170818
C1OCCOCCOCCOCCOC1,CC(C)CCOC(=O)c1ccccc1O,0.5427532,0.14094926
C1OCCOCCOCCOCCOC1,Oc2ccccc2C(OCCc1ccccc1)=O,0.19874419,0.05212146
C1OCCOCCOCCOCCOC1,O=C2c1ccccc1CO2,0.49967983,0.10986924
C1OCCOCCOCCOCCOC1,OCC(O)C(O)C(O)CO,-2.90429895,-0.69201124
C1OCCOCCOCCOCCOC1,CCC(CC)C(O)=O,-10.79999999,-2.76185092
C1OCCOCCOCCOCCOC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-5.14302302,-1.1036474
C1OCCOCCOCCOCCOC1,COc1cc(C)ccc1C(C)(C)C,0.94294058,0.23653492
C1OCCOCCOCCOCCOC1,CC2CCC(CC1=C2CCC1C)=C(C)C,2.19476838,0.55599942
C1OCCOCCOCCOCCOC1,COC(=O)c1ccccc1C,0.41437961,0.10233212
C1OCCOCCOCCOCCOC1,CC(=O)c1ccc(C)cc1C,0.45390979,0.11247603
C1OCCOCCOCCOCCOC1,Cc2c1ccccc1ccc2,0.49769614,0.12169893
C1OCCOCCOCCOCCOC1,O=C2CCCCC2C1CCCCC1,0.7667248,0.19387901
C1OCCOCCOCCOCCOC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.20079019,0.04796959
C1OCCOCCOCCOCCOC1,CC(C=O)c1ccccc1,0.10962156,0.02612576
C1OCCOCCOCCOCCOC1,CCC(O)c1ccccc1,-5.64156961,-1.13594601
C1OCCOCCOCCOCCOC1,CCOC(=O)c1ccccc1,0.44203149,0.10912492
C1OCCOCCOCCOCCOC1,CC(OC(C)c2ccccc2)c1ccccc1,0.47822865,0.12405184
C1OCCOCCOCCOCCOC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.2291995,0.05411862
C1OCCOCCOCCOCCOC1,CCOC(=O)c(cc1)ccc1C,0.52585145,0.13172694
C1OCCOCCOCCOCCOC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.22222789,0.05334725
C1OCCOCCOCCOCCOC1,O=C(OCCc1ccccc1)c2ccccc2,0.37496616,0.09522867
C1OCCOCCOCCOCCOC1,CCCc2cc1OCOc1cc2,-0.30310264,-0.07131042
C1OCCOCCOCCOCCOC1,COC(C1CCC(CC1)C(OC)=O)=O,0.00263488,0.00046698
C1OCCOCCOCCOCCOC1,CCCC1CCCCC1=O,0.51621601,0.13049792
C1OCCOCCOCCOCCOC1,CCOc1ccc(C=CC)cc1O,-7.54505871,-1.31615537
C1OCCOCCOCCOCCOC1,CCCC(O)C(CO)CC,-1.62331591,-0.30066937
C1OCCOCCOCCOCCOC1,Cc(ccc1C)cc1C,0.98264497,0.23178043
C1OCCOCCOCCOCCOC1,CCOC(=O)C(OCC)=O,0.04305276,0.00965864
C1OCCOCCOCCOCCOC1,CC1OC(C(C)OC1=O)=O,-0.91051722,-0.24149945
C1OCCOCCOCCOCCOC1,CCCCC(=O)C(C)=O,-0.00091037,-3.526e-05
C1OCCOCCOCCOCCOC1,C=CCOC(=O)C(C)=C,0.40389913,0.09861188
C1OCCOCCOCCOCCOC1,C1OC1c2ccccc2,0.16465341,0.03815742
C1OCCOCCOCCOCCOC1,CCC(C)CC,3.09154821,0.66469472
C1OCCOCCOCCOCCOC1,CCC(CC)=O,0.02791322,0.00763536
C1OCCOCCOCCOCCOC1,OCC(CO)=O,-3.19720475,-0.88586829
C1OCCOCCOCCOCCOC1,COC(=O)C=C,0.09686281,0.02031989
C1OCCOCCOCCOCCOC1,COC(CO)=O,-2.70282591,-0.5636903
C1OCCOCCOCCOCCOC1,CC1CCCC1,2.96085516,0.61202669
C1OCCOCCOCCOCCOC1,CC1CCCO1,0.30737267,0.0728568
C1OCCOCCOCCOCCOC1,O=C1CCCO1,0.19947503,0.0475479
C1OCCOCCOCCOCCOC1,CCCC(C)C(O)=O,-10.87269026,-2.80190394
C1OCCOCCOCCOCCOC1,CCOC(C(C)C)=O,0.35307663,0.08601981
C1OCCOCCOCCOCCOC1,CCOC(=O)C(C)=C,0.43909371,0.10502464
C1OCCOCCOCCOCCOC1,CCOC(C(O)C)=O,-1.00838313,-0.20025314
C1OCCOCCOCCOCCOC1,CC(C)C(OC(C(C)C)=O)=O,0.21766613,0.05576586
C1OCCOCCOCCOCCOC1,CC(C)COC(C(C)C)=O,0.75086171,0.18668015
C1OCCOCCOCCOCCOC1,CC(C)COC(=O)C(C)=C,0.73430514,0.18186565
C1OCCOCCOCCOCCOC1,CCCCOC(C(C)C)=O,0.71258639,0.1779471
C1OCCOCCOCCOCCOC1,CCCCOC(=O)C(C)=C,0.71248203,0.17701005
C1OCCOCCOCCOCCOC1,CCC(CC)C=O,0.29806413,0.07144066
C1OCCOCCOCCOCCOC1,OCC1CCCO1,-0.44659973,-0.08387573
C1OCCOCCOCCOCCOC1,OCc1occc1,-5.10337399,-1.06657093
C1OCCOCCOCCOCCOC1,O=Cc1occc1,0.29749184,0.04636936
C1OCCOCCOCCOCCOC1,CC(C)(C)c1ccccc1,0.94695011,0.2271744
C1OCCOCCOCCOCCOC1,OOC(C)(C)c(cc1)ccc1C(C)C,-7.86689495,-1.77136788
C1OCCOCCOCCOCCOC1,CC(C)(C)c(cc1)ccc1C,1.19244202,0.2916841
C1OCCOCCOCCOCCOC1,OC1CCC(CC1)C(C)(C)C,-1.62587601,-0.25068007
C1OCCOCCOCCOCCOC1,CC(C)(C)C1CCC(CC1)=O,0.3780435,0.09611442
C1OCCOCCOCCOCCOC1,CC(C)c1ccccc1,0.88602475,0.20924321
C1OCCOCCOCCOCCOC1,COC(=O)c(ccc1)cc1C,0.4141128,0.10189054
C1OCCOCCOCCOCCOC1,OC1CC(CC=C1C)C(C)=C,-3.43769483,-0.68810867
C1OCCOCCOCCOCCOC1,CC(C)c1cc(C(C)C)ccc1,1.33966404,0.33231499
C1OCCOCCOCCOCCOC1,CCCC(CCC)C(O)=O,-10.6282417,-2.74009192
C1OCCOCCOCCOCCOC1,CC(C=O)c(cc1)ccc1C,0.18607659,0.04671879
C1OCCOCCOCCOCCOC1,CC1CCC(C(C)C)CC1,3.06477564,0.725525
C1OCCOCCOCCOCCOC1,CC(C)c(cc1)ccc1C,1.11749934,0.26997075
C1OCCOCCOCCOCCOC1,C=CC1CC=CCC1,1.14947635,0.2600814
C1OCCOCCOCCOCCOC1,CCc1ccccc1,0.73759899,0.16908843
C1OCCOCCOCCOCCOC1,C=Cc1ccccc1,0.29360674,0.06916202
C1OCCOCCOCCOCCOC1,OCC1CCCCC1,-2.81195256,-0.507853
C1OCCOCCOCCOCCOC1,COc1ccccc1,0.08690774,0.0197547
C1OCCOCCOCCOCCOC1,OCC1CCCCO1,-0.83486146,-0.16893812
C1OCCOCCOCCOCCOC1,OCC(CO1)OC1(C)C,-1.98997802,-0.42653072
C1OCCOCCOCCOCCOC1,Cc1cc(C=C)ccc1,0.479801,0.11545054
C1OCCOCCOCCOCCOC1,COc(ccc1)cc1C,0.2227853,0.05321669
C1OCCOCCOCCOCCOC1,COC(=O)Cc1ccccc1,0.16434826,0.04016554
C1OCCOCCOCCOCCOC1,COC(OC)Cc1ccccc1,0.22199319,0.05699175
C1OCCOCCOCCOCCOC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.07320018,0.01865447
C1OCCOCCOCCOCCOC1,CC(C)COC(=O)Cc1ccccc1,0.26509166,0.06891815
C1OCCOCCOCCOCCOC1,O=C(OCc2ccccc2)Cc1ccccc1,0.12601941,0.03193067
C1OCCOCCOCCOCCOC1,CCc1cc(CC)cc(CC)c1,1.49405232,0.3723241
C1OCCOCCOCCOCCOC1,CC(=O)Oc(ccc1)cc1O,-11.9708038,-3.29659531
C1OCCOCCOCCOCCOC1,COC(OC)CC(OC)OC,0.15633053,0.03985141
C1OCCOCCOCCOCCOC1,CCCCC(CC)COC(C)=O,0.78795245,0.20068084
C1OCCOCCOCCOCCOC1,CCCCC(CC)COC(=O)C=C,0.86158448,0.22150473
C1OCCOCCOCCOCCOC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.80943166,0.19809516
C1OCCOCCOCCOCCOC1,COC(CCc1ccccc1)=O,0.15312702,0.03774326
C1OCCOCCOCCOCCOC1,CC(C)C(OCc1ccccc1)=O,0.26000318,0.06555233
C1OCCOCCOCCOCCOC1,CCCC(OCc1ccccc1)=O,0.23380571,0.05940662
C1OCCOCCOCCOCCOC1,CC(C)CC(OCc1ccccc1)=O,0.24528791,0.06555474
C1OCCOCCOCCOCCOC1,CC(OCCc1ccccc1)=O,0.21779352,0.05433925
C1OCCOCCOCCOCCOC1,CC(C)C(OCCc1ccccc1)=O,0.35410937,0.09206622
C1OCCOCCOCCOCCOC1,CC(C)C(OCCOc1ccccc1)=O,-0.0431887,-0.01031803
C1OCCOCCOCCOCCOC1,CCCc1ccccc1,0.87740355,0.20811914
C1OCCOCCOCCOCCOC1,CC(C)C(=O)Oc(cc1)ccc1C,0.29774253,0.07543183
C1OCCOCCOCCOCCOC1,CCCc(cc1)ccc1OC,0.41956658,0.10473697
C1OCCOCCOCCOCCOC1,CCCCC1OC(CC1)=O,-0.01920319,-0.0039344
C1OCCOCCOCCOCCOC1,CCCCc1ccccc1,1.01068346,0.24592779
C1OCCOCCOCCOCCOC1,O=COCc1ccccc1,-0.09838114,-0.02781293
C1OCCOCCOCCOCCOC1,CCCCCC1OC(CC1)=O,0.03700689,0.01055168
C1OCCOCCOCCOCCOC1,O=COCCc1ccccc1,-0.12858569,-0.03295439
C1OCCOCCOCCOCCOC1,CCCCCCCC1OC(CC1)=O,0.16870114,0.0449725
C1OCCOCCOCCOCCOC1,CCCCC(CO)CC,-3.10257371,-0.5486383
C1OCCOCCOCCOCCOC1,COc(cc1)ccc1C,0.22221478,0.05309614
C1OCCOCCOCCOCCOC1,CC(C)COC(CCc1occc1)=O,0.09193029,0.02628225
C1OCCOCCOCCOCCOC1,CCc1ccc(CC)cc1,1.16482044,0.28171153
C1OCCOCCOCCOCCOC1,C=Cc1ccc(C=C)cc1,0.2271551,0.05720734
C1OCCOCCOCCOCCOC1,CCCC1OC(CC1)=O,-0.05280164,-0.01277992
C1OCCOCCOCCOCCOC1,OCC=C(C)C#C,-6.24955827,-1.35578654
C1OCCOCCOCCOCCOC1,CCCC(C)CO,-3.07677759,-0.54829564
C1OCCOCCOCCOCCOC1,CCCC(O)C#C,-8.8847738,-1.97597742
C1OCCOCCOCCOCCOC1,CCOC(CC)=O,0.13188972,0.03116043
C1OCCOCCOCCOCCOC1,CCC(OC=C)=O,0.123117,0.02852707
C1OCCOCCOCCOCCOC1,CCC(C)CC(C)=O,0.30170213,0.07506005
C1OCCOCCOCCOCCOC1,CCC(C)CC(O)=O,-10.87040999,-2.81356909
C1OCCOCCOCCOCCOC1,CCC(C)OC(C)=O,0.30214606,0.07391501
C1OCCOCCOCCOCCOC1,CCOC(CC(OCC)=O)=O,-0.12600119,-0.03271953
C1OCCOCCOCCOCCOC1,CCOC(CCC)=O,0.3093534,0.07536903
C1OCCOCCOCCOCCOC1,CCOC(C)OCC,0.53713224,0.13368857
C1OCCOCCOCCOCCOC1,CCOC(OCC)=O,0.04366019,0.01087465
C1OCCOCCOCCOCCOC1,CCCOC(CCC)=O,0.49986114,0.12434111
C1OCCOCCOCCOCCOC1,CC(C)CCOC(CC)=O,0.60771437,0.15216467
C1OCCOCCOCCOCCOC1,CCCCOC(=O)C=CC(OCCCC)=O,-0.07964179,-0.01812864
C1OCCOCCOCCOCCOC1,O=C1OCCOC(CCCCCCCCCCC1)=O,0.05351914,0.01574048
C1OCCOCCOCCOCCOC1,CCCCCCCCCCCC(OCCCC)=O,1.33370693,0.34013192
C1OCCOCCOCCOCCOC1,OCCC(C)CCCC(C)C,-2.3817916,-0.39043219
C1OCCOCCOCCOCCOC1,CC(C)CCOC(CCC)=O,0.74311197,0.18907208
C1OCCOCCOCCOCCOC1,CCCCCCC(OCC)=O,0.69058125,0.17571285
C1OCCOCCOCCOCCOC1,CCCC(OC(CCC)=O)=O,0.10237208,0.02637658
C1OCCOCCOCCOCCOC1,CCCCCCCC(OCC)=O,0.78954424,0.20294845
C1OCCOCCOCCOCCOC1,CCCCC(CC)=O,0.35206867,0.087586
C1OCCOCCOCCOCCOC1,CCCOC(CC)=O,0.32885045,0.0802351
C1OCCOCCOCCOCCOC1,CC(C)COC(=O)C=C,0.43010566,0.10566515
C1OCCOCCOCCOCCOC1,CCCCCC(CC)=O,0.50661555,0.12789935
C1OCCOCCOCCOCCOC1,CCCCCC(OC)=O,0.34214208,0.08542338
C1OCCOCCOCCOCCOC1,CC(CCC=C(C)C)C=O,0.44074311,0.11232591
C1OCCOCCOCCOCCOC1,CCCCCCC(OC)=O,0.47287789,0.11942981
C1OCCOCCOCCOCCOC1,CCOCCOC(=O)C=C,0.09240996,0.02306047
C1OCCOCCOCCOCCOC1,C=CC2CC1OC1CC2,0.27376445,0.06595526
C1OCCOCCOCCOCCOC1,C1OC1C3CC2OC2CC3,-0.00679357,-0.00136922
C1OCCOCCOCCOCCOC1,CCC1OC1,-0.01556023,-0.00294617
C1OCCOCCOCCOCCOC1,C=CC(OCC1OC1)=O,0.21071486,0.04610389
C1OCCOCCOCCOCCOC1,CC(=C)C(OCC1OC1)=O,0.11633695,0.02609434
C1OCCOCCOCCOCCOC1,C=CCOCC1OC1,0.05796559,0.01365601
C1OCCOCCOCCOCCOC1,O=CC=C,0.31583264,0.05320174
C1OCCOCCOCCOCCOC1,OCC=C,-4.60376384,-0.87337903
C1OCCOCCOCCOCCOC1,OCC#C,-8.2495505,-1.84056492
C1OCCOCCOCCOCCOC1,COC=O,-0.15935913,-0.04527748
C1OCCOCCOCCOCCOC1,CC(C)(C)CC(C)=C,2.17010279,0.49771821
C1OCCOCCOCCOCCOC1,CC(C)(C)C=C(C)C,2.25300555,0.51872483
C1OCCOCCOCCOCCOC1,OC(C)CC(O)(C)C,-1.10964253,-0.18634322
C1OCCOCCOCCOCCOC1,COC(C)(C)CC(C)=O,0.09408893,0.02456892
