SMILES0,SMILES,gamma1,gamma2
C1OCCOCCOCCOCCOCCOC1,OC(C)C(O)=O,-21.67800238,-6.00992655
C1OCCOCCOCCOCCOCCOC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.27254879,0.07002001
C1OCCOCCOCCOCCOCCOC1,OCC(O)C,-10.80169804,-2.88393521
C1OCCOCCOCCOCCOCCOC1,O=C1CCO1,1.00536872,0.10177808
C1OCCOCCOCCOCCOCCOC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.493127,-0.12099254
C1OCCOCCOCCOCCOCCOC1,CCOCC,0.86913439,0.14070788
C1OCCOCCOCCOCCOCCOC1,OCC,-9.80304848,-2.71062557
C1OCCOCCOCCOCCOCCOC1,CCCCCC=O,-0.10874131,-0.02981488
C1OCCOCCOCCOCCOCCOC1,CO,-9.5888284,-2.70502944
C1OCCOCCOCCOCCOCCOC1,OC(C)C,-9.18321815,-2.50635439
C1OCCOCCOCCOCCOCCOC1,CC(C)=O,-0.30649433,-0.06611787
C1OCCOCCOCCOCCOCCOC1,OCCC,-10.55489681,-2.92964555
C1OCCOCCOCCOCCOCCOC1,OCCCC,-10.18637094,-2.81724768
C1OCCOCCOCCOCCOCCOC1,OCCCCC,-10.1499171,-2.80638338
C1OCCOCCOCCOCCOCCOC1,CC1OC1,-0.33471672,-0.07137885
C1OCCOCCOCCOCCOCCOC1,CCC(C)(C)C,3.87459315,0.66771202
C1OCCOCCOCCOCCOCCOC1,CC(C)(C)C(C)=O,0.20990922,0.0364853
C1OCCOCCOCCOCCOCCOC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.96680353,0.2284897
C1OCCOCCOCCOCCOCCOC1,COC(C)(C)OC,0.49267739,0.08873654
C1OCCOCCOCCOCCOCCOC1,CCC1(CC)CCCCC1,3.95891405,0.79683675
C1OCCOCCOCCOCCOCCOC1,CCOC(C)(OCC)OCC,0.84917291,0.19243465
C1OCCOCCOCCOCCOCCOC1,CC(C)CCCC(O)(C)CC,-7.55423893,-1.95979203
C1OCCOCCOCCOCCOCCOC1,CCC(C)C,3.94702178,0.63815628
C1OCCOCCOCCOCCOCCOC1,CC(=C)C=C,0.754004,0.11106431
C1OCCOCCOCCOCCOCCOC1,CC(=C)C#C,-7.0156898,-1.29391982
C1OCCOCCOCCOCCOCCOC1,OCC(C)C,-11.19341838,-3.05231208
C1OCCOCCOCCOCCOCCOC1,CC(C)C=O,-0.28063336,-0.06270241
C1OCCOCCOCCOCCOCCOC1,CC(=C)C=O,-0.13780798,-0.0321923
C1OCCOCCOCCOCCOCCOC1,CCC(O)C,-9.51974307,-2.56723586
C1OCCOCCOCCOCCOCCOC1,CCC(C)=O,-0.27948661,-0.0608081
C1OCCOCCOCCOCCOCCOC1,COC(C)=O,-0.23987222,-0.05274842
C1OCCOCCOCCOCCOCCOC1,CC(C)C(C)C,3.95543084,0.68720698
