SMILES0,SMILES,gamma1,gamma2
C1OCOCOCO1,OC(C)C(O)=O,-0.97717372,-0.23269626
C1OCOCOCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.25088277,0.54185908
C1OCOCOCO1,OCC(O)C,1.66540264,0.39957171
C1OCOCOCO1,O=C1CCO1,-0.02122238,-0.00527637
C1OCOCOCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.13988649,0.23504667
C1OCOCOCO1,CCOCC,2.27341472,0.56942339
C1OCOCOCO1,OCC,2.20799256,0.5065583
C1OCOCOCO1,CCCCCC=O,1.56715887,0.39077033
C1OCOCOCO1,CO,1.9003698,0.4189885
C1OCOCOCO1,OC(C)C,2.38745758,0.56402655
C1OCOCOCO1,CC(C)=O,0.07694484,0.02668387
C1OCOCOCO1,OCCC,2.39996812,0.56960553
C1OCOCOCO1,OCCCC,2.61021198,0.63575204
C1OCOCOCO1,OCCCCC,2.78823521,0.68616851
C1OCOCOCO1,CC1OC1,0.66750658,0.1701964
C1OCOCOCO1,CCC(C)(C)C,5.80447989,1.3340043
C1OCOCOCO1,CC(C)(C)C(C)=O,1.37343806,0.34660879
C1OCOCOCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.60283712,0.61850108
C1OCOCOCO1,COC(C)(C)OC,1.73349647,0.43379911
C1OCOCOCO1,CCC1(CC)CCCCC1,5.73599834,1.35449173
C1OCOCOCO1,CCOC(C)(OCC)OCC,2.04495125,0.49756182
C1OCOCOCO1,CC(C)CCCC(O)(C)CC,3.40196284,0.82065979
C1OCOCOCO1,CCC(C)C,5.9037613,1.33258686
C1OCOCOCO1,CC(=C)C=C,3.10821683,0.71974088
C1OCOCOCO1,CC(=C)C#C,0.5556973,0.19273551
C1OCOCOCO1,OCC(C)C,2.45074965,0.60053527
C1OCOCOCO1,CC(C)C=O,1.00647953,0.25213373
C1OCOCOCO1,CC(=C)C=O,0.77432747,0.19371161
C1OCOCOCO1,CCC(O)C,2.56076386,0.61921924
C1OCOCOCO1,CCC(C)=O,0.59967349,0.15669412
C1OCOCOCO1,COC(C)=O,0.43111841,0.10899842
C1OCOCOCO1,CC(C)C(C)C,5.85017487,1.34642301
C1OCOCOCO1,CC(C)C(O)=O,-0.05757732,0.00744449
C1OCOCOCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.17285153,0.49594174
C1OCOCOCO1,OOC(C)(C)C(CC1)CCC1C,1.18153511,0.31284161
C1OCOCOCO1,CCOC(C(O)(C)C)=O,1.4123892,0.35006144
C1OCOCOCO1,COC(=O)C(C)=C,1.34340915,0.33498131
C1OCOCOCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.05260716,0.26088295
C1OCOCOCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.87438565,0.20638221
C1OCOCOCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.32549444,0.67618828
C1OCOCOCO1,CCOC(=O)c1ccccc1C(OCC)=O,1.04787381,0.2475138
C1OCOCOCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.6959574,0.3743889
C1OCOCOCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.10592007,0.43318683
C1OCOCOCO1,CC(C)CCOC(=O)c1ccccc1O,2.52008438,0.60792847
C1OCOCOCO1,Oc2ccccc2C(OCCc1ccccc1)=O,1.74933496,0.42614257
C1OCOCOCO1,O=C2c1ccccc1CO2,0.43077727,0.10757879
C1OCOCOCO1,OCC(O)C(O)C(O)CO,0.72021634,0.16731529
C1OCOCOCO1,CCC(CC)C(O)=O,0.40036816,0.13098193
C1OCOCOCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.66360632,0.40101435
C1OCOCOCO1,COc1cc(C)ccc1C(C)(C)C,3.2537571,0.78930517
C1OCOCOCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,4.71440831,1.12192831
C1OCOCOCO1,COC(=O)c1ccccc1C,1.77106848,0.44158867
C1OCOCOCO1,CC(=O)c1ccc(C)cc1C,1.67170507,0.41344863
C1OCOCOCO1,Cc2c1ccccc1ccc2,2.39409267,0.59096814
C1OCOCOCO1,O=C2CCCCC2C1CCCCC1,2.37645722,0.57137747
C1OCOCOCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.90796774,0.21483715
C1OCOCOCO1,CC(C=O)c1ccccc1,1.18186871,0.2958391
C1OCOCOCO1,CCC(O)c1ccccc1,1.00112246,0.27907953
C1OCOCOCO1,CCOC(=O)c1ccccc1,1.71133117,0.42567735
