SMILES0,SMILES,gamma1,gamma2
CC#CC(O)=O,OC(C)C(O)=O,0.02843359,0.00588738
CC#CC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.07231603,0.72534712
CC#CC(O)=O,OCC(O)C,-1.38284343,-0.34470555
CC#CC(O)=O,O=C1CCO1,-0.58236008,-0.13845704
CC#CC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.62223825,-0.15372505
CC#CC(O)=O,CCOCC,-2.74655454,-0.7945904
CC#CC(O)=O,OCC,-1.9382248,-0.53737009
CC#CC(O)=O,CCCCCC=O,-0.99821892,-0.27157771
CC#CC(O)=O,CO,-2.06873887,-0.56523009
CC#CC(O)=O,OC(C)C,-1.94779391,-0.55895566
CC#CC(O)=O,CC(C)=O,-3.37456243,-0.91379842
CC#CC(O)=O,OCCC,-1.42768233,-0.40262146
CC#CC(O)=O,OCCCC,-1.3534328,-0.39542397
CC#CC(O)=O,OCCCCC,-1.17590092,-0.35693125
CC#CC(O)=O,CC1OC1,-2.67486946,-0.70009896
CC#CC(O)=O,CCC(C)(C)C,7.39117053,1.15133555
CC#CC(O)=O,CC(C)(C)C(C)=O,-2.11893956,-0.58966252
CC#CC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.549527,-0.47972503
CC#CC(O)=O,COC(C)(C)OC,-2.71215044,-0.78916954
CC#CC(O)=O,CCC1(CC)CCCCC1,7.31282707,1.19249426
CC#CC(O)=O,CCOC(C)(OCC)OCC,-3.1321601,-0.7855198
CC#CC(O)=O,CC(C)CCCC(O)(C)CC,-1.24099242,-0.45101031
CC#CC(O)=O,CCC(C)C,7.4614202,1.13524464
CC#CC(O)=O,CC(=C)C=C,4.82276757,0.70659372
CC#CC(O)=O,CC(=C)C#C,3.30430757,0.46522369
CC#CC(O)=O,OCC(C)C,-0.99684858,-0.29965904
CC#CC(O)=O,CC(C)C=O,-1.43870883,-0.37312929
CC#CC(O)=O,CC(=C)C=O,-1.87198617,-0.48575764
CC#CC(O)=O,CCC(O)C,-1.49582603,-0.43672059
CC#CC(O)=O,CCC(C)=O,-2.90904281,-0.7995086
CC#CC(O)=O,COC(C)=O,-2.00958468,-0.52252926
CC#CC(O)=O,CC(C)C(C)C,7.41686984,1.15698754
CC#CC(O)=O,CC(C)C(O)=O,0.30315407,0.07584198
CC#CC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-1.01887154,-0.35352828
CC#CC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.17132586,0.26398631
CC#CC(O)=O,CCOC(C(O)(C)C)=O,-2.55146454,-0.77731718
