SMILES0,SMILES,gamma1,gamma2
CC(=O)C=C,OC(C)C(O)=O,-1.13489881,-0.29503291
CC(=O)C=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.07651547,-0.01132491
CC(=O)C=C,OCC(O)C,0.6389583,0.14950626
CC(=O)C=C,O=C1CCO1,0.4399709,0.11083462
CC(=O)C=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.1032632,-0.02450806
CC(=O)C=C,CCOCC,0.64495035,0.15914564
CC(=O)C=C,OCC,0.7705897,0.18479059
CC(=O)C=C,CCCCCC=O,0.27883641,0.06802994
CC(=O)C=C,CO,0.97081952,0.22902247
CC(=O)C=C,OC(C)C,0.71651801,0.17342014
CC(=O)C=C,CC(C)=O,-0.01516933,-0.00383958
CC(=O)C=C,OCCC,0.62381085,0.15176831
CC(=O)C=C,OCCCC,0.64399519,0.16032527
CC(=O)C=C,OCCCCC,0.64633145,0.1604359
CC(=O)C=C,CC1OC1,0.04177146,0.01015786
CC(=O)C=C,CCC(C)(C)C,2.01484036,0.48911704
CC(=O)C=C,CC(C)(C)C(C)=O,0.27105534,0.06597446
CC(=O)C=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.52166459,0.12027837
CC(=O)C=C,COC(C)(C)OC,0.39886878,0.09773629
CC(=O)C=C,CCC1(CC)CCCCC1,1.94635423,0.47278264
CC(=O)C=C,CCOC(C)(OCC)OCC,0.45263299,0.10747305
CC(=O)C=C,CC(C)CCCC(O)(C)CC,0.79333682,0.18533475
CC(=O)C=C,CCC(C)C,2.06752064,0.49778336
CC(=O)C=C,CC(=C)C=C,0.50679855,0.12410913
CC(=O)C=C,CC(=C)C#C,-1.08474569,-0.26647582
CC(=O)C=C,OCC(C)C,0.44303826,0.11219812
CC(=O)C=C,CC(C)C=O,0.14777632,0.03653728
CC(=O)C=C,CC(=C)C=O,0.01615732,0.00393625
CC(=O)C=C,CCC(O)C,0.60374063,0.14878516
CC(=O)C=C,CCC(C)=O,0.06889433,0.01696586
CC(=O)C=C,COC(C)=O,-0.00556593,-0.00141818
CC(=O)C=C,CC(C)C(C)C,2.03367934,0.49445081
CC(=O)C=C,CC(C)C(O)=O,-1.28110803,-0.32482216
CC(=O)C=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.28261345,0.06047716
CC(=O)C=C,OOC(C)(C)C(CC1)CCC1C,-0.83843611,-0.22490161
CC(=O)C=C,CCOC(C(O)(C)C)=O,0.14959112,0.03642719
CC(=O)C=C,COC(=O)C(C)=C,0.08108342,0.02009823
CC(=O)C=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.84581364,-0.19095766
CC(=O)C=C,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.19272016,-0.04303686
CC(=O)C=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.40974216,0.05020102
CC(=O)C=C,CCOC(=O)c1ccccc1C(OCC)=O,-0.13205879,-0.02909616
CC(=O)C=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.01428006,0.00214806
CC(=O)C=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.14151897,0.02374126
CC(=O)C=C,CC(C)CCOC(=O)c1ccccc1O,0.21612249,0.05297535
CC(=O)C=C,Oc2ccccc2C(OCCc1ccccc1)=O,-0.17801858,-0.03488937
CC(=O)C=C,O=C2c1ccccc1CO2,-0.06805809,-0.01574836
