SMILES0,SMILES,gamma1,gamma2
CC(C(C)C(O)=O)C(O)=O,OC(C)C(O)=O,0.07057137,0.00913813
CC(C(C)C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.76101095,0.87050431
CC(C(C)C(O)=O)C(O)=O,OCC(O)C,-2.142333,-0.52126218
CC(C(C)C(O)=O)C(O)=O,O=C1CCO1,0.92286487,0.19688175
CC(C(C)C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.31445295,0.07746325
CC(C(C)C(O)=O)C(O)=O,CCOCC,-4.05082483,-0.69211028
CC(C(C)C(O)=O)C(O)=O,OCC,-3.24595286,-0.700995
CC(C(C)C(O)=O)C(O)=O,CCCCCC=O,-0.72144188,-0.09349017
CC(C(C)C(O)=O)C(O)=O,CO,-3.34639876,-0.70283246
CC(C(C)C(O)=O)C(O)=O,OC(C)C,-3.29544077,-0.71743857
CC(C(C)C(O)=O)C(O)=O,CC(C)=O,-4.11241162,-0.92742815
CC(C(C)C(O)=O)C(O)=O,OCCC,-2.47919782,-0.53471142
CC(C(C)C(O)=O)C(O)=O,OCCCC,-2.38532512,-0.51034174
CC(C(C)C(O)=O)C(O)=O,OCCCCC,-2.12558655,-0.44972275
CC(C(C)C(O)=O)C(O)=O,CC1OC1,-3.08039265,-0.58257023
CC(C(C)C(O)=O)C(O)=O,CCC(C)(C)C,10.53005363,1.1389705
CC(C(C)C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-2.51116029,-0.50411727
CC(C(C)C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.80471497,-0.23015431
CC(C(C)C(O)=O)C(O)=O,COC(C)(C)OC,-3.67491991,-0.80145533
CC(C(C)C(O)=O)C(O)=O,CCC1(CC)CCCCC1,10.49936274,1.2553963
CC(C(C)C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-4.49496323,-1.19315692
CC(C(C)C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-2.16801802,-0.43411699
CC(C(C)C(O)=O)C(O)=O,CCC(C)C,10.62822874,1.10422942
CC(C(C)C(O)=O)C(O)=O,CC(=C)C=C,7.4373457,0.67311927
CC(C(C)C(O)=O)C(O)=O,CC(=C)C#C,4.90254731,0.35361365
CC(C(C)C(O)=O)C(O)=O,OCC(C)C,-1.81877912,-0.38875435
CC(C(C)C(O)=O)C(O)=O,CC(C)C=O,-1.18432068,-0.21150426
CC(C(C)C(O)=O)C(O)=O,CC(=C)C=O,-1.51362727,-0.28872918
CC(C(C)C(O)=O)C(O)=O,CCC(O)C,-2.56164004,-0.54563635
CC(C(C)C(O)=O)C(O)=O,CCC(C)=O,-3.57488178,-0.79710354
CC(C(C)C(O)=O)C(O)=O,COC(C)=O,-1.64118149,-0.34004327
CC(C(C)C(O)=O)C(O)=O,CC(C)C(C)C,10.58390405,1.15072612
CC(C(C)C(O)=O)C(O)=O,CC(C)C(O)=O,0.0959877,0.02271975
CC(C(C)C(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.69806123,-0.12062657
CC(C(C)C(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.17094701,0.2847931
CC(C(C)C(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-3.1887474,-0.71502256
CC(C(C)C(O)=O)C(O)=O,COC(=O)C(C)=C,0.08069078,0.02748809
CC(C(C)C(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.67602404,0.67359474
CC(C(C)C(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.09512322,-0.21407472
CC(C(C)C(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.06843032,-0.02010606
CC(C(C)C(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.7785819,0.18798609
CC(C(C)C(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.18152887,0.28778644
CC(C(C)C(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.74676989,0.40267382
CC(C(C)C(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.65951792,0.71131778
CC(C(C)C(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.55884307,0.6765256
CC(C(C)C(O)=O)C(O)=O,O=C2c1ccccc1CO2,-0.23068256,-0.03427797
CC(C(C)C(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-1.88281787,-0.48193901
CC(C(C)C(O)=O)C(O)=O,CCC(CC)C(O)=O,0.42247867,0.10519011
CC(C(C)C(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.63372399,-0.14787088
CC(C(C)C(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.6313134,0.93031519
CC(C(C)C(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.57496325,1.19371573
CC(C(C)C(O)=O)C(O)=O,COC(=O)c1ccccc1C,1.36497694,0.30625609
CC(C(C)C(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-1.9706405,-0.33441532
CC(C(C)C(O)=O)C(O)=O,Cc2c1ccccc1ccc2,6.8338098,0.75037253
CC(C(C)C(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-1.35632834,-0.20972604
CC(C(C)C(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.08261352,-0.23656637
CC(C(C)C(O)=O)C(O)=O,CC(C=O)c1ccccc1,0.89014304,0.20355691
CC(C(C)C(O)=O)C(O)=O,CCC(O)c1ccccc1,-0.53438734,-0.11074119
CC(C(C)C(O)=O)C(O)=O,CCOC(=O)c1ccccc1,1.14096487,0.2577161
CC(C(C)C(O)=O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.48126305,0.19200288
CC(C(C)C(O)=O)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.46095552,0.52016182
CC(C(C)C(O)=O)C(O)=O,CCOC(=O)c(cc1)ccc1C,0.94249312,0.22962335
CC(C(C)C(O)=O)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-27.84984267,-1.99524757
CC(C(C)C(O)=O)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.23498598,0.47797845
CC(C(C)C(O)=O)C(O)=O,CCCc2cc1OCOc1cc2,5.05026395,0.7142004
