SMILES0,SMILES,gamma1,gamma2
CC(C(O)=O)C(O)=O,OC(C)C(O)=O,-0.29124246,-0.06971477
CC(C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.3238636,0.9192652
CC(C(O)=O)C(O)=O,OCC(O)C,-3.67165981,-0.90860039
CC(C(O)=O)C(O)=O,O=C1CCO1,-0.75391876,-0.15749167
CC(C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.78854449,-0.18466349
CC(C(O)=O)C(O)=O,CCOCC,-5.51175438,-1.03895855
CC(C(O)=O)C(O)=O,OCC,-4.77228453,-1.05891069
CC(C(O)=O)C(O)=O,CCCCCC=O,-1.87673191,-0.35226856
CC(C(O)=O)C(O)=O,CO,-5.11007513,-1.11410151
CC(C(O)=O)C(O)=O,OC(C)C,-4.73875294,-1.06280348
CC(C(O)=O)C(O)=O,CC(C)=O,-5.85467397,-1.41652613
CC(C(O)=O)C(O)=O,OCCC,-3.76632016,-0.83154863
CC(C(O)=O)C(O)=O,OCCCC,-3.63629139,-0.79817645
CC(C(O)=O)C(O)=O,OCCCCC,-3.31979332,-0.72504802
CC(C(O)=O)C(O)=O,CC1OC1,-4.58143917,-0.94498388
CC(C(O)=O)C(O)=O,CCC(C)(C)C,10.25830265,1.26308124
CC(C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-3.90547945,-0.86471074
CC(C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.14149385,-0.56344223
CC(C(O)=O)C(O)=O,COC(C)(C)OC,-5.16313782,-1.21513799
CC(C(O)=O)C(O)=O,CCC1(CC)CCCCC1,10.19584899,1.35760331
CC(C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-6.1142362,-1.71652695
CC(C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.4043368,-0.74405502
CC(C(O)=O)C(O)=O,CCC(C)C,10.37016111,1.23582913
CC(C(O)=O)C(O)=O,CC(=C)C=C,7.13580634,0.7759604
CC(C(O)=O)C(O)=O,CC(=C)C#C,4.91664362,0.47210356
CC(C(O)=O)C(O)=O,OCC(C)C,-2.89926922,-0.63495688
CC(C(O)=O)C(O)=O,CC(C)C=O,-2.43323263,-0.48714162
CC(C(O)=O)C(O)=O,CC(=C)C=O,-2.9311818,-0.61799241
CC(C(O)=O)C(O)=O,CCC(O)C,-3.8194667,-0.84260511
CC(C(O)=O)C(O)=O,CCC(C)=O,-5.15219017,-1.229987
CC(C(O)=O)C(O)=O,COC(C)=O,-3.11467841,-0.69955454
CC(C(O)=O)C(O)=O,CC(C)C(C)C,10.30917095,1.27426879
CC(C(O)=O)C(O)=O,CC(C)C(O)=O,0.13109286,0.03774617
CC(C(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-1.88834592,-0.43979001
CC(C(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.18385219,0.29578846
CC(C(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-4.70353663,-1.12764479
CC(C(O)=O)C(O)=O,COC(=O)C(C)=C,-1.068033,-0.21950561
CC(C(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.29756171,0.67335589
CC(C(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.67618074,-0.59704616
CC(C(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.97893308,-0.28081592
CC(C(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.36291897,-0.05956058
CC(C(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.18376409,0.0652599
CC(C(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.84103827,0.19354926
CC(C(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.97632521,0.64995236
CC(C(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.8193133,0.60856136
CC(C(O)=O)C(O)=O,O=C2c1ccccc1CO2,-1.76938341,-0.3927771
CC(C(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-3.5393809,-0.90824391
CC(C(O)=O)C(O)=O,CCC(CC)C(O)=O,0.55879536,0.143464
CC(C(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.34559345,-0.31703403
CC(C(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.28185847,1.01206736
CC(C(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.13276489,1.26544369
CC(C(O)=O)C(O)=O,COC(=O)c1ccccc1C,0.35828788,0.12836859
CC(C(O)=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-3.3900656,-0.6734742
CC(C(O)=O)C(O)=O,Cc2c1ccccc1ccc2,6.43178933,0.8188508
CC(C(O)=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-2.5975904,-0.52856183
CC(C(O)=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-2.54002655,-0.61052793
CC(C(O)=O)C(O)=O,CC(C=O)c1ccccc1,-0.21253654,0.00315834
CC(C(O)=O)C(O)=O,CCC(O)c1ccccc1,-1.16070592,-0.24368356
CC(C(O)=O)C(O)=O,CCOC(=O)c1ccccc1,0.10123475,0.05518223
CC(C(O)=O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-1.76573455,-0.00667279
