SMILES0,SMILES,gamma1,gamma2
CC(C)(C(O)=O)C(O)=O,OC(C)C(O)=O,-0.26371626,-0.06994754
CC(C)(C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.05557288,0.87584735
CC(C)(C(O)=O)C(O)=O,OCC(O)C,-4.05772191,-1.06562973
CC(C)(C(O)=O)C(O)=O,O=C1CCO1,-0.66663163,-0.12370288
CC(C)(C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.29312045,-0.32641217
CC(C)(C(O)=O)C(O)=O,CCOCC,-6.23081779,-1.29089558
CC(C)(C(O)=O)C(O)=O,OCC,-5.29859613,-1.24239483
CC(C)(C(O)=O)C(O)=O,CCCCCC=O,-2.48747061,-0.52962945
CC(C)(C(O)=O)C(O)=O,CO,-5.4649592,-1.25039088
CC(C)(C(O)=O)C(O)=O,OC(C)C,-5.35089852,-1.27563659
CC(C)(C(O)=O)C(O)=O,CC(C)=O,-6.18562909,-1.57958318
CC(C)(C(O)=O)C(O)=O,OCCC,-4.40024747,-1.03125001
CC(C)(C(O)=O)C(O)=O,OCCCC,-4.32200465,-1.01366751
CC(C)(C(O)=O)C(O)=O,OCCCCC,-4.04837142,-0.94871251
CC(C)(C(O)=O)C(O)=O,CC1OC1,-5.05956187,-1.1137658
CC(C)(C(O)=O)C(O)=O,CCC(C)(C)C,9.51184075,1.10704715
CC(C)(C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-4.49345796,-1.07920376
CC(C)(C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.89680968,-0.79070948
CC(C)(C(O)=O)C(O)=O,COC(C)(C)OC,-5.80355038,-1.47138077
CC(C)(C(O)=O)C(O)=O,CCC1(CC)CCCCC1,9.46627977,1.20922997
CC(C)(C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-6.75963416,-2.00640495
CC(C)(C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-4.23800656,-0.99766804
CC(C)(C(O)=O)C(O)=O,CCC(C)C,9.60627601,1.07566147
CC(C)(C(O)=O)C(O)=O,CC(=C)C=C,6.69173584,0.69155139
CC(C)(C(O)=O)C(O)=O,CC(=C)C#C,4.68363708,0.4402484
CC(C)(C(O)=O)C(O)=O,OCC(C)C,-3.59981302,-0.83693772
CC(C)(C(O)=O)C(O)=O,CC(C)C=O,-2.9632175,-0.64311945
CC(C)(C(O)=O)C(O)=O,CC(=C)C=O,-3.3536209,-0.75408966
CC(C)(C(O)=O)C(O)=O,CCC(O)C,-4.51555866,-1.06449933
CC(C)(C(O)=O)C(O)=O,CCC(C)=O,-5.59915715,-1.42355518
CC(C)(C(O)=O)C(O)=O,COC(C)=O,-3.50368626,-0.83742267
CC(C)(C(O)=O)C(O)=O,CC(C)C(C)C,9.55884105,1.11718602
CC(C)(C(O)=O)C(O)=O,CC(C)C(O)=O,-0.20441369,-0.04778372
CC(C)(C(O)=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.57085566,-0.64817233
CC(C)(C(O)=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,0.66534575,0.16955891
CC(C)(C(O)=O)C(O)=O,CCOC(C(O)(C)C)=O,-5.2763021,-1.34730349
CC(C)(C(O)=O)C(O)=O,COC(=O)C(C)=C,-1.59274632,-0.36925974
CC(C)(C(O)=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.92188887,0.60077131
CC(C)(C(O)=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-2.97639837,-0.70975112
CC(C)(C(O)=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.83469211,-0.47736076
CC(C)(C(O)=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.75759231,-0.1735179
CC(C)(C(O)=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.35680614,-0.0747831
CC(C)(C(O)=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.24205615,0.05113804
CC(C)(C(O)=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.44656836,0.53913057
CC(C)(C(O)=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.50137578,0.5423466
CC(C)(C(O)=O)C(O)=O,O=C2c1ccccc1CO2,-1.91480575,-0.45057281
CC(C)(C(O)=O)C(O)=O,OCC(O)C(O)C(O)CO,-3.7858039,-1.02703379
CC(C)(C(O)=O)C(O)=O,CCC(CC)C(O)=O,0.13855425,0.03715532
CC(C)(C(O)=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.96378371,-0.47303369
CC(C)(C(O)=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,6.82877615,0.92656908
CC(C)(C(O)=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.52279042,1.14492141
CC(C)(C(O)=O)C(O)=O,COC(=O)c1ccccc1C,-0.13644325,0.00723945
