SMILES0,SMILES,gamma1,gamma2
CC(C)=CC=O,OC(C)C(O)=O,-2.16262419,-0.57016176
CC(C)=CC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.23264315,-0.04790604
CC(C)=CC=O,OCC(O)C,0.21703869,0.05271846
CC(C)=CC=O,O=C1CCO1,0.58268958,0.14061355
CC(C)=CC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.21369387,-0.04535596
CC(C)=CC=O,CCOCC,0.58278404,0.14387605
CC(C)=CC=O,OCC,0.36047418,0.09338416
CC(C)=CC=O,CCCCCC=O,0.17832789,0.0450653
CC(C)=CC=O,CO,0.62412662,0.15503371
CC(C)=CC=O,OC(C)C,0.32663345,0.08440417
CC(C)=CC=O,CC(C)=O,-0.00266401,-0.0005874
CC(C)=CC=O,OCCC,0.13921463,0.04081592
CC(C)=CC=O,OCCCC,0.17663999,0.05461122
CC(C)=CC=O,OCCCCC,0.17257657,0.0545606
CC(C)=CC=O,CC1OC1,-0.00938295,-0.00234027
CC(C)=CC=O,CCC(C)(C)C,1.96540519,0.4773456
CC(C)=CC=O,CC(C)(C)C(C)=O,0.22373427,0.05594997
CC(C)=CC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.43057585,0.10685318
CC(C)=CC=O,COC(C)(C)OC,0.33604732,0.08403934
CC(C)=CC=O,CCC1(CC)CCCCC1,1.91066428,0.47557305
CC(C)=CC=O,CCOC(C)(OCC)OCC,0.4022348,0.10106731
CC(C)=CC=O,CC(C)CCCC(O)(C)CC,0.44576892,0.11508657
CC(C)=CC=O,CCC(C)C,2.01613277,0.48123562
CC(C)=CC=O,CC(=C)C=C,0.34125471,0.0818069
CC(C)=CC=O,CC(=C)C#C,-1.65062668,-0.4008023
CC(C)=CC=O,OCC(C)C,-0.1100081,-0.01501359
CC(C)=CC=O,CC(C)C=O,0.08035049,0.01997613
CC(C)=CC=O,CC(=C)C=O,-0.03992011,-0.00995408
CC(C)=CC=O,CCC(O)C,0.16104482,0.04584107
CC(C)=CC=O,CCC(C)=O,0.03570555,0.0089138
CC(C)=CC=O,COC(C)=O,-0.04746115,-0.01179322
CC(C)=CC=O,CC(C)C(C)C,1.98809525,0.48382021
CC(C)=CC=O,CC(C)C(O)=O,-2.45129626,-0.64371786
CC(C)=CC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.20054049,0.04880648
CC(C)=CC=O,OOC(C)(C)C(CC1)CCC1C,-1.83695393,-0.48312051
CC(C)=CC=O,CCOC(C(O)(C)C)=O,-0.02348743,-0.00510986
CC(C)=CC=O,COC(=O)C(C)=C,-0.0184417,-0.00456587
CC(C)=CC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.27006459,-0.30129137
CC(C)=CC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.25923666,-0.0598412
CC(C)=CC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.03275264,-0.03651732
CC(C)=CC=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.21593822,-0.04894239
CC(C)=CC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.09343025,-0.01805399
CC(C)=CC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.03043465,0.00875048
CC(C)=CC=O,CC(C)CCOC(=O)c1ccccc1O,0.04105241,0.01494297
CC(C)=CC=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.35629322,-0.07775205
CC(C)=CC=O,O=C2c1ccccc1CO2,-0.10506174,-0.02485785
CC(C)=CC=O,OCC(O)C(O)C(O)CO,-0.13931743,-0.03442426
CC(C)=CC=O,CCC(CC)C(O)=O,-2.42542334,-0.6326318
CC(C)=CC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.23734506,-0.30575937
CC(C)=CC=O,COc1cc(C)ccc1C(C)(C)C,0.40453282,0.10457672
CC(C)=CC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.2797556,0.32086204
CC(C)=CC=O,COC(=O)c1ccccc1C,-0.08386755,-0.01910395
CC(C)=CC=O,CC(=O)c1ccc(C)cc1C,0.01979708,0.00620686
CC(C)=CC=O,Cc2c1ccccc1ccc2,-0.06446874,-0.0135792
CC(C)=CC=O,O=C2CCCCC2C1CCCCC1,0.57295606,0.14080554
CC(C)=CC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.37086158,-0.08338459
CC(C)=CC=O,CC(C=O)c1ccccc1,-0.19246413,-0.04737523
CC(C)=CC=O,CCC(O)c1ccccc1,-1.5331667,-0.38340392
CC(C)=CC=O,CCOC(=O)c1ccccc1,-0.06881652,-0.01553695
CC(C)=CC=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.08011536,-0.01281484
CC(C)=CC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.53077565,-0.10967417
CC(C)=CC=O,CCOC(=O)c(cc1)ccc1C,0.03167584,0.00986666
CC(C)=CC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.02347623,-0.00246278
CC(C)=CC=O,O=C(OCCc1ccccc1)c2ccccc2,-0.24936723,-0.0543935
CC(C)=CC=O,CCCc2cc1OCOc1cc2,-0.40451289,-0.09713694
CC(C)=CC=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.06629768,-0.01597032
CC(C)=CC=O,CCCC1CCCCC1=O,0.4269685,0.10691039
CC(C)=CC=O,CCOc1ccc(C=CC)cc1O,-2.31455981,-0.55920961
CC(C)=CC=O,CCCC(O)C(CO)CC,0.3484306,0.07822139
CC(C)=CC=O,Cc(ccc1C)cc1C,0.44535183,0.11330191
CC(C)=CC=O,CCOC(=O)C(OCC)=O,-0.10910545,-0.0266716
CC(C)=CC=O,CC1OC(C(C)OC1=O)=O,-0.48693169,-0.1111409
CC(C)=CC=O,CCCCC(=O)C(C)=O,-0.0318699,-0.00763334
CC(C)=CC=O,C=CCOC(=O)C(C)=C,-0.02351996,-0.00476282
CC(C)=CC=O,C1OC1c2ccccc2,-0.21704248,-0.05417013
CC(C)=CC=O,CCC(C)CC,2.01041689,0.4900252
CC(C)=CC=O,CCC(CC)=O,0.13999546,0.03502665
CC(C)=CC=O,OCC(CO)=O,0.06712793,0.01273462
CC(C)=CC=O,COC(=O)C=C,-0.13296488,-0.03322318
CC(C)=CC=O,COC(CO)=O,-0.2238479,-0.05773902
CC(C)=CC=O,CC1CCCC1,2.03263485,0.48965195
CC(C)=CC=O,CC1CCCO1,0.43413812,0.10841638
CC(C)=CC=O,O=C1CCCO1,0.23841696,0.06037558
CC(C)=CC=O,CCCC(C)C(O)=O,-2.45478991,-0.64037936
CC(C)=CC=O,CCOC(C(C)C)=O,0.2504351,0.06287686
CC(C)=CC=O,CCOC(=O)C(C)=C,0.13966699,0.03571705
CC(C)=CC=O,CCOC(C(O)C)=O,-0.18634078,-0.04610271
CC(C)=CC=O,CC(C)C(OC(C(C)C)=O)=O,0.09801712,0.02468129
CC(C)=CC=O,CC(C)COC(C(C)C)=O,0.48084147,0.11920471
CC(C)=CC=O,CC(C)COC(=O)C(C)=C,0.33769146,0.08509572
CC(C)=CC=O,CCCCOC(C(C)C)=O,0.45771139,0.1134176
CC(C)=CC=O,CCCCOC(=O)C(C)=C,0.33360568,0.08429241
CC(C)=CC=O,CCC(CC)C=O,0.31352512,0.07837173
CC(C)=CC=O,OCC1CCCO1,0.27240463,0.06664863
CC(C)=CC=O,OCc1occc1,-1.33714371,-0.33649864
CC(C)=CC=O,O=Cc1occc1,-0.18393025,-0.04776775
CC(C)=CC=O,CC(C)(C)c1ccccc1,0.41387628,0.10655653
CC(C)=CC=O,OOC(C)(C)c(cc1)ccc1C(C)C,-2.11044564,-0.55861014
CC(C)=CC=O,CC(C)(C)c(cc1)ccc1C,0.5820941,0.14850742
CC(C)=CC=O,OC1CCC(CC1)C(C)(C)C,0.28694139,0.07658939
CC(C)=CC=O,CC(C)(C)C1CCC(CC1)=O,0.30994065,0.07614274
CC(C)=CC=O,CC(C)c1ccccc1,0.36502316,0.09383602
CC(C)=CC=O,COC(=O)c(ccc1)cc1C,-0.07662286,-0.01784027
CC(C)=CC=O,OC1CC(CC=C1C)C(C)=C,-0.63876056,-0.1591137
CC(C)=CC=O,CC(C)c1cc(C(C)C)ccc1,0.66912446,0.16888306
CC(C)=CC=O,CCCC(CCC)C(O)=O,-2.35267304,-0.61676268
CC(C)=CC=O,CC(C=O)c(cc1)ccc1C,-0.10582766,-0.02480063
CC(C)=CC=O,CC1CCC(C(C)C)CC1,1.98966165,0.49412991
CC(C)=CC=O,CC(C)c(cc1)ccc1C,0.53337914,0.13639221
CC(C)=CC=O,C=CC1CC=CCC1,0.67849229,0.17000531
CC(C)=CC=O,CCc1ccccc1,0.28045861,0.071362
CC(C)=CC=O,C=Cc1ccccc1,-0.17172243,-0.04243483
CC(C)=CC=O,OCC1CCCCC1,0.02892206,0.01671081
CC(C)=CC=O,COc1ccccc1,-0.20255788,-0.05077423
CC(C)=CC=O,OCC1CCCCO1,0.3370313,0.07720882
CC(C)=CC=O,OCC(CO1)OC1(C)C,-0.12635874,-0.03113702
CC(C)=CC=O,Cc1cc(C=C)ccc1,-0.00551467,0.00055544
CC(C)=CC=O,COc(ccc1)cc1C,-0.0738425,-0.01772533
CC(C)=CC=O,COC(=O)Cc1ccccc1,-0.20225505,-0.04914265
CC(C)=CC=O,COC(OC)Cc1ccccc1,-0.0774266,-0.01696147
CC(C)=CC=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.38918514,-0.08663687
CC(C)=CC=O,CC(C)COC(=O)Cc1ccccc1,-0.07301295,-0.01482426
CC(C)=CC=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.37481754,-0.08301344
CC(C)=CC=O,CCc1cc(CC)cc(CC)c1,0.80715918,0.20351069
CC(C)=CC=O,CC(=O)Oc(ccc1)cc1O,-3.28194749,-0.86496545
CC(C)=CC=O,COC(OC)CC(OC)OC,0.07694413,0.01876053
CC(C)=CC=O,CCCCC(CC)COC(C)=O,0.44983094,0.10977511
CC(C)=CC=O,CCCCC(CC)COC(=O)C=C,0.38860489,0.09717362
CC(C)=CC=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.3489205,0.06552117
CC(C)=CC=O,COC(CCc1ccccc1)=O,-0.16855323,-0.04054555
CC(C)=CC=O,CC(C)C(OCc1ccccc1)=O,-0.10257657,-0.02316172
CC(C)=CC=O,CCCC(OCc1ccccc1)=O,-0.12070654,-0.02699855
CC(C)=CC=O,CC(C)CC(OCc1ccccc1)=O,-0.09820433,-0.01925164
CC(C)=CC=O,CC(OCCc1ccccc1)=O,-0.14596726,-0.03469125
CC(C)=CC=O,CC(C)C(OCCc1ccccc1)=O,-0.01921055,-0.00130693
CC(C)=CC=O,CC(C)C(OCCOc1ccccc1)=O,-0.30319324,-0.06896887
CC(C)=CC=O,CCCc1ccccc1,0.3819834,0.09816687
CC(C)=CC=O,CC(C)C(=O)Oc(cc1)ccc1C,-0.04849043,-0.01012871
CC(C)=CC=O,CCCc(cc1)ccc1OC,0.08468153,0.02384331
CC(C)=CC=O,CCCCC1OC(CC1)=O,0.06802559,0.01659562
CC(C)=CC=O,CCCCc1ccccc1,0.47601708,0.12236458
CC(C)=CC=O,O=COCc1ccccc1,-0.39947422,-0.09960034
CC(C)=CC=O,CCCCCC1OC(CC1)=O,0.09044463,0.02181731
CC(C)=CC=O,O=COCCc1ccccc1,-0.36353588,-0.08948257
CC(C)=CC=O,CCCCCCCC1OC(CC1)=O,0.14221569,0.03349475
CC(C)=CC=O,CCCCC(CO)CC,-0.15554432,-0.02948208
CC(C)=CC=O,COc(cc1)ccc1C,-0.07342455,-0.01755384
CC(C)=CC=O,CC(C)COC(CCc1occc1)=O,-0.1639759,-0.03626461
CC(C)=CC=O,CCc1ccc(CC)cc1,0.58240562,0.14848259
CC(C)=CC=O,C=Cc1ccc(C=C)cc1,-0.27660809,-0.06647326
CC(C)=CC=O,CCCC1OC(CC1)=O,0.05509061,0.01369748
CC(C)=CC=O,OCC=C(C)C#C,-1.90976713,-0.48910587
CC(C)=CC=O,CCCC(C)CO,-0.11897082,-0.01518375
CC(C)=CC=O,CCCC(O)C#C,-2.71182301,-0.69224877
CC(C)=CC=O,CCOC(CC)=O,0.11635889,0.02886531
CC(C)=CC=O,CCC(OC=C)=O,-0.09043969,-0.02258447
CC(C)=CC=O,CCC(C)CC(C)=O,0.25820429,0.06481428
CC(C)=CC=O,CCC(C)CC(O)=O,-2.49151022,-0.6525197
CC(C)=CC=O,CCC(C)OC(C)=O,0.19874921,0.05008367
CC(C)=CC=O,CCOC(CC(OCC)=O)=O,-0.18537256,-0.04505137
CC(C)=CC=O,CCOC(CCC)=O,0.21442168,0.05386142
CC(C)=CC=O,CCOC(C)OCC,0.41327945,0.10515037
CC(C)=CC=O,CCOC(OCC)=O,0.00748221,0.00209797
CC(C)=CC=O,CCCOC(CCC)=O,0.33069182,0.08304487
CC(C)=CC=O,CC(C)CCOC(CC)=O,0.37153312,0.09242265
CC(C)=CC=O,CCCCOC(=O)C=CC(OCCCC)=O,-0.18916317,-0.04272034
CC(C)=CC=O,O=C1OCCOC(CCCCCCCCCCC1)=O,-0.04660886,-0.0088112
CC(C)=CC=O,CCCCCCCCCCCC(OCCCC)=O,0.77367047,0.17015978
CC(C)=CC=O,OCCC(C)CCCC(C)C,0.09318436,0.02894173
CC(C)=CC=O,CC(C)CCOC(CCC)=O,0.44959534,0.11148987
CC(C)=CC=O,CCCCCCC(OCC)=O,0.43185692,0.10648296
CC(C)=CC=O,CCCC(OC(CCC)=O)=O,-0.00413812,-0.00043113
CC(C)=CC=O,CCCCCCCC(OCC)=O,0.48420189,0.11836115
CC(C)=CC=O,CCCCC(CC)=O,0.31662081,0.07879582
CC(C)=CC=O,CCCOC(CC)=O,0.23262746,0.05847493
CC(C)=CC=O,CC(C)COC(=O)C=C,0.13948992,0.03591275
CC(C)=CC=O,CCCCCC(CC)=O,0.39467967,0.09841767
CC(C)=CC=O,CCCCCC(OC)=O,0.23232371,0.05862507
CC(C)=CC=O,CC(CCC=C(C)C)C=O,0.23593306,0.05974247
CC(C)=CC=O,CCCCCCC(OC)=O,0.30325084,0.0757537
CC(C)=CC=O,CCOCCOC(=O)C=C,-0.09186737,-0.02206138
CC(C)=CC=O,C=CC2CC1OC1CC2,0.19124184,0.04822248
CC(C)=CC=O,C1OC1C3CC2OC2CC3,0.05965538,0.01468953
CC(C)=CC=O,CCC1OC1,0.12935589,0.03215321
CC(C)=CC=O,C=CC(OCC1OC1)=O,-0.14238485,-0.03501993
CC(C)=CC=O,CC(=C)C(OCC1OC1)=O,-0.15880127,-0.03975749
