SMILES0,SMILES,gamma1,gamma2
CC(C)=O,OC(C)C(O)=O,-1.914755,-0.48956724
CC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.19262232,-0.03075221
CC(C)=O,OCC(O)C,0.0684421,0.01047994
CC(C)=O,O=C1CCO1,0.29482997,0.07418356
CC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.30374932,-0.05771913
CC(C)=O,CCOCC,0.58433944,0.14667396
CC(C)=O,OCC,0.34551322,0.08517864
CC(C)=O,CCCCCC=O,0.1411316,0.03668452
CC(C)=O,CO,0.54716647,0.13362453
CC(C)=O,OC(C)C,0.31128708,0.07740112
CC(C)=O,CC(C)=O,0,0
CC(C)=O,OCCC,0.16906242,0.04395437
CC(C)=O,OCCCC,0.19599988,0.05494344
CC(C)=O,OCCCCC,0.19022913,0.05419329
CC(C)=O,CC1OC1,0.05106195,0.01270799
CC(C)=O,CCC(C)(C)C,1.79901369,0.44751002
CC(C)=O,CC(C)(C)C(C)=O,0.19127724,0.04808929
CC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.34349858,0.08612405
CC(C)=O,COC(C)(C)OC,0.30855994,0.07754465
CC(C)=O,CCC1(CC)CCCCC1,1.71509202,0.42739948
CC(C)=O,CCOC(C)(OCC)OCC,0.33373971,0.08370777
CC(C)=O,CC(C)CCCC(O)(C)CC,0.4043308,0.10060052
CC(C)=O,CCC(C)C,1.87328816,0.46202688
CC(C)=O,CC(=C)C=C,0.4186438,0.10673706
CC(C)=O,CC(=C)C#C,-1.3152922,-0.32508617
CC(C)=O,OCC(C)C,-0.04097564,-0.00257915
CC(C)=O,CC(C)C=O,0.08502524,0.02144677
CC(C)=O,CC(=C)C=O,0.00018796,0.000141
CC(C)=O,CCC(O)C,0.1850656,0.0494336
CC(C)=O,CCC(C)=O,0.03322087,0.00838721
CC(C)=O,COC(C)=O,-0.03760126,-0.0093986
CC(C)=O,CC(C)C(C)C,1.82467262,0.45436931
CC(C)=O,CC(C)C(O)=O,-1.94201046,-0.49863481
CC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.1275411,0.03414712
CC(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.48115842,-0.3850317
CC(C)=O,CCOC(C(O)(C)C)=O,-0.03206014,-0.00557378
CC(C)=O,COC(=O)C(C)=C,0.02328655,0.00691674
CC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.96535478,-0.21098139
CC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.28170071,-0.06042028
CC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.04104051,-0.03597998
CC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.25015536,-0.05165525
CC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.13202695,-0.0220397
CC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.03360117,-0.00236802
CC(C)=O,CC(C)CCOC(=O)c1ccccc1O,0.06952278,0.02538048
CC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.31632382,-0.05939203
CC(C)=O,O=C2c1ccccc1CO2,-0.19844608,-0.04660732
CC(C)=O,OCC(O)C(O)C(O)CO,-0.35405496,-0.08884845
CC(C)=O,CCC(CC)C(O)=O,-1.91843336,-0.48849775
CC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.027726,-0.24814566
CC(C)=O,COc1cc(C)ccc1C(C)(C)C,0.37819776,0.1007411
