SMILES0,SMILES,gamma1,gamma2
CC(C1)CC(OC1(C)C)=O,OC(C)C(O)=O,-3.27880043,-0.87865145
CC(C1)CC(OC1(C)C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.05408225,-0.01240793
CC(C1)CC(OC1(C)C)=O,OCC(O)C,-0.24839134,-0.04967303
CC(C1)CC(OC1(C)C)=O,O=C1CCO1,1.099458,0.23242928
CC(C1)CC(OC1(C)C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.31781916,-0.07193097
CC(C1)CC(OC1(C)C)=O,CCOCC,0.45040707,0.10307273
CC(C1)CC(OC1(C)C)=O,OCC,-0.12483904,0.00075638
CC(C1)CC(OC1(C)C)=O,CCCCCC=O,-0.01547979,-0.00397743
CC(C1)CC(OC1(C)C)=O,CO,0.30137656,0.09923364
CC(C1)CC(OC1(C)C)=O,OC(C)C,-0.18791353,-0.02300776
CC(C1)CC(OC1(C)C)=O,CC(C)=O,-0.02783997,-0.00660829
CC(C1)CC(OC1(C)C)=O,OCCC,-0.48846311,-0.08803385
CC(C1)CC(OC1(C)C)=O,OCCCC,-0.4500764,-0.07674475
CC(C1)CC(OC1(C)C)=O,OCCCCC,-0.47227763,-0.0819496
CC(C1)CC(OC1(C)C)=O,CC1OC1,-0.10205067,-0.02366067
CC(C1)CC(OC1(C)C)=O,CCC(C)(C)C,2.01516169,0.45514375
CC(C1)CC(OC1(C)C)=O,CC(C)(C)C(C)=O,0.09533367,0.02303102
CC(C1)CC(OC1(C)C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.34529882,0.08920063
CC(C1)CC(OC1(C)C)=O,COC(C)(C)OC,0.2168265,0.05217875
CC(C1)CC(OC1(C)C)=O,CCC1(CC)CCCCC1,2.00161431,0.48499659
CC(C1)CC(OC1(C)C)=O,CCOC(C)(OCC)OCC,0.33250611,0.08552022
CC(C1)CC(OC1(C)C)=O,CC(C)CCCC(O)(C)CC,-0.01418285,0.02066282
CC(C1)CC(OC1(C)C)=O,CCC(C)C,2.07415399,0.45237577
CC(C1)CC(OC1(C)C)=O,CC(=C)C=C,0.31463878,0.06914665
CC(C1)CC(OC1(C)C)=O,CC(=C)C#C,-2.23280086,-0.49849673
CC(C1)CC(OC1(C)C)=O,OCC(C)C,-0.86301926,-0.17234753
CC(C1)CC(OC1(C)C)=O,CC(C)C=O,-0.06721091,-0.0162005
CC(C1)CC(OC1(C)C)=O,CC(=C)C=O,0.02875431,0.00621212
CC(C1)CC(OC1(C)C)=O,CCC(O)C,-0.43743022,-0.0843099
CC(C1)CC(OC1(C)C)=O,CCC(C)=O,-0.06178124,-0.01485409
CC(C1)CC(OC1(C)C)=O,COC(C)=O,-0.03202147,-0.00852735
CC(C1)CC(OC1(C)C)=O,CC(C)C(C)C,2.05593452,0.46583671
CC(C1)CC(OC1(C)C)=O,CC(C)C(O)=O,-3.97488511,-1.02365355
CC(C1)CC(OC1(C)C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.15181068,0.04020088
CC(C1)CC(OC1(C)C)=O,OOC(C)(C)C(CC1)CCC1C,-3.28544299,-0.81900068
CC(C1)CC(OC1(C)C)=O,CCOC(C(O)(C)C)=O,-0.24716085,-0.05998545
CC(C1)CC(OC1(C)C)=O,COC(=O)C(C)=C,0.00802939,0.00222952
CC(C1)CC(OC1(C)C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.44520668,-0.36384521
CC(C1)CC(OC1(C)C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.11444373,0.02933921
CC(C1)CC(OC1(C)C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.61564561,-0.14815106
CC(C1)CC(OC1(C)C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.11501852,-0.02735107
CC(C1)CC(OC1(C)C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.10962176,-0.02439058
CC(C1)CC(OC1(C)C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.03070329,-0.00221193
CC(C1)CC(OC1(C)C)=O,CC(C)CCOC(=O)c1ccccc1O,0.01658025,0.0065045
CC(C1)CC(OC1(C)C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.25945943,-0.06255241
CC(C1)CC(OC1(C)C)=O,O=C2c1ccccc1CO2,0.26164841,0.06283903
CC(C1)CC(OC1(C)C)=O,OCC(O)C(O)C(O)CO,-0.47214988,-0.11593128
CC(C1)CC(OC1(C)C)=O,CCC(CC)C(O)=O,-4.04599622,-1.03182639
CC(C1)CC(OC1(C)C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.10291915,-0.50302612
CC(C1)CC(OC1(C)C)=O,COc1cc(C)ccc1C(C)(C)C,0.37999573,0.09737236
CC(C1)CC(OC1(C)C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.32084048,0.33855489
CC(C1)CC(OC1(C)C)=O,COC(=O)c1ccccc1C,0.01376575,0.00387595
CC(C1)CC(OC1(C)C)=O,CC(=O)c1ccc(C)cc1C,0.10026782,0.02517616
CC(C1)CC(OC1(C)C)=O,Cc2c1ccccc1ccc2,0.03516635,0.00904969
CC(C1)CC(OC1(C)C)=O,O=C2CCCCC2C1CCCCC1,0.42658413,0.10770182
CC(C1)CC(OC1(C)C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.15551903,-0.03647522
CC(C1)CC(OC1(C)C)=O,CC(C=O)c1ccccc1,-0.12277984,-0.03080507
CC(C1)CC(OC1(C)C)=O,CCC(O)c1ccccc1,-2.37261929,-0.56880139
CC(C1)CC(OC1(C)C)=O,CCOC(=O)c1ccccc1,0.04077651,0.01056553
CC(C1)CC(OC1(C)C)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.02134991,-0.00307685
CC(C1)CC(OC1(C)C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.28751653,-0.06441155
CC(C1)CC(OC1(C)C)=O,CCOC(=O)c(cc1)ccc1C,0.11606899,0.02937744
CC(C1)CC(OC1(C)C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.08444461,-0.01825199
CC(C1)CC(OC1(C)C)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.09565259,-0.02290888
CC(C1)CC(OC1(C)C)=O,CCCc2cc1OCOc1cc2,-0.59390216,-0.14874169
CC(C1)CC(OC1(C)C)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.11856848,-0.02945951
CC(C1)CC(OC1(C)C)=O,CCCC1CCCCC1=O,0.29250802,0.07400311
CC(C1)CC(OC1(C)C)=O,CCOc1ccc(C=CC)cc1O,-3.34928883,-0.75277213
CC(C1)CC(OC1(C)C)=O,CCCC(O)C(CO)CC,-0.05156317,-0.01053231
CC(C1)CC(OC1(C)C)=O,Cc(ccc1C)cc1C,0.4753276,0.11638666
CC(C1)CC(OC1(C)C)=O,CCOC(=O)C(OCC)=O,-0.05031477,-0.01240393
CC(C1)CC(OC1(C)C)=O,CC1OC(C(C)OC1=O)=O,-0.52789999,-0.13152212
CC(C1)CC(OC1(C)C)=O,CCCCC(=O)C(C)=O,-0.1758034,-0.0442745
CC(C1)CC(OC1(C)C)=O,C=CCOC(=O)C(C)=C,0.042642,0.01099264
CC(C1)CC(OC1(C)C)=O,C1OC1c2ccccc2,-0.08382339,-0.02104982
CC(C1)CC(OC1(C)C)=O,CCC(C)CC,2.09915512,0.47819214
CC(C1)CC(OC1(C)C)=O,CCC(CC)=O,0.01253547,0.00282018
CC(C1)CC(OC1(C)C)=O,OCC(CO)=O,0.05613856,-0.01812708
CC(C1)CC(OC1(C)C)=O,COC(=O)C=C,-0.040364,-0.01002423
CC(C1)CC(OC1(C)C)=O,COC(CO)=O,-0.34466749,-0.09672167
CC(C1)CC(OC1(C)C)=O,CC1CCCC1,2.03304092,0.44992748
CC(C1)CC(OC1(C)C)=O,CC1CCCO1,0.25287239,0.0591954
CC(C1)CC(OC1(C)C)=O,O=C1CCCO1,0.37701282,0.09292732
CC(C1)CC(OC1(C)C)=O,CCCC(C)C(O)=O,-4.07911048,-1.04410108
CC(C1)CC(OC1(C)C)=O,CCOC(C(C)C)=O,0.15375434,0.03780498
CC(C1)CC(OC1(C)C)=O,CCOC(=O)C(C)=C,0.14720867,0.03651133
CC(C1)CC(OC1(C)C)=O,CCOC(C(O)C)=O,-0.42805848,-0.1049458
CC(C1)CC(OC1(C)C)=O,CC(C)C(OC(C(C)C)=O)=O,0.02743657,0.00712834
CC(C1)CC(OC1(C)C)=O,CC(C)COC(C(C)C)=O,0.3996147,0.09978802
CC(C1)CC(OC1(C)C)=O,CC(C)COC(=O)C(C)=C,0.32772632,0.08194797
CC(C1)CC(OC1(C)C)=O,CCCCOC(C(C)C)=O,0.36992826,0.09256695
CC(C1)CC(OC1(C)C)=O,CCCCOC(=O)C(C)=C,0.31396632,0.07876842
CC(C1)CC(OC1(C)C)=O,CCC(CC)C=O,0.17334715,0.04166699
CC(C1)CC(OC1(C)C)=O,OCC1CCCO1,0.02505,0.00568555
CC(C1)CC(OC1(C)C)=O,OCc1occc1,-1.82749666,-0.443848
CC(C1)CC(OC1(C)C)=O,O=Cc1occc1,0.16123428,0.02423292
CC(C1)CC(OC1(C)C)=O,CC(C)(C)c1ccccc1,0.39856395,0.09902634
CC(C1)CC(OC1(C)C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-3.2736626,-0.84134147
CC(C1)CC(OC1(C)C)=O,CC(C)(C)c(cc1)ccc1C,0.58636643,0.14720545
CC(C1)CC(OC1(C)C)=O,OC1CCC(CC1)C(C)(C)C,-0.28324922,-0.04557538
CC(C1)CC(OC1(C)C)=O,CC(C)(C)C1CCC(CC1)=O,0.1836337,0.04607277
CC(C1)CC(OC1(C)C)=O,CC(C)c1ccccc1,0.36350053,0.08931225
CC(C1)CC(OC1(C)C)=O,COC(=O)c(ccc1)cc1C,0.03294864,0.00822229
CC(C1)CC(OC1(C)C)=O,OC1CC(CC=C1C)C(C)=C,-1.2881371,-0.30881648
CC(C1)CC(OC1(C)C)=O,CC(C)c1cc(C(C)C)ccc1,0.68329168,0.17205844
CC(C1)CC(OC1(C)C)=O,CCCC(CCC)C(O)=O,-3.99348031,-1.02299846
CC(C1)CC(OC1(C)C)=O,CC(C=O)c(cc1)ccc1C,-0.08375917,-0.02059344
CC(C1)CC(OC1(C)C)=O,CC1CCC(C(C)C)CC1,2.04038966,0.49845828
CC(C1)CC(OC1(C)C)=O,CC(C)c(cc1)ccc1C,0.54212796,0.13506618
CC(C1)CC(OC1(C)C)=O,C=CC1CC=CCC1,0.61412074,0.14608569
CC(C1)CC(OC1(C)C)=O,CCc1ccccc1,0.27991004,0.06721817
CC(C1)CC(OC1(C)C)=O,C=Cc1ccccc1,-0.09014467,-0.02218036
CC(C1)CC(OC1(C)C)=O,OCC1CCCCC1,-0.73159913,-0.14969559
CC(C1)CC(OC1(C)C)=O,COc1ccccc1,-0.15075118,-0.0371188
CC(C1)CC(OC1(C)C)=O,OCC1CCCCO1,0.01435609,-0.00345249
CC(C1)CC(OC1(C)C)=O,OCC(CO1)OC1(C)C,-0.46446794,-0.11559365
CC(C1)CC(OC1(C)C)=O,Cc1cc(C=C)ccc1,0.04613263,0.011612
CC(C1)CC(OC1(C)C)=O,COc(ccc1)cc1C,-0.06666147,-0.01668301
CC(C1)CC(OC1(C)C)=O,COC(=O)Cc1ccccc1,-0.07985976,-0.01974876
CC(C1)CC(OC1(C)C)=O,COC(OC)Cc1ccccc1,-0.04067108,-0.0093163
CC(C1)CC(OC1(C)C)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.26540952,-0.06269405
CC(C1)CC(OC1(C)C)=O,CC(C)COC(=O)Cc1ccccc1,-0.07591084,-0.01768482
CC(C1)CC(OC1(C)C)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.2119702,-0.04893971
CC(C1)CC(OC1(C)C)=O,CCc1cc(CC)cc(CC)c1,0.83365999,0.21129478
CC(C1)CC(OC1(C)C)=O,CC(=O)Oc(ccc1)cc1O,-4.52630251,-1.219255
CC(C1)CC(OC1(C)C)=O,COC(OC)CC(OC)OC,0.01378794,0.00331579
CC(C1)CC(OC1(C)C)=O,CCCCC(CC)COC(C)=O,0.36719506,0.09339609
CC(C1)CC(OC1(C)C)=O,CCCCC(CC)COC(=O)C=C,0.34303996,0.08909509
