SMILES0,SMILES,gamma1,gamma2
CC(C1)OC(CC1(C)C)=O,OC(C)C(O)=O,-2.47025696,-0.66229918
CC(C1)OC(CC1(C)C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.06857105,0.01687756
CC(C1)OC(CC1(C)C)=O,OCC(O)C,0.1526453,0.04432956
CC(C1)OC(CC1(C)C)=O,O=C1CCO1,1.1567938,0.24976707
CC(C1)OC(CC1(C)C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.24582982,-0.05599248
CC(C1)OC(CC1(C)C)=O,CCOCC,0.45055915,0.10432813
CC(C1)OC(CC1(C)C)=O,OCC,0.23111614,0.07532978
CC(C1)OC(CC1(C)C)=O,CCCCCC=O,0.0236235,0.00560167
CC(C1)OC(CC1(C)C)=O,CO,0.66693934,0.17406823
CC(C1)OC(CC1(C)C)=O,OC(C)C,0.12689664,0.04459176
CC(C1)OC(CC1(C)C)=O,CC(C)=O,-0.02490556,-0.00562509
CC(C1)OC(CC1(C)C)=O,OCCC,-0.1075452,-0.00567768
CC(C1)OC(CC1(C)C)=O,OCCCC,-0.09120719,0.0009856
CC(C1)OC(CC1(C)C)=O,OCCCCC,-0.11623694,-0.00435868
CC(C1)OC(CC1(C)C)=O,CC1OC1,-0.08413072,-0.01950982
CC(C1)OC(CC1(C)C)=O,CCC(C)(C)C,2.02592196,0.45947638
CC(C1)OC(CC1(C)C)=O,CC(C)(C)C(C)=O,0.10802668,0.02633485
CC(C1)OC(CC1(C)C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.38365328,0.09801387
CC(C1)OC(CC1(C)C)=O,COC(C)(C)OC,0.22676147,0.05492041
CC(C1)OC(CC1(C)C)=O,CCC1(CC)CCCCC1,2.01220571,0.48759543
CC(C1)OC(CC1(C)C)=O,CCOC(C)(OCC)OCC,0.3434019,0.08823744
CC(C1)OC(CC1(C)C)=O,CC(C)CCCC(O)(C)CC,0.2416652,0.07698655
CC(C1)OC(CC1(C)C)=O,CCC(C)C,2.08410797,0.45717843
CC(C1)OC(CC1(C)C)=O,CC(=C)C=C,0.39447364,0.08816491
CC(C1)OC(CC1(C)C)=O,CC(=C)C#C,-1.9028343,-0.42479426
CC(C1)OC(CC1(C)C)=O,OCC(C)C,-0.45743095,-0.08335758
CC(C1)OC(CC1(C)C)=O,CC(C)C=O,-0.04235356,-0.01034917
CC(C1)OC(CC1(C)C)=O,CC(=C)C=O,0.082661,0.01899574
CC(C1)OC(CC1(C)C)=O,CCC(O)C,-0.10461545,-0.01073042
CC(C1)OC(CC1(C)C)=O,CCC(C)=O,-0.04686054,-0.01131024
CC(C1)OC(CC1(C)C)=O,COC(C)=O,0.00540212,0.00028451
CC(C1)OC(CC1(C)C)=O,CC(C)C(C)C,2.06603034,0.47001348
CC(C1)OC(CC1(C)C)=O,CC(C)C(O)=O,-3.16901378,-0.80615335
CC(C1)OC(CC1(C)C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.19489235,0.0500162
CC(C1)OC(CC1(C)C)=O,OOC(C)(C)C(CC1)CCC1C,-2.63160124,-0.65415032
CC(C1)OC(CC1(C)C)=O,CCOC(C(O)(C)C)=O,-0.13255963,-0.03240405
CC(C1)OC(CC1(C)C)=O,COC(=O)C(C)=C,0.07258287,0.01789429
CC(C1)OC(CC1(C)C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.16955357,-0.29542363
CC(C1)OC(CC1(C)C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.23362059,0.05769027
CC(C1)OC(CC1(C)C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.30090631,-0.07689714
CC(C1)OC(CC1(C)C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.03317521,-0.00784434
CC(C1)OC(CC1(C)C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.03880344,-0.00828079
CC(C1)OC(CC1(C)C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.03225359,0.01082311
CC(C1)OC(CC1(C)C)=O,CC(C)CCOC(=O)c1ccccc1O,0.12013811,0.03142156
CC(C1)OC(CC1(C)C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.12714003,-0.03086433
CC(C1)OC(CC1(C)C)=O,O=C2c1ccccc1CO2,0.38308509,0.09261463
CC(C1)OC(CC1(C)C)=O,OCC(O)C(O)C(O)CO,-0.11238517,-0.02951042
CC(C1)OC(CC1(C)C)=O,CCC(CC)C(O)=O,-3.24459119,-0.81766836
CC(C1)OC(CC1(C)C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.61547779,-0.38803287
CC(C1)OC(CC1(C)C)=O,COc1cc(C)ccc1C(C)(C)C,0.45201802,0.11474435
CC(C1)OC(CC1(C)C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.34909614,0.34397092
