SMILES0,SMILES,gamma1,gamma2
CC(C1CC1)=O,OC(C)C(O)=O,-1.52338783,-0.40187767
CC(C1CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.22115443,-0.04813375
CC(C1CC1)=O,OCC(O)C,0.36129216,0.08502436
CC(C1CC1)=O,O=C1CCO1,0.80503805,0.19901899
CC(C1CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.24402844,-0.05165021
CC(C1CC1)=O,CCOCC,0.3706556,0.09213443
CC(C1CC1)=O,OCC,0.40724201,0.10034139
CC(C1CC1)=O,CCCCCC=O,0.07225321,0.01820281
CC(C1CC1)=O,CO,0.7462322,0.17924296
CC(C1CC1)=O,OC(C)C,0.30649949,0.0758939
CC(C1CC1)=O,CC(C)=O,0.00726672,0.00210485
CC(C1CC1)=O,OCCC,0.15323408,0.03907788
CC(C1CC1)=O,OCCCC,0.14274693,0.03990891
CC(C1CC1)=O,OCCCCC,0.1099191,0.0317438
CC(C1CC1)=O,CC1OC1,-0.02986204,-0.00733762
CC(C1CC1)=O,CCC(C)(C)C,1.48610198,0.36395178
CC(C1CC1)=O,CC(C)(C)C(C)=O,0.09921123,0.02482467
CC(C1CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.22504383,0.05538584
CC(C1CC1)=O,COC(C)(C)OC,0.18932248,0.0474427
CC(C1CC1)=O,CCC1(CC)CCCCC1,1.42902418,0.35468595
CC(C1CC1)=O,CCOC(C)(OCC)OCC,0.21641742,0.05446066
CC(C1CC1)=O,CC(C)CCCC(O)(C)CC,0.25238684,0.06171927
CC(C1CC1)=O,CCC(C)C,1.53166535,0.37012487
CC(C1CC1)=O,CC(=C)C=C,0.21504775,0.05288705
CC(C1CC1)=O,CC(=C)C#C,-1.36394958,-0.34148592
CC(C1CC1)=O,OCC(C)C,-0.10537232,-0.02133689
CC(C1CC1)=O,CC(C)C=O,0.02059936,0.00519655
CC(C1CC1)=O,CC(=C)C=O,0.00560897,0.00129228
CC(C1CC1)=O,CCC(O)C,0.11824796,0.03100651
CC(C1CC1)=O,CCC(C)=O,0.00013403,3.689e-05
CC(C1CC1)=O,COC(C)=O,0.0085259,0.00202067
CC(C1CC1)=O,CC(C)C(C)C,1.50520849,0.36936326
CC(C1CC1)=O,CC(C)C(O)=O,-2.02429003,-0.52774384
CC(C1CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.04519618,0.01116502
CC(C1CC1)=O,OOC(C)(C)C(CC1)CCC1C,-1.66914597,-0.44286886
CC(C1CC1)=O,CCOC(C(O)(C)C)=O,-0.06120465,-0.01474055
CC(C1CC1)=O,COC(=O)C(C)=C,-0.01556248,-0.00384735
CC(C1CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.06287956,-0.2491908
CC(C1CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.09660282,-0.02161628
CC(C1CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.21945256,-0.07513809
CC(C1CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.17403165,-0.03948091
CC(C1CC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.16347776,-0.03488618
CC(C1CC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.10447753,-0.021529
CC(C1CC1)=O,CC(C)CCOC(=O)c1ccccc1O,-0.04331016,-0.00791433
CC(C1CC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.29704078,-0.06593653
CC(C1CC1)=O,O=C2c1ccccc1CO2,0.12441594,0.03254497
CC(C1CC1)=O,OCC(O)C(O)C(O)CO,0.09342678,0.02247179
CC(C1CC1)=O,CCC(CC)C(O)=O,-2.08470976,-0.54167189
CC(C1CC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.12951526,-0.28229111
CC(C1CC1)=O,COc1cc(C)ccc1C(C)(C)C,0.21567793,0.05534769
CC(C1CC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,0.89896686,0.22285703
CC(C1CC1)=O,COC(=O)c1ccccc1C,-0.0670795,-0.01581256
CC(C1CC1)=O,CC(=O)c1ccc(C)cc1C,-0.01673783,-0.0036389
CC(C1CC1)=O,Cc2c1ccccc1ccc2,-0.07459481,-0.01721172
CC(C1CC1)=O,O=C2CCCCC2C1CCCCC1,0.3365706,0.08132332
CC(C1CC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.24030957,-0.0532983
CC(C1CC1)=O,CC(C=O)c1ccccc1,-0.12329062,-0.03020895
CC(C1CC1)=O,CCC(O)c1ccccc1,-1.30407181,-0.33193688
CC(C1CC1)=O,CCOC(=O)c1ccccc1,-0.05492371,-0.01297599
CC(C1CC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.13335601,-0.02780657
CC(C1CC1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.38045491,-0.07831346
CC(C1CC1)=O,CCOC(=O)c(cc1)ccc1C,-0.00983267,-0.00156448
CC(C1CC1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.12173125,-0.0295074
CC(C1CC1)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.20422618,-0.04561233
CC(C1CC1)=O,CCCc2cc1OCOc1cc2,-0.37195598,-0.08979554
CC(C1CC1)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.08412061,-0.02002877
CC(C1CC1)=O,CCCC1CCCCC1=O,0.23248302,0.05770562
CC(C1CC1)=O,CCOc1ccc(C=CC)cc1O,-1.99866663,-0.49645908
CC(C1CC1)=O,CCCC(O)C(CO)CC,0.24381187,0.04907982
CC(C1CC1)=O,Cc(ccc1C)cc1C,0.27576815,0.07014017
CC(C1CC1)=O,CCOC(=O)C(OCC)=O,-0.05444613,-0.01336058
CC(C1CC1)=O,CC1OC(C(C)OC1=O)=O,-0.12954852,-0.0188022
CC(C1CC1)=O,CCCCC(=O)C(C)=O,-0.06095139,-0.01504275
CC(C1CC1)=O,C=CCOC(=O)C(C)=C,-0.02847415,-0.00656081
CC(C1CC1)=O,C1OC1c2ccccc2,-0.11136407,-0.02758745
CC(C1CC1)=O,CCC(C)CC,1.52430613,0.37417803
CC(C1CC1)=O,CCC(CC)=O,0.04817653,0.01204711
CC(C1CC1)=O,OCC(CO)=O,0.51781652,0.1262175
CC(C1CC1)=O,COC(=O)C=C,-0.03412298,-0.00864406
CC(C1CC1)=O,COC(CO)=O,0.05137548,0.01158072
CC(C1CC1)=O,CC1CCCC1,1.54318824,0.37556211
CC(C1CC1)=O,CC1CCCO1,0.25384039,0.06360667
CC(C1CC1)=O,O=C1CCCO1,0.29864883,0.07655941
CC(C1CC1)=O,CCCC(C)C(O)=O,-2.10840812,-0.54702662
CC(C1CC1)=O,CCOC(C(C)C)=O,0.12252819,0.03068429
CC(C1CC1)=O,CCOC(=O)C(C)=C,0.06726999,0.01723781
CC(C1CC1)=O,CCOC(C(O)C)=O,-0.14848211,-0.03682272
CC(C1CC1)=O,CC(C)C(OC(C(C)C)=O)=O,0.00057617,0.00057245
CC(C1CC1)=O,CC(C)COC(C(C)C)=O,0.27843491,0.06810228
CC(C1CC1)=O,CC(C)COC(=O)C(C)=C,0.18557536,0.04622355
CC(C1CC1)=O,CCCCOC(C(C)C)=O,0.26140263,0.0639622
CC(C1CC1)=O,CCCCOC(=O)C(C)=C,0.18234296,0.04556439
CC(C1CC1)=O,CCC(CC)C=O,0.1597581,0.03990994
