SMILES0,SMILES,gamma1,gamma2
CC(CC(O)=O)C(O)=O,OC(C)C(O)=O,-0.0325712,-0.01101933
CC(CC(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.65544483,1.07435253
CC(CC(O)=O)C(O)=O,OCC(O)C,-2.35064037,-0.60939424
CC(CC(O)=O)C(O)=O,O=C1CCO1,0.30495939,0.06483157
CC(CC(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.24233228,0.03856885
CC(CC(O)=O)C(O)=O,CCOCC,-3.95241986,-0.68417236
CC(CC(O)=O)C(O)=O,OCC,-3.26827356,-0.73952423
CC(CC(O)=O)C(O)=O,CCCCCC=O,-0.74320339,-0.08552724
CC(CC(O)=O)C(O)=O,CO,-3.54453066,-0.79203884
CC(CC(O)=O)C(O)=O,OC(C)C,-3.238331,-0.73367129
CC(CC(O)=O)C(O)=O,CC(C)=O,-4.45475028,-1.06850375
CC(CC(O)=O)C(O)=O,OCCC,-2.38938449,-0.53268452
CC(CC(O)=O)C(O)=O,OCCCC,-2.24350105,-0.49094648
CC(CC(O)=O)C(O)=O,OCCCCC,-1.93515501,-0.41507774
CC(CC(O)=O)C(O)=O,CC1OC1,-3.27457599,-0.64369508
CC(CC(O)=O)C(O)=O,CCC(C)(C)C,11.82774609,1.39623398
CC(CC(O)=O)C(O)=O,CC(C)(C)C(C)=O,-2.59650369,-0.5482841
CC(CC(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.68396217,-0.21433463
CC(CC(O)=O)C(O)=O,COC(C)(C)OC,-3.70047865,-0.85529438
CC(CC(O)=O)C(O)=O,CCC1(CC)CCCCC1,11.77195966,1.51553254
CC(CC(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-4.44165239,-1.28297424
CC(CC(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-1.87732844,-0.38482535
CC(CC(O)=O)C(O)=O,CCC(C)C,11.94422444,1.36047042
CC(CC(O)=O)C(O)=O,CC(=C)C=C,8.48347423,0.88632169
CC(CC(O)=O)C(O)=O,CC(=C)C#C,5.79312702,0.54629374
CC(CC(O)=O)C(O)=O,OCC(C)C,-1.63128361,-0.35110054
CC(CC(O)=O)C(O)=O,CC(C)C=O,-1.31596256,-0.2315255
CC(CC(O)=O)C(O)=O,CC(=C)C=O,-1.74061874,-0.34029961
CC(CC(O)=O)C(O)=O,CCC(O)C,-2.41726894,-0.52936552
