SMILES0,SMILES,gamma1,gamma2
CC(CC(O)=O)CC(O)=O,OC(C)C(O)=O,0.00865126,-0.00281397
CC(CC(O)=O)CC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.4968985,1.00854667
CC(CC(O)=O)CC(O)=O,OCC(O)C,-2.13236639,-0.54732586
CC(CC(O)=O)CC(O)=O,O=C1CCO1,0.63271514,0.14672762
CC(CC(O)=O)CC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.36304746,0.08096036
CC(CC(O)=O)CC(O)=O,CCOCC,-3.77842517,-0.64973901
CC(CC(O)=O)CC(O)=O,OCC,-3.07695834,-0.69577304
CC(CC(O)=O)CC(O)=O,CCCCCC=O,-0.63752312,-0.0696148
CC(CC(O)=O)CC(O)=O,CO,-3.29475867,-0.72775377
CC(CC(O)=O)CC(O)=O,OC(C)C,-3.06222337,-0.69559266
CC(CC(O)=O)CC(O)=O,CC(C)=O,-4.27981535,-0.99777974
CC(CC(O)=O)CC(O)=O,OCCC,-2.25635014,-0.50692473
CC(CC(O)=O)CC(O)=O,OCCCC,-2.11112617,-0.46783166
CC(CC(O)=O)CC(O)=O,OCCCCC,-1.81003189,-0.39424631
CC(CC(O)=O)CC(O)=O,CC1OC1,-3.14772912,-0.60717882
CC(CC(O)=O)CC(O)=O,CCC(C)(C)C,11.46163665,1.28578374
CC(CC(O)=O)CC(O)=O,CC(C)(C)C(C)=O,-2.45243409,-0.50520019
CC(CC(O)=O)CC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.49173237,-0.16609411
CC(CC(O)=O)CC(O)=O,COC(C)(C)OC,-3.52520001,-0.79498365
CC(CC(O)=O)CC(O)=O,CCC1(CC)CCCCC1,11.42512609,1.41120584
CC(CC(O)=O)CC(O)=O,CCOC(C)(OCC)OCC,-4.20773066,-1.17182515
CC(CC(O)=O)CC(O)=O,CC(C)CCCC(O)(C)CC,-1.70635105,-0.34492439
CC(CC(O)=O)CC(O)=O,CCC(C)C,11.56718041,1.24777877
CC(CC(O)=O)CC(O)=O,CC(=C)C=C,8.23285027,0.79834702
CC(CC(O)=O)CC(O)=O,CC(=C)C#C,5.48981806,0.46333747
CC(CC(O)=O)CC(O)=O,OCC(C)C,-1.55411316,-0.34070792
CC(CC(O)=O)CC(O)=O,CC(C)C=O,-1.21518014,-0.21396244
CC(CC(O)=O)CC(O)=O,CC(=C)C=O,-1.60230401,-0.3064435
CC(CC(O)=O)CC(O)=O,CCC(O)C,-2.28640033,-0.5047507
CC(CC(O)=O)CC(O)=O,CCC(C)=O,-3.64332871,-0.83752649
CC(CC(O)=O)CC(O)=O,COC(C)=O,-1.82243689,-0.38579153
CC(CC(O)=O)CC(O)=O,CC(C)C(C)C,11.51879088,1.29839307
CC(CC(O)=O)CC(O)=O,CC(C)C(O)=O,0.20993334,0.05122296
CC(CC(O)=O)CC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.4702937,-0.07316129
CC(CC(O)=O)CC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.50501114,0.3660682
CC(CC(O)=O)CC(O)=O,CCOC(C(O)(C)C)=O,-3.10488114,-0.71363751
CC(CC(O)=O)CC(O)=O,COC(=O)C(C)=C,0.09218491,0.04054891
CC(CC(O)=O)CC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.06817381,0.76129489
CC(CC(O)=O)CC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.12071452,-0.22428729
CC(CC(O)=O)CC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.43917681,0.09228447
CC(CC(O)=O)CC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.83322007,0.20872004
CC(CC(O)=O)CC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.37084613,0.33729859
CC(CC(O)=O)CC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.02359817,0.46892266
CC(CC(O)=O)CC(O)=O,CC(C)CCOC(=O)c1ccccc1O,4.12161122,0.818755
CC(CC(O)=O)CC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.04056378,0.78407295
CC(CC(O)=O)CC(O)=O,O=C2c1ccccc1CO2,-0.35863866,-0.05675735
CC(CC(O)=O)CC(O)=O,OCC(O)C(O)C(O)CO,-2.05185491,-0.54896412
CC(CC(O)=O)CC(O)=O,CCC(CC)C(O)=O,0.62681947,0.15720213
CC(CC(O)=O)CC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.27549908,-0.05876541
