SMILES0,SMILES,gamma1,gamma2
CC(CCC(C)=O)=O,OC(C)C(O)=O,-2.02957018,-0.50368963
CC(CCC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.34269432,0.09444254
CC(CCC(C)=O)=O,OCC(O)C,0.67307348,0.16835513
CC(CCC(C)=O)=O,O=C1CCO1,0.32314639,0.07098462
CC(CCC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.04748491,0.01468518
CC(CCC(C)=O)=O,CCOCC,1.08591176,0.25921367
CC(CCC(C)=O)=O,OCC,0.98809877,0.23556832
CC(CCC(C)=O)=O,CCCCCC=O,0.45085028,0.11286152
CC(CCC(C)=O)=O,CO,1.14093926,0.27105933
CC(CCC(C)=O)=O,OC(C)C,0.98521624,0.23585176
CC(CCC(C)=O)=O,CC(C)=O,-0.08193026,-0.01957629
CC(CCC(C)=O)=O,OCCC,0.85657513,0.21092333
CC(CCC(C)=O)=O,OCCCC,0.94663225,0.24234185
CC(CCC(C)=O)=O,OCCCCC,0.99771296,0.26164408
CC(CCC(C)=O)=O,CC1OC1,0.06283232,0.01396138
CC(CCC(C)=O)=O,CCC(C)(C)C,3.23529464,0.75200764
CC(CCC(C)=O)=O,CC(C)(C)C(C)=O,0.49022464,0.12162101
CC(CCC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.03786225,0.26284783
CC(CCC(C)=O)=O,COC(C)(C)OC,0.70584672,0.17360545
CC(CCC(C)=O)=O,CCC1(CC)CCCCC1,3.20377871,0.78450119
CC(CCC(C)=O)=O,CCOC(C)(OCC)OCC,0.89026846,0.2267641
CC(CCC(C)=O)=O,CC(C)CCCC(O)(C)CC,1.40342326,0.36507678
CC(CCC(C)=O)=O,CCC(C)C,3.31348718,0.74928105
CC(CCC(C)=O)=O,CC(=C)C=C,0.9841069,0.22383299
CC(CCC(C)=O)=O,CC(=C)C#C,-1.51940787,-0.31646997
CC(CCC(C)=O)=O,OCC(C)C,0.6416198,0.1743287
CC(CCC(C)=O)=O,CC(C)C=O,0.20526461,0.0487745
CC(CCC(C)=O)=O,CC(=C)C=O,0.10801546,0.02581612
CC(CCC(C)=O)=O,CCC(O)C,0.89705992,0.22344796
CC(CCC(C)=O)=O,CCC(C)=O,0.0938363,0.0227416
CC(CCC(C)=O)=O,COC(C)=O,-0.03292954,-0.0080537
CC(CCC(C)=O)=O,CC(C)C(C)C,3.27873558,0.76412354
CC(CCC(C)=O)=O,CC(C)C(O)=O,-1.87492491,-0.45204638
CC(CCC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.71818531,0.18033864
CC(CCC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,-1.08703986,-0.23930607
CC(CCC(C)=O)=O,CCOC(C(O)(C)C)=O,0.31734702,0.08095926
CC(CCC(C)=O)=O,COC(=O)C(C)=C,0.2896636,0.0710535
CC(CCC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.73576912,-0.17796021
CC(CCC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.05818307,0.01481024
CC(CCC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.01297481,0.22541994
CC(CCC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.04702563,0.01434739
CC(CCC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.34476734,0.08762051
CC(CCC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.57069248,0.13604003
CC(CCC(C)=O)=O,CC(C)CCOC(=O)c1ccccc1O,0.68657188,0.17905615
CC(CCC(C)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.10538056,0.03595797
CC(CCC(C)=O)=O,O=C2c1ccccc1CO2,-0.04089704,-0.01009906
CC(CCC(C)=O)=O,OCC(O)C(O)C(O)CO,0.00674398,-0.00549625
CC(CCC(C)=O)=O,CCC(CC)C(O)=O,-1.7083277,-0.39914783
CC(CCC(C)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.51474238,-0.10551109
CC(CCC(C)=O)=O,COc1cc(C)ccc1C(C)(C)C,1.12788693,0.28927079
CC(CCC(C)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.35982076,0.59779293
CC(CCC(C)=O)=O,COC(=O)c1ccccc1C,0.35886654,0.09286054
CC(CCC(C)=O)=O,CC(=O)c1ccc(C)cc1C,0.44769187,0.11429042
CC(CCC(C)=O)=O,Cc2c1ccccc1ccc2,0.47005669,0.12119377
CC(CCC(C)=O)=O,O=C2CCCCC2C1CCCCC1,1.09184426,0.27450354
CC(CCC(C)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.12647699,-0.02758742
CC(CCC(C)=O)=O,CC(C=O)c1ccccc1,0.02096714,0.00643772
CC(CCC(C)=O)=O,CCC(O)c1ccccc1,-1.00407205,-0.21969758
CC(CCC(C)=O)=O,CCOC(=O)c1ccccc1,0.3691681,0.0952129
CC(CCC(C)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.46426212,0.12453228
CC(CCC(C)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.12199235,-0.02204752
CC(CCC(C)=O)=O,CCOC(=O)c(cc1)ccc1C,0.51693528,0.1328553
CC(CCC(C)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.37608231,0.07549213
CC(CCC(C)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,0.18843276,0.05381672
CC(CCC(C)=O)=O,CCCc2cc1OCOc1cc2,-0.02095059,0.00206982
CC(CCC(C)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.07844015,0.01967493
CC(CCC(C)=O)=O,CCCC1CCCCC1=O,0.84709389,0.21426999
CC(CCC(C)=O)=O,CCOc1ccc(C=CC)cc1O,-1.87595461,-0.40762931
CC(CCC(C)=O)=O,CCCC(O)C(CO)CC,1.10006693,0.26794467
CC(CCC(C)=O)=O,Cc(ccc1C)cc1C,1.15322314,0.28660942
CC(CCC(C)=O)=O,CCOC(=O)C(OCC)=O,-0.01695253,-0.00409091
CC(CCC(C)=O)=O,CC1OC(C(C)OC1=O)=O,-0.73540357,-0.18374051
