SMILES0,SMILES,gamma1,gamma2
CC(CCCCC(C)=O)=O,OC(C)C(O)=O,-3.23717974,-0.81846971
CC(CCCCC(C)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.18288388,0.05109779
CC(CCCCC(C)=O)=O,OCC(O)C,0.17136903,0.05997072
CC(CCCCC(C)=O)=O,O=C1CCO1,0.73390266,0.14649774
CC(CCCCC(C)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.13061582,-0.02802893
CC(CCCCC(C)=O)=O,CCOCC,0.83672442,0.18740278
CC(CCCCC(C)=O)=O,OCC,0.4407248,0.12761461
CC(CCCCC(C)=O)=O,CCCCCC=O,0.22629842,0.05456476
CC(CCCCC(C)=O)=O,CO,0.7428411,0.19809803
CC(CCCCC(C)=O)=O,OC(C)C,0.42474083,0.11576659
CC(CCCCC(C)=O)=O,CC(C)=O,-0.15332671,-0.03545084
CC(CCCCC(C)=O)=O,OCCC,0.17738639,0.06829644
CC(CCCCC(C)=O)=O,OCCCC,0.27369418,0.09625724
CC(CCCCC(C)=O)=O,OCCCCC,0.30766766,0.10910653
CC(CCCCC(C)=O)=O,CC1OC1,-0.1128744,-0.02658146
CC(CCCCC(C)=O)=O,CCC(C)(C)C,3.05165843,0.66719335
CC(CCCCC(C)=O)=O,CC(C)(C)C(C)=O,0.29884738,0.07144477
CC(CCCCC(C)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.81977817,0.20931462
CC(CCCCC(C)=O)=O,COC(C)(C)OC,0.48760907,0.11517625
CC(CCCCC(C)=O)=O,CCC1(CC)CCCCC1,3.05446135,0.72477543
CC(CCCCC(C)=O)=O,CCOC(C)(OCC)OCC,0.70187388,0.17855612
CC(CCCCC(C)=O)=O,CC(C)CCCC(O)(C)CC,0.86251202,0.24282004
CC(CCCCC(C)=O)=O,CCC(C)C,3.12442746,0.65733971
CC(CCCCC(C)=O)=O,CC(=C)C=C,0.69501185,0.14433853
CC(CCCCC(C)=O)=O,CC(=C)C#C,-2.2516083,-0.45333841
CC(CCCCC(C)=O)=O,OCC(C)C,-0.15209851,0.00471241
CC(CCCCC(C)=O)=O,CC(C)C=O,0.01568659,0.00238301
CC(CCCCC(C)=O)=O,CC(=C)C=O,0.01177089,0.00227934
CC(CCCCC(C)=O)=O,CCC(O)C,0.24898199,0.07862111
CC(CCCCC(C)=O)=O,CCC(C)=O,-0.04828931,-0.0117807
CC(CCCCC(C)=O)=O,COC(C)=O,-0.12172936,-0.02858642
CC(CCCCC(C)=O)=O,CC(C)C(C)C,3.10244913,0.68086553
CC(CCCCC(C)=O)=O,CC(C)C(O)=O,-3.50055317,-0.8475178
CC(CCCCC(C)=O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.5235443,0.13516929
CC(CCCCC(C)=O)=O,OOC(C)(C)C(CC1)CCC1C,-2.54555099,-0.57372647
CC(CCCCC(C)=O)=O,CCOC(C(O)(C)C)=O,0.01464709,0.00531874
CC(CCCCC(C)=O)=O,COC(=O)C(C)=C,0.12425583,0.02928744
CC(CCCCC(C)=O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.25224262,-0.31573047
CC(CCCCC(C)=O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.11224586,0.02789627
CC(CCCCC(C)=O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.35207576,0.09799584
CC(CCCCC(C)=O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.03771696,-0.0079558
CC(CCCCC(C)=O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.16854873,0.0458094
CC(CCCCC(C)=O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.36773167,0.09530693
CC(CCCCC(C)=O)=O,CC(C)CCOC(=O)c1ccccc1O,0.42146677,0.11084877
CC(CCCCC(C)=O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.08498832,-0.0160712
CC(CCCCC(C)=O)=O,O=C2c1ccccc1CO2,0.08801472,0.01965669
CC(CCCCC(C)=O)=O,OCC(O)C(O)C(O)CO,-0.34687046,-0.08872927
CC(CCCCC(C)=O)=O,CCC(CC)C(O)=O,-3.40977699,-0.81207899
CC(CCCCC(C)=O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.48901479,-0.32479932
CC(CCCCC(C)=O)=O,COc1cc(C)ccc1C(C)(C)C,0.88564688,0.22381707
CC(CCCCC(C)=O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.177649,0.55206887
CC(CCCCC(C)=O)=O,COC(=O)c1ccccc1C,0.19719948,0.0498945
CC(CCCCC(C)=O)=O,CC(=O)c1ccc(C)cc1C,0.30110623,0.07552302
CC(CCCCC(C)=O)=O,Cc2c1ccccc1ccc2,0.26815361,0.06626844
CC(CCCCC(C)=O)=O,O=C2CCCCC2C1CCCCC1,0.8914229,0.22374046
CC(CCCCC(C)=O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.16496285,-0.04005442
CC(CCCCC(C)=O)=O,CC(C=O)c1ccccc1,-0.09488569,-0.02335299
CC(CCCCC(C)=O)=O,CCC(O)c1ccccc1,-1.9936086,-0.43894284
CC(CCCCC(C)=O)=O,CCOC(=O)c1ccccc1,0.22043745,0.05577524
CC(CCCCC(C)=O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.26596519,0.07219545
CC(CCCCC(C)=O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.20467984,-0.04593054
CC(CCCCC(C)=O)=O,CCOC(=O)c(cc1)ccc1C,0.35601213,0.09025157
CC(CCCCC(C)=O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.22112312,0.05009857
CC(CCCCC(C)=O)=O,O=C(OCCc1ccccc1)c2ccccc2,0.05831315,0.01817532
CC(CCCCC(C)=O)=O,CCCc2cc1OCOc1cc2,-0.36993218,-0.08931606
CC(CCCCC(C)=O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.03799245,-0.00948809
CC(CCCCC(C)=O)=O,CCCC1CCCCC1=O,0.65000913,0.16244228
CC(CCCCC(C)=O)=O,CCOc1ccc(C=CC)cc1O,-3.06861088,-0.63793672
CC(CCCCC(C)=O)=O,CCCC(O)C(CO)CC,0.63756084,0.15972797
CC(CCCCC(C)=O)=O,Cc(ccc1C)cc1C,0.92203415,0.21999542
CC(CCCCC(C)=O)=O,CCOC(=O)C(OCC)=O,-0.07033994,-0.01742014
CC(CCCCC(C)=O)=O,CC1OC(C(C)OC1=O)=O,-0.78332942,-0.20042657
CC(CCCCC(C)=O)=O,CCCCC(=O)C(C)=O,0.00169673,0.00022162
CC(CCCCC(C)=O)=O,C=CCOC(=O)C(C)=C,0.22048861,0.054819
CC(CCCCC(C)=O)=O,C1OC1c2ccccc2,-0.09428408,-0.02316908
CC(CCCCC(C)=O)=O,CCC(C)CC,3.15699596,0.69723718
CC(CCCCC(C)=O)=O,CCC(CC)=O,0.15870919,0.03705812
CC(CCCCC(C)=O)=O,OCC(CO)=O,-0.05711494,-0.04015429
CC(CCCCC(C)=O)=O,COC(=O)C=C,-0.0661333,-0.01533193
CC(CCCCC(C)=O)=O,COC(CO)=O,-0.34596097,-0.08827914
CC(CCCCC(C)=O)=O,CC1CCCC1,3.08903858,0.66066767
CC(CCCCC(C)=O)=O,CC1CCCO1,0.53664182,0.12423995
CC(CCCCC(C)=O)=O,O=C1CCCO1,0.1535572,0.03737174
CC(CCCCC(C)=O)=O,CCCC(C)C(O)=O,-3.44244736,-0.82412366
CC(CCCCC(C)=O)=O,CCOC(C(C)C)=O,0.42579355,0.10335184
CC(CCCCC(C)=O)=O,CCOC(=O)C(C)=C,0.38605565,0.09325866
CC(CCCCC(C)=O)=O,CCOC(C(O)C)=O,-0.23288547,-0.05529947
CC(CCCCC(C)=O)=O,CC(C)C(OC(C(C)C)=O)=O,0.24542022,0.06176554
CC(CCCCC(C)=O)=O,CC(C)COC(C(C)C)=O,0.81587537,0.20257994
CC(CCCCC(C)=O)=O,CC(C)COC(=O)C(C)=C,0.70668601,0.17562496
CC(CCCCC(C)=O)=O,CCCCOC(C(C)C)=O,0.78093797,0.19438228
