SMILES0,SMILES,gamma1,gamma2
CC1(C)COC(C1O)=O,OC(C)C(O)=O,-0.32253812,-0.08061109
CC1(C)COC(C1O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.97565325,0.75340938
CC1(C)COC(C1O)=O,OCC(O)C,0.25133747,0.05967354
CC1(C)COC(C1O)=O,O=C1CCO1,0.62361114,0.14544548
CC1(C)COC(C1O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.58073144,0.12702373
CC1(C)COC(C1O)=O,CCOCC,-0.35944549,-0.0571635
CC1(C)COC(C1O)=O,OCC,0.15122682,0.02425742
CC1(C)COC(C1O)=O,CCCCCC=O,0.47070795,0.1321664
CC1(C)COC(C1O)=O,CO,0.05442762,0.00206623
CC1(C)COC(C1O)=O,OC(C)C,0.16618355,0.02958863
CC1(C)COC(C1O)=O,CC(C)=O,-1.46626152,-0.36265333
CC1(C)COC(C1O)=O,OCCC,0.48183381,0.1075498
CC1(C)COC(C1O)=O,OCCCC,0.60945042,0.14508362
CC1(C)COC(C1O)=O,OCCCCC,0.79201497,0.19409476
CC1(C)COC(C1O)=O,CC1OC1,-0.82337541,-0.17896771
CC1(C)COC(C1O)=O,CCC(C)(C)C,7.00675578,1.17533387
CC1(C)COC(C1O)=O,CC(C)(C)C(C)=O,-0.28655531,-0.06131369
CC1(C)COC(C1O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.69142719,0.18026622
CC1(C)COC(C1O)=O,COC(C)(C)OC,-0.53812063,-0.13460688
CC1(C)COC(C1O)=O,CCC1(CC)CCCCC1,6.95788197,1.24791401
CC1(C)COC(C1O)=O,CCOC(C)(OCC)OCC,-0.58181831,-0.14374297
CC1(C)COC(C1O)=O,CC(C)CCCC(O)(C)CC,1.08678114,0.25886303
CC1(C)COC(C1O)=O,CCC(C)C,7.09606537,1.15566167
CC1(C)COC(C1O)=O,CC(=C)C=C,4.57878491,0.70508975
CC1(C)COC(C1O)=O,CC(=C)C#C,2.45966399,0.34219466
CC1(C)COC(C1O)=O,OCC(C)C,0.73285196,0.17285
