SMILES0,SMILES,gamma1,gamma2
CC1(C)OC(CC1C(O)=O)=O,OC(C)C(O)=O,-0.02764925,-0.00877848
CC1(C)OC(CC1C(O)=O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.60960795,0.88693358
CC1(C)OC(CC1C(O)=O)=O,OCC(O)C,-0.48708118,-0.13824598
CC1(C)OC(CC1C(O)=O)=O,O=C1CCO1,0.31403179,0.06339786
CC1(C)OC(CC1C(O)=O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.53620094,0.11573217
CC1(C)OC(CC1C(O)=O)=O,CCOCC,-1.32339139,-0.30612251
CC1(C)OC(CC1C(O)=O)=O,OCC,-0.8722511,-0.26807849
CC1(C)OC(CC1C(O)=O)=O,CCCCCC=O,0.11164304,0.04769407
CC1(C)OC(CC1C(O)=O)=O,CO,-1.06973248,-0.30308072
CC1(C)OC(CC1C(O)=O)=O,OC(C)C,-0.81444422,-0.25892139
CC1(C)OC(CC1C(O)=O)=O,CC(C)=O,-2.56330099,-0.64270359
CC1(C)OC(CC1C(O)=O)=O,OCCC,-0.34304863,-0.13123593
CC1(C)OC(CC1C(O)=O)=O,OCCCC,-0.18176043,-0.0875157
CC1(C)OC(CC1C(O)=O)=O,OCCCCC,0.05773185,-0.02264036
CC1(C)OC(CC1C(O)=O)=O,CC1OC1,-1.7236045,-0.38742764
CC1(C)OC(CC1C(O)=O)=O,CCC(C)(C)C,9.63614053,1.33913607
CC1(C)OC(CC1C(O)=O)=O,CC(C)(C)C(C)=O,-0.97313984,-0.23297837
CC1(C)OC(CC1C(O)=O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.05151818,0.03886423
CC1(C)OC(CC1C(O)=O)=O,COC(C)(C)OC,-1.41426144,-0.37570969
CC1(C)OC(CC1C(O)=O)=O,CCC1(CC)CCCCC1,9.60565579,1.45158725
CC1(C)OC(CC1C(O)=O)=O,CCOC(C)(OCC)OCC,-1.6737484,-0.43479826
CC1(C)OC(CC1C(O)=O)=O,CC(C)CCCC(O)(C)CC,0.34293904,0.03521111
CC1(C)OC(CC1C(O)=O)=O,CCC(C)C,9.73648877,1.30620904
CC1(C)OC(CC1C(O)=O)=O,CC(=C)C=C,6.36086097,0.76619242
CC1(C)OC(CC1C(O)=O)=O,CC(=C)C#C,3.765651,0.37041606
CC1(C)OC(CC1C(O)=O)=O,OCC(C)C,0.05381858,-0.0266385
CC1(C)OC(CC1C(O)=O)=O,CC(C)C=O,-0.45388305,-0.09491601
CC1(C)OC(CC1C(O)=O)=O,CC(=C)C=O,-0.78981318,-0.17753608
CC1(C)OC(CC1C(O)=O)=O,CCC(O)C,-0.32227726,-0.12557432
