SMILES0,SMILES,gamma1,gamma2
CC1=CC(=O)C=C(C)O1,OC(C)C(O)=O,-6.61705229,-1.86535866
CC1=CC(=O)C=C(C)O1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.08137986,0.02845171
CC1=CC(=O)C=C(C)O1,OCC(O)C,-1.7436707,-0.438382
CC1=CC(=O)C=C(C)O1,O=C1CCO1,0.4351031,0.09698483
CC1=CC(=O)C=C(C)O1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.07569374,0.01737949
CC1=CC(=O)C=C(C)O1,CCOCC,1.17576635,0.26885552
CC1=CC(=O)C=C(C)O1,OCC,-1.39548106,-0.29880484
CC1=CC(=O)C=C(C)O1,CCCCCC=O,0.52826756,0.13035965
CC1=CC(=O)C=C(C)O1,CO,-1.33152158,-0.28062683
CC1=CC(=O)C=C(C)O1,OC(C)C,-1.12217226,-0.24022329
CC1=CC(=O)C=C(C)O1,CC(C)=O,0.00208271,3.69e-05
CC1=CC(=O)C=C(C)O1,OCCC,-1.68333667,-0.37320139
CC1=CC(=O)C=C(C)O1,OCCCC,-1.47503865,-0.3141612
CC1=CC(=O)C=C(C)O1,OCCCCC,-1.41831823,-0.29693808
CC1=CC(=O)C=C(C)O1,CC1OC1,0.11692216,0.02434551
CC1=CC(=O)C=C(C)O1,CCC(C)(C)C,3.30782286,0.73517249
CC1=CC(=O)C=C(C)O1,CC(C)(C)C(C)=O,0.58720238,0.14248256
CC1=CC(=O)C=C(C)O1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.13281941,0.28246409
CC1=CC(=O)C=C(C)O1,COC(C)(C)OC,0.83088944,0.19912405
CC1=CC(=O)C=C(C)O1,CCC1(CC)CCCCC1,3.27616896,0.77466624
CC1=CC(=O)C=C(C)O1,CCOC(C)(OCC)OCC,0.99394437,0.24881991
CC1=CC(=O)C=C(C)O1,CC(C)CCCC(O)(C)CC,-0.37422769,-0.04621281
CC1=CC(=O)C=C(C)O1,CCC(C)C,3.36498495,0.72407702
CC1=CC(=O)C=C(C)O1,CC(=C)C=C,0.87558547,0.18914473
CC1=CC(=O)C=C(C)O1,CC(=C)C#C,-2.78499465,-0.61395008
CC1=CC(=O)C=C(C)O1,OCC(C)C,-2.0013974,-0.44358765
CC1=CC(=O)C=C(C)O1,CC(C)C=O,0.31111125,0.07268254
CC1=CC(=O)C=C(C)O1,CC(=C)C=O,0.01913849,0.00390489
CC1=CC(=O)C=C(C)O1,CCC(O)C,-1.30826113,-0.28624293
CC1=CC(=O)C=C(C)O1,CCC(C)=O,0.17162319,0.0406566
CC1=CC(=O)C=C(C)O1,COC(C)=O,0.04759034,0.011037
CC1=CC(=O)C=C(C)O1,CC(C)C(C)C,3.34162204,0.74439519
