SMILES0,SMILES,gamma1,gamma2
CC1=CC(C)=CC(O1)=O,OC(C)C(O)=O,-2.36894596,-0.63718568
CC1=CC(C)=CC(O1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.05642623,0.01974527
CC1=CC(C)=CC(O1)=O,OCC(O)C,0.48694217,0.12193828
CC1=CC(C)=CC(O1)=O,O=C1CCO1,0.57478073,0.1343813
CC1=CC(C)=CC(O1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.06176709,0.01259815
CC1=CC(C)=CC(O1)=O,CCOCC,0.90980601,0.21683773
CC1=CC(C)=CC(O1)=O,OCC,0.61069321,0.15553698
CC1=CC(C)=CC(O1)=O,CCCCCC=O,0.43173011,0.10748272
CC1=CC(C)=CC(O1)=O,CO,0.80583737,0.19835609
CC1=CC(C)=CC(O1)=O,OC(C)C,0.63293063,0.1600911
CC1=CC(C)=CC(O1)=O,CC(C)=O,-0.06875673,-0.01643835
CC1=CC(C)=CC(O1)=O,OCCC,0.42904433,0.11673948
CC1=CC(C)=CC(O1)=O,OCCCC,0.52010958,0.14564757
CC1=CC(C)=CC(O1)=O,OCCCCC,0.55834976,0.15841738
CC1=CC(C)=CC(O1)=O,CC1OC1,-0.00014908,-0.00073363
CC1=CC(C)=CC(O1)=O,CCC(C)(C)C,2.88815751,0.66463398
CC1=CC(C)=CC(O1)=O,CC(C)(C)C(C)=O,0.42999613,0.1063657
CC1=CC(C)=CC(O1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.91897174,0.22727288
CC1=CC(C)=CC(O1)=O,COC(C)(C)OC,0.61470879,0.15089812
CC1=CC(C)=CC(O1)=O,CCC1(CC)CCCCC1,2.86139033,0.69091203
CC1=CC(C)=CC(O1)=O,CCOC(C)(OCC)OCC,0.76930716,0.19298549
CC1=CC(C)=CC(O1)=O,CC(C)CCCC(O)(C)CC,0.99154034,0.2578211
CC1=CC(C)=CC(O1)=O,CCC(C)C,2.93407607,0.6573404
CC1=CC(C)=CC(O1)=O,CC(=C)C=C,0.7025703,0.15703442
CC1=CC(C)=CC(O1)=O,CC(=C)C#C,-1.78443263,-0.4001287
CC1=CC(C)=CC(O1)=O,OCC(C)C,0.19214521,0.07021547
CC1=CC(C)=CC(O1)=O,CC(C)C=O,0.20066353,0.04823146
CC1=CC(C)=CC(O1)=O,CC(=C)C=O,-0.01217499,-0.00316766
CC1=CC(C)=CC(O1)=O,CCC(O)C,0.49882213,0.13281571
CC1=CC(C)=CC(O1)=O,CCC(C)=O,0.08252711,0.02013108
CC1=CC(C)=CC(O1)=O,COC(C)=O,-0.0278829,-0.00684633
CC1=CC(C)=CC(O1)=O,CC(C)C(C)C,2.91643739,0.67266146
CC1=CC(C)=CC(O1)=O,CC(C)C(O)=O,-2.67361914,-0.69512129
CC1=CC(C)=CC(O1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.58281039,0.14039524
CC1=CC(C)=CC(O1)=O,OOC(C)(C)C(CC1)CCC1C,-1.77280866,-0.442571
CC1=CC(C)=CC(O1)=O,CCOC(C(O)(C)C)=O,0.21896543,0.05553563
CC1=CC(C)=CC(O1)=O,COC(=O)C(C)=C,0.14361673,0.03505165
CC1=CC(C)=CC(O1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.11740375,-0.27475896
CC1=CC(C)=CC(O1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.15449485,-0.0371785
CC1=CC(C)=CC(O1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.54856897,0.10023326
CC1=CC(C)=CC(O1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.03431894,-0.00708421
CC1=CC(C)=CC(O1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.22018693,0.05309299
CC1=CC(C)=CC(O1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.43692382,0.09839381
CC1=CC(C)=CC(O1)=O,CC(C)CCOC(=O)c1ccccc1O,0.44309242,0.11286232
CC1=CC(C)=CC(O1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.09962661,-0.01886125
CC1=CC(C)=CC(O1)=O,O=C2c1ccccc1CO2,-0.08485523,-0.02101821
CC1=CC(C)=CC(O1)=O,OCC(O)C(O)C(O)CO,0.11894711,0.0263347
CC1=CC(C)=CC(O1)=O,CCC(CC)C(O)=O,-2.56577168,-0.65825113
CC1=CC(C)=CC(O1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.03868787,-0.24803866
CC1=CC(C)=CC(O1)=O,COc1cc(C)ccc1C(C)(C)C,0.90172796,0.22590297
CC1=CC(C)=CC(O1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.07458857,0.51577137
CC1=CC(C)=CC(O1)=O,COC(=O)c1ccccc1C,0.14641795,0.03754025
CC1=CC(C)=CC(O1)=O,CC(=O)c1ccc(C)cc1C,0.2355814,0.05933029
CC1=CC(C)=CC(O1)=O,Cc2c1ccccc1ccc2,0.21114678,0.05277929
CC1=CC(C)=CC(O1)=O,O=C2CCCCC2C1CCCCC1,1.00826343,0.24909889
CC1=CC(C)=CC(O1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.23497691,-0.05523095
CC1=CC(C)=CC(O1)=O,CC(C=O)c1ccccc1,-0.05265822,-0.01300083
CC1=CC(C)=CC(O1)=O,CCC(O)c1ccccc1,-1.51223523,-0.35852252
CC1=CC(C)=CC(O1)=O,CCOC(=O)c1ccccc1,0.15046691,0.03856577
CC1=CC(C)=CC(O1)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.25594507,0.0672903
CC1=CC(C)=CC(O1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.36187075,-0.07841007
CC1=CC(C)=CC(O1)=O,CCOC(=O)c(cc1)ccc1C,0.2978457,0.07545294
CC1=CC(C)=CC(O1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.37896434,0.06855354
CC1=CC(C)=CC(O1)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.01744677,-0.00040326
CC1=CC(C)=CC(O1)=O,CCCc2cc1OCOc1cc2,-0.14121603,-0.03324455
CC1=CC(C)=CC(O1)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.1386561,0.03350517
CC1=CC(C)=CC(O1)=O,CCCC1CCCCC1=O,0.76210467,0.19031712
CC1=CC(C)=CC(O1)=O,CCOc1ccc(C=CC)cc1O,-2.43492042,-0.54949823
CC1=CC(C)=CC(O1)=O,CCCC(O)C(CO)CC,0.79457051,0.19264073
CC1=CC(C)=CC(O1)=O,Cc(ccc1C)cc1C,0.88179813,0.21543066
CC1=CC(C)=CC(O1)=O,CCOC(=O)C(OCC)=O,0.01630562,0.00405098
CC1=CC(C)=CC(O1)=O,CC1OC(C(C)OC1=O)=O,-0.46952439,-0.11572382
CC1=CC(C)=CC(O1)=O,CCCCC(=O)C(C)=O,0.2116198,0.05281335
CC1=CC(C)=CC(O1)=O,C=CCOC(=O)C(C)=C,0.19820313,0.04970072
CC1=CC(C)=CC(O1)=O,C1OC1c2ccccc2,-0.10053561,-0.02533494
CC1=CC(C)=CC(O1)=O,CCC(C)CC,2.94425497,0.68116271
CC1=CC(C)=CC(O1)=O,CCC(CC)=O,0.29258668,0.07207126
CC1=CC(C)=CC(O1)=O,OCC(CO)=O,0.21664529,0.03654991
CC1=CC(C)=CC(O1)=O,COC(=O)C=C,-0.05615259,-0.01378304
CC1=CC(C)=CC(O1)=O,COC(CO)=O,-0.16755044,-0.04487129
CC1=CC(C)=CC(O1)=O,CC1CCCC1,2.96620574,0.67407072
CC1=CC(C)=CC(O1)=O,CC1CCCO1,0.66844534,0.16382558
CC1=CC(C)=CC(O1)=O,O=C1CCCO1,0.19812296,0.05074718
CC1=CC(C)=CC(O1)=O,CCCC(C)C(O)=O,-2.60118314,-0.66964098
CC1=CC(C)=CC(O1)=O,CCOC(C(C)C)=O,0.53129452,0.1317257
CC1=CC(C)=CC(O1)=O,CCOC(=O)C(C)=C,0.38241649,0.09465863
CC1=CC(C)=CC(O1)=O,CCOC(C(O)C)=O,-0.01318316,-0.00229887
CC1=CC(C)=CC(O1)=O,CC(C)C(OC(C(C)C)=O)=O,0.37967408,0.09440977
CC1=CC(C)=CC(O1)=O,CC(C)COC(C(C)C)=O,0.87719474,0.21741897
CC1=CC(C)=CC(O1)=O,CC(C)COC(=O)C(C)=C,0.69249271,0.17247541
CC1=CC(C)=CC(O1)=O,CCCCOC(C(C)C)=O,0.85346748,0.21143999
CC1=CC(C)=CC(O1)=O,CCCCOC(=O)C(C)=C,0.68720749,0.17153552
CC1=CC(C)=CC(O1)=O,CCC(CC)C=O,0.59167132,0.14556236
CC1=CC(C)=CC(O1)=O,OCC1CCCO1,0.4814356,0.11828778
CC1=CC(C)=CC(O1)=O,OCc1occc1,-1.4170046,-0.34382676
CC1=CC(C)=CC(O1)=O,O=Cc1occc1,-0.20692435,-0.05394085
CC1=CC(C)=CC(O1)=O,CC(C)(C)c1ccccc1,0.87406273,0.21592711
CC1=CC(C)=CC(O1)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-2.16679233,-0.56078534
CC1=CC(C)=CC(O1)=O,CC(C)(C)c(cc1)ccc1C,1.10810849,0.27493189
CC1=CC(C)=CC(O1)=O,OC1CCC(CC1)C(C)(C)C,0.77910999,0.20758721
CC1=CC(C)=CC(O1)=O,CC(C)(C)C1CCC(CC1)=O,0.60182032,0.14891889
CC1=CC(C)=CC(O1)=O,CC(C)c1ccccc1,0.79174128,0.19414926
CC1=CC(C)=CC(O1)=O,COC(=O)c(ccc1)cc1C,0.14129966,0.03570375
CC1=CC(C)=CC(O1)=O,OC1CC(CC=C1C)C(C)=C,-0.39463807,-0.09009969
CC1=CC(C)=CC(O1)=O,CC(C)c1cc(C(C)C)ccc1,1.23928861,0.30743229
CC1=CC(C)=CC(O1)=O,CCCC(CCC)C(O)=O,-2.42738817,-0.62677965
CC1=CC(C)=CC(O1)=O,CC(C=O)c(cc1)ccc1C,0.09494746,0.02439664
CC1=CC(C)=CC(O1)=O,CC1CCC(C(C)C)CC1,2.96919669,0.7196438
CC1=CC(C)=CC(O1)=O,CC(C)c(cc1)ccc1C,1.02912394,0.25452311
CC1=CC(C)=CC(O1)=O,C=CC1CC=CCC1,1.19889418,0.28818632
CC1=CC(C)=CC(O1)=O,CCc1ccccc1,0.65573297,0.15790579
CC1=CC(C)=CC(O1)=O,C=Cc1ccccc1,0.03559868,0.00699213
CC1=CC(C)=CC(O1)=O,OCC1CCCCC1,0.43325065,0.12836607
CC1=CC(C)=CC(O1)=O,COc1ccccc1,-0.03033609,-0.00860565
CC1=CC(C)=CC(O1)=O,OCC1CCCCO1,0.64662711,0.15477614
CC1=CC(C)=CC(O1)=O,OCC(CO1)OC1(C)C,0.07223573,0.01815971
CC1=CC(C)=CC(O1)=O,Cc1cc(C=C)ccc1,0.28201394,0.06925208
CC1=CC(C)=CC(O1)=O,COc(ccc1)cc1C,0.1727402,0.04217573
CC1=CC(C)=CC(O1)=O,COC(=O)Cc1ccccc1,-0.06634079,-0.01605272
CC1=CC(C)=CC(O1)=O,COC(OC)Cc1ccccc1,0.14790927,0.03819349
CC1=CC(C)=CC(O1)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.22754142,-0.05214906
CC1=CC(C)=CC(O1)=O,CC(C)COC(=O)Cc1ccccc1,0.18863547,0.048023
CC1=CC(C)=CC(O1)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.22683429,-0.05183017
CC1=CC(C)=CC(O1)=O,CCc1cc(CC)cc(CC)c1,1.41500741,0.35133078
CC1=CC(C)=CC(O1)=O,CC(=O)Oc(ccc1)cc1O,-3.72462668,-1.00008554
CC1=CC(C)=CC(O1)=O,COC(OC)CC(OC)OC,0.32403512,0.08013355
CC1=CC(C)=CC(O1)=O,CCCCC(CC)COC(C)=O,0.87129483,0.21431878
CC1=CC(C)=CC(O1)=O,CCCCC(CC)COC(=O)C=C,0.82888634,0.20608861
CC1=CC(C)=CC(O1)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.84875811,0.17465632
CC1=CC(C)=CC(O1)=O,COC(CCc1ccccc1)=O,0.01121235,0.00292087
CC1=CC(C)=CC(O1)=O,CC(C)C(OCc1ccccc1)=O,0.14138303,0.0357431
CC1=CC(C)=CC(O1)=O,CCCC(OCc1ccccc1)=O,0.12271216,0.03204877
CC1=CC(C)=CC(O1)=O,CC(C)CC(OCc1ccccc1)=O,0.18219003,0.04865483
CC1=CC(C)=CC(O1)=O,CC(OCCc1ccccc1)=O,0.03522208,0.00925509
CC1=CC(C)=CC(O1)=O,CC(C)C(OCCc1ccccc1)=O,0.27068837,0.06885013
CC1=CC(C)=CC(O1)=O,CC(C)C(OCCOc1ccccc1)=O,-0.09273763,-0.02123042
CC1=CC(C)=CC(O1)=O,CCCc1ccccc1,0.81580308,0.20054701
CC1=CC(C)=CC(O1)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.21491019,0.05399112
CC1=CC(C)=CC(O1)=O,CCCc(cc1)ccc1OC,0.4433318,0.11140411
CC1=CC(C)=CC(O1)=O,CCCCC1OC(CC1)=O,0.24505166,0.06079908
CC1=CC(C)=CC(O1)=O,CCCCc1ccccc1,0.960913,0.23871724
CC1=CC(C)=CC(O1)=O,O=COCc1ccccc1,-0.32929675,-0.08307549
CC1=CC(C)=CC(O1)=O,CCCCCC1OC(CC1)=O,0.31005014,0.07624446
CC1=CC(C)=CC(O1)=O,O=COCCc1ccccc1,-0.24651788,-0.06169499
CC1=CC(C)=CC(O1)=O,CCCCCCCC1OC(CC1)=O,0.43454088,0.10484176
CC1=CC(C)=CC(O1)=O,CCCCC(CO)CC,0.26190194,0.09218229
CC1=CC(C)=CC(O1)=O,COc(cc1)ccc1C,0.17559828,0.04291249
CC1=CC(C)=CC(O1)=O,CC(C)COC(CCc1occc1)=O,0.11413625,0.02996
CC1=CC(C)=CC(O1)=O,CCc1ccc(CC)cc1,1.09405969,0.27049502
CC1=CC(C)=CC(O1)=O,C=Cc1ccc(C=C)cc1,-0.06411677,-0.01533614
CC1=CC(C)=CC(O1)=O,CCCC1OC(CC1)=O,0.18342925,0.04585328
CC1=CC(C)=CC(O1)=O,OCC=C(C)C#C,-2.0734985,-0.5153958
CC1=CC(C)=CC(O1)=O,CCCC(C)CO,0.25329056,0.09088796
CC1=CC(C)=CC(O1)=O,CCCC(O)C#C,-2.95651467,-0.73188662
CC1=CC(C)=CC(O1)=O,CCOC(CC)=O,0.31541042,0.07771035
CC1=CC(C)=CC(O1)=O,CCC(OC=C)=O,0.11186778,0.02701465
CC1=CC(C)=CC(O1)=O,CCC(C)CC(C)=O,0.52143577,0.13008419
CC1=CC(C)=CC(O1)=O,CCC(C)CC(O)=O,-2.65486221,-0.68903695
CC1=CC(C)=CC(O1)=O,CCC(C)OC(C)=O,0.4481644,0.11152291
CC1=CC(C)=CC(O1)=O,CCOC(CC(OCC)=O)=O,-0.03850478,-0.00979236
CC1=CC(C)=CC(O1)=O,CCOC(CCC)=O,0.48843329,0.12122737
CC1=CC(C)=CC(O1)=O,CCOC(C)OCC,0.74205058,0.18637435
CC1=CC(C)=CC(O1)=O,CCOC(OCC)=O,0.18525254,0.04647682
CC1=CC(C)=CC(O1)=O,CCCOC(CCC)=O,0.66215286,0.16489048
CC1=CC(C)=CC(O1)=O,CC(C)CCOC(CC)=O,0.74176103,0.18410529
CC1=CC(C)=CC(O1)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.08648293,0.02008973
CC1=CC(C)=CC(O1)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.2819027,0.06747246
CC1=CC(C)=CC(O1)=O,CCCCCCCCCCCC(OCCCC)=O,1.38752639,0.31830528
CC1=CC(C)=CC(O1)=O,OCCC(C)CCCC(C)C,0.58499325,0.16542213
CC1=CC(C)=CC(O1)=O,CC(C)CCOC(CCC)=O,0.8613621,0.21369626
CC1=CC(C)=CC(O1)=O,CCCCCCC(OCC)=O,0.84700345,0.20968025
CC1=CC(C)=CC(O1)=O,CCCC(OC(CCC)=O)=O,0.25190211,0.06260841
CC1=CC(C)=CC(O1)=O,CCCCCCCC(OCC)=O,0.93419128,0.23018008
CC1=CC(C)=CC(O1)=O,CCCCC(CC)=O,0.59768192,0.14855092
CC1=CC(C)=CC(O1)=O,CCCOC(CC)=O,0.49891434,0.12408086
CC1=CC(C)=CC(O1)=O,CC(C)COC(=O)C=C,0.41347431,0.10366737
CC1=CC(C)=CC(O1)=O,CCCCCC(CC)=O,0.73326955,0.18263009
CC1=CC(C)=CC(O1)=O,CCCCCC(OC)=O,0.54795735,0.13685925
CC1=CC(C)=CC(O1)=O,CC(CCC=C(C)C)C=O,0.55759262,0.13935005
CC1=CC(C)=CC(O1)=O,CCCCCCC(OC)=O,0.66809666,0.16633622
CC1=CC(C)=CC(O1)=O,CCOCCOC(=O)C=C,0.07855713,0.01973133
CC1=CC(C)=CC(O1)=O,C=CC2CC1OC1CC2,0.45379979,0.11261843
CC1=CC(C)=CC(O1)=O,C1OC1C3CC2OC2CC3,0.20152937,0.05022217
CC1=CC(C)=CC(O1)=O,CCC1OC1,0.26698855,0.06382347
CC1=CC(C)=CC(O1)=O,C=CC(OCC1OC1)=O,-0.0672457,-0.01697723
CC1=CC(C)=CC(O1)=O,CC(=C)C(OCC1OC1)=O,-0.03985581,-0.01035633
CC1=CC(C)=CC(O1)=O,C=CCOCC1OC1,0.05980031,0.01468398
CC1=CC(C)=CC(O1)=O,O=CC=C,-0.03500342,-0.00891016
CC1=CC(C)=CC(O1)=O,OCC=C,-0.82045599,-0.1701259
CC1=CC(C)=CC(O1)=O,OCC#C,-2.71356299,-0.65853794
CC1=CC(C)=CC(O1)=O,COC=O,-0.13317536,-0.03291807
CC1=CC(C)=CC(O1)=O,CC(C)(C)CC(C)=C,2.09842071,0.50428649
CC1=CC(C)=CC(O1)=O,CC(C)(C)C=C(C)C,2.13229841,0.51318085
CC1=CC(C)=CC(O1)=O,OC(C)CC(O)(C)C,0.95211721,0.22689779
CC1=CC(C)=CC(O1)=O,COC(C)(C)CC(C)=O,0.28754755,0.07237795
CC1=CC(C)=CC(O1)=O,OCCC(C)CCCC(O)(C)C,0.58491912,0.13475371
CC1=CC(C)=CC(O1)=O,OC(C)(C)CCCC(C)CC=O,0.28315062,0.06682145
CC1=CC(C)=CC(O1)=O,CCCC(C)C,2.95755314,0.68697895
CC1=CC(C)=CC(O1)=O,CC(C)=CC=O,-0.01344962,-0.00321116
CC1=CC(C)=CC(O1)=O,CCCC(C)=O,0.24401091,0.06046919
CC1=CC(C)=CC(O1)=O,OCCC(O)C,0.91965604,0.21862938
CC1=CC(C)=CC(O1)=O,COCC(O)C,0.48586828,0.11762564
CC1=CC(C)=CC(O1)=O,CC(OC=C)=O,-0.09966375,-0.02457341
CC1=CC(C)=CC(O1)=O,CC(C)CC(C)C,2.90863538,0.68829979
CC1=CC(C)=CC(O1)=O,CC(C)CC(C)=O,0.41489974,0.1030456
CC1=CC(C)=CC(O1)=O,OC(C)CC(C)C,0.51196213,0.14739942
CC1=CC(C)=CC(O1)=O,CC(C)OC(C)C,1.22578463,0.30134716
CC1=CC(C)=CC(O1)=O,CC(C)OC(C)=O,0.28978557,0.07174747
CC1=CC(C)=CC(O1)=O,CC(OC(C)=C)=O,0.0650352,0.01648217
CC1=CC(C)=CC(O1)=O,CC(OC(C)=O)=O,0.00875337,0.00221168
CC1=CC(C)=CC(O1)=O,O=C1C=CC(O1)=C,-0.29260642,-0.07457083
CC1=CC(C)=CC(O1)=O,CC1OC(CC1)=O,0.13624845,0.03386877
CC1=CC(C)=CC(O1)=O,CC1OC(OC1)=O,0.32815139,0.07971253
CC1=CC(C)=CC(O1)=O,Cc1cc(C)ccc1,0.72853499,0.1752476
CC1=CC(C)=CC(O1)=O,C=Cc1cc(C=C)ccc1,-0.04568644,-0.01072113
CC1=CC(C)=CC(O1)=O,COC(CC(OC)=O)=O,-0.0427138,-0.01037702
CC1=CC(C)=CC(O1)=O,CCOC(CC(C)C)=O,0.61835594,0.15347966
CC1=CC(C)=CC(O1)=O,COCC(C)OC(C)=O,0.17873082,0.04485492
CC1=CC(C)=CC(O1)=O,Cc1cc(C)cc(C)c1,0.96698788,0.23648574
CC1=CC(C)=CC(O1)=O,CC(C)CC(O)CC(C)C,0.62164204,0.17634218
CC1=CC(C)=CC(O1)=O,CC(C)CC(CC(C)C)=O,0.98731968,0.24490724
CC1=CC(C)=CC(O1)=O,CC(C)CC(C)OC(C)=O,0.68452625,0.1699715
CC1=CC(C)=CC(O1)=O,CC1CCCCC1,3.00493027,0.69690431
CC1=CC(C)=CC(O1)=O,Cc1ccccc1,0.45645879,0.10622567
CC1=CC(C)=CC(O1)=O,O=C1CCCCC1,0.249882,0.06201367
CC1=CC(C)=CC(O1)=O,O=C1C=COC=C1,0.42137466,0.10313167
CC1=CC(C)=CC(O1)=O,CCCCOC(CC(C)C)=O,0.90370907,0.22504577
CC1=CC(C)=CC(O1)=O,CCCCOC(CCC)=O,0.7915234,0.19620791
CC1=CC(C)=CC(O1)=O,O=C1CCCCCCCCCCCCCCCO1,1.13959818,0.27347575
CC1=CC(C)=CC(O1)=O,CC(CCC=C)=O,0.10454816,0.02598853
CC1=CC(C)=CC(O1)=O,CCC#CC(O)C,-1.06349633,-0.24015342
CC1=CC(C)=CC(O1)=O,CCCCC(O)=O,-2.5551904,-0.66168574
CC1=CC(C)=CC(O1)=O,CC(C)COC=C,0.87122596,0.2114817
CC1=CC(C)=CC(O1)=O,OCCOC(C)C,0.65157272,0.15558899
CC1=CC(C)=CC(O1)=O,CCCOC(C)=O,0.26948204,0.06681068
CC1=CC(C)=CC(O1)=O,CCCCC,2.98577443,0.67410483
CC1=CC(C)=CC(O1)=O,CCCC=C,1.64956073,0.37558794
CC1=CC(C)=CC(O1)=O,COCCO,0.44408125,0.10543984
CC1=CC(C)=CC(O1)=O,COCOC,0.15940172,0.03837983
CC1=CC(C)=CC(O1)=O,CCOC=C,0.30843859,0.07115635
CC1=CC(C)=CC(O1)=O,C=COC=C,-0.73814832,-0.17940564
CC1=CC(C)=CC(O1)=O,CCOC=O,-0.13496734,-0.03262839
CC1=CC(C)=CC(O1)=O,O1CCCC1,0.32514011,0.07991409
CC1=CC(C)=CC(O1)=O,c1cocc1,-1.03036665,-0.24277875
CC1=CC(C)=CC(O1)=O,CC(C)(C)OOC(C)(C)C,1.50847661,0.37178705
CC1=CC(C)=CC(O1)=O,CC(C)CCC(C)=O,0.48337711,0.12055743
CC1=CC(C)=CC(O1)=O,CC(C)COC(C)=O,0.44171551,0.11023772
CC1=CC(C)=CC(O1)=O,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,0.66562808,0.14096814
CC1=CC(C)=CC(O1)=O,CCCCCCCCOC(CCC)=O,1.15980757,0.27945521
CC1=CC(C)=CC(O1)=O,CCCCCCCCCC(C)C=O,1.20688877,0.29304772
CC1=CC(C)=CC(O1)=O,CCCCCC(C)=O,0.52754657,0.1318109
CC1=CC(C)=CC(O1)=O,CC(C)CCOC=O,0.21833095,0.05476671
CC1=CC(C)=CC(O1)=O,COCCOC(C)=O,0.08763681,0.02189422
CC1=CC(C)=CC(O1)=O,CCCCCC,3.00410766,0.70109494
CC1=CC(C)=CC(O1)=O,CCCCC=O,0.29821261,0.07394541
CC1=CC(C)=CC(O1)=O,COCCOC,0.22629346,0.05754075
CC1=CC(C)=CC(O1)=O,CCCOC=O,-0.01110007,-0.00236306
CC1=CC(C)=CC(O1)=O,OCCOCC,0.5517499,0.12824225
CC1=CC(C)=CC(O1)=O,C1CC=CCC1,1.79652273,0.40699583
CC1=CC(C)=CC(O1)=O,C1OC=CCC1,0.36635184,0.08534934
CC1=CC(C)=CC(O1)=O,CC(CCC=C(C)C)=O,0.3216486,0.08011198
CC1=CC(C)=CC(O1)=O,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,2.64039899,0.53348833
CC1=CC(C)=CC(O1)=O,CCCCCCCC(OC)=O,0.7681038,0.19119967
CC1=CC(C)=CC(O1)=O,CCCCCC#CC(OC)=O,0.26631931,0.06793602
CC1=CC(C)=CC(O1)=O,CCOCCOC(C)=O,0.14681134,0.03686517
CC1=CC(C)=CC(O1)=O,OCCCCCC,0.54069612,0.15591582
CC1=CC(C)=CC(O1)=O,O=CCCCC=O,0.28184214,0.07101851
CC1=CC(C)=CC(O1)=O,COCCCCO,0.67917097,0.16556124
CC1=CC(C)=CC(O1)=O,CCCCOC=C,0.81119066,0.19884967
CC1=CC(C)=CC(O1)=O,CCOCCCO,0.67995313,0.16698842
CC1=CC(C)=CC(O1)=O,CCCOCCC,1.63999063,0.398585
CC1=CC(C)=CC(O1)=O,OCCOCC=C,0.16458531,0.03647335
CC1=CC(C)=CC(O1)=O,CC(OCCOC(C)=O)=O,0.01516215,0.00374085
CC1=CC(C)=CC(O1)=O,CCCCCCCCC=CCCCCCCCC(OCC)=O,1.25633643,0.27247876
CC1=CC(C)=CC(O1)=O,CCCCCCCC,2.99772676,0.7237997
CC1=CC(C)=CC(O1)=O,CCCCCCC=C,2.02499389,0.49327577
CC1=CC(C)=CC(O1)=O,OCCCCCCC,0.56300846,0.16375606
