SMILES0,SMILES,gamma1,gamma2
CC1=CC(CC1)=O,OC(C)C(O)=O,-3.80639393,-1.0207885
CC1=CC(CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.18335731,-0.03597376
CC1=CC(CC1)=O,OCC(O)C,-0.5913491,-0.14213276
CC1=CC(CC1)=O,O=C1CCO1,0.45378653,0.10561387
CC1=CC(CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.27729166,-0.05779887
CC1=CC(CC1)=O,CCOCC,0.67877142,0.16463213
CC1=CC(CC1)=O,OCC,-0.31645867,-0.05629164
CC1=CC(CC1)=O,CCCCCC=O,0.15866497,0.04058852
CC1=CC(CC1)=O,CO,-0.10051108,-0.00147603
CC1=CC(CC1)=O,OC(C)C,-0.25832679,-0.04718475
CC1=CC(CC1)=O,CC(C)=O,-0.02864893,-0.00700988
CC1=CC(CC1)=O,OCCC,-0.5776671,-0.1214183
CC1=CC(CC1)=O,OCCCC,-0.49019711,-0.09503471
CC1=CC(CC1)=O,OCCCCC,-0.48274924,-0.09184707
CC1=CC(CC1)=O,CC1OC1,-0.00351003,-0.00115594
CC1=CC(CC1)=O,CCC(C)(C)C,2.19642727,0.52543152
CC1=CC(CC1)=O,CC(C)(C)C(C)=O,0.24492276,0.06113422
CC1=CC(CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.49500045,0.12630946
CC1=CC(CC1)=O,COC(C)(C)OC,0.38962093,0.09688716
CC1=CC(CC1)=O,CCC1(CC)CCCCC1,2.13935079,0.53182228
CC1=CC(CC1)=O,CCOC(C)(OCC)OCC,0.47200007,0.1206934
CC1=CC(CC1)=O,CC(C)CCCC(O)(C)CC,0.04065991,0.02873763
CC1=CC(CC1)=O,CCC(C)C,2.25936725,0.52831038
CC1=CC(CC1)=O,CC(=C)C=C,0.44530089,0.10513442
CC1=CC(CC1)=O,CC(=C)C#C,-2.0753365,-0.49215307
CC1=CC(CC1)=O,OCC(C)C,-0.86755924,-0.18750297
CC1=CC(CC1)=O,CC(C)C=O,0.06829562,0.01663529
CC1=CC(CC1)=O,CC(=C)C=O,-0.04830582,-0.01191301
CC1=CC(CC1)=O,CCC(O)C,-0.44179107,-0.0923389
CC1=CC(CC1)=O,CCC(C)=O,0.01762744,0.00430982
CC1=CC(CC1)=O,COC(C)=O,-0.07677327,-0.01891282
CC1=CC(CC1)=O,CC(C)C(C)C,2.2261591,0.53361517
CC1=CC(CC1)=O,CC(C)C(O)=O,-4.08356431,-1.11182985
CC1=CC(CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.24929004,0.06396435
CC1=CC(CC1)=O,OOC(C)(C)C(CC1)CCC1C,-3.15467807,-0.83366939
CC1=CC(CC1)=O,CCOC(C(O)(C)C)=O,-0.17370515,-0.04171019
CC1=CC(CC1)=O,COC(=O)C(C)=C,-0.00096908,-0.00028025
CC1=CC(CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.48574565,-0.35876914
CC1=CC(CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.29160798,-0.06801633
CC1=CC(CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.55645634,-0.15633879
CC1=CC(CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.24076676,-0.05469323
CC1=CC(CC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.08843358,-0.01515339
CC1=CC(CC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.05125487,0.01734279
CC1=CC(CC1)=O,CC(C)CCOC(=O)c1ccccc1O,0.06946745,0.02372641
CC1=CC(CC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.3666276,-0.08029318
CC1=CC(CC1)=O,O=C2c1ccccc1CO2,-0.20828452,-0.05028295
CC1=CC(CC1)=O,OCC(O)C(O)C(O)CO,-0.87033597,-0.21093511
CC1=CC(CC1)=O,CCC(CC)C(O)=O,-4.05205146,-1.09337251
CC1=CC(CC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.10992787,-0.5159792
CC1=CC(CC1)=O,COc1cc(C)ccc1C(C)(C)C,0.49284076,0.12919912
CC1=CC(CC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.45527678,0.37040033
CC1=CC(CC1)=O,COC(=O)c1ccccc1C,-0.05932692,-0.01269806
CC1=CC(CC1)=O,CC(=O)c1ccc(C)cc1C,0.05928991,0.01645198
CC1=CC(CC1)=O,Cc2c1ccccc1ccc2,-0.00990035,0.00048669
CC1=CC(CC1)=O,O=C2CCCCC2C1CCCCC1,0.62166268,0.15606479
CC1=CC(CC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.41120516,-0.09327593
CC1=CC(CC1)=O,CC(C=O)c1ccccc1,-0.22075524,-0.05439072
CC1=CC(CC1)=O,CCC(O)c1ccccc1,-2.42817537,-0.60342473
CC1=CC(CC1)=O,CCOC(=O)c1ccccc1,-0.04186248,-0.00854507
CC1=CC(CC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.02950883,0.00073528
CC1=CC(CC1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.57810248,-0.12106916
CC1=CC(CC1)=O,CCOC(=O)c(cc1)ccc1C,0.08001941,0.02247302
CC1=CC(CC1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.01984428,0.00081377
CC1=CC(CC1)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.23275098,-0.05021197
CC1=CC(CC1)=O,CCCc2cc1OCOc1cc2,-0.48563996,-0.11693631
CC1=CC(CC1)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.10783071,-0.02570208
CC1=CC(CC1)=O,CCCC1CCCCC1=O,0.46957605,0.11927633
CC1=CC(CC1)=O,CCOc1ccc(C=CC)cc1O,-3.35132328,-0.77804154
CC1=CC(CC1)=O,CCCC(O)C(CO)CC,-0.11939229,-0.02799436
CC1=CC(CC1)=O,Cc(ccc1C)cc1C,0.55804025,0.14180978
CC1=CC(CC1)=O,CCOC(=O)C(OCC)=O,-0.15337312,-0.03766537
CC1=CC(CC1)=O,CC1OC(C(C)OC1=O)=O,-0.94780974,-0.22805241
CC1=CC(CC1)=O,CCCCC(=O)C(C)=O,-0.07621145,-0.01840394
CC1=CC(CC1)=O,C=CCOC(=O)C(C)=C,0.00953894,0.0036968
CC1=CC(CC1)=O,C1OC1c2ccccc2,-0.23584287,-0.05891075
CC1=CC(CC1)=O,CCC(C)CC,2.25607455,0.54220534
CC1=CC(CC1)=O,CCC(CC)=O,0.14620854,0.03634865
CC1=CC(CC1)=O,OCC(CO)=O,-0.80949706,-0.20909103
CC1=CC(CC1)=O,COC(=O)C=C,-0.15811015,-0.03927543
CC1=CC(CC1)=O,COC(CO)=O,-0.83498088,-0.21256419
