SMILES0,SMILES,gamma1,gamma2
CC1=CC(CCC1)=O,OC(C)C(O)=O,-3.37291765,-0.90448104
CC1=CC(CCC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.26138056,-0.0595018
CC1=CC(CCC1)=O,OCC(O)C,-0.44973594,-0.10633814
CC1=CC(CCC1)=O,O=C1CCO1,0.86222947,0.19851722
CC1=CC(CCC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.34221256,-0.07400066
CC1=CC(CCC1)=O,CCOCC,0.41489317,0.09964389
CC1=CC(CCC1)=O,OCC,-0.30690088,-0.05561403
CC1=CC(CCC1)=O,CCCCCC=O,0.0104827,0.0028366
CC1=CC(CCC1)=O,CO,0.04490182,0.02872002
CC1=CC(CCC1)=O,OC(C)C,-0.33030222,-0.06663115
CC1=CC(CCC1)=O,CC(C)=O,-0.00476438,-0.0009493
CC1=CC(CCC1)=O,OCCC,-0.63562905,-0.13859549
CC1=CC(CCC1)=O,OCCCC,-0.59447544,-0.12499064
CC1=CC(CCC1)=O,OCCCCC,-0.61816552,-0.13065563
CC1=CC(CCC1)=O,CC1OC1,-0.07160661,-0.01720646
CC1=CC(CCC1)=O,CCC(C)(C)C,1.73764209,0.41273878
CC1=CC(CCC1)=O,CC(C)(C)C(C)=O,0.09831722,0.0243934
CC1=CC(CCC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.25763487,0.06674884
CC1=CC(CCC1)=O,COC(C)(C)OC,0.1964515,0.04863003
CC1=CC(CCC1)=O,CCC1(CC)CCCCC1,1.69852539,0.42187249
CC1=CC(CCC1)=O,CCOC(C)(OCC)OCC,0.26393485,0.06809384
CC1=CC(CCC1)=O,CC(C)CCCC(O)(C)CC,-0.19648985,-0.03382556
CC1=CC(CCC1)=O,CCC(C)C,1.79010989,0.4145119
CC1=CC(CCC1)=O,CC(=C)C=C,0.19746733,0.04539826
CC1=CC(CCC1)=O,CC(=C)C#C,-2.09801968,-0.50265387
CC1=CC(CCC1)=O,OCC(C)C,-0.96883014,-0.21768734
CC1=CC(CCC1)=O,CC(C)C=O,-0.02918158,-0.00721669
CC1=CC(CCC1)=O,CC(=C)C=O,-0.03468449,-0.00869476
CC1=CC(CCC1)=O,CCC(O)C,-0.56192314,-0.12554084
CC1=CC(CCC1)=O,CCC(C)=O,-0.03265458,-0.00805293
CC1=CC(CCC1)=O,COC(C)=O,-0.04695693,-0.01176852
CC1=CC(CCC1)=O,CC(C)C(C)C,1.76675984,0.42064663
CC1=CC(CCC1)=O,CC(C)C(O)=O,-3.95480745,-1.06849761
CC1=CC(CCC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.06115769,0.01762919
CC1=CC(CCC1)=O,OOC(C)(C)C(CC1)CCC1C,-3.23599671,-0.85984841
CC1=CC(CCC1)=O,CCOC(C(O)(C)C)=O,-0.27683182,-0.06829724
CC1=CC(CCC1)=O,COC(=O)C(C)=C,-0.06422507,-0.01600204
CC1=CC(CCC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.51493855,-0.37103148
CC1=CC(CCC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.13599336,-0.03060588
CC1=CC(CCC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.81208068,-0.21037677
CC1=CC(CCC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.22698496,-0.0528963
CC1=CC(CCC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.19961239,-0.04340344
CC1=CC(CCC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.12029066,-0.02211516
CC1=CC(CCC1)=O,CC(C)CCOC(=O)c1ccccc1O,-0.108871,-0.02339435
CC1=CC(CCC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.40973573,-0.09515423
CC1=CC(CCC1)=O,O=C2c1ccccc1CO2,0.04879431,0.01407315
CC1=CC(CCC1)=O,OCC(O)C(O)C(O)CO,-0.64683422,-0.15212999
CC1=CC(CCC1)=O,CCC(CC)C(O)=O,-4.01003278,-1.07560082
CC1=CC(CCC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.19012802,-0.53980515
CC1=CC(CCC1)=O,COc1cc(C)ccc1C(C)(C)C,0.23804021,0.0629659
CC1=CC(CCC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.07991794,0.27694674
CC1=CC(CCC1)=O,COC(=O)c1ccccc1C,-0.12232249,-0.02995105
CC1=CC(CCC1)=O,CC(=O)c1ccc(C)cc1C,-0.02607797,-0.00612338
CC1=CC(CCC1)=O,Cc2c1ccccc1ccc2,-0.12535916,-0.03051674
CC1=CC(CCC1)=O,O=C2CCCCC2C1CCCCC1,0.38325453,0.09648662
CC1=CC(CCC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.32136639,-0.07345965
CC1=CC(CCC1)=O,CC(C=O)c1ccccc1,-0.21165412,-0.05271233
CC1=CC(CCC1)=O,CCC(O)c1ccccc1,-2.43432216,-0.61235696
CC1=CC(CCC1)=O,CCOC(=O)c1ccccc1,-0.09888178,-0.02419588
CC1=CC(CCC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.16626699,-0.03637036
CC1=CC(CCC1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.49759381,-0.10641401
CC1=CC(CCC1)=O,CCOC(=O)c(cc1)ccc1C,-0.02141183,-0.00450944
CC1=CC(CCC1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.12162434,-0.02699024
CC1=CC(CCC1)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.26231131,-0.06088492
CC1=CC(CCC1)=O,CCCc2cc1OCOc1cc2,-0.60394365,-0.14971907
CC1=CC(CCC1)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.13911157,-0.0337363
CC1=CC(CCC1)=O,CCCC1CCCCC1=O,0.26522741,0.06762106
CC1=CC(CCC1)=O,CCOc1ccc(C=CC)cc1O,-3.33987885,-0.79193762
CC1=CC(CCC1)=O,CCCC(O)C(CO)CC,-0.24941622,-0.0626478
CC1=CC(CCC1)=O,Cc(ccc1C)cc1C,0.31381794,0.07918831
CC1=CC(CCC1)=O,CCOC(=O)C(OCC)=O,-0.10733667,-0.02630723
CC1=CC(CCC1)=O,CC1OC(C(C)OC1=O)=O,-0.58406878,-0.13435533
CC1=CC(CCC1)=O,CCCCC(=O)C(C)=O,-0.16676981,-0.04184109
CC1=CC(CCC1)=O,C=CCOC(=O)C(C)=C,-0.07107612,-0.01739361
CC1=CC(CCC1)=O,C1OC1c2ccccc2,-0.20237952,-0.05057886
CC1=CC(CCC1)=O,CCC(C)CC,1.79632974,0.42901059
CC1=CC(CCC1)=O,CCC(CC)=O,0.02747234,0.00673328
CC1=CC(CCC1)=O,OCC(CO)=O,-0.29957025,-0.083923
CC1=CC(CCC1)=O,COC(=O)C=C,-0.12143718,-0.03006409
