SMILES0,SMILES,gamma1,gamma2
CC1=CCCC1=O,OC(C)C(O)=O,-2.40506337,-0.64585227
CC1=CCCC1=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.25093419,-0.05453616
CC1=CCCC1=O,OCC(O)C,0.02878025,0.00706735
CC1=CCCC1=O,O=C1CCO1,0.73801835,0.17808841
CC1=CCCC1=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.25166217,-0.05378968
CC1=CCCC1=O,CCOCC,0.47800367,0.11711104
CC1=CCCC1=O,OCC,0.1447074,0.04498719
CC1=CCCC1=O,CCCCCC=O,0.10425093,0.02626646
CC1=CCCC1=O,CO,0.45115395,0.11753083
CC1=CCCC1=O,OC(C)C,0.10090987,0.03205371
CC1=CCCC1=O,CC(C)=O,0.00264007,0.00091915
CC1=CCCC1=O,OCCC,-0.12037198,-0.019692
CC1=CCCC1=O,OCCCC,-0.092534,-0.00916163
CC1=CCCC1=O,OCCCCC,-0.10955459,-0.01311184
CC1=CCCC1=O,CC1OC1,-0.02986614,-0.00733922
CC1=CCCC1=O,CCC(C)(C)C,1.7682763,0.4264415
CC1=CCCC1=O,CC(C)(C)C(C)=O,0.15442844,0.0384779
CC1=CCCC1=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.33247803,0.08281353
CC1=CCCC1=O,COC(C)(C)OC,0.26208422,0.06527851
CC1=CCCC1=O,CCC1(CC)CCCCC1,1.71836171,0.42612696
CC1=CCCC1=O,CCOC(C)(OCC)OCC,0.31663153,0.07989761
CC1=CCCC1=O,CC(C)CCCC(O)(C)CC,0.1863465,0.05247504
CC1=CCCC1=O,CCC(C)C,1.8187847,0.43041175
CC1=CCCC1=O,CC(=C)C=C,0.25682293,0.06099278
CC1=CCCC1=O,CC(=C)C#C,-1.73403204,-0.42319051
CC1=CCCC1=O,OCC(C)C,-0.40148604,-0.08465744
CC1=CCCC1=O,CC(C)C=O,0.03761291,0.00930162
CC1=CCCC1=O,CC(=C)C=O,-0.02221396,-0.00553368
CC1=CCCC1=O,CCC(O)C,-0.09159091,-0.01459643
CC1=CCCC1=O,CCC(C)=O,0.00990289,0.00245995
CC1=CCCC1=O,COC(C)=O,-0.01722544,-0.00430743
CC1=CCCC1=O,CC(C)C(C)C,1.79243882,0.43315117
CC1=CCCC1=O,CC(C)C(O)=O,-2.8703684,-0.76468002
CC1=CCCC1=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.11237579,0.02805166
CC1=CCCC1=O,OOC(C)(C)C(CC1)CCC1C,-2.28246213,-0.6032302
CC1=CCCC1=O,CCOC(C(O)(C)C)=O,-0.0999142,-0.02426986
CC1=CCCC1=O,COC(=O)C(C)=C,-0.02052277,-0.00514217
CC1=CCCC1=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.26682306,-0.30299907
CC1=CCCC1=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.17806155,-0.04059002
