SMILES0,SMILES,gamma1,gamma2
CC1C=CC(O1)=O,OC(C)C(O)=O,-1.18758677,-0.30324521
CC1C=CC(O1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.03504651,0.25748227
CC1C=CC(O1)=O,OCC(O)C,1.08733438,0.26117525
CC1C=CC(O1)=O,O=C1CCO1,0.18186185,0.04484694
CC1C=CC(O1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.47824326,0.09837789
CC1C=CC(O1)=O,CCOCC,1.43786912,0.35524824
CC1C=CC(O1)=O,OCC,1.42389989,0.33194039
CC1C=CC(O1)=O,CCCCCC=O,0.92385989,0.22908409
CC1C=CC(O1)=O,CO,1.36152729,0.30966197
CC1C=CC(O1)=O,OC(C)C,1.50078618,0.35715248
CC1C=CC(O1)=O,CC(C)=O,-0.07627929,-0.01779621
CC1C=CC(O1)=O,OCCC,1.46939487,0.35172751
CC1C=CC(O1)=O,OCCCC,1.60483536,0.39404134
CC1C=CC(O1)=O,OCCCCC,1.71394889,0.42461839
CC1C=CC(O1)=O,CC1OC1,0.26099297,0.06429491
CC1C=CC(O1)=O,CCC(C)(C)C,4.18644265,0.96065783
CC1C=CC(O1)=O,CC(C)(C)C(C)=O,0.7822892,0.19462387
CC1C=CC(O1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.60866739,0.3843692
CC1C=CC(O1)=O,COC(C)(C)OC,1.01716528,0.2522737
CC1C=CC(O1)=O,CCC1(CC)CCCCC1,4.12903077,0.97669032
CC1C=CC(O1)=O,CCOC(C)(OCC)OCC,1.23106786,0.30095823
CC1C=CC(O1)=O,CC(C)CCCC(O)(C)CC,2.15102488,0.52126665
CC1C=CC(O1)=O,CCC(C)C,4.26502078,0.96008868
CC1C=CC(O1)=O,CC(=C)C=C,1.82468553,0.41975095
CC1C=CC(O1)=O,CC(=C)C#C,-0.45847288,-0.07795847
CC1C=CC(O1)=O,OCC(C)C,1.42217903,0.35236718
CC1C=CC(O1)=O,CC(C)C=O,0.54826892,0.13495755
CC1C=CC(O1)=O,CC(=C)C=O,0.28524856,0.07029719
CC1C=CC(O1)=O,CCC(O)C,1.55400786,0.37807236
CC1C=CC(O1)=O,CCC(C)=O,0.25060498,0.0636198
CC1C=CC(O1)=O,COC(C)=O,0.11480698,0.02842572
CC1C=CC(O1)=O,CC(C)C(C)C,4.22184789,0.97034075
CC1C=CC(O1)=O,CC(C)C(O)=O,-0.80610472,-0.19974365
CC1C=CC(O1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.22434308,0.28161674
CC1C=CC(O1)=O,OOC(C)(C)C(CC1)CCC1C,0.13857595,0.03660726
CC1C=CC(O1)=O,CCOC(C(O)(C)C)=O,0.71049772,0.17579765
CC1C=CC(O1)=O,COC(=O)C(C)=C,0.62577985,0.15536158
CC1C=CC(O1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.04299956,-0.00149989
CC1C=CC(O1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.1851529,0.0453894
