SMILES0,SMILES,gamma1,gamma2
CC1CCOCO1,OC(C)C(O)=O,-1.4267544,-0.39101869
CC1CCOCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.816e-05,-0.00022608
CC1CCOCO1,OCC(O)C,0.40330288,0.09396121
CC1CCOCO1,O=C1CCO1,0.98522784,0.23694501
CC1CCOCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.24063838,-0.05126936
CC1CCOCO1,CCOCC,0.30779903,0.07656375
CC1CCOCO1,OCC,0.48372195,0.11935441
CC1CCOCO1,CCCCCC=O,0.01839198,0.00478371
CC1CCOCO1,CO,0.86479247,0.20799042
CC1CCOCO1,OC(C)C,0.34685324,0.08538601
CC1CCOCO1,CC(C)=O,0.05562724,0.01388592
CC1CCOCO1,OCCC,0.20256083,0.05146791
CC1CCOCO1,OCCCC,0.17269069,0.04717451
CC1CCOCO1,OCCCCC,0.12783832,0.03629307
CC1CCOCO1,CC1OC1,0.00690123,0.00165143
CC1CCOCO1,CCC(C)(C)C,1.41042348,0.3465939
CC1CCOCO1,CC(C)(C)C(C)=O,0.0668488,0.01671908
CC1CCOCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.18198533,0.04565531
CC1CCOCO1,COC(C)(C)OC,0.13808634,0.03454451
CC1CCOCO1,CCC1(CC)CCCCC1,1.35368559,0.3384655
CC1CCOCO1,CCOC(C)(OCC)OCC,0.16537699,0.04238979
CC1CCOCO1,CC(C)CCCC(O)(C)CC,0.25312584,0.06398139
CC1CCOCO1,CCC(C)C,1.46609377,0.35496523
CC1CCOCO1,CC(=C)C=C,0.3191298,0.07845913
CC1CCOCO1,CC(=C)C#C,-1.13758579,-0.27576604
CC1CCOCO1,OCC(C)C,-0.07732281,-0.01315663
CC1CCOCO1,CC(C)C=O,-0.00261649,-0.00063869
CC1CCOCO1,CC(=C)C=O,0.14026308,0.03464036
CC1CCOCO1,CCC(O)C,0.14899894,0.03870059
CC1CCOCO1,CCC(C)=O,0.00759623,0.0018855
CC1CCOCO1,COC(C)=O,0.08237217,0.0202876
CC1CCOCO1,CC(C)C(C)C,1.43615175,0.35362607
CC1CCOCO1,CC(C)C(O)=O,-1.94604306,-0.51081315
CC1CCOCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.04394672,0.01141861
CC1CCOCO1,OOC(C)(C)C(CC1)CCC1C,-1.68280993,-0.43827732
CC1CCOCO1,CCOC(C(O)(C)C)=O,-0.04634004,-0.0109397
CC1CCOCO1,COC(=O)C(C)=C,0.09421886,0.02351954
CC1CCOCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.77967826,-0.18762469
CC1CCOCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.18922444,0.0438226
CC1CCOCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.22850216,-0.06931044
CC1CCOCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.05376265,-0.01265296
CC1CCOCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.11160639,-0.02435441
CC1CCOCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.09470011,-0.01938811
CC1CCOCO1,CC(C)CCOC(=O)c1ccccc1O,0.05555935,0.01478011
CC1CCOCO1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.10712837,-0.02467257
CC1CCOCO1,O=C2c1ccccc1CO2,0.38761639,0.09705565
CC1CCOCO1,OCC(O)C(O)C(O)CO,0.10844406,0.01957073
CC1CCOCO1,CCC(CC)C(O)=O,-2.03875495,-0.53140749
CC1CCOCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.04140475,-0.26060685
CC1CCOCO1,COc1cc(C)ccc1C(C)(C)C,0.25555835,0.06498632
CC1CCOCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.85051955,0.21330468
CC1CCOCO1,COC(=O)c1ccccc1C,0.0934651,0.02324585
CC1CCOCO1,CC(=O)c1ccc(C)cc1C,0.10841653,0.02646575
CC1CCOCO1,Cc2c1ccccc1ccc2,0.10640573,0.02691659
CC1CCOCO1,O=C2CCCCC2C1CCCCC1,0.23133029,0.05668293
CC1CCOCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.03490286,-0.0085375
CC1CCOCO1,CC(C=O)c1ccccc1,0.01015189,0.00245389
CC1CCOCO1,CCC(O)c1ccccc1,-1.17596507,-0.29619086
CC1CCOCO1,CCOC(=O)c1ccccc1,0.1092683,0.02679569
CC1CCOCO1,CC(OC(C)c2ccccc2)c1ccccc1,-0.00991136,-0.00054143
CC1CCOCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.09867727,-0.02259102
CC1CCOCO1,CCOC(=O)c(cc1)ccc1C,0.11642101,0.02852054
CC1CCOCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.20002164,-0.04226225
CC1CCOCO1,O=C(OCCc1ccccc1)c2ccccc2,-0.01404566,-0.00365194
CC1CCOCO1,CCCc2cc1OCOc1cc2,-0.28331373,-0.06890397
CC1CCOCO1,COC(C1CCC(CC1)C(OC)=O)=O,-0.09814885,-0.02349311
CC1CCOCO1,CCCC1CCCCC1=O,0.1551552,0.03892438
CC1CCOCO1,CCOc1ccc(C=CC)cc1O,-1.85254531,-0.45241577
CC1CCOCO1,CCCC(O)C(CO)CC,0.25510568,0.05102039
CC1CCOCO1,Cc(ccc1C)cc1C,0.35208003,0.08888828
CC1CCOCO1,CCOC(=O)C(OCC)=O,0.01680566,0.00413283
CC1CCOCO1,CC1OC(C(C)OC1=O)=O,-0.00957384,0.00583213
CC1CCOCO1,CCCCC(=O)C(C)=O,-0.05910069,-0.01460221
CC1CCOCO1,C=CCOC(=O)C(C)=C,0.1102207,0.02741074
CC1CCOCO1,C1OC1c2ccccc2,0.06932961,0.01725765
CC1CCOCO1,CCC(C)CC,1.46401762,0.36075537
CC1CCOCO1,CCC(CC)=O,0.02850908,0.00699555
CC1CCOCO1,OCC(CO)=O,0.64506637,0.14789494
CC1CCOCO1,COC(=O)C=C,0.12223115,0.03042108
CC1CCOCO1,COC(CO)=O,0.19686113,0.04635875
CC1CCOCO1,CC1CCCC1,1.43226614,0.34931139
CC1CCOCO1,CC1CCCO1,0.16363129,0.04126483
CC1CCOCO1,O=C1CCCO1,0.35126349,0.08950487
CC1CCOCO1,CCCC(C)C(O)=O,-2.06001755,-0.53682943
CC1CCOCO1,CCOC(C(C)C)=O,0.1061135,0.02658823
CC1CCOCO1,CCOC(=O)C(C)=C,0.14565597,0.03642417
CC1CCOCO1,CCOC(C(O)C)=O,-0.09798038,-0.02444584
CC1CCOCO1,CC(C)C(OC(C(C)C)=O)=O,-0.00531874,-0.00100568
CC1CCOCO1,CC(C)COC(C(C)C)=O,0.23766343,0.05837715
CC1CCOCO1,CC(C)COC(=O)C(C)=C,0.22160457,0.05493777
CC1CCOCO1,CCCCOC(C(C)C)=O,0.21885698,0.05394254
CC1CCOCO1,CCCCOC(=O)C(C)=C,0.21377313,0.05309659
CC1CCOCO1,CCC(CC)C=O,0.10719298,0.02659472
CC1CCOCO1,OCC1CCCO1,0.19521871,0.04635605
CC1CCOCO1,OCc1occc1,-0.7202126,-0.18375813
CC1CCOCO1,O=Cc1occc1,0.44980535,0.10815034
CC1CCOCO1,CC(C)(C)c1ccccc1,0.30684514,0.0781253
CC1CCOCO1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.77868351,-0.46836356
CC1CCOCO1,CC(C)(C)c(cc1)ccc1C,0.4054371,0.10247825
CC1CCOCO1,OC1CCC(CC1)C(C)(C)C,0.13295595,0.03380449
CC1CCOCO1,CC(C)(C)C1CCC(CC1)=O,0.07743618,0.01893385
CC1CCOCO1,CC(C)c1ccccc1,0.29921079,0.07597992
CC1CCOCO1,COC(=O)c(ccc1)cc1C,0.09747853,0.02370648
CC1CCOCO1,OC1CC(CC=C1C)C(C)=C,-0.53973704,-0.13607501
CC1CCOCO1,CC(C)c1cc(C(C)C)ccc1,0.45529345,0.11357213
CC1CCOCO1,CCCC(CCC)C(O)=O,-2.04006249,-0.53308366
CC1CCOCO1,CC(C=O)c(cc1)ccc1C,-0.00543643,-0.00108308
CC1CCOCO1,CC1CCC(C(C)C)CC1,1.37948662,0.34436232
CC1CCOCO1,CC(C)c(cc1)ccc1C,0.38840495,0.09831013
CC1CCOCO1,C=CC1CC=CCC1,0.45676545,0.11503954
CC1CCOCO1,CCc1ccccc1,0.25877591,0.06542913
CC1CCOCO1,C=Cc1ccccc1,0.06995565,0.01776359
CC1CCOCO1,OCC1CCCCC1,-0.05374355,-0.01009942
CC1CCOCO1,COc1ccccc1,0.01354264,0.00338171
CC1CCOCO1,OCC1CCCCO1,0.237331,0.05138315
CC1CCOCO1,OCC(CO1)OC1(C)C,-0.05028013,-0.01390566
CC1CCOCO1,Cc1cc(C=C)ccc1,0.11766771,0.02996949
CC1CCOCO1,COc(ccc1)cc1C,0.02676519,0.00683733
CC1CCOCO1,COC(=O)Cc1ccccc1,0.03556511,0.00879219
CC1CCOCO1,COC(OC)Cc1ccccc1,-0.01510292,-0.00293838
CC1CCOCO1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.11594368,-0.02607251
CC1CCOCO1,CC(C)COC(=O)Cc1ccccc1,-0.03839095,-0.00821408
CC1CCOCO1,O=C(OCc2ccccc2)Cc1ccccc1,-0.07974621,-0.01764458
CC1CCOCO1,CCc1cc(CC)cc(CC)c1,0.53628755,0.13428654
CC1CCOCO1,CC(=O)Oc(ccc1)cc1O,-2.43361145,-0.64519935
CC1CCOCO1,COC(OC)CC(OC)OC,-0.02344558,-0.00565594
CC1CCOCO1,CCCCC(CC)COC(C)=O,0.21221941,0.05128719
CC1CCOCO1,CCCCC(CC)COC(=O)C=C,0.21946038,0.05395659
CC1CCOCO1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.0588362,0.00861821
CC1CCOCO1,COC(CCc1ccccc1)=O,-0.01514667,-0.00384215
CC1CCOCO1,CC(C)C(OCc1ccccc1)=O,-0.01854971,-0.00445241
CC1CCOCO1,CCCC(OCc1ccccc1)=O,-0.03134052,-0.00748059
CC1CCOCO1,CC(C)CC(OCc1ccccc1)=O,-0.05474009,-0.01119228
CC1CCOCO1,CC(OCCc1ccccc1)=O,0.00819783,0.00188997
CC1CCOCO1,CC(C)C(OCCc1ccccc1)=O,-0.00309731,0.00057519
CC1CCOCO1,CC(C)C(OCCOc1ccccc1)=O,-0.16766825,-0.03858742
CC1CCOCO1,CCCc1ccccc1,0.29543487,0.07509747
CC1CCOCO1,CC(C)C(=O)Oc(cc1)ccc1C,-0.00343274,-0.00082367
CC1CCOCO1,CCCc(cc1)ccc1OC,0.05033574,0.01357061
CC1CCOCO1,CCCCC1OC(CC1)=O,-0.03453233,-0.00830188
CC1CCOCO1,CCCCc1ccccc1,0.33494785,0.08514236
CC1CCOCO1,O=COCc1ccccc1,-0.00854323,-0.00281333
CC1CCOCO1,CCCCCC1OC(CC1)=O,-0.04604472,-0.01090563
CC1CCOCO1,O=COCCc1ccccc1,-0.08559769,-0.02156838
CC1CCOCO1,CCCCCCCC1OC(CC1)=O,-0.04540952,-0.01028919
CC1CCOCO1,CCCCC(CO)CC,-0.20475294,-0.04838077
CC1CCOCO1,COc(cc1)ccc1C,0.02508533,0.00644589
CC1CCOCO1,CC(C)COC(CCc1occc1)=O,-0.11781617,-0.02672675
CC1CCOCO1,CCc1ccc(CC)cc1,0.41229312,0.10426911
CC1CCOCO1,C=Cc1ccc(C=C)cc1,-0.01563981,-0.00356134
CC1CCOCO1,CCCC1OC(CC1)=O,-0.00605543,-0.00148114
CC1CCOCO1,OCC=C(C)C#C,-1.27282417,-0.32844516
CC1CCOCO1,CCCC(C)CO,-0.14064987,-0.02774008
CC1CCOCO1,CCCC(O)C#C,-2.18753547,-0.55621847
CC1CCOCO1,CCOC(CC)=O,0.04566317,0.01110056
CC1CCOCO1,CCC(OC=C)=O,0.03685666,0.00916431
CC1CCOCO1,CCC(C)CC(C)=O,0.08268114,0.02077979
CC1CCOCO1,CCC(C)CC(O)=O,-2.06927719,-0.54089787
CC1CCOCO1,CCC(C)OC(C)=O,0.0846525,0.02115645
CC1CCOCO1,CCOC(CC(OCC)=O)=O,-0.07336767,-0.01803333
CC1CCOCO1,CCOC(CCC)=O,0.08680854,0.02169011
CC1CCOCO1,CCOC(C)OCC,0.18220567,0.04699508
CC1CCOCO1,CCOC(OCC)=O,0.00441088,0.0009895
CC1CCOCO1,CCCOC(CCC)=O,0.14615151,0.03668417
CC1CCOCO1,CC(C)CCOC(CC)=O,0.16972352,0.04210131
CC1CCOCO1,CCCCOC(=O)C=CC(OCCCC)=O,-0.20013759,-0.04528618
CC1CCOCO1,O=C1OCCOC(CCCCCCCCCCC1)=O,-0.17614384,-0.03866975
CC1CCOCO1,CCCCCCCCCCCC(OCCCC)=O,0.38677926,0.08430728
CC1CCOCO1,OCCC(C)CCCC(C)C,-0.02623074,-0.00549284
CC1CCOCO1,CC(C)CCOC(CCC)=O,0.2117066,0.05260855
CC1CCOCO1,CCCCCCC(OCC)=O,0.18878074,0.04664448
CC1CCOCO1,CCCC(OC(CCC)=O)=O,-0.04898821,-0.0117972
CC1CCOCO1,CCCCCCCC(OCC)=O,0.21588032,0.05308768
CC1CCOCO1,CCCCC(CC)=O,0.10521658,0.02601333
CC1CCOCO1,CCCOC(CC)=O,0.09773094,0.02437023
CC1CCOCO1,CC(C)COC(=O)C=C,0.11224232,0.02791318
CC1CCOCO1,CCCCCC(CC)=O,0.14869165,0.03718084
CC1CCOCO1,CCCCCC(OC)=O,0.07628911,0.01945236
CC1CCOCO1,CC(CCC=C(C)C)C=O,0.09055404,0.02348601
CC1CCOCO1,CCCCCCC(OC)=O,0.10968063,0.02762654
CC1CCOCO1,CCOCCOC(=O)C=C,-0.01293215,-0.00309585
CC1CCOCO1,C=CC2CC1OC1CC2,0.07038319,0.01779307
CC1CCOCO1,C1OC1C3CC2OC2CC3,-0.0108176,-0.00267859
CC1CCOCO1,CCC1OC1,0.04381517,0.01101498
CC1CCOCO1,C=CC(OCC1OC1)=O,0.18083078,0.04486842
CC1CCOCO1,CC(=C)C(OCC1OC1)=O,0.04625307,0.01058612
