SMILES0,SMILES,gamma1,gamma2
CC1COCO1,OC(C)C(O)=O,-1.07526327,-0.29392001
CC1COCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.01781307,-0.00252289
CC1COCO1,OCC(O)C,0.55922502,0.1273057
CC1COCO1,O=C1CCO1,0.6670839,0.1635984
CC1COCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.2237166,-0.04645815
CC1COCO1,CCOCC,0.40408119,0.10118247
CC1COCO1,OCC,0.67697617,0.16133211
CC1COCO1,CCCCCC=O,0.07699727,0.0194566
CC1COCO1,CO,0.97859575,0.23096256
CC1COCO1,OC(C)C,0.55907339,0.133652
CC1COCO1,CC(C)=O,-0.00036165,-9.878e-05
CC1COCO1,OCCC,0.46058062,0.11046753
CC1COCO1,OCCCC,0.43905986,0.10877968
CC1COCO1,OCCCCC,0.40920184,0.1018178
CC1COCO1,CC1OC1,0.00670193,0.00169489
CC1COCO1,CCC(C)(C)C,1.57432177,0.38977453
CC1COCO1,CC(C)(C)C(C)=O,0.1113883,0.02766387
CC1COCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.26763757,0.06496864
CC1COCO1,COC(C)(C)OC,0.19981162,0.04985163
CC1COCO1,CCC1(CC)CCCCC1,1.50311819,0.37352492
CC1COCO1,CCOC(C)(OCC)OCC,0.22743982,0.05670203
CC1COCO1,CC(C)CCCC(O)(C)CC,0.49777211,0.11951926
CC1COCO1,CCC(C)C,1.63324918,0.40044788
CC1COCO1,CC(=C)C=C,0.40340236,0.10041557
CC1COCO1,CC(=C)C#C,-0.97151008,-0.23730977
CC1COCO1,OCC(C)C,0.23180796,0.05919148
CC1COCO1,CC(C)C=O,0.02051706,0.00514611
CC1COCO1,CC(=C)C=O,0.08572092,0.02138429
CC1COCO1,CCC(O)C,0.40339399,0.09873001
CC1COCO1,CCC(C)=O,0.00073252,0.00019002
CC1COCO1,COC(C)=O,0.02250537,0.00559949
CC1COCO1,CC(C)C(C)C,1.59729713,0.39607859
CC1COCO1,CC(C)C(O)=O,-1.38659824,-0.35895448
CC1COCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.10180733,0.02394913
CC1COCO1,OOC(C)(C)C(CC1)CCC1C,-1.12991302,-0.29255719
CC1COCO1,CCOC(C(O)(C)C)=O,0.02872061,0.00775711
CC1COCO1,COC(=O)C(C)=C,0.0847302,0.02112786
CC1COCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.69237904,-0.16173175
CC1COCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.03516287,0.00677701
CC1COCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.07111142,-0.00706566
CC1COCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.10850012,-0.024699
CC1COCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.0898598,-0.01874915
CC1COCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.03877126,-0.00836136
CC1COCO1,CC(C)CCOC(=O)c1ccccc1O,0.12017007,0.03071331
CC1COCO1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.12096053,-0.02549971
CC1COCO1,O=C2c1ccccc1CO2,0.1895024,0.04726737
CC1COCO1,OCC(O)C(O)C(O)CO,0.17235352,0.02984486
CC1COCO1,CCC(CC)C(O)=O,-1.42520296,-0.36608059
CC1COCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.69071411,-0.17549637
CC1COCO1,COc1cc(C)ccc1C(C)(C)C,0.34255279,0.08614752
