SMILES0,SMILES,gamma1,gamma2
CC1OC(=O)C=CC1,OC(C)C(O)=O,-2.49683772,-0.63901327
CC1OC(=O)C=CC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.41871202,0.11113139
CC1OC(=O)C=CC1,OCC(O)C,0.39480396,0.1019959
CC1OC(=O)C=CC1,O=C1CCO1,0.25574855,0.05944194
CC1OC(=O)C=CC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.1251654,0.02894591
CC1OC(=O)C=CC1,CCOCC,1.17385655,0.28276199
CC1OC(=O)C=CC1,OCC,0.72541513,0.18000898
CC1OC(=O)C=CC1,CCCCCC=O,0.56901874,0.14246396
CC1OC(=O)C=CC1,CO,0.79850478,0.19694425
CC1OC(=O)C=CC1,OC(C)C,0.79305754,0.19656359
CC1OC(=O)C=CC1,CC(C)=O,-0.0561299,-0.01362843
CC1OC(=O)C=CC1,OCCC,0.61692583,0.16021777
CC1OC(=O)C=CC1,OCCCC,0.73608406,0.19736792
CC1OC(=O)C=CC1,OCCCCC,0.79988748,0.21784857
CC1OC(=O)C=CC1,CC1OC1,0.12963363,0.03007481
CC1OC(=O)C=CC1,CCC(C)(C)C,3.35919988,0.78083483
CC1OC(=O)C=CC1,CC(C)(C)C(C)=O,0.56935357,0.14147133
CC1OC(=O)C=CC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.14853915,0.2849416
CC1OC(=O)C=CC1,COC(C)(C)OC,0.7925981,0.19553249
CC1OC(=O)C=CC1,CCC1(CC)CCCCC1,3.31298264,0.8036556
CC1OC(=O)C=CC1,CCOC(C)(OCC)OCC,0.96745993,0.24308841
CC1OC(=O)C=CC1,CC(C)CCCC(O)(C)CC,1.29803219,0.33462852
CC1OC(=O)C=CC1,CCC(C)C,3.43268192,0.77885109
CC1OC(=O)C=CC1,CC(=C)C=C,1.13044677,0.26075774
CC1OC(=O)C=CC1,CC(=C)C#C,-1.42742226,-0.30534141
CC1OC(=O)C=CC1,OCC(C)C,0.43053283,0.1281684
CC1OC(=O)C=CC1,CC(C)C=O,0.30781729,0.07445524
CC1OC(=O)C=CC1,CC(=C)C=O,0.12594777,0.03049929
CC1OC(=O)C=CC1,CCC(O)C,0.72353064,0.18691031
CC1OC(=O)C=CC1,CCC(C)=O,0.15323976,0.03775252
CC1OC(=O)C=CC1,COC(C)=O,0.00473806,0.00100607
CC1OC(=O)C=CC1,CC(C)C(C)C,3.39636545,0.79108929
CC1OC(=O)C=CC1,CC(C)C(O)=O,-2.38438115,-0.60162223
CC1OC(=O)C=CC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.80997513,0.19665765
CC1OC(=O)C=CC1,OOC(C)(C)C(CC1)CCC1C,-1.41767259,-0.34179688
CC1OC(=O)C=CC1,CCOC(C(O)(C)C)=O,0.33536204,0.08508533
CC1OC(=O)C=CC1,COC(=O)C(C)=C,0.33740818,0.08342785
CC1OC(=O)C=CC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.78029855,-0.18747289
CC1OC(=O)C=CC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.013047,-0.00265441
CC1OC(=O)C=CC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.89512226,0.17903647
CC1OC(=O)C=CC1,CCOC(=O)c1ccccc1C(OCC)=O,0.08478786,0.02319714
CC1OC(=O)C=CC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.41666113,0.10062227
CC1OC(=O)C=CC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.65970724,0.14883317
CC1OC(=O)C=CC1,CC(C)CCOC(=O)c1ccccc1O,0.76072016,0.19389948
CC1OC(=O)C=CC1,Oc2ccccc2C(OCCc1ccccc1)=O,0.16428641,0.04921993
CC1OC(=O)C=CC1,O=C2c1ccccc1CO2,-0.10003062,-0.02494329
CC1OC(=O)C=CC1,OCC(O)C(O)C(O)CO,-0.15974648,-0.04306781
CC1OC(=O)C=CC1,CCC(CC)C(O)=O,-2.20360517,-0.54550729
CC1OC(=O)C=CC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.71030216,-0.16088914
CC1OC(=O)C=CC1,COc1cc(C)ccc1C(C)(C)C,1.26975744,0.32060705
CC1OC(=O)C=CC1,CC2CCC(CC1=C2CCC1C)=C(C)C,2.47781406,0.61614056
CC1OC(=O)C=CC1,COC(=O)c1ccccc1C,0.40943247,0.10519452
CC1OC(=O)C=CC1,CC(=O)c1ccc(C)cc1C,0.48697762,0.12342568
CC1OC(=O)C=CC1,Cc2c1ccccc1ccc2,0.5776628,0.14751311
CC1OC(=O)C=CC1,O=C2CCCCC2C1CCCCC1,1.19014679,0.29463958
CC1OC(=O)C=CC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.10752391,-0.02280625
CC1OC(=O)C=CC1,CC(C=O)c1ccccc1,0.09695526,0.02556292
CC1OC(=O)C=CC1,CCC(O)c1ccccc1,-1.18633923,-0.27050337
CC1OC(=O)C=CC1,CCOC(=O)c1ccccc1,0.40787754,0.1045594
CC1OC(=O)C=CC1,CC(OC(C)c2ccccc2)c1ccccc1,0.57095271,0.14786879
CC1OC(=O)C=CC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.14149263,-0.02629464
CC1OC(=O)C=CC1,CCOC(=O)c(cc1)ccc1C,0.5661936,0.14397803
CC1OC(=O)C=CC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.45304719,0.0836344
CC1OC(=O)C=CC1,O=C(OCCc1ccccc1)c2ccccc2,0.23798365,0.06482168
CC1OC(=O)C=CC1,CCCc2cc1OCOc1cc2,0.12039499,0.0363826
CC1OC(=O)C=CC1,COC(C1CCC(CC1)C(OC)=O)=O,0.14958176,0.03659619
CC1OC(=O)C=CC1,CCCC1CCCCC1=O,0.93400817,0.2338971
CC1OC(=O)C=CC1,CCOc1ccc(C=CC)cc1O,-2.06381291,-0.45565162
CC1OC(=O)C=CC1,CCCC(O)C(CO)CC,0.96533035,0.23585028
CC1OC(=O)C=CC1,Cc(ccc1C)cc1C,1.27939381,0.31682486
