SMILES0,SMILES,gamma1,gamma2
CC1OC(C)=CC1=O,OC(C)C(O)=O,-2.89893763,-0.77620313
CC1OC(C)=CC1=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.24516051,0.06581336
CC1OC(C)=CC1=O,OCC(O)C,0.06705274,0.02068453
CC1OC(C)=CC1=O,O=C1CCO1,0.4545213,0.10837497
CC1OC(C)=CC1=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.05882402,0.01273893
CC1OC(C)=CC1=O,CCOCC,0.92693496,0.22145852
CC1OC(C)=CC1=O,OCC,0.26958654,0.07582143
CC1OC(C)=CC1=O,CCCCCC=O,0.41644727,0.10372865
CC1OC(C)=CC1=O,CO,0.41240121,0.10881469
CC1OC(C)=CC1=O,OC(C)C,0.33097812,0.08931711
CC1OC(C)=CC1=O,CC(C)=O,-0.10247691,-0.02491222
CC1OC(C)=CC1=O,OCCC,0.08660123,0.03448832
CC1OC(C)=CC1=O,OCCCC,0.18841777,0.0658707
CC1OC(C)=CC1=O,OCCCCC,0.22765161,0.07833373
CC1OC(C)=CC1=O,CC1OC1,0.02979825,0.00604628
CC1OC(C)=CC1=O,CCC(C)(C)C,2.91264196,0.67163919
CC1OC(C)=CC1=O,CC(C)(C)C(C)=O,0.41153997,0.10172944
CC1OC(C)=CC1=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.93288413,0.23018076
CC1OC(C)=CC1=O,COC(C)(C)OC,0.62208935,0.15258027
CC1OC(C)=CC1=O,CCC1(CC)CCCCC1,2.86922977,0.69075948
CC1OC(C)=CC1=O,CCOC(C)(OCC)OCC,0.76142403,0.19105171
CC1OC(C)=CC1=O,CC(C)CCCC(O)(C)CC,0.74723585,0.19785141
CC1OC(C)=CC1=O,CCC(C)C,2.9707679,0.66836811
CC1OC(C)=CC1=O,CC(=C)C=C,0.88578563,0.20155716
CC1OC(C)=CC1=O,CC(=C)C#C,-1.59241243,-0.35830062
CC1OC(C)=CC1=O,OCC(C)C,-0.14188745,-0.01286392
CC1OC(C)=CC1=O,CC(C)C=O,0.1963425,0.04713261
CC1OC(C)=CC1=O,CC(=C)C=O,0.04534008,0.01079557
CC1OC(C)=CC1=O,CCC(O)C,0.20826177,0.06286493
CC1OC(C)=CC1=O,CCC(C)=O,0.05956491,0.01449203
CC1OC(C)=CC1=O,COC(C)=O,0.00130999,0.00013354
CC1OC(C)=CC1=O,CC(C)C(C)C,2.9432043,0.68016725
CC1OC(C)=CC1=O,CC(C)C(O)=O,-3.17824328,-0.86181654
CC1OC(C)=CC1=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.60889485,0.14659363
CC1OC(C)=CC1=O,OOC(C)(C)C(CC1)CCC1C,-2.23982775,-0.59092172
CC1OC(C)=CC1=O,CCOC(C(O)(C)C)=O,0.17765702,0.04542094
CC1OC(C)=CC1=O,COC(=O)C(C)=C,0.23676472,0.05823343
CC1OC(C)=CC1=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.86770353,-0.21120848
CC1OC(C)=CC1=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.05098666,-0.0121948
CC1OC(C)=CC1=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.25787059,0.02609346
CC1OC(C)=CC1=O,CCOC(=O)c1ccccc1C(OCC)=O,0.02311472,0.00723046
CC1OC(C)=CC1=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.26657003,0.06408159
CC1OC(C)=CC1=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.46689118,0.10463203
CC1OC(C)=CC1=O,CC(C)CCOC(=O)c1ccccc1O,0.57076992,0.14422205
CC1OC(C)=CC1=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.06790866,0.02244664
CC1OC(C)=CC1=O,O=C2c1ccccc1CO2,-0.03882311,-0.00944186
CC1OC(C)=CC1=O,OCC(O)C(O)C(O)CO,-0.25282201,-0.06077702
CC1OC(C)=CC1=O,CCC(CC)C(O)=O,-3.09082439,-0.83072363
CC1OC(C)=CC1=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.32311542,-0.32164504
CC1OC(C)=CC1=O,COc1cc(C)ccc1C(C)(C)C,1.00377967,0.25110751
CC1OC(C)=CC1=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.10755742,0.52102433
CC1OC(C)=CC1=O,COC(=O)c1ccccc1C,0.28315173,0.07215999
CC1OC(C)=CC1=O,CC(=O)c1ccc(C)cc1C,0.32259172,0.08119401
CC1OC(C)=CC1=O,Cc2c1ccccc1ccc2,0.39897246,0.10037968
CC1OC(C)=CC1=O,O=C2CCCCC2C1CCCCC1,0.95872619,0.23577302
CC1OC(C)=CC1=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.13427013,-0.03044893
CC1OC(C)=CC1=O,CC(C=O)c1ccccc1,0.03978951,0.01043708
CC1OC(C)=CC1=O,CCC(O)c1ccccc1,-1.73506481,-0.42196667
CC1OC(C)=CC1=O,CCOC(=O)c1ccccc1,0.27873237,0.0709062
CC1OC(C)=CC1=O,CC(OC(C)c2ccccc2)c1ccccc1,0.39443412,0.1017899
CC1OC(C)=CC1=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.20135224,-0.04194273
CC1OC(C)=CC1=O,CCOC(=O)c(cc1)ccc1C,0.40547781,0.10241986
CC1OC(C)=CC1=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.31454015,0.05570452
CC1OC(C)=CC1=O,O=C(OCCc1ccccc1)c2ccccc2,0.13022978,0.03604152
CC1OC(C)=CC1=O,CCCc2cc1OCOc1cc2,0.00126999,0.00344113
