SMILES0,SMILES,gamma1,gamma2
CC1OC(CC1)=O,OC(C)C(O)=O,-1.66700655,-0.42968628
CC1OC(CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.32645901,0.08883825
CC1OC(CC1)=O,OCC(O)C,0.6105827,0.14668371
CC1OC(CC1)=O,O=C1CCO1,0.27956554,0.06529149
CC1OC(CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.02167065,-0.00077858
CC1OC(CC1)=O,CCOCC,1.0190881,0.25058737
CC1OC(CC1)=O,OCC,0.94407762,0.22551428
CC1OC(CC1)=O,CCCCCC=O,0.42230915,0.10764773
CC1OC(CC1)=O,CO,1.09621918,0.25878785
CC1OC(CC1)=O,OC(C)C,0.92450877,0.22375199
CC1OC(CC1)=O,CC(C)=O,-0.00805827,-0.00192296
CC1OC(CC1)=O,OCCC,0.819299,0.20206659
CC1OC(CC1)=O,OCCCC,0.88269179,0.22618539
CC1OC(CC1)=O,OCCCCC,0.9163286,0.23936347
CC1OC(CC1)=O,CC1OC1,0.1390474,0.03339819
CC1OC(CC1)=O,CCC(C)(C)C,2.91039783,0.69850596
CC1OC(CC1)=O,CC(C)(C)C(C)=O,0.46146868,0.11601213
CC1OC(CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.89907763,0.22603751
CC1OC(CC1)=O,COC(C)(C)OC,0.64794311,0.16213961
CC1OC(CC1)=O,CCC1(CC)CCCCC1,2.84807725,0.70694569
CC1OC(CC1)=O,CCOC(C)(OCC)OCC,0.77959607,0.19791365
CC1OC(CC1)=O,CC(C)CCCC(O)(C)CC,1.23626657,0.31710094
CC1OC(CC1)=O,CCC(C)C,2.99543398,0.70412494
CC1OC(CC1)=O,CC(=C)C=C,0.98198049,0.23520697
CC1OC(CC1)=O,CC(=C)C#C,-1.1976739,-0.26172729
CC1OC(CC1)=O,OCC(C)C,0.62835225,0.16814676
CC1OC(CC1)=O,CC(C)C=O,0.23917325,0.05879208
CC1OC(CC1)=O,CC(=C)C=O,0.15357132,0.03794123
CC1OC(CC1)=O,CCC(O)C,0.84338386,0.21202681
CC1OC(CC1)=O,CCC(C)=O,0.13262956,0.03299111
CC1OC(CC1)=O,COC(C)=O,0.01140215,0.00285167
CC1OC(CC1)=O,CC(C)C(C)C,2.94932497,0.7090544
CC1OC(CC1)=O,CC(C)C(O)=O,-1.51412399,-0.37630166
CC1OC(CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.61719126,0.15254053
CC1OC(CC1)=O,OOC(C)(C)C(CC1)CCC1C,-0.88832138,-0.20835935
CC1OC(CC1)=O,CCOC(C(O)(C)C)=O,0.28087162,0.07237366
CC1OC(CC1)=O,COC(=O)C(C)=C,0.29177601,0.07324221
CC1OC(CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.64818197,-0.15229108
CC1OC(CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.01524988,0.00368655
CC1OC(CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.85234671,0.17405951
CC1OC(CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.01766018,0.00747519
CC1OC(CC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.27244829,0.06835373
CC1OC(CC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.45856717,0.10553048
CC1OC(CC1)=O,CC(C)CCOC(=O)c1ccccc1O,0.60660527,0.15743063
CC1OC(CC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.08923696,0.03187133
CC1OC(CC1)=O,O=C2c1ccccc1CO2,-0.04827055,-0.0119685
CC1OC(CC1)=O,OCC(O)C(O)C(O)CO,-0.02818242,-0.01744084
CC1OC(CC1)=O,CCC(CC)C(O)=O,-1.3864335,-0.33493128
CC1OC(CC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.41512473,-0.09397146
CC1OC(CC1)=O,COc1cc(C)ccc1C(C)(C)C,1.03186998,0.2659017
CC1OC(CC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.08414468,0.52543977
CC1OC(CC1)=O,COC(=O)c1ccccc1C,0.33905317,0.08881304
CC1OC(CC1)=O,CC(=O)c1ccc(C)cc1C,0.41830726,0.10725153
CC1OC(CC1)=O,Cc2c1ccccc1ccc2,0.47944748,0.12614534
CC1OC(CC1)=O,O=C2CCCCC2C1CCCCC1,0.94911912,0.23782005
CC1OC(CC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.13619642,-0.02873736
CC1OC(CC1)=O,CC(C=O)c1ccccc1,0.03968753,0.0120812
CC1OC(CC1)=O,CCC(O)c1ccccc1,-0.7886828,-0.17972818
CC1OC(CC1)=O,CCOC(=O)c1ccccc1,0.34551897,0.08989301
CC1OC(CC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.42377035,0.11337614
CC1OC(CC1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.14596623,-0.02695709
CC1OC(CC1)=O,CCOC(=O)c(cc1)ccc1C,0.47402319,0.12195706
CC1OC(CC1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.24767949,0.04532003
CC1OC(CC1)=O,O=C(OCCc1ccccc1)c2ccccc2,0.16349091,0.04718174
CC1OC(CC1)=O,CCCc2cc1OCOc1cc2,0.00846527,0.01104506
CC1OC(CC1)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.02901126,0.00810223
CC1OC(CC1)=O,CCCC1CCCCC1=O,0.75399943,0.19116921
CC1OC(CC1)=O,CCOc1ccc(C=CC)cc1O,-1.53842368,-0.35031035
CC1OC(CC1)=O,CCCC(O)C(CO)CC,0.96828117,0.23250559
CC1OC(CC1)=O,Cc(ccc1C)cc1C,1.08998783,0.27646929
CC1OC(CC1)=O,CCOC(=O)C(OCC)=O,-0.03496753,-0.00829275
CC1OC(CC1)=O,CC1OC(C(C)OC1=O)=O,-0.69574862,-0.17138653
CC1OC(CC1)=O,CCCCC(=O)C(C)=O,0.18072723,0.0472123
CC1OC(CC1)=O,C=CCOC(=O)C(C)=C,0.37098408,0.09544978
CC1OC(CC1)=O,C1OC1c2ccccc2,0.04506419,0.01228915
CC1OC(CC1)=O,CCC(C)CC,2.99122606,0.72089491
CC1OC(CC1)=O,CCC(CC)=O,0.34395796,0.08616796
CC1OC(CC1)=O,OCC(CO)=O,0.01880228,-0.00594969
CC1OC(CC1)=O,COC(=O)C=C,0.07105526,0.01765344
CC1OC(CC1)=O,COC(CO)=O,-0.09868151,-0.02616033
CC1OC(CC1)=O,CC1CCCC1,2.95487953,0.70170241
CC1OC(CC1)=O,CC1CCCO1,0.72472795,0.18151703
CC1OC(CC1)=O,O=C1CCCO1,0.04538787,0.01137152
CC1OC(CC1)=O,CCCC(C)C(O)=O,-1.40481818,-0.33980241
CC1OC(CC1)=O,CCOC(C(C)C)=O,0.58045445,0.14644594
CC1OC(CC1)=O,CCOC(=O)C(C)=C,0.53942646,0.13646334
CC1OC(CC1)=O,CCOC(C(O)C)=O,0.08391695,0.02172052
CC1OC(CC1)=O,CC(C)C(OC(C(C)C)=O)=O,0.37064443,0.09366801
CC1OC(CC1)=O,CC(C)COC(C(C)C)=O,0.90627558,0.22765588
CC1OC(CC1)=O,CC(C)COC(=O)C(C)=C,0.81521915,0.20645329
CC1OC(CC1)=O,CCCCOC(C(C)C)=O,0.87697944,0.22029581
CC1OC(CC1)=O,CCCCOC(=O)C(C)=C,0.80343484,0.20369384
CC1OC(CC1)=O,CCC(CC)C=O,0.61646249,0.15421162
CC1OC(CC1)=O,OCC1CCCO1,0.48363773,0.11857769
CC1OC(CC1)=O,OCc1occc1,-0.94058423,-0.23157158
CC1OC(CC1)=O,O=Cc1occc1,-0.06044694,-0.01585977
CC1OC(CC1)=O,CC(C)(C)c1ccccc1,1.05120595,0.2696008
CC1OC(CC1)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.28208991,-0.32441348
CC1OC(CC1)=O,CC(C)(C)c(cc1)ccc1C,1.25779995,0.32137677
CC1OC(CC1)=O,OC1CCC(CC1)C(C)(C)C,1.03478158,0.26894415
CC1OC(CC1)=O,CC(C)(C)C1CCC(CC1)=O,0.57707643,0.14481469
CC1OC(CC1)=O,CC(C)c1ccccc1,0.99977676,0.25540114
CC1OC(CC1)=O,COC(=O)c(ccc1)cc1C,0.32358739,0.08353842
CC1OC(CC1)=O,OC1CC(CC=C1C)C(C)=C,0.05976057,0.02384482
CC1OC(CC1)=O,CC(C)c1cc(C(C)C)ccc1,1.37033703,0.34814856
CC1OC(CC1)=O,CCCC(CCC)C(O)=O,-1.24728237,-0.30036209
CC1OC(CC1)=O,CC(C=O)c(cc1)ccc1C,0.19525218,0.05231163
CC1OC(CC1)=O,CC1CCC(C(C)C)CC1,2.89061608,0.71814058
CC1OC(CC1)=O,CC(C)c(cc1)ccc1C,1.20424498,0.30761728
CC1OC(CC1)=O,C=CC1CC=CCC1,1.32589407,0.33173738
CC1OC(CC1)=O,CCc1ccccc1,0.88628782,0.22408189
CC1OC(CC1)=O,C=Cc1ccccc1,0.3243435,0.08416752
CC1OC(CC1)=O,OCC1CCCCC1,0.79131927,0.21219177
CC1OC(CC1)=O,COc1ccccc1,0.14091875,0.0361088
CC1OC(CC1)=O,OCC1CCCCO1,0.69363564,0.16697023
CC1OC(CC1)=O,OCC(CO1)OC1(C)C,0.10230449,0.02498315
CC1OC(CC1)=O,Cc1cc(C=C)ccc1,0.54260529,0.14104007
CC1OC(CC1)=O,COc(ccc1)cc1C,0.33192544,0.08592231
CC1OC(CC1)=O,COC(=O)Cc1ccccc1,-0.0036003,0.0015315
CC1OC(CC1)=O,COC(OC)Cc1ccccc1,0.2250117,0.06060963
CC1OC(CC1)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.11376334,-0.02021118
CC1OC(CC1)=O,CC(C)COC(=O)Cc1ccccc1,0.26702498,0.07135925
CC1OC(CC1)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.13883255,-0.0264518
CC1OC(CC1)=O,CCc1cc(CC)cc(CC)c1,1.52258936,0.3859833
CC1OC(CC1)=O,CC(=O)Oc(ccc1)cc1O,-2.58664492,-0.66420031
CC1OC(CC1)=O,COC(OC)CC(OC)OC,0.26716687,0.06710129
CC1OC(CC1)=O,CCCCC(CC)COC(C)=O,0.88895651,0.22106025
CC1OC(CC1)=O,CCCCC(CC)COC(=O)C=C,0.91123383,0.2289545
CC1OC(CC1)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.7980448,0.16344304
CC1OC(CC1)=O,COC(CCc1ccccc1)=O,0.06727444,0.01914456
CC1OC(CC1)=O,CC(C)C(OCc1ccccc1)=O,0.23794702,0.06293919
CC1OC(CC1)=O,CCCC(OCc1ccccc1)=O,0.21509594,0.05896236
CC1OC(CC1)=O,CC(C)CC(OCc1ccccc1)=O,0.26435503,0.07414072
CC1OC(CC1)=O,CC(OCCc1ccccc1)=O,0.11778576,0.03199234
CC1OC(CC1)=O,CC(C)C(OCCc1ccccc1)=O,0.35508671,0.0933597
CC1OC(CC1)=O,CC(C)C(OCCOc1ccccc1)=O,-0.06879555,-0.01027987
CC1OC(CC1)=O,CCCc1ccccc1,1.01057098,0.25849926
CC1OC(CC1)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.32092581,0.08357088
CC1OC(CC1)=O,CCCc(cc1)ccc1OC,0.56516608,0.1480779
CC1OC(CC1)=O,CCCCC1OC(CC1)=O,0.13520673,0.03452187
CC1OC(CC1)=O,CCCCc1ccccc1,1.12399441,0.28868001
CC1OC(CC1)=O,O=COCc1ccccc1,-0.24126557,-0.05948476
CC1OC(CC1)=O,CCCCCC1OC(CC1)=O,0.20342218,0.0516091
CC1OC(CC1)=O,O=COCCc1ccccc1,-0.16209126,-0.03812334
CC1OC(CC1)=O,CCCCCCCC1OC(CC1)=O,0.33755493,0.08442269
CC1OC(CC1)=O,CCCCC(CO)CC,0.73599631,0.20425136
CC1OC(CC1)=O,COc(cc1)ccc1C,0.3379564,0.08761559
CC1OC(CC1)=O,CC(C)COC(CCc1occc1)=O,0.18325927,0.05170432
CC1OC(CC1)=O,CCc1ccc(CC)cc1,1.25671801,0.32061149
CC1OC(CC1)=O,C=Cc1ccc(C=C)cc1,0.21545526,0.06049233
CC1OC(CC1)=O,CCCC1OC(CC1)=O,0.0746461,0.01908929
CC1OC(CC1)=O,OCC=C(C)C#C,-1.41495261,-0.3510955
CC1OC(CC1)=O,CCCC(C)CO,0.70235748,0.19594652
CC1OC(CC1)=O,CCCC(O)C#C,-2.11932621,-0.51510398
CC1OC(CC1)=O,CCOC(CC)=O,0.37132042,0.09271875
CC1OC(CC1)=O,CCC(OC=C)=O,0.25153346,0.06364376
CC1OC(CC1)=O,CCC(C)CC(C)=O,0.54180513,0.13760388
CC1OC(CC1)=O,CCC(C)CC(O)=O,-1.47824601,-0.36211138
CC1OC(CC1)=O,CCC(C)OC(C)=O,0.50457447,0.12756567
CC1OC(CC1)=O,CCOC(CC(OCC)=O)=O,-0.11035171,-0.02628675
CC1OC(CC1)=O,CCOC(CCC)=O,0.53250089,0.13452595
CC1OC(CC1)=O,CCOC(C)OCC,0.76954118,0.19638053
CC1OC(CC1)=O,CCOC(OCC)=O,0.19976719,0.0506899
CC1OC(CC1)=O,CCCOC(CCC)=O,0.69716569,0.17654277
CC1OC(CC1)=O,CC(C)CCOC(CC)=O,0.76665957,0.19340334
CC1OC(CC1)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.10933362,0.02997063
CC1OC(CC1)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.15571598,0.04338791
CC1OC(CC1)=O,CCCCCCCCCCCC(OCCCC)=O,1.32847153,0.30385211
CC1OC(CC1)=O,OCCC(C)CCCC(C)C,0.95944836,0.25280186
CC1OC(CC1)=O,CC(C)CCOC(CCC)=O,0.87500767,0.2202349
CC1OC(CC1)=O,CCCCCCC(OCC)=O,0.84295878,0.21180446
