SMILES0,SMILES,gamma1,gamma2
CC1OC(CC1C)=O,OC(C)C(O)=O,-1.40735438,-0.36974187
CC1OC(CC1C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.13105274,0.03641457
CC1OC(CC1C)=O,OCC(O)C,0.67986283,0.16405329
CC1OC(CC1C)=O,O=C1CCO1,0.61039849,0.13983538
CC1OC(CC1C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.14767662,-0.03087764
CC1OC(CC1C)=O,CCOCC,0.71415206,0.17283799
CC1OC(CC1C)=O,OCC,0.86403856,0.20790221
CC1OC(CC1C)=O,CCCCCC=O,0.21414474,0.05401406
CC1OC(CC1C)=O,CO,1.1514355,0.27286209
CC1OC(CC1C)=O,OC(C)C,0.7729703,0.18645652
CC1OC(CC1C)=O,CC(C)=O,-0.05328667,-0.01290319
CC1OC(CC1C)=O,OCCC,0.66735264,0.16424025
CC1OC(CC1C)=O,OCCCC,0.69088014,0.17630643
CC1OC(CC1C)=O,OCCCCC,0.69556861,0.18090788
CC1OC(CC1C)=O,CC1OC1,-0.00217853,-0.00067142
CC1OC(CC1C)=O,CCC(C)(C)C,2.42661064,0.57384847
CC1OC(CC1C)=O,CC(C)(C)C(C)=O,0.26346947,0.06568979
CC1OC(CC1C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.61791199,0.15639417
CC1OC(CC1C)=O,COC(C)(C)OC,0.41377287,0.10265068
CC1OC(CC1C)=O,CCC1(CC)CCCCC1,2.38377813,0.58915892
CC1OC(CC1C)=O,CCOC(C)(OCC)OCC,0.53231277,0.13596847
CC1OC(CC1C)=O,CC(C)CCCC(O)(C)CC,0.93373644,0.24061245
CC1OC(CC1C)=O,CCC(C)C,2.49748397,0.57618478
CC1OC(CC1C)=O,CC(=C)C=C,0.64634885,0.15082068
CC1OC(CC1C)=O,CC(=C)C#C,-1.40145814,-0.31452522
CC1OC(CC1C)=O,OCC(C)C,0.42671555,0.1156705
CC1OC(CC1C)=O,CC(C)C=O,0.07823368,0.01884842
CC1OC(CC1C)=O,CC(=C)C=O,0.07157932,0.0175723
CC1OC(CC1C)=O,CCC(O)C,0.63732195,0.15895867
CC1OC(CC1C)=O,CCC(C)=O,0.01716525,0.00421762
CC1OC(CC1C)=O,COC(C)=O,-0.03419745,-0.0083279
CC1OC(CC1C)=O,CC(C)C(C)C,2.46386826,0.58397078
CC1OC(CC1C)=O,CC(C)C(O)=O,-1.58266979,-0.39464447
CC1OC(CC1C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.37411485,0.09382184
CC1OC(CC1C)=O,OOC(C)(C)C(CC1)CCC1C,-1.1276393,-0.27213113
CC1OC(CC1C)=O,CCOC(C(O)(C)C)=O,0.11691958,0.03033298
CC1OC(CC1C)=O,COC(=O)C(C)=C,0.14052526,0.03487468
CC1OC(CC1C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.83915713,-0.2060141
CC1OC(CC1C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.04381216,0.00968908
CC1OC(CC1C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.52480959,0.10779615
CC1OC(CC1C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.0581333,-0.01294268
CC1OC(CC1C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.08543841,0.02330424
CC1OC(CC1C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.2214175,0.05376676
CC1OC(CC1C)=O,CC(C)CCOC(=O)c1ccccc1O,0.34113135,0.08901386
CC1OC(CC1C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.06395628,-0.01064508
CC1OC(CC1C)=O,O=C2c1ccccc1CO2,0.088553,0.02228905
CC1OC(CC1C)=O,OCC(O)C(O)C(O)CO,0.14666782,0.02647909
