SMILES0,SMILES,gamma1,gamma2
CC1OC(CCC1)=O,OC(C)C(O)=O,-3.47650606,-0.90427233
CC1OC(CCC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.05364537,0.02001259
CC1OC(CCC1)=O,OCC(O)C,-0.33085606,-0.07027793
CC1OC(CCC1)=O,O=C1CCO1,0.47733229,0.10475027
CC1OC(CCC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.23268287,-0.04799501
CC1OC(CCC1)=O,CCOCC,0.80550564,0.19213879
CC1OC(CCC1)=O,OCC,0.01572659,0.02849359
CC1OC(CCC1)=O,CCCCCC=O,0.20115255,0.05079811
CC1OC(CCC1)=O,CO,0.24381823,0.08662221
CC1OC(CCC1)=O,OC(C)C,0.04410549,0.02857939
CC1OC(CCC1)=O,CC(C)=O,-0.02413943,-0.00589595
CC1OC(CCC1)=O,OCCC,-0.23138356,-0.0300852
CC1OC(CCC1)=O,OCCCC,-0.14382245,-0.00410847
CC1OC(CCC1)=O,OCCCCC,-0.12665597,0.0029539
CC1OC(CCC1)=O,CC1OC1,0.03653927,0.0081322
CC1OC(CCC1)=O,CCC(C)(C)C,2.54545692,0.59736326
CC1OC(CCC1)=O,CC(C)(C)C(C)=O,0.30124728,0.07464097
CC1OC(CCC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.63904377,0.16479202
CC1OC(CCC1)=O,COC(C)(C)OC,0.46941154,0.11569273
CC1OC(CCC1)=O,CCC1(CC)CCCCC1,2.49741744,0.61743663
CC1OC(CCC1)=O,CCOC(C)(OCC)OCC,0.58748891,0.15123597
CC1OC(CCC1)=O,CC(C)CCCC(O)(C)CC,0.39706797,0.12493595
CC1OC(CCC1)=O,CCC(C)C,2.62701145,0.59969209
CC1OC(CCC1)=O,CC(=C)C=C,0.65797947,0.152182
CC1OC(CCC1)=O,CC(=C)C#C,-1.99302547,-0.44519326
CC1OC(CCC1)=O,OCC(C)C,-0.52613688,-0.0917828
CC1OC(CCC1)=O,CC(C)C=O,0.09454928,0.02227664
CC1OC(CCC1)=O,CC(=C)C=O,0.05296802,0.01296999
CC1OC(CCC1)=O,CCC(O)C,-0.12079996,-0.00860022
CC1OC(CCC1)=O,CCC(C)=O,0.03651959,0.00873772
CC1OC(CCC1)=O,COC(C)=O,-0.03976684,-0.00962799
CC1OC(CCC1)=O,CC(C)C(C)C,2.58731429,0.60862391
CC1OC(CCC1)=O,CC(C)C(O)=O,-3.6296475,-0.92526552
CC1OC(CCC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.37907516,0.0986117
CC1OC(CCC1)=O,OOC(C)(C)C(CC1)CCC1C,-2.76132014,-0.67512583
CC1OC(CCC1)=O,CCOC(C(O)(C)C)=O,-0.06057338,-0.01303546
CC1OC(CCC1)=O,COC(=O)C(C)=C,0.12739348,0.03134047
CC1OC(CCC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.20782976,-0.29829674
CC1OC(CCC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.08284194,-0.02066641
CC1OC(CCC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.14898388,-0.04282995
CC1OC(CCC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.12595044,-0.02855468
CC1OC(CCC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.04404949,0.01611689
CC1OC(CCC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.193103,0.05188643
CC1OC(CCC1)=O,CC(C)CCOC(=O)c1ccccc1O,0.28084769,0.07673364
CC1OC(CCC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.1778931,-0.03649847
CC1OC(CCC1)=O,O=C2c1ccccc1CO2,-0.08798205,-0.02180717
CC1OC(CCC1)=O,OCC(O)C(O)C(O)CO,-0.72346415,-0.18015794
CC1OC(CCC1)=O,CCC(CC)C(O)=O,-3.58063479,-0.89995673
CC1OC(CCC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.73452789,-0.40593758
CC1OC(CCC1)=O,COc1cc(C)ccc1C(C)(C)C,0.70297285,0.18336659
CC1OC(CCC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.74783688,0.44848253
CC1OC(CCC1)=O,COC(=O)c1ccccc1C,0.12272973,0.03254386
CC1OC(CCC1)=O,CC(=O)c1ccc(C)cc1C,0.22647763,0.05811368
CC1OC(CCC1)=O,Cc2c1ccccc1ccc2,0.19935385,0.05274129
CC1OC(CCC1)=O,O=C2CCCCC2C1CCCCC1,0.72129015,0.18330057
CC1OC(CCC1)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.27697815,-0.06451696
CC1OC(CCC1)=O,CC(C=O)c1ccccc1,-0.12779404,-0.03159334
CC1OC(CCC1)=O,CCC(O)c1ccccc1,-2.08328583,-0.49205833
CC1OC(CCC1)=O,CCOC(=O)c1ccccc1,0.14147461,0.03701966
CC1OC(CCC1)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.15293624,0.04565514
CC1OC(CCC1)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.36479133,-0.07883859
CC1OC(CCC1)=O,CCOC(=O)c(cc1)ccc1C,0.26518151,0.06861473
CC1OC(CCC1)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.0653612,0.01424399
CC1OC(CCC1)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.0492116,-0.00711161
