SMILES0,SMILES,gamma1,gamma2
CC1OC1,OC(C)C(O)=O,-0.82820402,-0.20716379
CC1OC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.36051031,-0.07231185
CC1OC1,OCC(O)C,0.44422264,0.09628714
CC1OC1,O=C1CCO1,0.64005687,0.1611868
CC1OC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.36597816,-0.07082794
CC1OC1,CCOCC,0.25497781,0.06356321
CC1OC1,OCC,0.52559177,0.12086033
CC1OC1,CCCCCC=O,-0.01385648,-0.00301547
CC1OC1,CO,0.85463216,0.19879039
CC1OC1,OC(C)C,0.38732078,0.08821251
CC1OC1,CC(C)=O,0.04185591,0.01041624
CC1OC1,OCCC,0.30399993,0.06751871
CC1OC1,OCCCC,0.25741287,0.05854206
CC1OC1,OCCCCC,0.2085871,0.04638756
CC1OC1,CC1OC1,0,0
CC1OC1,CCC(C)(C)C,1.0663878,0.26620419
CC1OC1,CC(C)(C)C(C)=O,0.02260118,0.00557189
CC1OC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.02014932,0.00726985
CC1OC1,COC(C)(C)OC,0.08124298,0.02003609
CC1OC1,CCC1(CC)CCCCC1,0.97941329,0.24072203
CC1OC1,CCOC(C)(OCC)OCC,0.05017631,0.01319957
CC1OC1,CC(C)CCCC(O)(C)CC,0.19487758,0.04218596
CC1OC1,CCC(C)C,1.12180714,0.27961627
CC1OC1,CC(=C)C=C,0.10420362,0.02707636
CC1OC1,CC(=C)C#C,-1.03224093,-0.26400519
CC1OC1,OCC(C)C,0.0837114,0.01640331
CC1OC1,CC(C)C=O,-0.00210331,-0.00051442
CC1OC1,CC(=C)C=O,-0.00420469,-0.00103534
CC1OC1,CCC(O)C,0.22145143,0.04991873
CC1OC1,CCC(C)=O,-0.00591898,-0.00147055
CC1OC1,COC(C)=O,0.00485195,0.00122191
CC1OC1,CC(C)C(C)C,1.08192975,0.27042982
CC1OC1,CC(C)C(O)=O,-1.16707084,-0.28370599
CC1OC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.13269159,-0.02634009
CC1OC1,OOC(C)(C)C(CC1)CCC1C,-1.05928992,-0.26557761
CC1OC1,CCOC(C(O)(C)C)=O,-0.09255551,-0.02148315
CC1OC1,COC(=O)C(C)=C,-0.06994611,-0.01697567
CC1OC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.91889308,-0.19738445
CC1OC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.22033857,-0.04704831
CC1OC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.23830178,-0.06565747
CC1OC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.278536,-0.05895041
CC1OC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.30136036,-0.05922401
CC1OC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.28039139,-0.05271259
CC1OC1,CC(C)CCOC(=O)c1ccccc1O,-0.1796269,-0.0363739
CC1OC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.40112845,-0.08176612
CC1OC1,O=C2c1ccccc1CO2,0.01755655,0.00626806
CC1OC1,OCC(O)C(O)C(O)CO,0.11631779,0.02005555
CC1OC1,CCC(CC)C(O)=O,-1.24396987,-0.30179017
CC1OC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.81074444,-0.19364998
CC1OC1,COc1cc(C)ccc1C(C)(C)C,0.01576597,0.0082385
CC1OC1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.52838747,0.1277759
CC1OC1,COC(=O)c1ccccc1C,-0.16686694,-0.03785489
CC1OC1,CC(=O)c1ccc(C)cc1C,-0.12083706,-0.02717531
CC1OC1,Cc2c1ccccc1ccc2,-0.18896449,-0.04227198
CC1OC1,O=C2CCCCC2C1CCCCC1,0.13899781,0.03221941
CC1OC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.35393759,-0.07295969
CC1OC1,CC(C=O)c1ccccc1,-0.20609787,-0.04790476
CC1OC1,CCC(O)c1ccccc1,-0.89762946,-0.22389525
CC1OC1,CCOC(=O)c1ccccc1,-0.15419921,-0.03506606
CC1OC1,CC(OC(C)c2ccccc2)c1ccccc1,-0.28333962,-0.05653487
CC1OC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.48519248,-0.09170665
CC1OC1,CCOC(=O)c(cc1)ccc1C,-0.12820261,-0.02811275
CC1OC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.30893205,-0.05998048
CC1OC1,O=C(OCCc1ccccc1)c2ccccc2,-0.32832267,-0.06781609
CC1OC1,CCCc2cc1OCOc1cc2,-0.41813683,-0.09414
CC1OC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.19188176,-0.04239419
CC1OC1,CCCC1CCCCC1=O,0.08723353,0.0211253
CC1OC1,CCOc1ccc(C=CC)cc1O,-1.42315577,-0.34882922
CC1OC1,CCCC(O)C(CO)CC,0.20898572,0.03575037
CC1OC1,Cc(ccc1C)cc1C,0.10223247,0.0277077
CC1OC1,CCOC(=O)C(OCC)=O,-0.12675486,-0.02936952
CC1OC1,CC1OC(C(C)OC1=O)=O,-0.13831807,-0.02065656
CC1OC1,CCCCC(=O)C(C)=O,-0.14146727,-0.03297674
CC1OC1,C=CCOC(=O)C(C)=C,-0.11981499,-0.02752581
CC1OC1,C1OC1c2ccccc2,-0.18784202,-0.04459675
CC1OC1,CCC(C)CC,1.09742327,0.27372795
CC1OC1,CCC(CC)=O,0.00139433,0.00031025
CC1OC1,OCC(CO)=O,0.50636164,0.12111705
CC1OC1,COC(=O)C=C,-0.06661067,-0.01639294
CC1OC1,COC(CO)=O,0.13430364,0.03355735
CC1OC1,CC1CCCC1,1.12028923,0.27962796
CC1OC1,CC1CCCO1,0.16436529,0.0407126
CC1OC1,O=C1CCCO1,0.2441491,0.06013014
CC1OC1,CCCC(C)C(O)=O,-1.26201122,-0.30450944
CC1OC1,CCOC(C(C)C)=O,0.02160915,0.00551066
CC1OC1,CCOC(=O)C(C)=C,-0.02106235,-0.0043302
CC1OC1,CCOC(C(O)C)=O,-0.12535544,-0.03049285
CC1OC1,CC(C)C(OC(C(C)C)=O)=O,-0.10518141,-0.0235965
CC1OC1,CC(C)COC(C(C)C)=O,0.11183493,0.02626997
CC1OC1,CC(C)COC(=O)C(C)=C,0.03950353,0.01046169
CC1OC1,CCCCOC(C(C)C)=O,0.09745976,0.02291104
CC1OC1,CCCCOC(=O)C(C)=C,0.03843884,0.01027349
CC1OC1,CCC(CC)C=O,0.06134676,0.01501213
CC1OC1,OCC1CCCO1,0.18597095,0.04171185
CC1OC1,OCc1occc1,-0.5915549,-0.15264508
CC1OC1,O=Cc1occc1,0.07819945,0.01952078
CC1OC1,CC(C)(C)c1ccccc1,0.06223591,0.01880511
CC1OC1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.28000682,-0.31564954
CC1OC1,CC(C)(C)c(cc1)ccc1C,0.14537498,0.03853779
CC1OC1,OC1CCC(CC1)C(C)(C)C,0.14623798,0.02961409
CC1OC1,CC(C)(C)C1CCC(CC1)=O,0.01006293,0.00236691
CC1OC1,CC(C)c1ccccc1,0.05282385,0.01609661
CC1OC1,COC(=O)c(ccc1)cc1C,-0.15992577,-0.03650704
CC1OC1,OC1CC(CC=C1C)C(C)=C,-0.4197521,-0.10374671
CC1OC1,CC(C)c1cc(C(C)C)ccc1,0.18203167,0.04604458
CC1OC1,CCCC(CCC)C(O)=O,-1.26242272,-0.30586386
CC1OC1,CC(C=O)c(cc1)ccc1C,-0.19917299,-0.04495338
CC1OC1,CC1CCC(C(C)C)CC1,1.02436531,0.24854095
CC1OC1,CC(C)c(cc1)ccc1C,0.13231526,0.03541383
CC1OC1,C=CC1CC=CCC1,0.24620032,0.06306436
CC1OC1,CCc1ccccc1,0.0247991,0.0085037
CC1OC1,C=Cc1ccccc1,-0.2079408,-0.04944093
CC1OC1,OCC1CCCCC1,0.08391877,0.0155885
CC1OC1,COc1ccccc1,-0.20533022,-0.04951133
CC1OC1,OCC1CCCCO1,0.21851398,0.04469549
CC1OC1,OCC(CO1)OC1(C)C,-0.03780126,-0.01070493
CC1OC1,Cc1cc(C=C)ccc1,-0.1471339,-0.03311947
CC1OC1,COc(ccc1)cc1C,-0.17400925,-0.04065345
CC1OC1,COC(=O)Cc1ccccc1,-0.20514301,-0.04683563
CC1OC1,COC(OC)Cc1ccccc1,-0.20713356,-0.04553465
CC1OC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.39486636,-0.08065504
CC1OC1,CC(C)COC(=O)Cc1ccccc1,-0.2330781,-0.04931396
CC1OC1,O=C(OCc2ccccc2)Cc1ccccc1,-0.37509876,-0.07633734
CC1OC1,CCc1cc(CC)cc(CC)c1,0.26364444,0.06537741
CC1OC1,CC(=O)Oc(ccc1)cc1O,-1.71323838,-0.40079028
CC1OC1,COC(OC)CC(OC)OC,-0.11028381,-0.02521873
CC1OC1,CCCCC(CC)COC(C)=O,0.0648208,0.01471812
CC1OC1,CCCCC(CC)COC(=O)C=C,0.02025575,0.00660595
CC1OC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.12184926,-0.0280239
CC1OC1,COC(CCc1ccccc1)=O,-0.22635991,-0.05085945
CC1OC1,CC(C)C(OCc1ccccc1)=O,-0.22690652,-0.04957171
CC1OC1,CCCC(OCc1ccccc1)=O,-0.23800761,-0.05185161
CC1OC1,CC(C)CC(OCc1ccccc1)=O,-0.25118875,-0.05247788
CC1OC1,CC(OCCc1ccccc1)=O,-0.21375299,-0.04779274
CC1OC1,CC(C)C(OCCc1ccccc1)=O,-0.20449524,-0.04274469
CC1OC1,CC(C)C(OCCOc1ccccc1)=O,-0.35712369,-0.07491194
CC1OC1,CCCc1ccccc1,0.05932314,0.01762439
CC1OC1,CC(C)C(=O)Oc(cc1)ccc1C,-0.20188439,-0.04411662
CC1OC1,CCCc(cc1)ccc1OC,-0.13937346,-0.02969508
CC1OC1,CCCCC1OC(CC1)=O,-0.07905274,-0.01839365
CC1OC1,CCCCc1ccccc1,0.0945549,0.02633157
CC1OC1,O=COCc1ccccc1,-0.26201609,-0.06116891
CC1OC1,CCCCCC1OC(CC1)=O,-0.09466279,-0.02165386
CC1OC1,O=COCCc1ccccc1,-0.29585054,-0.06783573
CC1OC1,CCCCCCCC1OC(CC1)=O,-0.10975903,-0.02441794
CC1OC1,CCCCC(CO)CC,-0.07668927,-0.02606785
CC1OC1,COc(cc1)ccc1C,-0.17463996,-0.04074887
CC1OC1,CC(C)COC(CCc1occc1)=O,-0.28506159,-0.0603563
CC1OC1,CCc1ccc(CC)cc1,0.159712,0.04183179
CC1OC1,C=Cc1ccc(C=C)cc1,-0.30776552,-0.07024211
