SMILES0,SMILES,gamma1,gamma2
CC1OCC(C1O)=O,OC(C)C(O)=O,-0.42249424,-0.10746454
CC1OCC(C1O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.00280229,0.65279144
CC1OCC(C1O)=O,OCC(O)C,0.42209789,0.10116668
CC1OCC(C1O)=O,O=C1CCO1,0.5387199,0.12534346
CC1OCC(C1O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.7548407,0.16331966
CC1OCC(C1O)=O,CCOCC,0.14253478,0.06828495
CC1OCC(C1O)=O,OCC,0.42325736,0.09274057
CC1OCC(C1O)=O,CCCCCC=O,0.72202727,0.19288428
CC1OCC(C1O)=O,CO,0.221193,0.04007562
CC1OCC(C1O)=O,OC(C)C,0.50065199,0.11687665
CC1OCC(C1O)=O,CC(C)=O,-1.1428485,-0.27791955
CC1OCC(C1O)=O,OCCC,0.76405877,0.18155022
CC1OCC(C1O)=O,OCCCC,0.91213165,0.22500402
CC1OCC(C1O)=O,OCCCCC,1.0974847,0.27380788
CC1OCC(C1O)=O,CC1OC1,-0.47000499,-0.09364413
CC1OCC(C1O)=O,CCC(C)(C)C,5.59047904,1.1454548
CC1OCC(C1O)=O,CC(C)(C)C(C)=O,0.06716137,0.02842538
CC1OCC(C1O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.08792247,0.26488907
CC1OCC(C1O)=O,COC(C)(C)OC,-0.07402487,-0.01274299
CC1OCC(C1O)=O,CCC1(CC)CCCCC1,5.5316486,1.17882198
CC1OCC(C1O)=O,CCOC(C)(OCC)OCC,-0.09585289,-0.01951544
CC1OCC(C1O)=O,CC(C)CCCC(O)(C)CC,1.45569747,0.34606017
CC1OCC(C1O)=O,CCC(C)C,5.66488131,1.1374013
CC1OCC(C1O)=O,CC(=C)C=C,3.58863828,0.69325469
CC1OCC(C1O)=O,CC(=C)C#C,1.78107735,0.33332851
CC1OCC(C1O)=O,OCC(C)C,1.00401032,0.24542162
CC1OCC(C1O)=O,CC(C)C=O,0.26252086,0.07868028
CC1OCC(C1O)=O,CC(=C)C=O,0.09573828,0.03539306
CC1OCC(C1O)=O,CCC(O)C,0.83029685,0.20275619
CC1OCC(C1O)=O,CCC(C)=O,-0.68808383,-0.16345339
CC1OCC(C1O)=O,COC(C)=O,-0.16859766,-0.03353524
CC1OCC(C1O)=O,CC(C)C(C)C,5.62563736,1.15558324
CC1OCC(C1O)=O,CC(C)C(O)=O,0.02407593,0.00680263
CC1OCC(C1O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.09895437,0.24399331
CC1OCC(C1O)=O,OOC(C)(C)C(CC1)CCC1C,1.08660515,0.27058517
CC1OCC(C1O)=O,CCOC(C(O)(C)C)=O,-0.04846292,-0.01845431
CC1OCC(C1O)=O,COC(=O)C(C)=C,0.8500674,0.21735741
CC1OCC(C1O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.8192665,0.42548081
CC1OCC(C1O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.39506195,0.09093946
CC1OCC(C1O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.03504218,0.39974812
CC1OCC(C1O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.90765635,0.22311731
CC1OCC(C1O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.33896053,0.30666965
CC1OCC(C1O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.69503771,0.36338949
CC1OCC(C1O)=O,CC(C)CCOC(=O)c1ccccc1O,2.52978061,0.59670651
CC1OCC(C1O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.17259147,0.51188855
CC1OCC(C1O)=O,O=C2c1ccccc1CO2,0.42034928,0.10921985
CC1OCC(C1O)=O,OCC(O)C(O)C(O)CO,-0.07119407,-0.01940673
CC1OCC(C1O)=O,CCC(CC)C(O)=O,0.39822154,0.10354833
CC1OCC(C1O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.0011764,0.23738711
CC1OCC(C1O)=O,COc1cc(C)ccc1C(C)(C)C,3.64044226,0.78587915
CC1OCC(C1O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.66839116,1.0226853
CC1OCC(C1O)=O,COC(=O)c1ccccc1C,1.52910083,0.38182665
CC1OCC(C1O)=O,CC(=O)c1ccc(C)cc1C,0.51266773,0.13544597
