SMILES0,SMILES,gamma1,gamma2
CC1OCCO1,OC(C)C(O)=O,-1.05684419,-0.28836693
CC1OCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.00601083,0.00244738
CC1OCCO1,OCC(O)C,0.5701966,0.13029893
CC1OCCO1,O=C1CCO1,0.6924863,0.16953169
CC1OCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.21659132,-0.04517212
CC1OCCO1,CCOCC,0.40833798,0.1022309
CC1OCCO1,OCC,0.69635868,0.16613917
CC1OCCO1,CCCCCC=O,0.08416728,0.02119239
CC1OCCO1,CO,1.00459058,0.23693974
CC1OCCO1,OC(C)C,0.57279967,0.13711729
CC1OCCO1,CC(C)=O,0.00774683,0.00190502
CC1OCCO1,OCCC,0.47700381,0.11469077
CC1OCCO1,OCCCC,0.45368682,0.11255994
CC1OCCO1,OCCCCC,0.42294539,0.1053844
CC1OCCO1,CC1OC1,0.01495373,0.00372806
CC1OCCO1,CCC(C)(C)C,1.58471628,0.39221167
CC1OCCO1,CC(C)(C)C(C)=O,0.11560306,0.02871981
CC1OCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.27261485,0.06608019
CC1OCCO1,COC(C)(C)OC,0.20186507,0.05035882
CC1OCCO1,CCC1(CC)CCCCC1,1.51492142,0.37641414
CC1OCCO1,CCOC(C)(OCC)OCC,0.23207782,0.05780407
CC1OCCO1,CC(C)CCCC(O)(C)CC,0.50910573,0.12238014
CC1OCCO1,CCC(C)C,1.64550717,0.40326333
CC1OCCO1,CC(=C)C=C,0.41491035,0.10332468
CC1OCCO1,CC(=C)C#C,-0.95504535,-0.23221689
CC1OCCO1,OCC(C)C,0.24510712,0.06275698
CC1OCCO1,CC(C)C=O,0.02671843,0.00669758
CC1OCCO1,CC(=C)C=O,0.10510721,0.02620327
CC1OCCO1,CCC(O)C,0.41623525,0.10203866
CC1OCCO1,CCC(C)=O,0.00810503,0.00203487
CC1OCCO1,COC(C)=O,0.03384685,0.00842065
CC1OCCO1,CC(C)C(C)C,1.60879569,0.39878835
CC1OCCO1,CC(C)C(O)=O,-1.36857851,-0.35273322
CC1OCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.10887325,0.02547623
CC1OCCO1,OOC(C)(C)C(CC1)CCC1C,-1.12114005,-0.28956546
CC1OCCO1,CCOC(C(O)(C)C)=O,0.03402948,0.00905673
CC1OCCO1,COC(=O)C(C)=C,0.10147634,0.0252954
CC1OCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.66162484,-0.15546001
CC1OCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.0730163,0.01536938
CC1OCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.08103951,-0.00474759
CC1OCCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.08984356,-0.02060423
CC1OCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.07578048,-0.01598544
CC1OCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.02695532,-0.00625943
CC1OCCO1,CC(C)CCOC(=O)c1ccccc1O,0.13650924,0.0343054
CC1OCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.09957319,-0.02100661
CC1OCCO1,O=C2c1ccccc1CO2,0.2232877,0.05555875
CC1OCCO1,OCC(O)C(O)C(O)CO,0.17157028,0.02945619
CC1OCCO1,CCC(CC)C(O)=O,-1.41050134,-0.36076035
CC1OCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.67873634,-0.17276919
CC1OCCO1,COc1cc(C)ccc1C(C)(C)C,0.35337938,0.08860243
CC1OCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.98795749,0.24234458
CC1OCCO1,COC(=O)c1ccccc1C,0.10055022,0.02531723
CC1OCCO1,CC(=O)c1ccc(C)cc1C,0.12006274,0.02928574
CC1OCCO1,Cc2c1ccccc1ccc2,0.13441878,0.034566
CC1OCCO1,O=C2CCCCC2C1CCCCC1,0.32619735,0.0779823
CC1OCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.1112573,-0.02570633
CC1OCCO1,CC(C=O)c1ccccc1,-0.02004156,-0.00473826
CC1OCCO1,CCC(O)c1ccccc1,-0.8427581,-0.21207045
CC1OCCO1,CCOC(=O)c1ccccc1,0.11172318,0.02752979
CC1OCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.02713502,0.00929419
CC1OCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.15267865,-0.03380789
CC1OCCO1,CCOC(=O)c(cc1)ccc1C,0.13678394,0.03354848
CC1OCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.15612881,-0.03493389
CC1OCCO1,O=C(OCCc1ccccc1)c2ccccc2,-0.02877976,-0.00593246
CC1OCCO1,CCCc2cc1OCOc1cc2,-0.19765468,-0.04624021
CC1OCCO1,COC(C1CCC(CC1)C(OC)=O)=O,-0.11065684,-0.02590003
CC1OCCO1,CCCC1CCCCC1=O,0.23203887,0.05693102
CC1OCCO1,CCOc1ccc(C=CC)cc1O,-1.46446775,-0.3589632
CC1OCCO1,CCCC(O)C(CO)CC,0.45357313,0.09658429
CC1OCCO1,Cc(ccc1C)cc1C,0.43588464,0.11001577
CC1OCCO1,CCOC(=O)C(OCC)=O,-0.04131692,-0.01003322
CC1OCCO1,CC1OC(C(C)OC1=O)=O,-0.11761688,-0.02317475
CC1OCCO1,CCCCC(=O)C(C)=O,-0.02171224,-0.00500897
CC1OCCO1,C=CCOC(=O)C(C)=C,0.12346774,0.03075256
CC1OCCO1,C1OC1c2ccccc2,0.02232969,0.00551686
CC1OCCO1,CCC(C)CC,1.63488935,0.40508708
CC1OCCO1,CCC(CC)=O,0.06594788,0.01625401
CC1OCCO1,OCC(CO)=O,0.57323073,0.12945605
CC1OCCO1,COC(=O)C=C,0.07914888,0.01976631
CC1OCCO1,COC(CO)=O,0.19025031,0.04512623
CC1OCCO1,CC1CCCC1,1.61831661,0.39874742
CC1OCCO1,CC1CCCO1,0.24747255,0.06247204
CC1OCCO1,O=C1CCCO1,0.20980198,0.05287088
CC1OCCO1,CCCC(C)C(O)=O,-1.42839943,-0.36490078
CC1OCCO1,CCOC(C(C)C)=O,0.16596315,0.04119873
CC1OCCO1,CCOC(=O)C(C)=C,0.18410014,0.04588567
CC1OCCO1,CCOC(C(O)C)=O,-0.02645853,-0.00687485
CC1OCCO1,CC(C)C(OC(C(C)C)=O)=O,0.02901817,0.0072695
CC1OCCO1,CC(C)COC(C(C)C)=O,0.3204653,0.07739317
CC1OCCO1,CC(C)COC(=O)C(C)=C,0.2884581,0.07070179
CC1OCCO1,CCCCOC(C(C)C)=O,0.30152398,0.07294512
CC1OCCO1,CCCCOC(=O)C(C)=C,0.28211103,0.06922098
CC1OCCO1,CCC(CC)C=O,0.17427719,0.04305498
CC1OCCO1,OCC1CCCO1,0.26294668,0.06225663
CC1OCCO1,OCc1occc1,-0.56488275,-0.14666254
CC1OCCO1,O=Cc1occc1,0.30212184,0.07358934
CC1OCCO1,CC(C)(C)c1ccccc1,0.40294438,0.10232255
CC1OCCO1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.3330077,-0.34682027
CC1OCCO1,CC(C)(C)c(cc1)ccc1C,0.50843941,0.12743402
CC1OCCO1,OC1CCC(CC1)C(C)(C)C,0.41055985,0.0987622
CC1OCCO1,CC(C)(C)C1CCC(CC1)=O,0.13679914,0.03263704
CC1OCCO1,CC(C)c1ccccc1,0.38860259,0.09875551
CC1OCCO1,COC(=O)c(ccc1)cc1C,0.0967923,0.02361391
CC1OCCO1,OC1CC(CC=C1C)C(C)=C,-0.26267933,-0.06758651
CC1OCCO1,CC(C)c1cc(C(C)C)ccc1,0.56335503,0.13883174
CC1OCCO1,CCCC(CCC)C(O)=O,-1.39093169,-0.35738268
CC1OCCO1,CC(C=O)c(cc1)ccc1C,-0.00168524,0.00023715
CC1OCCO1,CC1CCC(C(C)C)CC1,1.54727463,0.38267802
CC1OCCO1,CC(C)c(cc1)ccc1C,0.48707666,0.12265481
CC1OCCO1,C=CC1CC=CCC1,0.57658903,0.1455919
CC1OCCO1,CCc1ccccc1,0.33866297,0.08605922
CC1OCCO1,C=Cc1ccccc1,0.08923036,0.02309309
CC1OCCO1,OCC1CCCCC1,0.27923654,0.06973082
CC1OCCO1,COc1ccccc1,0.00867989,0.00235545
CC1OCCO1,OCC1CCCCO1,0.35854887,0.08104409
CC1OCCO1,OCC(CO1)OC1(C)C,0.0378461,0.00673836
CC1OCCO1,Cc1cc(C=C)ccc1,0.16251581,0.04176367
CC1OCCO1,COc(ccc1)cc1C,0.05398302,0.0140571
