SMILES0,SMILES,gamma1,gamma2
CC=CC(C)=O,OC(C)C(O)=O,-1.92820176,-0.51131119
CC=CC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.25296197,-0.05394015
CC=CC(C)=O,OCC(O)C,0.28283909,0.0678944
CC=CC(C)=O,O=C1CCO1,0.72045926,0.17466588
CC=CC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.22716909,-0.04832749
CC=CC(C)=O,CCOCC,0.48092728,0.11897956
CC=CC(C)=O,OCC,0.37672833,0.09619417
CC=CC(C)=O,CCCCCC=O,0.13000412,0.03296603
CC=CC(C)=O,CO,0.68605343,0.16756728
CC=CC(C)=O,OC(C)C,0.3105684,0.07974662
CC=CC(C)=O,CC(C)=O,0.00575762,0.00147395
CC=CC(C)=O,OCCC,0.1331964,0.03804083
CC=CC(C)=O,OCCCC,0.14967446,0.04627799
CC=CC(C)=O,OCCCCC,0.13230783,0.04255688
CC=CC(C)=O,CC1OC1,-0.02497494,-0.00613319
CC=CC(C)=O,CCC(C)(C)C,1.75805312,0.42798718
CC=CC(C)=O,CC(C)(C)C(C)=O,0.16672266,0.04179375
CC=CC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.33629443,0.08356192
CC=CC(C)=O,COC(C)(C)OC,0.26473314,0.06631349
CC=CC(C)=O,CCC1(CC)CCCCC1,1.70554844,0.42456704
CC=CC(C)=O,CCOC(C)(OCC)OCC,0.31674208,0.07978513
CC=CC(C)=O,CC(C)CCCC(O)(C)CC,0.35186734,0.09064181
CC=CC(C)=O,CCC(C)C,1.805247,0.43223063
CC=CC(C)=O,CC(=C)C=C,0.25746002,0.06237246
CC=CC(C)=O,CC(=C)C#C,-1.58218854,-0.38790726
CC=CC(C)=O,OCC(C)C,-0.12730312,-0.02142982
CC=CC(C)=O,CC(C)C=O,0.05137421,0.01287665
CC=CC(C)=O,CC(=C)C=O,-0.02508026,-0.00623619
CC=CC(C)=O,CCC(O)C,0.1288459,0.03689841
CC=CC(C)=O,CCC(C)=O,0.01986829,0.00497267
CC=CC(C)=O,COC(C)=O,-0.02270339,-0.00577485
CC=CC(C)=O,CC(C)C(C)C,1.77919442,0.43402901
CC=CC(C)=O,CC(C)C(O)=O,-2.331925,-0.6113632
CC=CC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.12512831,0.030781
CC=CC(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.81608514,-0.47926179
CC=CC(C)=O,CCOC(C(O)(C)C)=O,-0.04773961,-0.01110941
CC=CC(C)=O,COC(=O)C(C)=C,-0.02783823,-0.00679503
CC=CC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.21830835,-0.2889796
CC=CC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.19119068,-0.04372291
CC=CC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.12935976,-0.0560517
CC=CC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.20176455,-0.04585898
CC=CC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.13074314,-0.02698011
CC=CC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.03379402,-0.00551022
CC=CC(C)=O,CC(C)CCOC(=O)c1ccccc1O,-0.01304506,0.00088899
CC=CC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.35030497,-0.07743416
CC=CC(C)=O,O=C2c1ccccc1CO2,0.00296127,0.00215799
CC=CC(C)=O,OCC(O)C(O)C(O)CO,-0.03190585,-0.00807109
CC=CC(C)=O,CCC(CC)C(O)=O,-2.34462252,-0.61110079
CC=CC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.23149839,-0.30559173
CC=CC(C)=O,COc1cc(C)ccc1C(C)(C)C,0.30468112,0.07912053
CC=CC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.11110504,0.27846494
CC=CC(C)=O,COC(=O)c1ccccc1C,-0.09218983,-0.02144869
CC=CC(C)=O,CC(=O)c1ccc(C)cc1C,-0.00896602,-0.00114052
CC=CC(C)=O,Cc2c1ccccc1ccc2,-0.09547504,-0.02160488
CC=CC(C)=O,O=C2CCCCC2C1CCCCC1,0.47316607,0.11598755
CC=CC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.32185058,-0.07216938
