SMILES0,SMILES,gamma1,gamma2
CC=CC=O,OC(C)C(O)=O,-1.62173046,-0.42236695
CC=CC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.11659023,-0.01787201
CC=CC=O,OCC(O)C,0.44276089,0.10402061
CC=CC=O,O=C1CCO1,0.39216109,0.09731295
CC=CC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.13754151,-0.02960325
CC=CC=O,CCOCC,0.70510153,0.17501019
CC=CC=O,OCC,0.63360219,0.15455063
CC=CC=O,CCCCCC=O,0.28615695,0.07130787
CC=CC=O,CO,0.82801693,0.19815297
CC=CC=O,OC(C)C,0.60393952,0.14864911
CC=CC=O,CC(C)=O,0.00563338,0.00140499
CC=CC=O,OCCC,0.4747471,0.11869874
CC=CC=O,OCCCC,0.51184393,0.13228565
CC=CC=O,OCCCCC,0.51884352,0.1343917
CC=CC=O,CC1OC1,0.05911828,0.01459027
CC=CC=O,CCC(C)(C)C,2.13593566,0.5207478
CC=CC=O,CC(C)(C)C(C)=O,0.30447945,0.07539685
CC=CC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.55018174,0.13140285
CC=CC=O,COC(C)(C)OC,0.43029243,0.1068274
CC=CC=O,CCC1(CC)CCCCC1,2.06625345,0.50838894
CC=CC=O,CCOC(C)(OCC)OCC,0.49351649,0.12029328
CC=CC=O,CC(C)CCCC(O)(C)CC,0.73778119,0.17837357
CC=CC=O,CCC(C)C,2.19463485,0.52903279
CC=CC=O,CC(=C)C=C,0.51612566,0.12674133
CC=CC=O,CC(=C)C#C,-1.29756906,-0.3162666
CC=CC=O,OCC(C)C,0.27693368,0.07583747
CC=CC=O,CC(C)C=O,0.16085581,0.04013626
CC=CC=O,CC(=C)C=O,0.00730264,0.00182327
CC=CC=O,CCC(O)C,0.48370793,0.12238388
CC=CC=O,CCC(C)=O,0.08646261,0.02160774
CC=CC=O,COC(C)=O,-0.02173573,-0.00542662
CC=CC=O,CC(C)C(C)C,2.15788477,0.52690811
CC=CC=O,CC(C)C(O)=O,-1.72224189,-0.44433836
CC=CC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.30256802,0.06902098
CC=CC=O,OOC(C)(C)C(CC1)CCC1C,-1.17026021,-0.31008362
CC=CC=O,CCOC(C(O)(C)C)=O,0.11076801,0.02786024
CC=CC=O,COC(=O)C(C)=C,0.06656347,0.01694675
CC=CC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.00500856,-0.22882684
CC=CC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.2569392,-0.05732923
CC=CC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.32098504,0.03397155
CC=CC=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.16808391,-0.03631897
CC=CC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.00291724,0.00253871
CC=CC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.14433164,0.02869381
CC=CC=O,CC(C)CCOC(=O)c1ccccc1O,0.19397604,0.05123937
CC=CC=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.2430782,-0.04774457
CC=CC=O,O=C2c1ccccc1CO2,-0.14901751,-0.03584066
CC=CC=O,OCC(O)C(O)C(O)CO,-0.00130086,-0.00569508
CC=CC=O,CCC(CC)C(O)=O,-1.65954152,-0.42571
CC=CC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.76768143,-0.1933648
CC=CC=O,COc1cc(C)ccc1C(C)(C)C,0.56106342,0.14108981
CC=CC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.42844198,0.34789977
CC=CC=O,COC(=O)c1ccccc1C,0.01590749,0.00690302
CC=CC=O,CC(=O)c1ccc(C)cc1C,0.10482708,0.02754283
CC=CC=O,Cc2c1ccccc1ccc2,0.06745161,0.02108226
CC=CC=O,O=C2CCCCC2C1CCCCC1,0.67566673,0.16095734
CC=CC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.33856034,-0.07308231
CC=CC=O,CC(C=O)c1ccccc1,-0.12813602,-0.0302389
CC=CC=O,CCC(O)c1ccccc1,-1.06381101,-0.26489284
CC=CC=O,CCOC(=O)c1ccccc1,0.02383756,0.00846401
CC=CC=O,CC(OC(C)c2ccccc2)c1ccccc1,0.04140112,0.01699727
CC=CC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.46131577,-0.09073222
CC=CC=O,CCOC(=O)c(cc1)ccc1C,0.12802167,0.0338723
CC=CC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.08449266,0.00454964
CC=CC=O,O=C(OCCc1ccccc1)c2ccccc2,-0.16404488,-0.03173105
CC=CC=O,CCCc2cc1OCOc1cc2,-0.22222026,-0.04982301
CC=CC=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.02874794,-0.00715123
CC=CC=O,CCCC1CCCCC1=O,0.52068768,0.12712032
CC=CC=O,CCOc1ccc(C=CC)cc1O,-1.76177799,-0.42893443
CC=CC=O,CCCC(O)C(CO)CC,0.5901512,0.1324684
CC=CC=O,Cc(ccc1C)cc1C,0.59426368,0.15039659
CC=CC=O,CCOC(=O)C(OCC)=O,-0.0909753,-0.0217921
CC=CC=O,CC1OC(C(C)OC1=O)=O,-0.47059533,-0.10750193
CC=CC=O,CCCCC(=O)C(C)=O,0.06914054,0.01743082
CC=CC=O,C=CCOC(=O)C(C)=C,0.07190622,0.01956358
CC=CC=O,C1OC1c2ccccc2,-0.15336635,-0.03739213
CC=CC=O,CCC(C)CC,2.17966932,0.53246483
CC=CC=O,CCC(CC)=O,0.21965701,0.05463871
CC=CC=O,OCC(CO)=O,0.11444921,0.02328892
CC=CC=O,COC(=O)C=C,-0.07783584,-0.01947236
CC=CC=O,COC(CO)=O,-0.12181182,-0.03123692
CC=CC=O,CC1CCCC1,2.20892907,0.53579195
CC=CC=O,CC1CCCO1,0.5305822,0.13245574
CC=CC=O,O=C1CCCO1,0.14959316,0.03767356
CC=CC=O,CCCC(C)C(O)=O,-1.68416909,-0.43155159
CC=CC=O,CCOC(C(C)C)=O,0.34951471,0.08649607
CC=CC=O,CCOC(=O)C(C)=C,0.24002293,0.06062912
CC=CC=O,CCOC(C(O)C)=O,-0.04468874,-0.01085468
CC=CC=O,CC(C)C(OC(C(C)C)=O)=O,0.18118924,0.04397232
CC=CC=O,CC(C)COC(C(C)C)=O,0.58671894,0.14197176
CC=CC=O,CC(C)COC(=O)C(C)=C,0.44834454,0.11069542
CC=CC=O,CCCCOC(C(C)C)=O,0.56525505,0.13651984
CC=CC=O,CCCCOC(=O)C(C)=C,0.44485622,0.10989754
CC=CC=O,CCC(CC)C=O,0.4132672,0.10222384
CC=CC=O,OCC1CCCO1,0.37359387,0.09079542
CC=CC=O,OCc1occc1,-1.02071586,-0.25901983
CC=CC=O,O=Cc1occc1,-0.1926398,-0.04885209
CC=CC=O,CC(C)(C)c1ccccc1,0.57311973,0.14591032
CC=CC=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.52870267,-0.40279131
CC=CC=O,CC(C)(C)c(cc1)ccc1C,0.73689023,0.18491106
CC=CC=O,OC1CCC(CC1)C(C)(C)C,0.6027786,0.14757394
CC=CC=O,CC(C)(C)C1CCC(CC1)=O,0.38826144,0.0926563
CC=CC=O,CC(C)c1ccccc1,0.52444095,0.13394182
CC=CC=O,COC(=O)c(ccc1)cc1C,0.0123096,0.00513353
CC=CC=O,OC1CC(CC=C1C)C(C)=C,-0.27399307,-0.06954601
CC=CC=O,CC(C)c1cc(C(C)C)ccc1,0.82312947,0.2033791
CC=CC=O,CCCC(CCC)C(O)=O,-1.57517101,-0.40835765
CC=CC=O,CC(C=O)c(cc1)ccc1C,-0.02247568,-0.00342703
CC=CC=O,CC1CCC(C(C)C)CC1,2.14217003,0.52407877
CC=CC=O,CC(C)c(cc1)ccc1C,0.68957299,0.17409394
CC=CC=O,C=CC1CC=CCC1,0.84336351,0.21096947
CC=CC=O,CCc1ccccc1,0.43797768,0.111653
CC=CC=O,C=Cc1ccccc1,-0.03688133,-0.00709113
CC=CC=O,OCC1CCCCC1,0.41199602,0.10676947
CC=CC=O,COc1ccccc1,-0.09725123,-0.02357819
CC=CC=O,OCC1CCCCO1,0.49306118,0.11522629
CC=CC=O,OCC(CO1)OC1(C)C,0.02681124,0.00584722
CC=CC=O,Cc1cc(C=C)ccc1,0.13682609,0.03752197
CC=CC=O,COc(ccc1)cc1C,0.04600842,0.01317005
CC=CC=O,COC(=O)Cc1ccccc1,-0.15956886,-0.03727467
CC=CC=O,COC(OC)Cc1ccccc1,-0.00176033,0.00236095
CC=CC=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.32465337,-0.06877996
CC=CC=O,CC(C)COC(=O)Cc1ccccc1,0.01881881,0.0074335
CC=CC=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.32969308,-0.06978802
CC=CC=O,CCc1cc(CC)cc(CC)c1,0.95540179,0.2352348
CC=CC=O,CC(=O)Oc(ccc1)cc1O,-2.62708119,-0.67401034
CC=CC=O,COC(OC)CC(OC)OC,0.1345076,0.03193894
CC=CC=O,CCCCC(CC)COC(C)=O,0.55919471,0.13128653
CC=CC=O,CCCCC(CC)COC(=O)C=C,0.51498095,0.12321232
CC=CC=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.44588874,0.07634876
CC=CC=O,COC(CCc1ccccc1)=O,-0.10919281,-0.02490963
CC=CC=O,CC(C)C(OCc1ccccc1)=O,-0.01171419,-0.00042421
CC=CC=O,CCCC(OCc1ccccc1)=O,-0.02767792,-0.00336968
CC=CC=O,CC(C)CC(OCc1ccccc1)=O,0.0075612,0.00700782
