SMILES0,SMILES,gamma1,gamma2
CC=O,OC(C)C(O)=O,-1.04881152,-0.2635496
CC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.04851455,0.00676515
CC=O,OCC(O)C,0.47220957,0.10107752
CC=O,O=C1CCO1,0.04864633,0.01282095
CC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.17108442,-0.03208933
CC=O,CCOCC,0.75876612,0.18857731
CC=O,OCC,0.78927819,0.18642173
CC=O,CCCCCC=O,0.30804059,0.07600702
CC=O,CO,0.89164081,0.20626876
CC=O,OC(C)C,0.75836039,0.18201226
CC=O,CC(C)=O,0.02149549,0.00527409
CC=O,OCCC,0.7053588,0.16993409
CC=O,OCCCC,0.73026275,0.17925818
CC=O,OCCCCC,0.74086623,0.18063111
CC=O,CC1OC1,0.14310966,0.03597864
CC=O,CCC(C)(C)C,2.0460746,0.50509391
CC=O,CC(C)(C)C(C)=O,0.32055401,0.07785714
CC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.53010294,0.12058078
CC=O,COC(C)(C)OC,0.44991745,0.10992281
CC=O,CCC1(CC)CCCCC1,1.94914525,0.46947096
CC=O,CCOC(C)(OCC)OCC,0.47874859,0.11099278
CC=O,CC(C)CCCC(O)(C)CC,0.86654123,0.19642915
CC=O,CCC(C)C,2.12658985,0.52547024
CC=O,CC(=C)C=C,0.63265459,0.16492426
CC=O,CC(=C)C#C,-0.8246877,-0.19777713
CC=O,OCC(C)C,0.57209039,0.14257097
CC=O,CC(C)C=O,0.20342886,0.0509215
CC=O,CC(=C)C=O,0.0682145,0.01788489
CC=O,CCC(O)C,0.69738623,0.17119465
CC=O,CCC(C)=O,0.11649521,0.02886022
CC=O,COC(C)=O,-0.00031241,0.00014803
CC=O,CC(C)C(C)C,2.07001045,0.51106514
CC=O,CC(C)C(O)=O,-0.81713021,-0.19577663
CC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.28521882,0.06229064
CC=O,OOC(C)(C)C(CC1)CCC1C,-0.44042444,-0.11755485
CC=O,CCOC(C(O)(C)C)=O,0.17500617,0.04420613
CC=O,COC(=O)C(C)=C,0.14085108,0.03765291
CC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.59654005,-0.11339499
CC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.26915441,-0.05108718
CC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.50923687,0.06644264
CC=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.17379314,-0.03073574
CC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.01718069,0.00695433
CC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.14469121,0.02444631
CC=O,CC(C)CCOC(=O)c1ccccc1O,0.28410101,0.07274354
CC=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.16721899,-0.01931098
CC=O,O=C2c1ccccc1CO2,-0.24589759,-0.05555775
CC=O,OCC(O)C(O)C(O)CO,-0.09544344,-0.03368028
CC=O,CCC(CC)C(O)=O,-0.73217745,-0.17391547
CC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.31056616,-0.07955515
CC=O,COc1cc(C)ccc1C(C)(C)C,0.59212601,0.14723031
CC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.34865947,0.31177569
CC=O,COC(=O)c1ccccc1C,0.08975629,0.03072239
CC=O,CC(=O)c1ccc(C)cc1C,0.15537901,0.04271395
CC=O,Cc2c1ccccc1ccc2,0.15409196,0.05099729
CC=O,O=C2CCCCC2C1CCCCC1,0.632931,0.14228063
CC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.35558266,-0.06438774
CC=O,CC(C=O)c1ccccc1,-0.11670208,-0.02015994
CC=O,CCC(O)c1ccccc1,-0.54064255,-0.12687485
CC=O,CCOC(=O)c1ccccc1,0.09324034,0.0302505
CC=O,CC(OC(C)c2ccccc2)c1ccccc1,0.08244588,0.03242095
CC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.4076922,-0.06702848
CC=O,CCOC(=O)c(cc1)ccc1C,0.18453121,0.0501031
CC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.00582495,-0.01459209
CC=O,O=C(OCCc1ccccc1)c2ccccc2,-0.12297506,-0.01292849
CC=O,CCCc2cc1OCOc1cc2,-0.08731904,-0.00725643
CC=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.08302283,-0.01687124
CC=O,CCCC1CCCCC1=O,0.50758555,0.11840771
CC=O,CCOc1ccc(C=CC)cc1O,-1.07391162,-0.25493848
CC=O,CCCC(O)C(CO)CC,0.66171437,0.14309788
CC=O,Cc(ccc1C)cc1C,0.64798997,0.16637337
CC=O,CCOC(=O)C(OCC)=O,-0.12277543,-0.02644886
CC=O,CC1OC(C(C)OC1=O)=O,-0.59823401,-0.13333742
CC=O,CCCCC(=O)C(C)=O,0.09441339,0.02561038
CC=O,C=CCOC(=O)C(C)=C,0.13851356,0.03964115
CC=O,C1OC1c2ccccc2,-0.12752782,-0.02409375
CC=O,CCC(C)CC,2.09501037,0.51588557
CC=O,CCC(CC)=O,0.25555469,0.06267678
CC=O,OCC(CO)=O,-0.10730925,-0.03891217
CC=O,COC(=O)C=C,-0.02218012,-0.00360838
CC=O,COC(CO)=O,-0.12239749,-0.03194857
CC=O,CC1CCCC1,2.11606143,0.5227445
CC=O,CC1CCCO1,0.56026354,0.1381533
CC=O,O=C1CCCO1,-0.0170759,-0.00416995
CC=O,CCCC(C)C(O)=O,-0.74603268,-0.17642287
CC=O,CCOC(C(C)C)=O,0.38453129,0.09300047
CC=O,CCOC(=O)C(C)=C,0.31204195,0.07910331
CC=O,CCOC(C(O)C)=O,0.04362994,0.01213491
CC=O,CC(C)C(OC(C(C)C)=O)=O,0.18497138,0.04409707
CC=O,CC(C)COC(C(C)C)=O,0.58724229,0.1355893
CC=O,CC(C)COC(=O)C(C)=C,0.4886022,0.11734544
CC=O,CCCCOC(C(C)C)=O,0.56788588,0.13070894
CC=O,CCCCOC(=O)C(C)=C,0.48562316,0.11625703
CC=O,CCC(CC)C=O,0.43344517,0.10492423
CC=O,OCC1CCCO1,0.35775643,0.08343405
CC=O,OCc1occc1,-0.7068177,-0.17846385
CC=O,O=Cc1occc1,-0.21622568,-0.05214754
CC=O,CC(C)(C)c1ccccc1,0.62528239,0.16124406
CC=O,OOC(C)(C)c(cc1)ccc1C(C)C,-0.84513663,-0.2097253
CC=O,CC(C)(C)c(cc1)ccc1C,0.76115338,0.18919743
CC=O,OC1CCC(CC1)C(C)(C)C,0.75740215,0.17532625
CC=O,CC(C)(C)C1CCC(CC1)=O,0.36129008,0.08211792
CC=O,CC(C)c1ccccc1,0.5936493,0.15488468
CC=O,COC(=O)c(ccc1)cc1C,0.0754629,0.0253732
CC=O,OC1CC(CC=C1C)C(C)=C,0.03369433,0.00909664
CC=O,CC(C)c1cc(C(C)C)ccc1,0.8323758,0.20047816
CC=O,CCCC(CCC)C(O)=O,-0.65332266,-0.16048356
CC=O,CC(C=O)c(cc1)ccc1C,0.00110379,0.00802653
CC=O,CC1CCC(C(C)C)CC1,1.99528888,0.4740168
CC=O,CC(C)c(cc1)ccc1C,0.72988035,0.18397741
CC=O,C=CC1CC=CCC1,0.87277119,0.22126696
CC=O,CCc1ccccc1,0.52190902,0.13832576
CC=O,C=Cc1ccccc1,0.07100774,0.02904545
CC=O,OCC1CCCCC1,0.66802011,0.1621697
CC=O,COc1ccccc1,-0.03455283,-0.0007739
CC=O,OCC1CCCCO1,0.50746789,0.11577348
CC=O,OCC(CO1)OC1(C)C,0.04515455,0.01035664
CC=O,Cc1cc(C=C)ccc1,0.22903888,0.06786353
CC=O,COc(ccc1)cc1C,0.10667155,0.0347759
CC=O,COC(=O)Cc1ccccc1,-0.17442396,-0.03284591
CC=O,COC(OC)Cc1ccccc1,-0.00222339,0.00842519
CC=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.31907278,-0.05482135
CC=O,CC(C)COC(=O)Cc1ccccc1,0.03330096,0.01542804
CC=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.35031236,-0.06123383
CC=O,CCc1cc(CC)cc(CC)c1,0.94238014,0.2241966
CC=O,CC(=O)Oc(ccc1)cc1O,-1.77923172,-0.41682355
CC=O,COC(OC)CC(OC)OC,0.09962675,0.02403984
CC=O,CCCCC(CC)COC(C)=O,0.5524626,0.12105242
CC=O,CCCCC(CC)COC(=O)C=C,0.53759807,0.12075101
CC=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.38486973,0.0525821
CC=O,COC(CCc1ccccc1)=O,-0.11567662,-0.0192784
CC=O,CC(C)C(OCc1ccccc1)=O,0.0156067,0.01133682
CC=O,CCCC(OCc1ccccc1)=O,0.00088811,0.00948173
CC=O,CC(C)CC(OCc1ccccc1)=O,0.0374474,0.01976039
CC=O,CC(OCCc1ccccc1)=O,-0.08212867,-0.01136058
CC=O,CC(C)C(OCCc1ccccc1)=O,0.09521008,0.02929189
CC=O,CC(C)C(OCCOc1ccccc1)=O,-0.22147598,-0.03790118
CC=O,CCCc1ccccc1,0.60603962,0.15706563
CC=O,CC(C)C(=O)Oc(cc1)ccc1C,0.0805072,0.02523471
CC=O,CCCc(cc1)ccc1OC,0.2778784,0.07517565
CC=O,CCCCC1OC(CC1)=O,0.05057038,0.01165146
CC=O,CCCCc1ccccc1,0.68195438,0.17213196
CC=O,O=COCc1ccccc1,-0.34138708,-0.07377045
CC=O,CCCCCC1OC(CC1)=O,0.09344615,0.02065348
CC=O,O=COCCc1ccccc1,-0.27398865,-0.05544831
CC=O,CCCCCCCC1OC(CC1)=O,0.17319096,0.03605898
CC=O,CCCCC(CO)CC,0.59156266,0.13576373
CC=O,COc(cc1)ccc1C,0.11352861,0.03661508
CC=O,CC(C)COC(CCc1occc1)=O,0.00045633,0.00836921
CC=O,CCc1ccc(CC)cc1,0.77101735,0.19279018
CC=O,C=Cc1ccc(C=C)cc1,-0.04125035,0.00522325
CC=O,CCCC1OC(CC1)=O,0.01143224,0.00284338
CC=O,OCC=C(C)C#C,-1.01612053,-0.25583136
CC=O,CCCC(C)CO,0.59298562,0.14659888
CC=O,CCCC(O)C#C,-1.35297772,-0.33417982
CC=O,CCOC(CC)=O,0.24996401,0.06115513
CC=O,CCC(OC=C)=O,0.11974136,0.03437494
CC=O,CCC(C)CC(C)=O,0.36185565,0.08680484
CC=O,CCC(C)CC(O)=O,-0.80957129,-0.19113812
CC=O,CCC(C)OC(C)=O,0.32523762,0.07888304
