SMILES0,SMILES,gamma1,gamma2
CCC(C(O)=O)C(O)=O,OC(C)C(O)=O,-0.08192704,-0.02487644
CCC(C(O)=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.83722164,0.82716631
CCC(C(O)=O)C(O)=O,OCC(O)C,-3.29459514,-0.80718011
CCC(C(O)=O)C(O)=O,O=C1CCO1,-0.35653827,-0.06608921
CCC(C(O)=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.80243723,-0.18684656
CCC(C(O)=O)C(O)=O,CCOCC,-5.42595738,-1.05631485
CCC(C(O)=O)C(O)=O,OCC,-4.48104876,-0.99633667
CCC(C(O)=O)C(O)=O,CCCCCC=O,-1.86605506,-0.38155485
CCC(C(O)=O)C(O)=O,CO,-4.68484926,-1.00799631
CCC(C(O)=O)C(O)=O,OC(C)C,-4.51648038,-1.02222946
CCC(C(O)=O)C(O)=O,CC(C)=O,-5.56342155,-1.32749939
CCC(C(O)=O)C(O)=O,OCCC,-3.57298472,-0.80411313
CCC(C(O)=O)C(O)=O,OCCCC,-3.48216588,-0.78492331
CCC(C(O)=O)C(O)=O,OCCCCC,-3.20200461,-0.7229093
CCC(C(O)=O)C(O)=O,CC1OC1,-4.40598577,-0.92139652
CCC(C(O)=O)C(O)=O,CCC(C)(C)C,9.41831058,1.10777783
CCC(C(O)=O)C(O)=O,CC(C)(C)C(C)=O,-3.78825934,-0.85227546
CCC(C(O)=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.10038601,-0.58677196
CCC(C(O)=O)C(O)=O,COC(C)(C)OC,-5.03351326,-1.18416821
CCC(C(O)=O)C(O)=O,CCC1(CC)CCCCC1,9.37282946,1.20720178
CCC(C(O)=O)C(O)=O,CCOC(C)(OCC)OCC,-5.96981686,-1.612889
CCC(C(O)=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.34586572,-0.75410816
CCC(C(O)=O)C(O)=O,CCC(C)C,9.51701634,1.07865048
CCC(C(O)=O)C(O)=O,CC(=C)C=C,6.4973793,0.65764183
CCC(C(O)=O)C(O)=O,CC(=C)C#C,4.46201167,0.38956427
