SMILES0,SMILES,gamma1,gamma2
CCC(C)=O,OC(C)C(O)=O,-1.37739897,-0.36222263
CCC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.22677231,-0.04775534
CCC(C)=O,OCC(O)C,0.30735516,0.06904726
CCC(C)=O,O=C1CCO1,0.78090651,0.19328258
CCC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.32029314,-0.0654246
CCC(C)=O,CCOCC,0.33856404,0.08426053
CCC(C)=O,OCC,0.41974764,0.10166645
CCC(C)=O,CCCCCC=O,0.03013995,0.00773361
CCC(C)=O,CO,0.76899216,0.1835717
CCC(C)=O,OC(C)C,0.29811672,0.07194572
CCC(C)=O,CC(C)=O,0.03166899,0.008035
CCC(C)=O,OCCC,0.16876592,0.04078405
CCC(C)=O,OCCCC,0.14588209,0.03821427
CCC(C)=O,OCCCCC,0.10735953,0.02868676
CCC(C)=O,CC1OC1,-0.00680834,-0.00169064
CCC(C)=O,CCC(C)(C)C,1.39084939,0.3424385
CCC(C)=O,CC(C)(C)C(C)=O,0.06541105,0.01629581
CCC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.14726149,0.03760907
CCC(C)=O,COC(C)(C)OC,0.13997337,0.03495375
CCC(C)=O,CCC1(CC)CCCCC1,1.3251201,0.32966526
CCC(C)=O,CCOC(C)(OCC)OCC,0.15449257,0.03935577
CCC(C)=O,CC(C)CCCC(O)(C)CC,0.21542353,0.05249087
CCC(C)=O,CCC(C)C,1.45126422,0.35309535
CCC(C)=O,CC(=C)C=C,0.20802976,0.05153504
CCC(C)=O,CC(=C)C#C,-1.27702153,-0.32079881
CCC(C)=O,OCC(C)C,-0.0871104,-0.01883265
CCC(C)=O,CC(C)C=O,0.01157809,0.00289127
CCC(C)=O,CC(=C)C=O,0.03451436,0.008602
CCC(C)=O,CCC(O)C,0.11855411,0.02942937
CCC(C)=O,CCC(C)=O,0,0
CCC(C)=O,COC(C)=O,0.01539665,0.0038293
CCC(C)=O,CC(C)C(C)C,1.41451479,0.34882765
CCC(C)=O,CC(C)C(O)=O,-1.80390639,-0.46437346
CCC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.02334396,-0.00282685
CCC(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.54388178,-0.40297353
CCC(C)=O,CCOC(C(O)(C)C)=O,-0.0993689,-0.02379321
CCC(C)=O,COC(=O)C(C)=C,-0.01348473,-0.0033486
CCC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.97371588,-0.2245121
CCC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.08278288,-0.01815928
CCC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.24883314,-0.07461584
CCC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.19651469,-0.0437479
CCC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.20578664,-0.04262011
CCC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.16512083,-0.03209939
CCC(C)=O,CC(C)CCOC(=O)c1ccccc1O,-0.0729322,-0.01387368
CCC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.31441629,-0.0680342
CCC(C)=O,O=C2c1ccccc1CO2,0.12173355,0.03238244
CCC(C)=O,OCC(O)C(O)C(O)CO,-0.01186753,-0.00594516
CCC(C)=O,CCC(CC)C(O)=O,-1.87635774,-0.48091846
CCC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.06386741,-0.26295078
CCC(C)=O,COc1cc(C)ccc1C(C)(C)C,0.16839455,0.04485483
CCC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,0.80151368,0.19965734
CCC(C)=O,COC(=O)c1ccccc1C,-0.07083049,-0.01638771
CCC(C)=O,CC(=O)c1ccc(C)cc1C,-0.02463183,-0.00534172
CCC(C)=O,Cc2c1ccccc1ccc2,-0.07863606,-0.01743258
CCC(C)=O,O=C2CCCCC2C1CCCCC1,0.25682768,0.06223247
CCC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.26256924,-0.05703462
CCC(C)=O,CC(C=O)c1ccccc1,-0.14618166,-0.03524471
CCC(C)=O,CCC(O)c1ccccc1,-1.20071407,-0.30414637
CCC(C)=O,CCOC(=O)c1ccccc1,-0.05626919,-0.01301542
CCC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.16918599,-0.03442766
CCC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.37709207,-0.07595092
CCC(C)=O,CCOC(=O)c(cc1)ccc1C,-0.02120904,-0.00403382
CCC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.22503153,-0.04652476
CCC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.22166215,-0.04825328
CCC(C)=O,CCCc2cc1OCOc1cc2,-0.40308203,-0.09554623
CCC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.14678555,-0.03396013
CCC(C)=O,CCCC1CCCCC1=O,0.17585428,0.04382838
CCC(C)=O,CCOc1ccc(C=CC)cc1O,-1.84285973,-0.45615067
CCC(C)=O,CCCC(O)C(CO)CC,0.20334843,0.03777859
CCC(C)=O,Cc(ccc1C)cc1C,0.2498616,0.06417854
CCC(C)=O,CCOC(=O)C(OCC)=O,-0.07428574,-0.01777814
CCC(C)=O,CC1OC(C(C)OC1=O)=O,-0.18872085,-0.0325387
CCC(C)=O,CCCCC(=O)C(C)=O,-0.10299336,-0.02502468
CCC(C)=O,C=CCOC(=O)C(C)=C,-0.03927689,-0.00902737
CCC(C)=O,C1OC1c2ccccc2,-0.11988477,-0.02930158
CCC(C)=O,CCC(C)CC,1.43910136,0.35500345
CCC(C)=O,CCC(CC)=O,0.03273435,0.00811272
CCC(C)=O,OCC(CO)=O,0.43673603,0.1052134
CCC(C)=O,COC(=O)C=C,-0.0234534,-0.00582707
CCC(C)=O,COC(CO)=O,0.05366025,0.01294902
CCC(C)=O,CC1CCCC1,1.44089303,0.3526987
CCC(C)=O,CC1CCCO1,0.20938601,0.05240245
CCC(C)=O,O=C1CCCO1,0.27932157,0.07098012
CCC(C)=O,CCCC(C)C(O)=O,-1.89732934,-0.48532008
CCC(C)=O,CCOC(C(C)C)=O,0.08935738,0.02237507
CCC(C)=O,CCOC(=O)C(C)=C,0.06028989,0.01540526
CCC(C)=O,CCOC(C(O)C)=O,-0.16742939,-0.04136438
CCC(C)=O,CC(C)C(OC(C(C)C)=O)=O,-0.03440917,-0.00768453
CCC(C)=O,CC(C)COC(C(C)C)=O,0.22337207,0.05465619
CCC(C)=O,CC(C)COC(=O)C(C)=C,0.15503402,0.03878282
CCC(C)=O,CCCCOC(C(C)C)=O,0.20669096,0.05058169
CCC(C)=O,CCCCOC(=O)C(C)=C,0.15106264,0.03789554
CCC(C)=O,CCC(CC)C=O,0.12494509,0.03099548
CCC(C)=O,OCC1CCCO1,0.16632176,0.03900101
CCC(C)=O,OCc1occc1,-0.84127782,-0.21571576
CCC(C)=O,O=Cc1occc1,0.15600536,0.03798049
CCC(C)=O,CC(C)(C)c1ccccc1,0.20402291,0.05350042
CCC(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.71520255,-0.44702609
CCC(C)=O,CC(C)(C)c(cc1)ccc1C,0.3143078,0.08068768
CCC(C)=O,OC1CCC(CC1)C(C)(C)C,0.10921625,0.0256765
CCC(C)=O,CC(C)(C)C1CCC(CC1)=O,0.08349223,0.02034649
CCC(C)=O,CC(C)c1ccccc1,0.18896193,0.0493657
CCC(C)=O,COC(=O)c(ccc1)cc1C,-0.0645675,-0.01524873
CCC(C)=O,OC1CC(CC=C1C)C(C)=C,-0.57866271,-0.14544349
CCC(C)=O,CC(C)c1cc(C(C)C)ccc1,0.36937247,0.09295376
CCC(C)=O,CCCC(CCC)C(O)=O,-1.87307986,-0.48098973
CCC(C)=O,CC(C=O)c(cc1)ccc1C,-0.13162638,-0.03081531
CCC(C)=O,CC1CCC(C(C)C)CC1,1.36845469,0.33875406
CCC(C)=O,CC(C)c(cc1)ccc1C,0.29371765,0.07558315
CCC(C)=O,C=CC1CC=CCC1,0.3926224,0.09946228
CCC(C)=O,CCc1ccccc1,0.14480548,0.03766182
CCC(C)=O,C=Cc1ccccc1,-0.12709616,-0.03089374
CCC(C)=O,OCC1CCCCC1,-0.04608477,-0.0108788
CCC(C)=O,COc1ccccc1,-0.14718776,-0.03641415
CCC(C)=O,OCC1CCCCO1,0.20521005,0.04322833
CCC(C)=O,OCC(CO1)OC1(C)C,-0.11261124,-0.02828089
CCC(C)=O,Cc1cc(C=C)ccc1,-0.04805249,-0.01021371
CCC(C)=O,COc(ccc1)cc1C,-0.10254627,-0.02461985
CCC(C)=O,COC(=O)Cc1ccccc1,-0.13971092,-0.03308224
CCC(C)=O,COC(OC)Cc1ccccc1,-0.1345182,-0.03056838
CCC(C)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.32116742,-0.0692202
CCC(C)=O,CC(C)COC(=O)Cc1ccccc1,-0.15489626,-0.03399826
CCC(C)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.29719594,-0.06355113
CCC(C)=O,CCc1cc(CC)cc(CC)c1,0.46853215,0.11773773
CCC(C)=O,CC(=O)Oc(ccc1)cc1O,-2.33961954,-0.59322519
CCC(C)=O,COC(OC)CC(OC)OC,-0.06069175,-0.01440678
CCC(C)=O,CCCCC(CC)COC(C)=O,0.18563926,0.04457822
CCC(C)=O,CCCCC(CC)COC(=O)C=C,0.15347954,0.03853898
