SMILES0,SMILES,gamma1,gamma2
CCC(O)=O,OC(C)C(O)=O,0.1284039,0.02759495
CCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.91807243,0.66674476
CCC(O)=O,OCC(O)C,-0.90659569,-0.22513749
CCC(O)=O,O=C1CCO1,0.6971609,0.17036501
CCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.05076531,-0.01196241
CCC(O)=O,CCOCC,-1.81477559,-0.49256437
CCC(O)=O,OCC,-1.32141765,-0.34941073
CCC(O)=O,CCCCCC=O,-0.34752692,-0.08358131
CCC(O)=O,CO,-1.24879421,-0.32756246
CCC(O)=O,OC(C)C,-1.40667718,-0.38111212
CCC(O)=O,CC(C)=O,-1.96449527,-0.5165102
CCC(O)=O,OCCC,-1.03498562,-0.27380355
CCC(O)=O,OCCCC,-1.01659916,-0.27467295
CCC(O)=O,OCCCCC,-0.91251605,-0.25047227
CCC(O)=O,CC1OC1,-1.45127867,-0.36291603
CCC(O)=O,CCC(C)(C)C,6.21806778,0.85813928
CCC(O)=O,CC(C)(C)C(C)=O,-1.22588763,-0.32220792
CCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.88836227,-0.24165513
CCC(O)=O,COC(C)(C)OC,-1.7506124,-0.48422422
CCC(O)=O,CCC1(CC)CCCCC1,6.12862547,0.89940593
CCC(O)=O,CCOC(C)(OCC)OCC,-2.15279397,-0.52335722
CCC(O)=O,CC(C)CCCC(O)(C)CC,-0.96556148,-0.29954132
CCC(O)=O,CCC(C)C,6.30117499,0.84671958
CCC(O)=O,CC(=C)C=C,4.48232221,0.59900128
CCC(O)=O,CC(=C)C#C,3.09865234,0.40804785
CCC(O)=O,OCC(C)C,-0.78100031,-0.21094646
CCC(O)=O,CC(C)C=O,-0.55496031,-0.13590316
CCC(O)=O,CC(=C)C=O,-0.72867008,-0.18025844
CCC(O)=O,CCC(O)C,-1.11256378,-0.3009983
CCC(O)=O,CCC(C)=O,-1.72908255,-0.45791633
CCC(O)=O,COC(C)=O,-0.80664851,-0.2028278
CCC(O)=O,CC(C)C(C)C,6.24769892,0.86453932
CCC(O)=O,CC(C)C(O)=O,0.05781261,0.01464127
