SMILES0,SMILES,gamma1,gamma2
CCC(O)C(O)=O,OC(C)C(O)=O,0.03692591,0.00820775
CCC(O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.01936233,0.97217222
CCC(O)C(O)=O,OCC(O)C,-1.41940793,-0.36785833
CCC(O)C(O)=O,O=C1CCO1,0.54689914,0.11071625
CCC(O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.2385062,0.03920675
CCC(O)C(O)=O,CCOCC,-2.49679409,-0.59553466
CCC(O)C(O)=O,OCC,-1.98328625,-0.49312967
CCC(O)C(O)=O,CCCCCC=O,-0.32500513,-0.09209567
CCC(O)C(O)=O,CO,-2.10730835,-0.51001459
CCC(O)C(O)=O,OC(C)C,-1.99289647,-0.50828453
CCC(O)C(O)=O,CC(C)=O,-3.00302411,-0.7753792
CCC(O)C(O)=O,OCCC,-1.43462747,-0.35914329
CCC(O)C(O)=O,OCCCC,-1.33967691,-0.34084883
CCC(O)C(O)=O,OCCCCC,-1.13399645,-0.29398721
CCC(O)C(O)=O,CC1OC1,-2.11656995,-0.51015247
CCC(O)C(O)=O,CCC(C)(C)C,8.93416438,1.17878816
CCC(O)C(O)=O,CC(C)(C)C(C)=O,-1.65685308,-0.43392368
CCC(O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.87770247,-0.21966417
CCC(O)C(O)=O,COC(C)(C)OC,-2.39323418,-0.64422298
CCC(O)C(O)=O,CCC1(CC)CCCCC1,8.86406124,1.24814975
CCC(O)C(O)=O,CCOC(C)(OCC)OCC,-2.83889558,-0.7631229
CCC(O)C(O)=O,CC(C)CCCC(O)(C)CC,-1.06556751,-0.32088943
CCC(O)C(O)=O,CCC(C)C,9.02485997,1.15688152
CCC(O)C(O)=O,CC(=C)C=C,6.61966352,0.83748366
CCC(O)C(O)=O,CC(=C)C#C,4.74880376,0.6132651
CCC(O)C(O)=O,OCC(C)C,-0.94655998,-0.2398649
CCC(O)C(O)=O,CC(C)C=O,-0.75615426,-0.19965998
CCC(O)C(O)=O,CC(=C)C=O,-1.01969363,-0.25998356
CCC(O)C(O)=O,CCC(O)C,-1.46058152,-0.37324916
CCC(O)C(O)=O,CCC(C)=O,-2.52229525,-0.66018026
CCC(O)C(O)=O,COC(C)=O,-1.24518418,-0.32386452
CCC(O)C(O)=O,CC(C)C(C)C,8.97364682,1.18737104
CCC(O)C(O)=O,CC(C)C(O)=O,0.20987418,0.05240574
CCC(O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.21313076,-0.11916703
CCC(O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.23388332,0.29368319
CCC(O)C(O)=O,CCOC(C(O)(C)C)=O,-2.08981316,-0.57444219
CCC(O)C(O)=O,COC(=O)C(C)=C,0.17567196,0.00643076
CCC(O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.10553019,0.63088035
CCC(O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.64975591,-0.16863658
CCC(O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.37483894,-0.03708695
CCC(O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.66695721,0.13932047
CCC(O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.06169289,0.21215762
