SMILES0,SMILES,gamma1,gamma2
CCC1OC(CC1)=O,OC(C)C(O)=O,-1.33705448,-0.35240395
CCC1OC(CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.20677164,0.05333175
CCC1OC(CC1)=O,OCC(O)C,0.71615704,0.17284494
CCC1OC(CC1)=O,O=C1CCO1,0.6455905,0.14896646
CCC1OC(CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.12116974,-0.02573001
CCC1OC(CC1)=O,CCOCC,0.71991963,0.17404373
CCC1OC(CC1)=O,OCC,0.90032888,0.21559753
CCC1OC(CC1)=O,CCCCCC=O,0.23701394,0.05944836
CCC1OC(CC1)=O,CO,1.18833781,0.27952434
CCC1OC(CC1)=O,OC(C)C,0.80509085,0.19363233
CCC1OC(CC1)=O,CC(C)=O,-0.06345997,-0.01531126
CCC1OC(CC1)=O,OCCC,0.70501856,0.17263291
CCC1OC(CC1)=O,OCCCC,0.72702018,0.18429888
CCC1OC(CC1)=O,OCCCCC,0.73254543,0.18894406
CCC1OC(CC1)=O,CC1OC1,-0.00049277,-0.00023901
CCC1OC(CC1)=O,CCC(C)(C)C,2.48313005,0.58369913
CCC1OC(CC1)=O,CC(C)(C)C(C)=O,0.26754539,0.06658404
CCC1OC(CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.64619191,0.1622355
CCC1OC(CC1)=O,COC(C)(C)OC,0.41730021,0.10339835
CCC1OC(CC1)=O,CCC1(CC)CCCCC1,2.44128282,0.59955741
CCC1OC(CC1)=O,CCOC(C)(OCC)OCC,0.54342881,0.13820566
CCC1OC(CC1)=O,CC(C)CCCC(O)(C)CC,0.9715964,0.2482137
CCC1OC(CC1)=O,CCC(C)C,2.55523894,0.58603805
CCC1OC(CC1)=O,CC(=C)C=C,0.70247658,0.16376807
CCC1OC(CC1)=O,CC(=C)C#C,-1.31148553,-0.29245114
CCC1OC(CC1)=O,OCC(C)C,0.4680629,0.12485599
CCC1OC(CC1)=O,CC(C)C=O,0.08751955,0.0211128
CCC1OC(CC1)=O,CC(=C)C=O,0.09554043,0.02340727
CCC1OC(CC1)=O,CCC(O)C,0.67333237,0.16706049
CCC1OC(CC1)=O,CCC(C)=O,0.01807765,0.00447926
CCC1OC(CC1)=O,COC(C)=O,-0.02662985,-0.00643169
CCC1OC(CC1)=O,CC(C)C(C)C,2.52096654,0.59390162
CCC1OC(CC1)=O,CC(C)C(O)=O,-1.54615308,-0.38573011
CCC1OC(CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.40338891,0.09969896
CCC1OC(CC1)=O,OOC(C)(C)C(CC1)CCC1C,-1.09025542,-0.2648503
CCC1OC(CC1)=O,CCOC(C(O)(C)C)=O,0.130457,0.03354596
CCC1OC(CC1)=O,COC(=O)C(C)=C,0.17054602,0.04234605
CCC1OC(CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.77282421,-0.19071796
CCC1OC(CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.10820226,0.02496767
CCC1OC(CC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.56810658,0.11567934
CCC1OC(CC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.01816579,-0.00371092
CCC1OC(CC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.12342902,0.0309861
CCC1OC(CC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.26001255,0.06069964
CCC1OC(CC1)=O,CC(C)CCOC(=O)c1ccccc1O,0.39157336,0.10022802
CCC1OC(CC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.00044647,0.00366036
CCC1OC(CC1)=O,O=C2c1ccccc1CO2,0.15161873,0.03791515
CCC1OC(CC1)=O,OCC(O)C(O)C(O)CO,0.17717058,0.03459356
CCC1OC(CC1)=O,CCC(CC)C(O)=O,-1.50357324,-0.36947763
CCC1OC(CC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.57669568,-0.139242
CCC1OC(CC1)=O,COc1cc(C)ccc1C(C)(C)C,0.76200769,0.19377872
CCC1OC(CC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.72656692,0.43527901
CCC1OC(CC1)=O,COC(=O)c1ccccc1C,0.22619085,0.05758768
CCC1OC(CC1)=O,CC(=O)c1ccc(C)cc1C,0.28190183,0.07085579
