SMILES0,SMILES,gamma1,gamma2
CCC=O,OC(C)C(O)=O,-0.70707988,-0.18666874
CCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.16350033,-0.02982704
CCC=O,OCC(O)C,0.58449131,0.12780157
CCC=O,O=C1CCO1,0.44253054,0.11111579
CCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.27514707,-0.05463524
CCC=O,CCOCC,0.45285885,0.11274037
CCC=O,OCC,0.75250428,0.17542813
CCC=O,CCCCCC=O,0.11758954,0.02899599
CCC=O,CO,1.00198407,0.23234408
CCC=O,OC(C)C,0.63966918,0.14985466
CCC=O,CC(C)=O,-0.01574193,-0.00393731
CCC=O,OCCC,0.5910638,0.13800193
CCC=O,OCCCC,0.56978435,0.1358066
CCC=O,OCCCCC,0.54835197,0.13023551
CCC=O,CC1OC1,0.01703159,0.0042622
CCC=O,CCC(C)(C)C,1.58137508,0.39044505
CCC=O,CC(C)(C)C(C)=O,0.12541517,0.03060236
CCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.2613121,0.06146504
CCC=O,COC(C)(C)OC,0.21512892,0.05286205
CCC=O,CCC1(CC)CCCCC1,1.50062722,0.3665841
CCC=O,CCOC(C)(OCC)OCC,0.23251201,0.05585099
CCC=O,CC(C)CCCC(O)(C)CC,0.5831894,0.13355896
CCC=O,CCC(C)C,1.64949089,0.40560154
CCC=O,CC(=C)C=C,0.35435562,0.08988328
CCC=O,CC(=C)C#C,-0.91408383,-0.22888184
CCC=O,OCC(C)C,0.4077826,0.09739975
CCC=O,CC(C)C=O,0.05610242,0.01398522
CCC=O,CC(=C)C=O,0.02622544,0.00653374
CCC=O,CCC(O)C,0.52316647,0.12463241
CCC=O,CCC(C)=O,0.01076405,0.00264918
CCC=O,COC(C)=O,-0.02389946,-0.00596027
CCC=O,CC(C)C(C)C,1.60388551,0.39633856
CCC=O,CC(C)C(O)=O,-0.84407737,-0.20662263
CCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.06218705,0.01490186
CCC=O,OOC(C)(C)C(CC1)CCC1C,-0.6522948,-0.16688908
CCC=O,CCOC(C(O)(C)C)=O,0.02311787,0.00631695
CCC=O,COC(=O)C(C)=C,0.02685133,0.00693574
CCC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.71876087,-0.15692868
CCC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.16185458,-0.03575902
CCC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.19998825,0.0180795
CCC=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.20523755,-0.04371695
CCC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.13752328,-0.02718509
CCC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.06616729,-0.01418317
CCC=O,CC(C)CCOC(=O)c1ccccc1O,0.06125607,0.01793621
CCC=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.25286931,-0.04967572
CCC=O,O=C2c1ccccc1CO2,-0.02407836,-0.00506858
CCC=O,OCC(O)C(O)C(O)CO,0.11743207,0.01396473
CCC=O,CCC(CC)C(O)=O,-0.85136949,-0.20737019
CCC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.47585504,-0.12067369
CCC=O,COc1cc(C)ccc1C(C)(C)C,0.30946866,0.07799168
CCC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,0.95833602,0.22835241
CCC=O,COC(=O)c1ccccc1C,-0.01862206,-0.00215755
CCC=O,CC(=O)c1ccc(C)cc1C,0.02268085,0.0068568
CCC=O,Cc2c1ccccc1ccc2,0.00352491,0.00516918
CCC=O,O=C2CCCCC2C1CCCCC1,0.35747068,0.08230047
CCC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.30393253,-0.06349552
CCC=O,CC(C=O)c1ccccc1,-0.14511407,-0.03332926
CCC=O,CCC(O)c1ccccc1,-0.63324028,-0.15847706
CCC=O,CCOC(=O)c1ccccc1,-0.01090712,-0.00077015
