SMILES0,SMILES,gamma1,gamma2
CCOC(CO)=O,OC(C)C(O)=O,-1.04782842,-0.26480264
CCOC(CO)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.08589637,0.23796093
CCOC(CO)=O,OCC(O)C,0.44201972,0.11012114
CCOC(CO)=O,O=C1CCO1,0.87938955,0.20771455
CCOC(CO)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.33342413,0.07128907
CCOC(CO)=O,CCOCC,0.39720353,0.09998667
CCOC(CO)=O,OCC,0.44216955,0.10737895
CCOC(CO)=O,CCCCCC=O,0.44819413,0.1065528
CCOC(CO)=O,CO,0.51000623,0.12400046
CCOC(CO)=O,OC(C)C,0.44077745,0.10720199
CCOC(CO)=O,CC(C)=O,-0.39422196,-0.09858171
CCOC(CO)=O,OCCC,0.46425853,0.11418468
CCOC(CO)=O,OCCCC,0.53384021,0.13527214
CCOC(CO)=O,OCCCCC,0.60537298,0.15478623
CCOC(CO)=O,CC1OC1,-0.1077851,-0.02842827
CCOC(CO)=O,CCC(C)(C)C,3.17868916,0.67777247
CCOC(CO)=O,CC(C)(C)C(C)=O,0.19422134,0.0453556
CCOC(CO)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.79463303,0.18814997
CCOC(CO)=O,COC(C)(C)OC,0.20815453,0.05007212
CCOC(CO)=O,CCC1(CC)CCCCC1,3.12761824,0.68995944
CCOC(CO)=O,CCOC(C)(OCC)OCC,0.22537477,0.06350379
CCOC(CO)=O,CC(C)CCCC(O)(C)CC,0.89170006,0.21836866
CCOC(CO)=O,CCC(C)C,3.23837599,0.6775983
CCOC(CO)=O,CC(=C)C=C,1.57623198,0.30849132
CCOC(CO)=O,CC(=C)C#C,-0.10128907,-0.04809602
CCOC(CO)=O,OCC(C)C,0.42949705,0.10978209
CCOC(CO)=O,CC(C)C=O,0.22416789,0.04929124
CCOC(CO)=O,CC(=C)C=O,0.17189731,0.037808
CCOC(CO)=O,CCC(O)C,0.4956018,0.12311897
CCOC(CO)=O,CCC(C)=O,-0.20126611,-0.05156405
CCOC(CO)=O,COC(C)=O,0.10830864,0.02251664
CCOC(CO)=O,CC(C)C(C)C,3.20665992,0.68572376
CCOC(CO)=O,CC(C)C(O)=O,-1.19006428,-0.30463227
CCOC(CO)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.6079669,0.13620597
CCOC(CO)=O,OOC(C)(C)C(CC1)CCC1C,-0.51594243,-0.1423044
CCOC(CO)=O,CCOC(C(O)(C)C)=O,0.14521772,0.03416285
CCOC(CO)=O,COC(=O)C(C)=C,0.50564701,0.11806611
CCOC(CO)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.49375204,0.11280624
CCOC(CO)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.29551672,0.06765068
CCOC(CO)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.84344347,0.15987392
CCOC(CO)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.42104049,0.0983749
CCOC(CO)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.58908238,0.13177896
CCOC(CO)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.75875788,0.16047839
CCOC(CO)=O,CC(C)CCOC(=O)c1ccccc1O,1.17542125,0.27023555
CCOC(CO)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.86095409,0.19817927
CCOC(CO)=O,O=C2c1ccccc1CO2,0.41580701,0.10054592
CCOC(CO)=O,OCC(O)C(O)C(O)CO,0.18522686,0.04378441
CCOC(CO)=O,CCC(CC)C(O)=O,-1.06274486,-0.27321663
CCOC(CO)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.156272,-0.03878751
CCOC(CO)=O,COc1cc(C)ccc1C(C)(C)C,1.59824842,0.34921161
CCOC(CO)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.46083693,0.55024653
CCOC(CO)=O,COC(=O)c1ccccc1C,0.74189831,0.17501816
CCOC(CO)=O,CC(=O)c1ccc(C)cc1C,0.34393069,0.08242492
