SMILES0,SMILES,gamma1,gamma2
CCOCC(O)=O,OC(C)C(O)=O,-0.19608577,-0.05779387
CCOCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.86122687,0.64153651
CCOCC(O)=O,OCC(O)C,-0.22162089,-0.05704057
CCOCC(O)=O,O=C1CCO1,1.33590174,0.29833024
CCOCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.90861153,0.21010686
CCOCC(O)=O,CCOCC,-0.59858496,-0.12448297
CCOCC(O)=O,OCC,-0.58383379,-0.15291264
CCOCC(O)=O,CCCCCC=O,0.71732007,0.16619017
CCOCC(O)=O,CO,-0.60713618,-0.15566303
CCOCC(O)=O,OC(C)C,-0.55964819,-0.14801145
CCOCC(O)=O,CC(C)=O,-1.12410736,-0.28266729
CCOCC(O)=O,OCCC,-0.25488585,-0.06807506
CCOCC(O)=O,OCCCC,-0.15498359,-0.04239681
CCOCC(O)=O,OCCCCC,-0.00141132,-0.00264625
CCOCC(O)=O,CC1OC1,-0.52894523,-0.12698362
CCOCC(O)=O,CCC(C)(C)C,5.46075393,1.00094708
CCOCC(O)=O,CC(C)(C)C(C)=O,-0.11997549,-0.0315569
CCOCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.44877033,0.13312323
CCOCC(O)=O,COC(C)(C)OC,-0.58836583,-0.1499758
CCOCC(O)=O,CCC1(CC)CCCCC1,5.40891461,1.06167592
CCOCC(O)=O,CCOC(C)(OCC)OCC,-0.95414396,-0.2183381
CCOCC(O)=O,CC(C)CCCC(O)(C)CC,0.22028172,0.04273946
CCOCC(O)=O,CCC(C)C,5.53844856,0.98426788
CCOCC(O)=O,CC(=C)C=C,3.46245872,0.60409438
CCOCC(O)=O,CC(=C)C#C,1.59139811,0.28155954
CCOCC(O)=O,OCC(C)C,0.00344612,-0.00152595
CCOCC(O)=O,CC(C)C=O,0.40347189,0.07832565
CCOCC(O)=O,CC(=C)C=O,0.19686537,0.03374396
CCOCC(O)=O,CCC(O)C,-0.22205877,-0.05849739
CCOCC(O)=O,CCC(C)=O,-0.78766673,-0.20083337
CCOCC(O)=O,COC(C)=O,0.07439276,0.00224349
CCOCC(O)=O,CC(C)C(C)C,5.49726065,1.01049696
CCOCC(O)=O,CC(C)C(O)=O,-0.14572106,-0.03613166
CCOCC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.81848471,0.1834452
CCOCC(O)=O,OOC(C)(C)C(CC1)CCC1C,0.81232582,0.2010957
CCOCC(O)=O,CCOC(C(O)(C)C)=O,-0.57437635,-0.15287836
CCOCC(O)=O,COC(=O)C(C)=C,0.97422055,0.20982044
CCOCC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.83146502,0.42937123
CCOCC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.31309471,0.0748538
CCOCC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.08292276,0.20453963
CCOCC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.11533554,0.26491796
CCOCC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.42200399,0.33092474
CCOCC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.74596238,0.39311928
CCOCC(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.54112108,0.57702977
CCOCC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.19775448,0.51393901
CCOCC(O)=O,O=C2c1ccccc1CO2,0.68470688,0.16141834
CCOCC(O)=O,OCC(O)C(O)C(O)CO,-0.31232223,-0.0745753
CCOCC(O)=O,CCC(CC)C(O)=O,0.09868221,0.0264946
CCOCC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.18055883,0.04049468
CCOCC(O)=O,COc1cc(C)ccc1C(C)(C)C,3.53602144,0.74188352
CCOCC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.56977543,0.96193023
CCOCC(O)=O,COC(=O)c1ccccc1C,1.56392179,0.35660373
CCOCC(O)=O,CC(=O)c1ccc(C)cc1C,0.12195524,0.03709225
CCOCC(O)=O,Cc2c1ccccc1ccc2,2.98784344,0.60979577
CCOCC(O)=O,O=C2CCCCC2C1CCCCC1,0.6692584,0.16032565
CCOCC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.27916372,0.06472839
CCOCC(O)=O,CC(C=O)c1ccccc1,1.23048192,0.28156503
CCOCC(O)=O,CCC(O)c1ccccc1,0.11509223,0.03380768
CCOCC(O)=O,CCOC(=O)c1ccccc1,1.46053238,0.33386419
CCOCC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.93540155,0.28742485
CCOCC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.68558565,0.39612481
CCOCC(O)=O,CCOC(=O)c(cc1)ccc1C,1.44010421,0.33199995
CCOCC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-13.45858328,-0.93103773
CCOCC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.79847128,0.42439818
CCOCC(O)=O,CCCc2cc1OCOc1cc2,2.46945203,0.53944163
CCOCC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.5407307,0.1278106
CCOCC(O)=O,CCCC1CCCCC1=O,0.19170855,0.04220953
CCOCC(O)=O,CCOc1ccc(C=CC)cc1O,0.90144663,0.22883365
CCOCC(O)=O,CCCC(O)C(CO)CC,-0.45795425,-0.12383663
CCOCC(O)=O,Cc(ccc1C)cc1C,3.55339184,0.70088843
CCOCC(O)=O,CCOC(=O)C(OCC)=O,0.98489737,0.22399511
CCOCC(O)=O,CC1OC(C(C)OC1=O)=O,1.11090716,0.27016824
CCOCC(O)=O,CCCCC(=O)C(C)=O,1.66381583,0.37278433
CCOCC(O)=O,C=CCOC(=O)C(C)=C,1.41908221,0.31884535
CCOCC(O)=O,C1OC1c2ccccc2,1.49123815,0.33387645
CCOCC(O)=O,CCC(C)CC,5.53777646,1.02299008
CCOCC(O)=O,CCC(CC)=O,-0.30111294,-0.08053487
CCOCC(O)=O,OCC(CO)=O,0.29905227,0.07289306
CCOCC(O)=O,COC(=O)C=C,0.87649035,0.18369424
CCOCC(O)=O,COC(CO)=O,-0.20947353,-0.0552037
CCOCC(O)=O,CC1CCCC1,5.51185559,0.99550611
CCOCC(O)=O,CC1CCCO1,-1.90322355,-0.4938261
CCOCC(O)=O,O=C1CCCO1,-0.2904589,-0.07652486
CCOCC(O)=O,CCCC(C)C(O)=O,0.09321157,0.02501385
CCOCC(O)=O,CCOC(C(C)C)=O,0.90042818,0.20223949
CCOCC(O)=O,CCOC(=O)C(C)=C,1.02274149,0.22729402
CCOCC(O)=O,CCOC(C(O)C)=O,-0.47969012,-0.12530293
CCOCC(O)=O,CC(C)C(OC(C(C)C)=O)=O,1.73896626,0.39365527
CCOCC(O)=O,CC(C)COC(C(C)C)=O,1.26456355,0.29229556
CCOCC(O)=O,CC(C)COC(=O)C(C)=C,1.42367189,0.3256146
CCOCC(O)=O,CCCCOC(C(C)C)=O,1.30811352,0.30183272
CCOCC(O)=O,CCCCOC(=O)C(C)=C,1.33695308,0.30689633
CCOCC(O)=O,CCC(CC)C=O,0.96049957,0.21756393
CCOCC(O)=O,OCC1CCCO1,-1.34447581,-0.34582499
CCOCC(O)=O,OCc1occc1,-0.358998,-0.09039306
CCOCC(O)=O,O=Cc1occc1,0.33671751,0.07870255
CCOCC(O)=O,CC(C)(C)c1ccccc1,3.55008506,0.71188668
CCOCC(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,0.64828797,0.1558415
CCOCC(O)=O,CC(C)(C)c(cc1)ccc1C,3.75356354,0.76731035
CCOCC(O)=O,OC1CCC(CC1)C(C)(C)C,0.16087336,0.03312495
CCOCC(O)=O,CC(C)(C)C1CCC(CC1)=O,-0.24134659,-0.0651479
CCOCC(O)=O,CC(C)c1ccccc1,3.49452521,0.69008849
CCOCC(O)=O,COC(=O)c(ccc1)cc1C,1.48323441,0.33727601
CCOCC(O)=O,OC1CC(CC=C1C)C(C)=C,0.16652568,0.04244423
CCOCC(O)=O,CC(C)c1cc(C(C)C)ccc1,3.87309524,0.80466181
CCOCC(O)=O,CCCC(CCC)C(O)=O,0.33661165,0.08296341
CCOCC(O)=O,CC(C=O)c(cc1)ccc1C,1.3004237,0.30049484
CCOCC(O)=O,CC1CCC(C(C)C)CC1,5.46181232,1.08352344
CCOCC(O)=O,CC(C)c(cc1)ccc1C,3.69381589,0.74589553
CCOCC(O)=O,C=CC1CC=CCC1,3.80102949,0.73220145
CCOCC(O)=O,CCc1ccccc1,3.36731761,0.64729396
CCOCC(O)=O,C=Cc1ccccc1,2.83727506,0.5508494
CCOCC(O)=O,OCC1CCCCC1,0.31573874,0.0792116
CCOCC(O)=O,COc1ccccc1,2.25599811,0.46279997
CCOCC(O)=O,OCC1CCCCO1,-0.93908946,-0.2295051
CCOCC(O)=O,OCC(CO1)OC1(C)C,-0.42864651,-0.10555413
