SMILES0,SMILES,gamma1,gamma2
CCOCC=O,OC(C)C(O)=O,-1.62813556,-0.42361036
CCOCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.31088304,0.08320902
CCOCC=O,OCC(O)C,0.7031651,0.16563013
CCOCC=O,O=C1CCO1,0.39861354,0.09525557
CCOCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.00108892,0.00071499
CCOCC=O,CCOCC,0.76250498,0.19798545
CCOCC=O,OCC,0.96777093,0.22657336
CCOCC=O,CCCCCC=O,0.3455649,0.09111565
CCOCC=O,CO,1.10659067,0.25443298
CCOCC=O,OC(C)C,0.93163595,0.22258392
CCOCC=O,CC(C)=O,-0.11307578,-0.02729316
CCOCC=O,OCCC,0.85429719,0.20477105
CCOCC=O,OCCCC,0.90060322,0.22390187
CCOCC=O,OCCCCC,0.92852479,0.23407839
CCOCC=O,CC1OC1,0.02948363,0.00976116
CCOCC=O,CCC(C)(C)C,2.46043596,0.61968787
CCOCC=O,CC(C)(C)C(C)=O,0.31247597,0.08236284
CCOCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.73917683,0.18513098
CCOCC=O,COC(C)(C)OC,0.47214869,0.12311487
CCOCC=O,CCC1(CC)CCCCC1,2.40360439,0.61373127
CCOCC=O,CCOC(C)(OCC)OCC,0.58169967,0.14991169
CCOCC=O,CC(C)CCCC(O)(C)CC,1.15525627,0.2879913
CCOCC=O,CCC(C)C,2.52575111,0.62778329
CCOCC=O,CC(=C)C=C,0.83910618,0.21396268
CCOCC=O,CC(=C)C#C,-0.87945106,-0.19631661
CCOCC=O,OCC(C)C,0.68957345,0.17344052
CCOCC=O,CC(C)C=O,0.14945082,0.04042509
CCOCC=O,CC(=C)C=O,0.11036578,0.02907678
CCOCC=O,CCC(O)C,0.85953253,0.21117401
CCOCC=O,CCC(C)=O,0.03168298,0.0100864
CCOCC=O,COC(C)=O,-0.01176134,-0.00232973
CCOCC=O,CC(C)C(C)C,2.48909238,0.62793261
CCOCC=O,CC(C)C(O)=O,-1.51926828,-0.38846808
CCOCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.47864934,0.11600122
CCOCC=O,OOC(C)(C)C(CC1)CCC1C,-0.77987905,-0.19959025
CCOCC=O,CCOC(C(O)(C)C)=O,0.25443763,0.06567526
CCOCC=O,COC(=O)C(C)=C,0.24810639,0.06521136
CCOCC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.44572991,-0.10540973
CCOCC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.08892266,0.02064828
CCOCC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.79913357,0.15169739
CCOCC=O,CCOC(=O)c1ccccc1C(OCC)=O,0.03639285,0.01140772
CCOCC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.22146506,0.05341931
CCOCC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.37035525,0.07988552
CCOCC=O,CC(C)CCOC(=O)c1ccccc1O,0.55282309,0.1423353
CCOCC=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.14371681,0.04241011
CCOCC=O,O=C2c1ccccc1CO2,0.09389229,0.02252756
CCOCC=O,OCC(O)C(O)C(O)CO,0.11307788,0.01576187
CCOCC=O,CCC(CC)C(O)=O,-1.3720589,-0.34526158
CCOCC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.2986839,-0.07545555
CCOCC=O,COc1cc(C)ccc1C(C)(C)C,0.87547133,0.2284842
CCOCC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.74935909,0.44388806
CCOCC=O,COC(=O)c1ccccc1C,0.32617037,0.08695138
CCOCC=O,CC(=O)c1ccc(C)cc1C,0.33328662,0.08733664
CCOCC=O,Cc2c1ccccc1ccc2,0.44440931,0.12048601
CCOCC=O,O=C2CCCCC2C1CCCCC1,0.75222898,0.18832332
CCOCC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.0526258,-0.0102269
CCOCC=O,CC(C=O)c1ccccc1,0.08778582,0.02530534
CCOCC=O,CCC(O)c1ccccc1,-0.64921686,-0.15598025
CCOCC=O,CCOC(=O)c1ccccc1,0.32259727,0.0852934
CCOCC=O,CC(OC(C)c2ccccc2)c1ccccc1,0.37093985,0.09910175
CCOCC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.03045879,-0.00481845
CCOCC=O,CCOC(=O)c(cc1)ccc1C,0.39829857,0.10410488
CCOCC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.13580772,0.01796805
CCOCC=O,O=C(OCCc1ccccc1)c2ccccc2,0.18264005,0.05013809
CCOCC=O,CCCc2cc1OCOc1cc2,0.11074881,0.0351708
CCOCC=O,COC(C1CCC(CC1)C(OC)=O)=O,0.01551371,0.00520322
CCOCC=O,CCCC1CCCCC1=O,0.56350934,0.14489756
CCOCC=O,CCOc1ccc(C=CC)cc1O,-1.39059106,-0.32855344
CCOCC=O,CCCC(O)C(CO)CC,0.90476845,0.21427004
CCOCC=O,Cc(ccc1C)cc1C,0.90638193,0.23816478
CCOCC=O,CCOC(=O)C(OCC)=O,-0.00670909,-0.00069127
CCOCC=O,CC1OC(C(C)OC1=O)=O,-0.34728582,-0.08801103
CCOCC=O,CCCCC(=O)C(C)=O,0.20240351,0.05383027
CCOCC=O,C=CCOC(=O)C(C)=C,0.33426026,0.08814488
CCOCC=O,C1OC1c2ccccc2,0.11117903,0.03066654
CCOCC=O,CCC(C)CC,2.520221,0.63627284
CCOCC=O,CCC(CC)=O,0.21742054,0.05789088
CCOCC=O,OCC(CO)=O,0.198853,0.03643246
CCOCC=O,COC(=O)C=C,0.10769594,0.02806789
CCOCC=O,COC(CO)=O,-0.01421607,-0.00792246
CCOCC=O,CC1CCCC1,2.51024409,0.62794904
CCOCC=O,CC1CCCO1,0.49259191,0.13082274
CCOCC=O,O=C1CCCO1,0.00704304,0.00158274
CCOCC=O,CCCC(C)C(O)=O,-1.39212261,-0.35037486
CCOCC=O,CCOC(C(C)C)=O,0.44212669,0.11507721
CCOCC=O,CCOC(=O)C(C)=C,0.42788466,0.11180166
CCOCC=O,CCOC(C(O)C)=O,0.09954645,0.0251715
CCOCC=O,CC(C)C(OC(C(C)C)=O)=O,0.28559527,0.07402235
CCOCC=O,CC(C)COC(C(C)C)=O,0.70916293,0.18016441
CCOCC=O,CC(C)COC(=O)C(C)=C,0.64629731,0.16638522
CCOCC=O,CCCCOC(C(C)C)=O,0.69030136,0.17523205
CCOCC=O,CCCCOC(=O)C(C)=C,0.63778775,0.16412699
CCOCC=O,CCC(CC)C=O,0.45932478,0.1196374
CCOCC=O,OCC1CCCO1,0.40989977,0.10115672
CCOCC=O,OCc1occc1,-0.7321217,-0.18261675
CCOCC=O,O=Cc1occc1,0.13676662,0.03140407
CCOCC=O,CC(C)(C)c1ccccc1,0.89606223,0.23639931
CCOCC=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.18744171,-0.31251323
CCOCC=O,CC(C)(C)c(cc1)ccc1C,1.05451454,0.27524548
CCOCC=O,OC1CCC(CC1)C(C)(C)C,1.01033601,0.25353168
CCOCC=O,CC(C)(C)C1CCC(CC1)=O,0.41025054,0.10394602
CCOCC=O,CC(C)c1ccccc1,0.85613903,0.22607423
CCOCC=O,COC(=O)c(ccc1)cc1C,0.30124809,0.07920562
CCOCC=O,OC1CC(CC=C1C)C(C)=C,0.1105184,0.02851545
CCOCC=O,CC(C)c1cc(C(C)C)ccc1,1.14643036,0.29542464
CCOCC=O,CCCC(CCC)C(O)=O,-1.2231214,-0.30981624
CCOCC=O,CC(C=O)c(cc1)ccc1C,0.18534431,0.0508563
CCOCC=O,CC1CCC(C(C)C)CC1,2.45472726,0.62454648
CCOCC=O,CC(C)c(cc1)ccc1C,1.01090379,0.26499177
CCOCC=O,C=CC1CC=CCC1,1.12601532,0.29281781
CCOCC=O,CCc1ccccc1,0.76174823,0.200959
CCOCC=O,C=Cc1ccccc1,0.33669415,0.09160581
CCOCC=O,OCC1CCCCC1,0.83476859,0.21195936
CCOCC=O,COc1ccccc1,0.1879635,0.05144531
CCOCC=O,OCC1CCCCO1,0.62890649,0.1520296
CCOCC=O,OCC(CO1)OC1(C)C,0.13723773,0.03226914
CCOCC=O,Cc1cc(C=C)ccc1,0.49042513,0.13227239
CCOCC=O,COc(ccc1)cc1C,0.31780137,0.08602751
CCOCC=O,COC(=O)Cc1ccccc1,0.05532454,0.01687809
CCOCC=O,COC(OC)Cc1ccccc1,0.18653906,0.05214072
CCOCC=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.0356421,-0.00330879
CCOCC=O,CC(C)COC(=O)Cc1ccccc1,0.23056516,0.06160027
CCOCC=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.05349629,-0.00786289
CCOCC=O,CCc1cc(CC)cc(CC)c1,1.25802751,0.3232073
CCOCC=O,CC(=O)Oc(ccc1)cc1O,-2.58578549,-0.67402641
CCOCC=O,COC(OC)CC(OC)OC,0.18195317,0.04738393
CCOCC=O,CCCCC(CC)COC(C)=O,0.70888813,0.17487955
CCOCC=O,CCCCC(CC)COC(=O)C=C,0.75048082,0.18693347
CCOCC=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.60755351,0.11508809
CCOCC=O,COC(CCc1ccccc1)=O,0.09285147,0.02621499
CCOCC=O,CC(C)C(OCc1ccccc1)=O,0.22214094,0.058978
CCOCC=O,CCCC(OCc1ccccc1)=O,0.21031054,0.05728338
CCOCC=O,CC(C)CC(OCc1ccccc1)=O,0.24895618,0.069049
CCOCC=O,CC(OCCc1ccccc1)=O,0.12388165,0.03424308
CCOCC=O,CC(C)C(OCCc1ccccc1)=O,0.30128411,0.07944863
CCOCC=O,CC(C)C(OCCOc1ccccc1)=O,-0.00361334,0.00400863
CCOCC=O,CCCc1ccccc1,0.8621544,0.22767639
CCOCC=O,CC(C)C(=O)Oc(cc1)ccc1C,0.27736826,0.07286008
CCOCC=O,CCCc(cc1)ccc1OC,0.50230822,0.13395175
CCOCC=O,CCCCC1OC(CC1)=O,0.09280596,0.02453055
CCOCC=O,CCCCc1ccccc1,0.95451002,0.2508023
CCOCC=O,O=COCc1ccccc1,-0.07801595,-0.01897777
CCOCC=O,CCCCCC1OC(CC1)=O,0.15245703,0.03887367
CCOCC=O,O=COCCc1ccccc1,-0.04880646,-0.01001329
CCOCC=O,CCCCCCCC1OC(CC1)=O,0.2659123,0.06491734
CCOCC=O,CCCCC(CO)CC,0.7725167,0.19766223
CCOCC=O,COc(cc1)ccc1C,0.3235739,0.08761819
CCOCC=O,CC(C)COC(CCc1occc1)=O,0.20025562,0.05410214
CCOCC=O,CCc1ccc(CC)cc1,1.05196519,0.27516395
CCOCC=O,C=Cc1ccc(C=C)cc1,0.24578497,0.06979053
CCOCC=O,CCCC1OC(CC1)=O,0.03617943,0.01024831
CCOCC=O,OCC=C(C)C#C,-1.17303873,-0.29367178
CCOCC=O,CCCC(C)CO,0.7476112,0.19444776
CCOCC=O,CCCC(O)C#C,-1.8494645,-0.45279471
CCOCC=O,CCOC(CC)=O,0.27262918,0.07155382
CCOCC=O,CCC(OC=C)=O,0.26858763,0.07105854
CCOCC=O,CCC(C)CC(C)=O,0.40195777,0.10485249
CCOCC=O,CCC(C)CC(O)=O,-1.46117924,-0.37046017
CCOCC=O,CCC(C)OC(C)=O,0.37599878,0.09809633
CCOCC=O,CCOC(CC(OCC)=O)=O,-0.04691682,-0.01055141
CCOCC=O,CCOC(CCC)=O,0.41388782,0.10775554
CCOCC=O,CCOC(C)OCC,0.57476025,0.15120659
CCOCC=O,CCOC(OCC)=O,0.15303448,0.04113
CCOCC=O,CCCOC(CCC)=O,0.54484302,0.14036648
CCOCC=O,CC(C)CCOC(CC)=O,0.6104366,0.15551626
CCOCC=O,CCCCOC(=O)C=CC(OCCCC)=O,0.12368147,0.03084037
CCOCC=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.16552469,0.04224724
CCOCC=O,CCCCCCCCCCCC(OCCCC)=O,1.0829908,0.23812659
CCOCC=O,OCCC(C)CCCC(C)C,0.94894642,0.23621582
CCOCC=O,CC(C)CCOC(CCC)=O,0.69806291,0.17590441
CCOCC=O,CCCCCCC(OCC)=O,0.68209086,0.17124779
CCOCC=O,CCCC(OC(CCC)=O)=O,0.21081818,0.05472042
CCOCC=O,CCCCCCCC(OCC)=O,0.7475819,0.18526434
CCOCC=O,CCCCC(CC)=O,0.45365593,0.11713433
CCOCC=O,CCCOC(CC)=O,0.41624644,0.10843104
CCOCC=O,CC(C)COC(=O)C=C,0.44367905,0.11584432
CCOCC=O,CCCCCC(CC)=O,0.56524081,0.14455872
CCOCC=O,CCCCCC(OC)=O,0.45439441,0.1177564
CCOCC=O,CC(CCC=C(C)C)C=O,0.46704609,0.12167024
CCOCC=O,CCCCCCC(OC)=O,0.5489084,0.14021383
CCOCC=O,CCOCCOC(=O)C=C,0.08965952,0.02422786
CCOCC=O,C=CC2CC1OC1CC2,0.38304781,0.10113653
CCOCC=O,C1OC1C3CC2OC2CC3,0.05114897,0.01434802
CCOCC=O,CCC1OC1,0.24320159,0.06481294
CCOCC=O,C=CC(OCC1OC1)=O,0.00291246,0.00036427
CCOCC=O,CC(=C)C(OCC1OC1)=O,0.0238302,0.0070237
CCOCC=O,C=CCOCC1OC1,0.01637282,0.00570824
CCOCC=O,O=CC=C,0.11557341,0.02743913
CCOCC=O,OCC=C,-0.16317371,-0.03165489
CCOCC=O,OCC#C,-1.83294551,-0.44035361
CCOCC=O,COC=O,-0.02037784,-0.00643632
CCOCC=O,CC(C)(C)CC(C)=C,1.82227351,0.46865943
CCOCC=O,CC(C)(C)C=C(C)C,1.86655926,0.47983
CCOCC=O,OC(C)CC(O)(C)C,0.95074863,0.22190332
CCOCC=O,COC(C)(C)CC(C)=O,0.16280466,0.04452776
CCOCC=O,OCCC(C)CCCC(O)(C)C,0.80236716,0.18172521
CCOCC=O,OC(C)(C)CCCC(C)CC=O,0.30963547,0.07262005
CCOCC=O,CCCC(C)C,2.51993095,0.63714087
CCOCC=O,CC(C)=CC=O,-0.00237082,0.00080278
CCOCC=O,CCCC(C)=O,0.15708717,0.04239423
CCOCC=O,OCCC(O)C,0.92345793,0.21340663
CCOCC=O,COCC(O)C,0.49459667,0.12107223
CCOCC=O,CC(OC=C)=O,0.11053829,0.02919624
CCOCC=O,CC(C)CC(C)C,2.46093991,0.62630882
CCOCC=O,CC(C)CC(C)=O,0.30374899,0.07981918
CCOCC=O,OC(C)CC(C)C,0.87480315,0.22372345
CCOCC=O,CC(C)OC(C)C,0.99561011,0.25818188
CCOCC=O,CC(C)OC(C)=O,0.24470003,0.06483719
CCOCC=O,CC(OC(C)=C)=O,0.14812656,0.04043536
CCOCC=O,CC(OC(C)=O)=O,0.0118429,0.00235152
CCOCC=O,O=C1C=CC(O1)=C,0.03585289,0.00672081
CCOCC=O,CC1OC(CC1)=O,-0.04188078,-0.01042633
CCOCC=O,CC1OC(OC1)=O,0.16413794,0.039164
CCOCC=O,Cc1cc(C)ccc1,0.80821053,0.2125373
CCOCC=O,C=Cc1cc(C=C)ccc1,0.26345459,0.07416477
