SMILES0,SMILES,gamma1,gamma2
CO,OC(C)C(O)=O,-1.29545534,-0.32343774
CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.64856019,0.70206107
CO,OCC(O)C,-0.05704751,-0.01312808
CO,O=C1CCO1,2.37758804,0.46920467
CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.95998175,0.39247684
CO,CCOCC,1.34685562,0.28932567
CO,OCC,0.07409619,0.01832531
CO,CCCCCC=O,2.0929555,0.41877952
CO,CO,0,-2e-08
CO,OC(C)C,0.21063348,0.0513575
CO,CC(C)=O,0.98436637,0.21096188
CO,OCCC,0.19689674,0.04809635
CO,OCCCC,0.3144039,0.07549937
CO,OCCCCC,0.41287778,0.09688891
CO,CC1OC1,1.43413118,0.2895971
CO,CCC(C)(C)C,6.70778284,0.85459185
CO,CC(C)(C)C(C)=O,1.54760931,0.32357343
CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.89183478,0.40110452
CO,COC(C)(C)OC,1.23201693,0.26632653
CO,CCC1(CC)CCCCC1,6.57815811,0.87095644
CO,CCOC(C)(OCC)OCC,1.02233934,0.24191122
CO,CC(C)CCCC(O)(C)CC,0.87362272,0.18867578
CO,CCC(C)C,6.80383946,0.85185113
CO,CC(=C)C=C,5.35909093,0.69510707
CO,CC(=C)C#C,3.44538661,0.48684615
CO,OCC(C)C,0.32489874,0.07874806
CO,CC(C)C=O,1.96754172,0.38260318
CO,CC(=C)C=O,1.78112703,0.35542402
CO,CCC(O)C,0.38637541,0.09307916
CO,CCC(C)=O,1.15064212,0.24573178
CO,COC(C)=O,1.67227981,0.3359548
CO,CC(C)C(C)C,6.73338004,0.85893681
CO,CC(C)C(O)=O,-1.21301839,-0.32381712
CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.08547622,0.42101936
CO,OOC(C)(C)C(CC1)CCC1C,-0.08198047,-0.04305156
CO,CCOC(C(O)(C)C)=O,0.93535493,0.21233729
CO,COC(=O)C(C)=C,2.25497178,0.43487628
CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.74457622,0.50508732
CO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.60356371,0.33711573
CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.1733444,0.21256368
CO,CCOC(=O)c1ccccc1C(OCC)=O,2.25765281,0.44763969
CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.47993735,0.48148275
CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.70567885,0.50974449
CO,CC(C)CCOC(=O)c1ccccc1O,3.53344917,0.62224414
CO,Oc2ccccc2C(OCCc1ccccc1)=O,3.40274817,0.60261686
CO,O=C2c1ccccc1CO2,1.86470003,0.38371155
CO,OCC(O)C(O)C(O)CO,-0.10016962,-0.0191957
CO,CCC(CC)C(O)=O,-1.05286905,-0.28771502
CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.31691894,0.06547394
CO,COc1cc(C)ccc1C(C)(C)C,5.18969187,0.74485303
CO,CC2CCC(CC1=C2CCC1C)=C(C)C,5.76481502,0.82521538
CO,COC(=O)c1ccccc1C,2.72180646,0.51489659
CO,CC(=O)c1ccc(C)cc1C,1.7089811,0.36237866
CO,Cc2c1ccccc1ccc2,4.85914256,0.69484266
CO,O=C2CCCCC2C1CCCCC1,1.99270593,0.40863226
CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.6538428,0.34588236
CO,CC(C=O)c1ccccc1,2.54060425,0.48572172
CO,CCC(O)c1ccccc1,0.34345548,0.08057264
CO,CCOC(=O)c1ccccc1,2.61127951,0.49980985
CO,CC(OC(C)c2ccccc2)c1ccccc1,2.53500117,0.52265983
CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.72948615,0.51265286
