SMILES0,SMILES,gamma1,gamma2
COC(C)=O,OC(C)C(O)=O,-0.64105373,-0.17593526
COC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.17730627,-0.03171634
COC(C)=O,OCC(O)C,0.74415715,0.16884436
COC(C)=O,O=C1CCO1,0.42019255,0.10461678
COC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.18177749,-0.03778392
COC(C)=O,CCOCC,0.54316038,0.13530615
COC(C)=O,OCC,0.86016168,0.20304667
COC(C)=O,CCCCCC=O,0.15927197,0.03952362
COC(C)=O,CO,1.11077251,0.25904921
COC(C)=O,OC(C)C,0.75172714,0.17872538
COC(C)=O,CC(C)=O,-0.03927262,-0.00981632
COC(C)=O,OCCC,0.69526349,0.16571882
COC(C)=O,OCCCC,0.68222213,0.1662159
COC(C)=O,OCCCCC,0.6679868,0.16271997
COC(C)=O,CC1OC1,0.00449368,0.00113412
COC(C)=O,CCC(C)(C)C,1.791249,0.44101306
COC(C)=O,CC(C)(C)C(C)=O,0.17734195,0.04363094
COC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.39505519,0.09363889
COC(C)=O,COC(C)(C)OC,0.30831716,0.07636268
COC(C)=O,CCC1(CC)CCCCC1,1.72018443,0.42300722
COC(C)=O,CCOC(C)(OCC)OCC,0.33936394,0.08250323
COC(C)=O,CC(C)CCCC(O)(C)CC,0.73028185,0.17142989
COC(C)=O,CCC(C)C,1.85427446,0.45311397
COC(C)=O,CC(=C)C=C,0.38042882,0.09516034
COC(C)=O,CC(=C)C#C,-1.0702125,-0.26371796
COC(C)=O,OCC(C)C,0.49932653,0.1229883
COC(C)=O,CC(C)C=O,0.06669571,0.01664506
COC(C)=O,CC(=C)C=O,0.00361325,0.00091432
COC(C)=O,CCC(O)C,0.62846031,0.15250459
COC(C)=O,CCC(C)=O,0.01160568,0.00288366
COC(C)=O,COC(C)=O,0,0
COC(C)=O,CC(C)C(C)C,1.81426557,0.44739884
COC(C)=O,CC(C)C(O)=O,-0.83005434,-0.20716861
COC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.14542766,0.03365806
COC(C)=O,OOC(C)(C)C(CC1)CCC1C,-0.62882294,-0.16309154
COC(C)=O,CCOC(C(O)(C)C)=O,0.1358781,0.03378171
COC(C)=O,COC(=O)C(C)=C,0.0656674,0.01672701
COC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.61641859,-0.13700123
COC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.1764124,-0.03909841
COC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.34940102,0.04691926
