SMILES0,SMILES,gamma1,gamma2
COC(C)CO,OC(C)C(O)=O,-1.98235535,-0.54324031
COC(C)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.19705677,0.25219458
COC(C)CO,OCC(O)C,-0.01155725,-0.00204122
COC(C)CO,O=C1CCO1,1.77005093,0.41829064
COC(C)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.43767992,0.1016448
COC(C)CO,CCOCC,0.43828509,0.10642688
COC(C)CO,OCC,-0.00833076,1.84e-06
COC(C)CO,CCCCCC=O,0.58686055,0.13673641
COC(C)CO,CO,0.26750184,0.06497477
COC(C)CO,OC(C)C,-0.04788066,-0.0105296
COC(C)CO,CC(C)=O,0.25809618,0.06114367
COC(C)CO,OCCC,-0.19363306,-0.04593506
COC(C)CO,OCCCC,-0.1647773,-0.03619934
COC(C)CO,OCCCCC,-0.16202429,-0.03461844
COC(C)CO,CC1OC1,0.36018523,0.07982429
COC(C)CO,CCC(C)(C)C,2.57622877,0.49971351
COC(C)CO,CC(C)(C)C(C)=O,0.42250131,0.10015835
COC(C)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.67178204,0.16334185
COC(C)CO,COC(C)(C)OC,0.33483613,0.08117533
COC(C)CO,CCC1(CC)CCCCC1,2.51564256,0.51245977
COC(C)CO,CCOC(C)(OCC)OCC,0.29159541,0.07982707
COC(C)CO,CC(C)CCCC(O)(C)CC,0.16511271,0.04333547
COC(C)CO,CCC(C)C,2.63114439,0.4987946
COC(C)CO,CC(=C)C=C,1.53295416,0.27382382
COC(C)CO,CC(=C)C#C,-0.16324872,-0.07307624
COC(C)CO,OCC(C)C,-0.36759893,-0.08694509
COC(C)CO,CC(C)C=O,0.54590742,0.12147754
COC(C)CO,CC(=C)C=O,0.63660528,0.14723359
COC(C)CO,CCC(O)C,-0.140045,-0.03302409
COC(C)CO,CCC(C)=O,0.25967119,0.06123586
COC(C)CO,COC(C)=O,0.59348415,0.13750803
COC(C)CO,CC(C)C(C)C,2.60049496,0.5062986
COC(C)CO,CC(C)C(O)=O,-2.60474747,-0.71855404
COC(C)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.62723815,0.14816865
COC(C)CO,OOC(C)(C)C(CC1)CCC1C,-1.97411524,-0.53356636
COC(C)CO,CCOC(C(O)(C)C)=O,0.1564353,0.03941121
COC(C)CO,COC(=O)C(C)=C,0.73805235,0.16928122
COC(C)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.1824787,0.0386217
COC(C)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.74774026,0.17631408
COC(C)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.11642601,-0.04528043
COC(C)CO,CCOC(=O)c1ccccc1C(OCC)=O,0.70009836,0.16435232
COC(C)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.6552396,0.15194121
COC(C)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.70354247,0.15986351
COC(C)CO,CC(C)CCOC(=O)c1ccccc1O,1.02395387,0.22775385
COC(C)CO,Oc2ccccc2C(OCCc1ccccc1)=O,0.93712078,0.20905739
COC(C)CO,O=C2c1ccccc1CO2,1.02728155,0.25079736
COC(C)CO,OCC(O)C(O)C(O)CO,-0.05586344,-0.01039499
COC(C)CO,CCC(CC)C(O)=O,-2.66151044,-0.73180091
COC(C)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.06651768,-0.26293981
COC(C)CO,COc1cc(C)ccc1C(C)(C)C,1.44038262,0.29370341
COC(C)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,2.00586298,0.42260338
COC(C)CO,COC(=O)c1ccccc1C,0.89541925,0.20549746
COC(C)CO,CC(=O)c1ccc(C)cc1C,0.57826567,0.13987032
COC(C)CO,Cc2c1ccccc1ccc2,1.31549109,0.26346082
COC(C)CO,O=C2CCCCC2C1CCCCC1,0.68697588,0.16420473
COC(C)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.58912285,0.13845068
COC(C)CO,CC(C=O)c1ccccc1,0.83127122,0.19210003
COC(C)CO,CCC(O)c1ccccc1,-1.15279321,-0.29234425
COC(C)CO,CCOC(=O)c1ccccc1,0.87096468,0.20167957
COC(C)CO,CC(OC(C)c2ccccc2)c1ccccc1,0.83799241,0.19521309
COC(C)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.81629755,0.18316451
COC(C)CO,CCOC(=O)c(cc1)ccc1C,0.84762355,0.1971655
COC(C)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.21477142,-0.20654503
COC(C)CO,O=C(OCCc1ccccc1)c2ccccc2,0.90995594,0.20763488
COC(C)CO,CCCc2cc1OCOc1cc2,0.82721084,0.16980309
COC(C)CO,COC(C1CCC(CC1)C(OC)=O)=O,0.50914417,0.12144039
COC(C)CO,CCCC1CCCCC1=O,0.52656652,0.12719486
COC(C)CO,CCOc1ccc(C=CC)cc1O,-1.64943912,-0.38246383
COC(C)CO,CCCC(O)C(CO)CC,-0.0120175,-0.00338559
COC(C)CO,Cc(ccc1C)cc1C,1.55235764,0.30559082
COC(C)CO,CCOC(=O)C(OCC)=O,0.7858058,0.18473519
COC(C)CO,CC1OC(C(C)OC1=O)=O,0.72130554,0.18569134
COC(C)CO,CCCCC(=O)C(C)=O,0.80302565,0.18108643
COC(C)CO,C=CCOC(=O)C(C)=C,0.86409671,0.19852769
COC(C)CO,C1OC1c2ccccc2,0.97526157,0.22057124
COC(C)CO,CCC(C)CC,2.6265604,0.51367883
COC(C)CO,CCC(CC)=O,0.35683294,0.08402991
COC(C)CO,OCC(CO)=O,0.49849592,0.11918599
COC(C)CO,COC(=O)C=C,0.79353692,0.18272481
COC(C)CO,COC(CO)=O,0.16789168,0.04117077
COC(C)CO,CC1CCCC1,2.60276896,0.4992216
COC(C)CO,CC1CCCO1,-0.02524797,-0.00286531
COC(C)CO,O=C1CCCO1,0.78213802,0.19264029
COC(C)CO,CCCC(C)C(O)=O,-2.68816827,-0.73960605
COC(C)CO,CCOC(C(C)C)=O,0.67222879,0.15623227
COC(C)CO,CCOC(=O)C(C)=C,0.74771848,0.17280971
COC(C)CO,CCOC(C(O)C)=O,0.08240318,0.0216891
COC(C)CO,CC(C)C(OC(C(C)C)=O)=O,0.83826245,0.19113653
COC(C)CO,CC(C)COC(C(C)C)=O,0.81200356,0.19061643
COC(C)CO,CC(C)COC(=O)C(C)=C,0.8533623,0.1987152
COC(C)CO,CCCCOC(C(C)C)=O,0.81142988,0.19063254
COC(C)CO,CCCCOC(=O)C(C)=C,0.82789848,0.19352273
COC(C)CO,CCC(CC)C=O,0.70372152,0.1609069
COC(C)CO,OCC1CCCO1,-0.00668209,-0.0015002
COC(C)CO,OCc1occc1,-0.69827582,-0.17530222
COC(C)CO,O=Cc1occc1,0.91522175,0.22257917
COC(C)CO,CC(C)(C)c1ccccc1,1.50165658,0.29736247
COC(C)CO,OOC(C)(C)c(cc1)ccc1C(C)C,-1.85262144,-0.50163571
COC(C)CO,CC(C)(C)c(cc1)ccc1C,1.59706893,0.3223187
COC(C)CO,OC1CCC(CC1)C(C)(C)C,-0.02310951,-0.00284808
COC(C)CO,CC(C)(C)C1CCC(CC1)=O,0.39046959,0.09538745
COC(C)CO,CC(C)c1ccccc1,1.49635007,0.29336413
COC(C)CO,COC(=O)c(ccc1)cc1C,0.87468467,0.20192651
COC(C)CO,OC1CC(CC=C1C)C(C)=C,-0.50897771,-0.12831929
COC(C)CO,CC(C)c1cc(C(C)C)ccc1,1.6411001,0.3351919
COC(C)CO,CCCC(CCC)C(O)=O,-2.63052944,-0.72836954
COC(C)CO,CC(C=O)c(cc1)ccc1C,0.79459327,0.18351501
COC(C)CO,CC1CCC(C(C)C)CC1,2.54512781,0.52256126
COC(C)CO,CC(C)c(cc1)ccc1C,1.58050344,0.31620593
COC(C)CO,C=CC1CC=CCC1,1.65510819,0.32017911
COC(C)CO,CCc1ccccc1,1.46142083,0.28083814
COC(C)CO,C=Cc1ccccc1,1.28780751,0.24984814
COC(C)CO,OCC1CCCCC1,-0.27231319,-0.06553172
COC(C)CO,COc1ccccc1,1.11173371,0.2298715
COC(C)CO,OCC1CCCCO1,0.02178431,0.0056247
COC(C)CO,OCC(CO1)OC1(C)C,-0.0799257,-0.01863562
COC(C)CO,Cc1cc(C=C)ccc1,1.3270738,0.26096387
COC(C)CO,COc(ccc1)cc1C,1.10622217,0.23021436
COC(C)CO,COC(=O)Cc1ccccc1,0.8316307,0.19580291
COC(C)CO,COC(OC)Cc1ccccc1,0.62820836,0.15026203
