SMILES0,SMILES,gamma1,gamma2
COC(CO)=O,OC(C)C(O)=O,-1.07950093,-0.27215011
COC(CO)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.95985744,0.42586206
COC(CO)=O,OCC(O)C,0.45153792,0.1112775
COC(CO)=O,O=C1CCO1,0.63043808,0.14789336
COC(CO)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.7367805,0.15130617
COC(CO)=O,CCOCC,0.77937122,0.19909315
COC(CO)=O,OCC,0.58239411,0.13924237
COC(CO)=O,CCCCCC=O,0.88828404,0.21604981
COC(CO)=O,CO,0.43492954,0.09980084
COC(CO)=O,OC(C)C,0.68874881,0.16802349
COC(CO)=O,CC(C)=O,-0.37502288,-0.09338169
COC(CO)=O,OCCC,0.76770078,0.18884641
COC(CO)=O,OCCCC,0.90637517,0.22728447
COC(CO)=O,OCCCCC,1.04284907,0.26168446
COC(CO)=O,CC1OC1,0.09858953,0.02598489
COC(CO)=O,CCC(C)(C)C,4.49712067,0.94394638
COC(CO)=O,CC(C)(C)C(C)=O,0.51546462,0.12513089
COC(CO)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.30972718,0.30150655
COC(CO)=O,COC(C)(C)OC,0.52309918,0.12725783
COC(CO)=O,CCC1(CC)CCCCC1,4.4257003,0.95026402
COC(CO)=O,CCOC(C)(OCC)OCC,0.53878859,0.13377182
COC(CO)=O,CC(C)CCCC(O)(C)CC,1.45172876,0.34151823
COC(CO)=O,CCC(C)C,4.57339556,0.94614668
COC(CO)=O,CC(=C)C=C,2.62690657,0.52490699
COC(CO)=O,CC(=C)C#C,0.79000328,0.14495518
COC(CO)=O,OCC(C)C,0.86634602,0.21771537
COC(CO)=O,CC(C)C=O,0.55874441,0.13492902
COC(CO)=O,CC(=C)C=O,0.38214096,0.09256287
COC(CO)=O,CCC(O)C,0.87781932,0.21786373
COC(CO)=O,CCC(C)=O,-0.05103508,-0.01288149
COC(CO)=O,COC(C)=O,0.25072969,0.06006404
COC(CO)=O,CC(C)C(C)C,4.52796012,0.95241316
COC(CO)=O,CC(C)C(O)=O,-0.746073,-0.18953563
