SMILES0,SMILES,gamma1,gamma2
COC(O)=O,OC(C)C(O)=O,-0.14207307,-0.03600519
COC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.76999888,0.79539308
COC(O)=O,OCC(O)C,-1.69875676,-0.43214215
COC(O)=O,O=C1CCO1,-0.23998489,-0.0582296
COC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.34392499,-0.09466093
COC(O)=O,CCOCC,-2.52938616,-0.72421089
COC(O)=O,OCC,-2.15033865,-0.59726965
COC(O)=O,CCCCCC=O,-0.7592771,-0.19509282
COC(O)=O,CO,-2.28065999,-0.62351632
COC(O)=O,OC(C)C,-2.15001965,-0.61692265
COC(O)=O,CC(C)=O,-2.98172107,-0.81175176
COC(O)=O,OCCC,-1.65407249,-0.4637235
COC(O)=O,OCCCC,-1.5872586,-0.45832093
COC(O)=O,OCCCCC,-1.42512379,-0.42296963
COC(O)=O,CC1OC1,-2.2665705,-0.58056266
COC(O)=O,CCC(C)(C)C,7.93794757,1.11357171
COC(O)=O,CC(C)(C)C(C)=O,-1.85344893,-0.51073983
COC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.47399436,-0.43737863
COC(O)=O,COC(C)(C)OC,-2.47189199,-0.726412
COC(O)=O,CCC1(CC)CCCCC1,7.84231311,1.15406707
COC(O)=O,CCOC(C)(OCC)OCC,-3.02618769,-0.77999263
COC(O)=O,CC(C)CCCC(O)(C)CC,-1.4763817,-0.5079418
COC(O)=O,CCC(C)C,8.0409761,1.10386745
COC(O)=O,CC(=C)C=C,5.54629945,0.74802858
COC(O)=O,CC(=C)C#C,3.90468723,0.50238198
COC(O)=O,OCC(C)C,-1.24825185,-0.36323751
COC(O)=O,CC(C)C=O,-1.07723626,-0.26732119
COC(O)=O,CC(=C)C=O,-1.43614569,-0.36206743
COC(O)=O,CCC(O)C,-1.69730728,-0.49059474
COC(O)=O,CCC(C)=O,-2.58190624,-0.71124484
COC(O)=O,COC(C)=O,-1.53483694,-0.39343656
COC(O)=O,CC(C)C(C)C,7.97486941,1.12117554
COC(O)=O,CC(C)C(O)=O,0.28623856,0.0708708
COC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.8539445,-0.2985271
COC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.03862172,0.23470966
COC(O)=O,CCOC(C(O)(C)C)=O,-2.3824306,-0.73683703
COC(O)=O,COC(=O)C(C)=C,-0.3676963,-0.09654161
COC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.19475903,0.47971548
COC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.55917824,-0.40178833
COC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.31113772,-0.2705265
COC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.10604042,-0.02340644
COC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.27524616,0.03997591
COC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.71075915,0.11217083
COC(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.15926771,0.49021341
COC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.98629709,0.45896689
COC(O)=O,O=C2c1ccccc1CO2,-0.98263632,-0.2417871
COC(O)=O,OCC(O)C(O)C(O)CO,-1.87422342,-0.42828888
COC(O)=O,CCC(CC)C(O)=O,0.59054691,0.13978304
COC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.73472887,-0.23553366
COC(O)=O,COc1cc(C)ccc1C(C)(C)C,5.57344979,0.88375006
COC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.21577529,1.05227815
COC(O)=O,COC(=O)c1ccccc1C,0.40901651,0.10845397
COC(O)=O,CC(=O)c1ccc(C)cc1C,-1.74241267,-0.48353093
COC(O)=O,Cc2c1ccccc1ccc2,4.92088685,0.74983867
COC(O)=O,O=C2CCCCC2C1CCCCC1,-1.06463524,-0.33339604
COC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.50854341,-0.40944722
COC(O)=O,CC(C=O)c1ccccc1,0.0155263,0.02203888
COC(O)=O,CCC(O)c1ccccc1,-0.63620958,-0.16837969
COC(O)=O,CCOC(=O)c1ccccc1,0.25901233,0.06314741
COC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.97972651,-0.0986319
COC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.00520947,0.22705011
COC(O)=O,CCOC(=O)c(cc1)ccc1C,0.16056599,0.02981598
COC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-17.56930354,-1.52443265
COC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,0.94032496,0.23064068
COC(O)=O,CCCc2cc1OCOc1cc2,3.43711091,0.65590253
COC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.91558092,-0.21969549
COC(O)=O,CCCC1CCCCC1=O,-1.56429034,-0.47235513
COC(O)=O,CCOc1ccc(C=CC)cc1O,1.43972755,0.34410548
COC(O)=O,CCCC(O)C(CO)CC,-2.2106592,-0.63005498
COC(O)=O,Cc(ccc1C)cc1C,5.50234746,0.83512674
COC(O)=O,CCOC(=O)C(OCC)=O,-0.27062016,-0.06938368
COC(O)=O,CC1OC(C(C)OC1=O)=O,0.23927032,0.05914347
COC(O)=O,CCCCC(=O)C(C)=O,0.89787058,0.21669852
COC(O)=O,C=CCOC(=O)C(C)=C,0.19874754,0.0466649
COC(O)=O,C1OC1c2ccccc2,0.4179703,0.14453589
COC(O)=O,CCC(C)CC,8.01940135,1.13066297
COC(O)=O,CCC(CC)=O,-2.02690905,-0.56511822
COC(O)=O,OCC(CO)=O,-1.31653737,-0.3041465
COC(O)=O,COC(=O)C=C,-0.46231412,-0.11713294
COC(O)=O,COC(CO)=O,-1.82126856,-0.47183192
COC(O)=O,CC1CCCC1,7.99605627,1.11497766
COC(O)=O,CC1CCCO1,-3.93617809,-1.2570139
COC(O)=O,O=C1CCCO1,-2.15767147,-0.55162535
COC(O)=O,CCCC(C)C(O)=O,0.60292775,0.14147974
COC(O)=O,CCOC(C(C)C)=O,-0.55154533,-0.15781876
COC(O)=O,CCOC(=O)C(C)=C,-0.41421066,-0.11764265
COC(O)=O,CCOC(C(O)C)=O,-2.18388629,-0.64119175
COC(O)=O,CC(C)C(OC(C(C)C)=O)=O,0.91942756,0.21827961
COC(O)=O,CC(C)COC(C(C)C)=O,-0.20084692,-0.08497599
COC(O)=O,CC(C)COC(=O)C(C)=C,0.03986709,-0.0138531
COC(O)=O,CCCCOC(C(C)C)=O,-0.1278716,-0.06611648
COC(O)=O,CCCCOC(=O)C(C)=C,-0.08305691,-0.04703226
COC(O)=O,CCC(CC)C=O,-0.4812366,-0.1201431
COC(O)=O,OCC1CCCO1,-3.24000015,-0.87939476
COC(O)=O,OCc1occc1,-1.47362971,-0.39472959
COC(O)=O,O=Cc1occc1,-1.44988458,-0.37704458
COC(O)=O,CC(C)(C)c1ccccc1,5.59248213,0.85256006
COC(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,0.84943388,0.19911715
COC(O)=O,CC(C)(C)c(cc1)ccc1C,5.80371787,0.9013158
COC(O)=O,OC1CCC(CC1)C(C)(C)C,-1.39862694,-0.45627824
COC(O)=O,CC(C)(C)C1CCC(CC1)=O,-2.07748535,-0.61717622
COC(O)=O,CC(C)c1ccccc1,5.5226375,0.83082368
COC(O)=O,COC(=O)c(ccc1)cc1C,0.31324409,0.07407031
COC(O)=O,OC1CC(CC=C1C)C(C)=C,-1.08200333,-0.33181154
COC(O)=O,CC(C)c1cc(C(C)C)ccc1,5.94123123,0.9348551
COC(O)=O,CCCC(CCC)C(O)=O,0.84257662,0.18990185
COC(O)=O,CC(C=O)c(cc1)ccc1C,0.06293522,0.02763597
COC(O)=O,CC1CCC(C(C)C)CC1,7.89146962,1.17228726
COC(O)=O,CC(C)c(cc1)ccc1C,5.72941142,0.88138378
COC(O)=O,C=CC1CC=CCC1,5.68708989,0.86737647
COC(O)=O,CCc1ccccc1,5.357319,0.78847174
COC(O)=O,C=Cc1ccccc1,4.76438417,0.68820641
COC(O)=O,OCC1CCCCC1,-0.95967166,-0.29918637
COC(O)=O,COc1ccccc1,2.27920508,0.47309678
COC(O)=O,OCC1CCCCO1,-2.77127436,-0.72848202
COC(O)=O,OCC(CO1)OC1(C)C,-2.03395786,-0.51610669
COC(O)=O,Cc1cc(C=C)ccc1,4.99618021,0.74839059
COC(O)=O,COc(ccc1)cc1C,2.39291609,0.51299773
COC(O)=O,COC(=O)Cc1ccccc1,-0.2755206,-0.05829791
COC(O)=O,COC(OC)Cc1ccccc1,-1.28706309,-0.34917503
COC(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.56054795,0.14172221
COC(O)=O,CC(C)COC(=O)Cc1ccccc1,-0.11919355,-0.0473831
COC(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.05272405,0.01371715
