SMILES0,SMILES,gamma1,gamma2
COC(OC)OC,OC(C)C(O)=O,-1.59358655,-0.43263724
COC(OC)OC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.07773004,-0.01465231
COC(OC)OC,OCC(O)C,0.59090351,0.13868854
COC(OC)OC,O=C1CCO1,0.78630886,0.18413496
COC(OC)OC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.18299231,-0.039489
COC(OC)OC,CCOCC,0.44533138,0.11217644
COC(OC)OC,OCC,0.6938018,0.16910017
COC(OC)OC,CCCCCC=O,0.10644131,0.02753575
COC(OC)OC,CO,1.02114926,0.24455486
COC(OC)OC,OC(C)C,0.58947116,0.14313021
COC(OC)OC,CC(C)=O,-0.02638696,-0.00642183
COC(OC)OC,OCCC,0.45699245,0.11412047
COC(OC)OC,OCCCC,0.46204243,0.11953288
COC(OC)OC,OCCCCC,0.44576708,0.11690962
COC(OC)OC,CC1OC1,-0.05079549,-0.01207943
COC(OC)OC,CCC(C)(C)C,1.80425051,0.44461948
COC(OC)OC,CC(C)(C)C(C)=O,0.14294281,0.03675275
COC(OC)OC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.35933018,0.09152282
COC(OC)OC,COC(C)(C)OC,0.23518134,0.0600357
COC(OC)OC,CCC1(CC)CCCCC1,1.76269175,0.44606302
COC(OC)OC,CCOC(C)(OCC)OCC,0.3078913,0.0799457
COC(OC)OC,CC(C)CCCC(O)(C)CC,0.61253023,0.15512344
COC(OC)OC,CCC(C)C,1.85381225,0.4487481
COC(OC)OC,CC(=C)C=C,0.33887807,0.08231937
COC(OC)OC,CC(=C)C#C,-1.40024807,-0.32854682
COC(OC)OC,OCC(C)C,0.19419342,0.05713257
COC(OC)OC,CC(C)C=O,0.0085487,0.00250406
COC(OC)OC,CC(=C)C=O,0.03755999,0.00892954
COC(OC)OC,CCC(O)C,0.41602131,0.10463491
COC(OC)OC,CCC(C)=O,-0.01110138,-0.00258906
COC(OC)OC,COC(C)=O,-0.01124128,-0.00322627
COC(OC)OC,CC(C)C(C)C,1.82975406,0.45208561
COC(OC)OC,CC(C)C(O)=O,-1.93003938,-0.48855688
COC(OC)OC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.1646028,0.04200406
COC(OC)OC,OOC(C)(C)C(CC1)CCC1C,-1.44817472,-0.35985475
COC(OC)OC,CCOC(C(O)(C)C)=O,0.03502663,0.00914704
COC(OC)OC,COC(=O)C(C)=C,0.04677752,0.01170185
COC(OC)OC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.92219787,-0.22618141
COC(OC)OC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.02325847,0.00413866
