SMILES0,SMILES,gamma1,gamma2
COC,OC(C)C(O)=O,-1.49944585,-0.33233252
COC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.479695,-0.09295688
COC,OCC(O)C,-0.09905328,-0.02154324
COC,O=C1CCO1,0.81228655,0.20667343
COC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.48416156,-0.08793523
COC,CCOCC,0.05499568,0.0138918
COC,OCC,-0.01373745,-0.01040637
COC,CCCCCC=O,-0.14224474,-0.03300388
COC,CO,0.36250663,0.08185485
COC,OC(C)C,-0.14497994,-0.04118387
COC,CC(C)=O,0.12091602,0.02979646
COC,OCCC,-0.30367962,-0.08161176
COC,OCCCC,-0.36372608,-0.09326713
COC,OCCCCC,-0.43923482,-0.11054184
COC,CC1OC1,0.02081393,0.00520716
COC,CCC(C)(C)C,0.54935723,0.13888744
COC,CC(C)(C)C(C)=O,-0.08146791,-0.01907743
COC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.23515496,-0.04631271
COC,COC(C)(C)OC,-0.07127303,-0.01663734
COC,CCC1(CC)CCCCC1,0.45073972,0.11219912
COC,CCOC(C)(OCC)OCC,-0.15324598,-0.03223657
COC,CC(C)CCCC(O)(C)CC,-0.42083911,-0.09871951
COC,CCC(C)C,0.60444044,0.15285576
COC,CC(=C)C=C,-0.08032217,-0.0188646
COC,CC(=C)C#C,-1.11353199,-0.28786275
COC,OCC(C)C,-0.56291698,-0.14429209
COC,CC(C)C=O,-0.04300403,-0.01047376
COC,CC(=C)C=O,0.02207394,0.0057695
COC,CCC(O)C,-0.35532029,-0.09160394
COC,CCC(C)=O,-0.00712627,-0.00177282
COC,COC(C)=O,0.05652593,0.01415379
COC,CC(C)C(C)C,0.56170286,0.14216633
COC,CC(C)C(O)=O,-2.02965822,-0.49555344
COC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.3349314,-0.06481936
COC,OOC(C)(C)C(CC1)CCC1C,-1.93099513,-0.48751517
COC,CCOC(C(O)(C)C)=O,-0.28188907,-0.06452574
COC,COC(=O)C(C)=C,-0.12014394,-0.02855496
COC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.04128751,-0.21006043
COC,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.21253162,-0.04136504
COC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.9534703,-0.20211868
COC,CCOC(=O)c1ccccc1C(OCC)=O,-0.32216192,-0.06478015
COC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.44783833,-0.08373043
COC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.4892143,-0.08568502
COC,CC(C)CCOC(=O)c1ccccc1O,-0.38586735,-0.07853795
COC,Oc2ccccc2C(OCCc1ccccc1)=O,-0.49699508,-0.09747857
COC,O=C2c1ccccc1CO2,0.09920446,0.02930994
COC,OCC(O)C(O)C(O)CO,-0.2728707,-0.0463523
COC,CCC(CC)C(O)=O,-2.18587256,-0.53413695
COC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.45859263,-0.32864017
COC,COc1cc(C)ccc1C(C)(C)C,-0.24541836,-0.04995317
COC,CC2CCC(CC1=C2CCC1C)=C(C)C,0.09007788,0.0281622
COC,COC(=O)c1ccccc1C,-0.25348677,-0.05630341
COC,CC(=O)c1ccc(C)cc1C,-0.21722767,-0.04812112
COC,Cc2c1ccccc1ccc2,-0.30486009,-0.06776663
COC,O=C2CCCCC2C1CCCCC1,-0.10550968,-0.02166328
COC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.36124003,-0.06975781
COC,CC(C=O)c1ccccc1,-0.22559906,-0.04992212
COC,CCC(O)c1ccccc1,-1.43907423,-0.35479121
COC,CCOC(=O)c1ccccc1,-0.23639207,-0.05261769
COC,CC(OC(C)c2ccccc2)c1ccccc1,-0.43729697,-0.08567938
COC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.52324153,-0.09243561
COC,CCOC(=O)c(cc1)ccc1C,-0.24501361,-0.05329085
COC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.49435514,-0.08523514
COC,O=C(OCCc1ccccc1)c2ccccc2,-0.40659572,-0.08085327
COC,CCCc2cc1OCOc1cc2,-0.54839157,-0.1182857
COC,COC(C1CCC(CC1)C(OC)=O)=O,-0.25199319,-0.05332099
COC,CCCC1CCCCC1=O,-0.10083132,-0.02176598
COC,CCOc1ccc(C=CC)cc1O,-1.9638158,-0.48989171
COC,CCCC(O)C(CO)CC,-0.344636,-0.08640379
COC,Cc(ccc1C)cc1C,-0.1248923,-0.0268912
COC,CCOC(=O)C(OCC)=O,-0.11423861,-0.02531132
COC,CC1OC(C(C)OC1=O)=O,-0.12552386,-0.00191535
COC,CCCCC(=O)C(C)=O,-0.23059504,-0.051981
COC,C=CCOC(=O)C(C)=C,-0.203645,-0.04604887
COC,C1OC1c2ccccc2,-0.1856154,-0.04139117
COC,CCC(C)CC,0.57380351,0.1445554
COC,CCC(CC)=O,-0.07072426,-0.01699961
COC,OCC(CO)=O,0.18242786,0.07314036
COC,COC(=O)C=C,-0.0468986,-0.0105859
COC,COC(CO)=O,-0.10233613,-0.01735418
COC,CC1CCCC1,0.59403377,0.15030253
COC,CC1CCCO1,0.01037786,0.00286454
COC,O=C1CCCO1,0.35747073,0.08704448
COC,CCCC(C)C(O)=O,-2.20746477,-0.5356277
COC,CCOC(C(C)C)=O,-0.11704193,-0.02690495
COC,CCOC(=O)C(C)=C,-0.13359722,-0.03075352
COC,CCOC(C(O)C)=O,-0.31171679,-0.07195847
COC,CC(C)C(OC(C(C)C)=O)=O,-0.21729291,-0.04732205
COC,CC(C)COC(C(C)C)=O,-0.10238701,-0.02233666
COC,CC(C)COC(=O)C(C)=C,-0.14809204,-0.03230513
COC,CCCCOC(C(C)C)=O,-0.11483091,-0.02488356
COC,CCCCOC(=O)C(C)=C,-0.14868142,-0.0323288
COC,CCC(CC)C=O,-0.07991855,-0.01849697
COC,OCC1CCCO1,-0.04523441,-0.01159637
COC,OCc1occc1,-0.9301174,-0.22335453
COC,O=Cc1occc1,0.13734367,0.03954246
COC,CC(C)(C)c1ccccc1,-0.17859373,-0.03801871
COC,OOC(C)(C)c(cc1)ccc1C(C)C,-1.95641274,-0.48412703
COC,CC(C)(C)c(cc1)ccc1C,-0.13496472,-0.0267529
COC,OC1CCC(CC1)C(C)(C)C,-0.49524088,-0.11956612
COC,CC(C)(C)C1CCC(CC1)=O,-0.14909673,-0.03258462
COC,CC(C)c1ccccc1,-0.16833124,-0.03685374
COC,COC(=O)c(ccc1)cc1C,-0.23787465,-0.05276628
COC,OC1CC(CC=C1C)C(C)=C,-0.96244583,-0.22794909
COC,CC(C)c1cc(C(C)C)ccc1,-0.12503315,-0.02406971
COC,CCCC(CCC)C(O)=O,-2.25554827,-0.54709241
COC,CC(C=O)c(cc1)ccc1C,-0.26803618,-0.05839589
COC,CC1CCC(C(C)C)CC1,0.48017096,0.11714477
COC,CC(C)c(cc1)ccc1C,-0.13095151,-0.02682201
COC,C=CC1CC=CCC1,-0.03623703,-0.00579011
COC,CCc1ccccc1,-0.16457603,-0.03744501
COC,C=Cc1ccccc1,-0.27953637,-0.06507319
COC,OCC1CCCCC1,-0.60524954,-0.15265036
COC,COc1ccccc1,-0.24335717,-0.05644585
COC,OCC1CCCCO1,-0.13670668,-0.03831781
COC,OCC(CO1)OC1(C)C,-0.34410877,-0.07429911
COC,Cc1cc(C=C)ccc1,-0.27432459,-0.06222067
COC,COc(ccc1)cc1C,-0.26810978,-0.06115882
COC,COC(=O)Cc1ccccc1,-0.21062303,-0.04556377
COC,COC(OC)Cc1ccccc1,-0.29146218,-0.06218598
COC,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.42415913,-0.08161603
COC,CC(C)COC(=O)Cc1ccccc1,-0.34458659,-0.07064182
COC,O=C(OCc2ccccc2)Cc1ccccc1,-0.38679002,-0.07407355
COC,CCc1cc(CC)cc(CC)c1,-0.06590311,-0.01012495
COC,CC(=O)Oc(ccc1)cc1O,-2.3740354,-0.53990101
COC,COC(OC)CC(OC)OC,-0.21592255,-0.04729788
COC,CCCCC(CC)COC(C)=O,-0.1650936,-0.0343203
COC,CCCCC(CC)COC(=O)C=C,-0.22148654,-0.04446492
COC,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.39184308,-0.06944329
COC,COC(CCc1ccccc1)=O,-0.26747145,-0.05735053
COC,CC(C)C(OCc1ccccc1)=O,-0.32137047,-0.06768848
COC,CCCC(OCc1ccccc1)=O,-0.33139103,-0.0701388
COC,CC(C)CC(OCc1ccccc1)=O,-0.37087564,-0.07595473
COC,CC(OCCc1ccccc1)=O,-0.26017663,-0.05585458
COC,CC(C)C(OCCc1ccccc1)=O,-0.33039991,-0.06750226
COC,CC(C)C(OCCOc1ccccc1)=O,-0.42140743,-0.08380565
COC,CCCc1ccccc1,-0.16685916,-0.03634927
COC,CC(C)C(=O)Oc(cc1)ccc1C,-0.31324458,-0.06632539
COC,CCCc(cc1)ccc1OC,-0.31221707,-0.06733027
COC,CCCCC1OC(CC1)=O,-0.14402537,-0.03211529
COC,CCCCc1ccccc1,-0.16310234,-0.03402812
COC,O=COCc1ccccc1,-0.23760034,-0.05070842
COC,CCCCCC1OC(CC1)=O,-0.19006623,-0.0413244
COC,O=COCCc1ccccc1,-0.31256257,-0.06732453
COC,CCCCCCCC1OC(CC1)=O,-0.25521146,-0.05314528
COC,CCCCC(CO)CC,-0.80763383,-0.20198383
COC,COc(cc1)ccc1C,-0.27153032,-0.0619314
COC,CC(C)COC(CCc1occc1)=O,-0.41492152,-0.08437661
COC,CCc1ccc(CC)cc1,-0.11373469,-0.02277847
COC,C=Cc1ccc(C=C)cc1,-0.38198207,-0.08435555
COC,CCCC1OC(CC1)=O,-0.08162048,-0.01861352
COC,OCC=C(C)C#C,-1.37663207,-0.33034825
COC,CCCC(C)CO,-0.69273078,-0.17095166
COC,CCCC(O)C#C,-2.05949074,-0.49856808
