SMILES0,SMILES,gamma1,gamma2
COC1COC2C1OCC2OC,OC(C)C(O)=O,-2.86114333,-0.72933003
COC1COC2C1OCC2OC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.37097799,0.09424528
COC1COC2C1OCC2OC,OCC(O)C,0.43452417,0.11656591
COC1COC2C1OCC2OC,O=C1CCO1,0.73411715,0.15746891
COC1COC2C1OCC2OC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.00373435,0.00043267
COC1COC2C1OCC2OC,CCOCC,0.67015986,0.15810535
COC1COC2C1OCC2OC,OCC,0.59013553,0.1547031
COC1COC2C1OCC2OC,CCCCCC=O,0.19782337,0.04922358
COC1COC2C1OCC2OC,CO,0.83343604,0.21416725
COC1COC2C1OCC2OC,OC(C)C,0.57691233,0.14580625
COC1COC2C1OCC2OC,CC(C)=O,-0.22947611,-0.05257791
COC1COC2C1OCC2OC,OCCC,0.35819455,0.10269727
COC1COC2C1OCC2OC,OCCCC,0.44135698,0.12808212
COC1COC2C1OCC2OC,OCCCCC,0.47190474,0.13983122
COC1COC2C1OCC2OC,CC1OC1,-0.17149653,-0.03847748
COC1COC2C1OCC2OC,CCC(C)(C)C,2.75991826,0.627329
COC1COC2C1OCC2OC,CC(C)(C)C(C)=O,0.23386728,0.05815804
COC1COC2C1OCC2OC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.77844199,0.19675855
COC1COC2C1OCC2OC,COC(C)(C)OC,0.40494019,0.0986584
COC1COC2C1OCC2OC,CCC1(CC)CCCCC1,2.76276782,0.6690087
COC1COC2C1OCC2OC,CCOC(C)(OCC)OCC,0.60439252,0.15474742
COC1COC2C1OCC2OC,CC(C)CCCC(O)(C)CC,0.94247319,0.25266793
COC1COC2C1OCC2OC,CCC(C)C,2.80810372,0.61832099
COC1COC2C1OCC2OC,CC(=C)C=C,0.73367042,0.16204066
COC1COC2C1OCC2OC,CC(=C)C#C,-1.69524795,-0.34153402
COC1COC2C1OCC2OC,OCC(C)C,0.06932009,0.04651421
COC1COC2C1OCC2OC,CC(C)C=O,-0.04563185,-0.01039036
COC1COC2C1OCC2OC,CC(=C)C=O,0.04044196,0.00921696
COC1COC2C1OCC2OC,CCC(O)C,0.4171555,0.11282845
COC1COC2C1OCC2OC,CCC(C)=O,-0.10440763,-0.02429592
COC1COC2C1OCC2OC,COC(C)=O,-0.10804916,-0.02547388
COC1COC2C1OCC2OC,CC(C)C(C)C,2.79948623,0.63855557
COC1COC2C1OCC2OC,CC(C)C(O)=O,-3.16202027,-0.77477449
COC1COC2C1OCC2OC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.52982767,0.13244025
COC1COC2C1OCC2OC,OOC(C)(C)C(CC1)CCC1C,-2.203163,-0.50738664
COC1COC2C1OCC2OC,CCOC(C(O)(C)C)=O,0.11561596,0.02991816
COC1COC2C1OCC2OC,COC(=O)C(C)=C,0.18894123,0.04574919
COC1COC2C1OCC2OC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.8295443,-0.20899843
COC1COC2C1OCC2OC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.30744502,0.07587692
COC1COC2C1OCC2OC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.46833248,0.10637599
COC1COC2C1OCC2OC,CCOC(=O)c1ccccc1C(OCC)=O,0.07938394,0.02036621
COC1COC2C1OCC2OC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.23503353,0.0586197
COC1COC2C1OCC2OC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.39999054,0.09558921
COC1COC2C1OCC2OC,CC(C)CCOC(=O)c1ccccc1O,0.53595099,0.13711819
COC1COC2C1OCC2OC,Oc2ccccc2C(OCCc1ccccc1)=O,0.15218789,0.04089312
COC1COC2C1OCC2OC,O=C2c1ccccc1CO2,0.3049084,0.07384587
COC1COC2C1OCC2OC,OCC(O)C(O)C(O)CO,-0.00966306,-0.00649898
COC1COC2C1OCC2OC,CCC(CC)C(O)=O,-3.06661542,-0.74009517
COC1COC2C1OCC2OC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.14109432,-0.25108908
COC1COC2C1OCC2OC,COc1cc(C)ccc1C(C)(C)C,0.88710552,0.22388802
COC1COC2C1OCC2OC,CC2CCC(CC1=C2CCC1C)=C(C)C,2.00082458,0.50632904
COC1COC2C1OCC2OC,COC(=O)c1ccccc1C,0.32910408,0.08309715
COC1COC2C1OCC2OC,CC(=O)c1ccc(C)cc1C,0.36195192,0.09076018
COC1COC2C1OCC2OC,Cc2c1ccccc1ccc2,0.42024474,0.1051013
COC1COC2C1OCC2OC,O=C2CCCCC2C1CCCCC1,0.77053899,0.19361467
COC1COC2C1OCC2OC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.06214243,0.0153017
COC1COC2C1OCC2OC,CC(C=O)c1ccccc1,0.07096149,0.01813068
COC1COC2C1OCC2OC,CCC(O)c1ccccc1,-1.62069682,-0.35636845
COC1COC2C1OCC2OC,CCOC(=O)c1ccccc1,0.34281861,0.08630204
COC1COC2C1OCC2OC,CC(OC(C)c2ccccc2)c1ccccc1,0.39673401,0.10222078
COC1COC2C1OCC2OC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.09098443,0.02169838
COC1COC2C1OCC2OC,CCOC(=O)c(cc1)ccc1C,0.42671675,0.10779181
COC1COC2C1OCC2OC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.21417853,0.04345951
COC1COC2C1OCC2OC,O=C(OCCc1ccccc1)c2ccccc2,0.25039187,0.06407506
COC1COC2C1OCC2OC,CCCc2cc1OCOc1cc2,-0.1101945,-0.02481119
