SMILES0,SMILES,gamma1,gamma2
COCC(C)=O,OC(C)C(O)=O,-2.8343324,-0.73653336
COCC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.04539683,0.0219022
COCC(C)=O,OCC(O)C,0.26295362,0.06207334
COCC(C)=O,O=C1CCO1,0.37749656,0.08861056
COCC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.11857396,-0.02250818
COCC(C)=O,CCOCC,0.70532502,0.18047137
COCC(C)=O,OCC,0.58448266,0.14334901
COCC(C)=O,CCCCCC=O,0.2427568,0.06475341
COCC(C)=O,CO,0.73471333,0.17999211
COCC(C)=O,OC(C)C,0.58481816,0.14388553
COCC(C)=O,CC(C)=O,-0.04173988,-0.01009479
COCC(C)=O,OCCC,0.41987478,0.10740485
COCC(C)=O,OCCCC,0.4834157,0.12934999
COCC(C)=O,OCCCCC,0.50289,0.13713568
COCC(C)=O,CC1OC1,0.03793471,0.01064717
COCC(C)=O,CCC(C)(C)C,2.17888313,0.5483281
COCC(C)=O,CC(C)(C)C(C)=O,0.27942179,0.07296494
COCC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.58435693,0.14856362
COCC(C)=O,COC(C)(C)OC,0.43147232,0.11141801
COCC(C)=O,CCC1(CC)CCCCC1,2.12092827,0.54156023
COCC(C)=O,CCOC(C)(OCC)OCC,0.50934022,0.13169356
COCC(C)=O,CC(C)CCCC(O)(C)CC,0.79936309,0.20575976
COCC(C)=O,CCC(C)C,2.24305576,0.55676327
COCC(C)=O,CC(=C)C=C,0.59971369,0.15397094
COCC(C)=O,CC(=C)C#C,-1.330214,-0.30589842
COCC(C)=O,OCC(C)C,0.20364345,0.06387839
COCC(C)=O,CC(C)C=O,0.11160565,0.02983416
COCC(C)=O,CC(=C)C=O,0.06066467,0.01609247
COCC(C)=O,CCC(O)C,0.46950409,0.1209638
COCC(C)=O,CCC(C)=O,0.04337188,0.01209707
COCC(C)=O,COC(C)=O,-0.00756127,-0.00169781
COCC(C)=O,CC(C)C(C)C,2.20705266,0.55635183
COCC(C)=O,CC(C)C(O)=O,-2.63677239,-0.66377374
COCC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.33844754,0.08500436
COCC(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.63626993,-0.39642084
COCC(C)=O,CCOC(C(O)(C)C)=O,0.13871898,0.03696104
COCC(C)=O,COC(=O)C(C)=C,0.15190978,0.04034906
COCC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.77096675,-0.18178517
COCC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.06572484,-0.01482544
COCC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.3674763,0.05926277
COCC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.08723026,-0.01701187
COCC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.06662043,0.02069891
COCC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.19491797,0.04581729
COCC(C)=O,CC(C)CCOC(=O)c1ccccc1O,0.32736015,0.08889063
COCC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.08476544,-0.01001434
COCC(C)=O,O=C2c1ccccc1CO2,-0.04135165,-0.01089636
COCC(C)=O,OCC(O)C(O)C(O)CO,-0.24526541,-0.07227816
COCC(C)=O,CCC(CC)C(O)=O,-2.4823632,-0.61351204
COCC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.89989748,-0.21268635
COCC(C)=O,COc1cc(C)ccc1C(C)(C)C,0.62086538,0.16538331
COCC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,1.48767234,0.37919876
COCC(C)=O,COC(=O)c1ccccc1C,0.14938012,0.04292053
COCC(C)=O,CC(=O)c1ccc(C)cc1C,0.20269032,0.05505934
COCC(C)=O,Cc2c1ccccc1ccc2,0.19275365,0.05715611
COCC(C)=O,O=C2CCCCC2C1CCCCC1,0.65163977,0.16439366
COCC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.21662077,-0.04687279
COCC(C)=O,CC(C=O)c1ccccc1,-0.06440549,-0.01299003
COCC(C)=O,CCC(O)c1ccccc1,-1.26413295,-0.29908759
COCC(C)=O,CCOC(=O)c1ccccc1,0.15828289,0.04443524
COCC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.14604233,0.04630503
COCC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.25965183,-0.05146809
COCC(C)=O,CCOC(=O)c(cc1)ccc1C,0.24486463,0.06641071
COCC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.07013128,0.00866194
COCC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,-0.01657681,0.00416112
COCC(C)=O,CCCc2cc1OCOc1cc2,-0.1619592,-0.03184143
COCC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.02893161,-0.00564184
COCC(C)=O,CCCC1CCCCC1=O,0.49627807,0.12812132
COCC(C)=O,CCOc1ccc(C=CC)cc1O,-2.09667172,-0.4712316
COCC(C)=O,CCCC(O)C(CO)CC,0.60473052,0.14330032
COCC(C)=O,Cc(ccc1C)cc1C,0.67465064,0.17911932
COCC(C)=O,CCOC(=O)C(OCC)=O,-0.05411068,-0.0126125
COCC(C)=O,CC1OC(C(C)OC1=O)=O,-0.62526314,-0.15648967
COCC(C)=O,CCCCC(=O)C(C)=O,0.07586138,0.02197456
COCC(C)=O,C=CCOC(=O)C(C)=C,0.19012747,0.05200391
COCC(C)=O,C1OC1c2ccccc2,-0.06359848,-0.01366045
COCC(C)=O,CCC(C)CC,2.23701121,0.56426904
COCC(C)=O,CCC(CC)=O,0.1879601,0.04940647
COCC(C)=O,OCC(CO)=O,-0.31658208,-0.09045947
COCC(C)=O,COC(=O)C=C,0.01222408,0.00363972
