SMILES0,SMILES,gamma1,gamma2
COCC(O)=O,OC(C)C(O)=O,-0.28205948,-0.07405947
COCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.21289762,0.69884183
COCC(O)=O,OCC(O)C,-0.19780879,-0.05117581
COCC(O)=O,O=C1CCO1,0.93198655,0.21098532
COCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.01825316,0.22262947
COCC(O)=O,CCOCC,-0.2590093,-0.03677069
COCC(O)=O,OCC,-0.41778338,-0.1132504
COCC(O)=O,CCCCCC=O,0.91282168,0.2251564
COCC(O)=O,CO,-0.59431267,-0.15674958
COCC(O)=O,OC(C)C,-0.31925343,-0.08864131
COCC(O)=O,CC(C)=O,-1.06777125,-0.26625598
COCC(O)=O,OCCC,-0.00201635,-0.00531885
COCC(O)=O,OCCCC,0.13843598,0.03047776
COCC(O)=O,OCCCCC,0.32302388,0.07625943
COCC(O)=O,CC1OC1,-0.38431784,-0.0819888
COCC(O)=O,CCC(C)(C)C,6.13139673,1.14955997
COCC(O)=O,CC(C)(C)C(C)=O,0.09096086,0.02543768
COCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.74474158,0.19251935
COCC(O)=O,COC(C)(C)OC,-0.32506854,-0.0841858
COCC(O)=O,CCC1(CC)CCCCC1,6.06109436,1.19347246
COCC(O)=O,CCOC(C)(OCC)OCC,-0.67273818,-0.15879339
COCC(O)=O,CC(C)CCCC(O)(C)CC,0.60553329,0.12222755
COCC(O)=O,CCC(C)C,6.22074929,1.13907243
COCC(O)=O,CC(=C)C=C,3.96278053,0.71623179
COCC(O)=O,CC(=C)C#C,1.98727855,0.3600186
COCC(O)=O,OCC(C)C,0.31424325,0.07546196
COCC(O)=O,CC(C)C=O,0.55194801,0.13068918
COCC(O)=O,CC(=C)C=O,0.24873216,0.05980188
COCC(O)=O,CCC(O)C,0.07804957,0.01572255
COCC(O)=O,CCC(C)=O,-0.66109679,-0.16493686
COCC(O)=O,COC(C)=O,0.09930035,0.02040997
COCC(O)=O,CC(C)C(C)C,6.1684263,1.15905449
COCC(O)=O,CC(C)C(O)=O,0.13621338,0.03508574
COCC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.05371273,0.22766891
COCC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.22279032,0.29463584
COCC(O)=O,CCOC(C(O)(C)C)=O,-0.3720573,-0.10750441
COCC(O)=O,COC(=O)C(C)=C,1.09053113,0.25491699
COCC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.10888763,0.49064928
COCC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.23028016,0.05312365
COCC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.49995363,0.2611853
COCC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.15614575,0.27709635
COCC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.58492732,0.36045104
COCC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.96469065,0.42348195
COCC(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.82377536,0.64509392
COCC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.37968535,0.55524647
COCC(O)=O,O=C2c1ccccc1CO2,0.48117475,0.1186238
COCC(O)=O,OCC(O)C(O)C(O)CO,-0.40750747,-0.09760096
COCC(O)=O,CCC(CC)C(O)=O,0.47225434,0.1183902
COCC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.51739638,0.11147526
COCC(O)=O,COc1cc(C)ccc1C(C)(C)C,4.03434189,0.83760572
COCC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.13972076,1.06752008
COCC(O)=O,COC(=O)c1ccccc1C,1.69094661,0.40186309
COCC(O)=O,CC(=O)c1ccc(C)cc1C,0.28383092,0.0782128
COCC(O)=O,Cc2c1ccccc1ccc2,3.36997565,0.6854978
COCC(O)=O,O=C2CCCCC2C1CCCCC1,0.95206846,0.22325242
COCC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.25752284,0.05722633
COCC(O)=O,CC(C=O)c1ccccc1,1.27991802,0.30762709
COCC(O)=O,CCC(O)c1ccccc1,0.38324078,0.10115807
COCC(O)=O,CCOC(=O)c1ccccc1,1.57789119,0.37553028
COCC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.14733609,0.33849987
COCC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.71747939,0.39898906
COCC(O)=O,CCOC(=O)c(cc1)ccc1C,1.59463998,0.37938229
COCC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-13.38736857,-0.91457903
COCC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.9094697,0.45478062
COCC(O)=O,CCCc2cc1OCOc1cc2,2.81094826,0.61361758
COCC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.61081892,0.1443822
COCC(O)=O,CCCC1CCCCC1=O,0.45226613,0.1036913
COCC(O)=O,CCOc1ccc(C=CC)cc1O,1.20561191,0.30037907
COCC(O)=O,CCCC(O)C(CO)CC,-0.17791493,-0.06137827
COCC(O)=O,Cc(ccc1C)cc1C,4.0364983,0.80334161
COCC(O)=O,CCOC(=O)C(OCC)=O,0.98453255,0.23243743
COCC(O)=O,CC1OC(C(C)OC1=O)=O,0.84228816,0.20717606
COCC(O)=O,CCCCC(=O)C(C)=O,1.81452486,0.42140293
COCC(O)=O,C=CCOC(=O)C(C)=C,1.55462243,0.36654831
COCC(O)=O,C1OC1c2ccccc2,1.52931505,0.3593863
COCC(O)=O,CCC(C)CC,6.20971343,1.1708409
COCC(O)=O,CCC(CC)=O,-0.1142797,-0.02874025
COCC(O)=O,OCC(CO)=O,-0.09566508,-0.02193063
COCC(O)=O,COC(=O)C=C,0.89554801,0.20496352
COCC(O)=O,COC(CO)=O,-0.34159565,-0.08695507
COCC(O)=O,CC1CCCC1,6.19192287,1.14815958
COCC(O)=O,CC1CCCO1,-1.59652894,-0.42135756
COCC(O)=O,O=C1CCCO1,-0.41364543,-0.10338622
COCC(O)=O,CCCC(C)C(O)=O,0.46900853,0.11717123
COCC(O)=O,CCOC(C(C)C)=O,1.11396048,0.2647577
COCC(O)=O,CCOC(=O)C(C)=C,1.20538238,0.28567653
COCC(O)=O,CCOC(C(O)C)=O,-0.33303047,-0.09049673
COCC(O)=O,CC(C)C(OC(C(C)C)=O)=O,1.90990061,0.44311263
COCC(O)=O,CC(C)COC(C(C)C)=O,1.52403433,0.35963689
COCC(O)=O,CC(C)COC(=O)C(C)=C,1.6582342,0.39146292
COCC(O)=O,CCCCOC(C(C)C)=O,1.56382774,0.36805032
COCC(O)=O,CCCCOC(=O)C(C)=C,1.57290913,0.37193277
COCC(O)=O,CCC(CC)C=O,1.18399315,0.28571094
COCC(O)=O,OCC1CCCO1,-1.18062328,-0.30603684
COCC(O)=O,OCc1occc1,-0.38195849,-0.09572929
COCC(O)=O,O=Cc1occc1,0.10435502,0.0274964
COCC(O)=O,CC(C)(C)c1ccccc1,4.04847438,0.81513805
COCC(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,0.96698084,0.22994069
COCC(O)=O,CC(C)(C)c(cc1)ccc1C,4.27147679,0.87107562
COCC(O)=O,OC1CCC(CC1)C(C)(C)C,0.52106985,0.11206426
COCC(O)=O,CC(C)(C)C1CCC(CC1)=O,-0.00702275,-0.01410584
