SMILES0,SMILES,gamma1,gamma2
COCC(O)C,OC(C)C(O)=O,-2.02508441,-0.54865041
COCC(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.15085372,0.24300337
COCC(O)C,OCC(O)C,0.02147658,0.00443816
COCC(O)C,O=C1CCO1,1.84357081,0.4362328
COCC(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.39591758,0.09240007
COCC(O)C,CCOCC,0.37387129,0.09144143
COCC(O)C,OCC,0.01917432,0.00494143
COCC(O)C,CCCCCC=O,0.52868942,0.12321961
COCC(O)C,CO,0.33176527,0.07815013
COCC(O)C,OC(C)C,-0.04392127,-0.0110696
COCC(O)C,CC(C)=O,0.2736487,0.06594921
COCC(O)C,OCCC,-0.19250309,-0.04819958
COCC(O)C,OCCCC,-0.17865573,-0.04217504
COCC(O)C,OCCCCC,-0.18725723,-0.04357824
COCC(O)C,CC1OC1,0.34387422,0.07684704
COCC(O)C,CCC(C)(C)C,2.3873385,0.46172524
COCC(O)C,CC(C)(C)C(C)=O,0.37102857,0.08825958
COCC(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.58992469,0.14419462
COCC(O)C,COC(C)(C)OC,0.2844691,0.06948955
COCC(O)C,CCC1(CC)CCCCC1,2.32784794,0.47284901
COCC(O)C,CCOC(C)(OCC)OCC,0.24083224,0.06767333
COCC(O)C,CC(C)CCCC(O)(C)CC,0.10264179,0.02709102
COCC(O)C,CCC(C)C,2.44049055,0.46146623
COCC(O)C,CC(=C)C=C,1.43772108,0.25567978
COCC(O)C,CC(=C)C#C,-0.12450318,-0.06713198
COCC(O)C,OCC(C)C,-0.38049305,-0.09367421
COCC(O)C,CC(C)C=O,0.50343701,0.11227826
COCC(O)C,CC(=C)C=O,0.63311397,0.14707287
COCC(O)C,CCC(O)C,-0.15537555,-0.03896402
COCC(O)C,CCC(C)=O,0.24900832,0.05934525
COCC(O)C,COC(C)=O,0.59202939,0.13794126
COCC(O)C,CC(C)C(C)C,2.41074654,0.46810779
COCC(O)C,CC(C)C(O)=O,-2.64119298,-0.72380457
COCC(O)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.55170979,0.13107073
COCC(O)C,OOC(C)(C)C(CC1)CCC1C,-1.9882582,-0.54219893
COCC(O)C,CCOC(C(O)(C)C)=O,0.13427942,0.03390747
COCC(O)C,COC(=O)C(C)=C,0.70469264,0.16201892
COCC(O)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.18579479,0.03944711
COCC(O)C,COc2cccc3c2C(=O)c1ccccc1C3=O,0.78127692,0.18452012
COCC(O)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.19950253,-0.06319202
COCC(O)C,CCOC(=O)c1ccccc1C(OCC)=O,0.67947714,0.15958735
COCC(O)C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.59714209,0.13899399
COCC(O)C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.62460581,0.14305588
COCC(O)C,CC(C)CCOC(=O)c1ccccc1O,0.94938807,0.21107094
COCC(O)C,Oc2ccccc2C(OCCc1ccccc1)=O,0.90592405,0.20229029
COCC(O)C,O=C2c1ccccc1CO2,1.08431782,0.26451232
COCC(O)C,OCC(O)C(O)C(O)CO,-0.02227443,-0.00417345
COCC(O)C,CCC(CC)C(O)=O,-2.69350062,-0.73789567
COCC(O)C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.07934939,-0.26862179
COCC(O)C,COc1cc(C)ccc1C(C)(C)C,1.33216634,0.27056274
COCC(O)C,CC2CCC(CC1=C2CCC1C)=C(C)C,1.84460964,0.38756307
COCC(O)C,COC(=O)c1ccccc1C,0.86052156,0.19785767
COCC(O)C,CC(=O)c1ccc(C)cc1C,0.54768359,0.1328464
COCC(O)C,Cc2c1ccccc1ccc2,1.25993496,0.25268967
COCC(O)C,O=C2CCCCC2C1CCCCC1,0.59642581,0.14302618
COCC(O)C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.60450136,0.14219483
COCC(O)C,CC(C=O)c1ccccc1,0.81608294,0.18902932
COCC(O)C,CCC(O)c1ccccc1,-1.14136732,-0.29436688
COCC(O)C,CCOC(=O)c1ccccc1,0.83733784,0.1942376
COCC(O)C,CC(OC(C)c2ccccc2)c1ccccc1,0.78594433,0.18352333
COCC(O)C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.82436992,0.18510168
COCC(O)C,CCOC(=O)c(cc1)ccc1C,0.79761242,0.18576669
COCC(O)C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-3.77369864,-0.19310873
COCC(O)C,O=C(OCCc1ccccc1)c2ccccc2,0.88096583,0.20128064
COCC(O)C,CCCc2cc1OCOc1cc2,0.78483486,0.16095305
COCC(O)C,COC(C1CCC(CC1)C(OC)=O)=O,0.47566471,0.11359418
COCC(O)C,CCCC1CCCCC1=O,0.45281037,0.1098122
COCC(O)C,CCOc1ccc(C=CC)cc1O,-1.62400166,-0.3873504
COCC(O)C,CCCC(O)C(CO)CC,-0.04524414,-0.01262143
COCC(O)C,Cc(ccc1C)cc1C,1.44751071,0.28384932
COCC(O)C,CCOC(=O)C(OCC)=O,0.77056743,0.18131143
COCC(O)C,CC1OC(C(C)OC1=O)=O,0.80609411,0.20494669
COCC(O)C,CCCCC(=O)C(C)=O,0.75311256,0.16971865
COCC(O)C,C=CCOC(=O)C(C)=C,0.82311641,0.18937707
COCC(O)C,C1OC1c2ccccc2,0.96812281,0.21976584
COCC(O)C,CCC(C)CC,2.43615808,0.47525134
COCC(O)C,CCC(CC)=O,0.31854887,0.0753684
COCC(O)C,OCC(CO)=O,0.56366907,0.13318523
COCC(O)C,COC(=O)C=C,0.79162244,0.18283434
COCC(O)C,COC(CO)=O,0.21074247,0.04946514
COCC(O)C,CC1CCCC1,2.41130308,0.46114128
COCC(O)C,CC1CCCO1,-0.04774835,-0.0079475
COCC(O)C,O=C1CCCO1,0.81205259,0.20139281
COCC(O)C,CCCC(C)C(O)=O,-2.72025177,-0.74515973
COCC(O)C,CCOC(C(C)C)=O,0.60204127,0.13995948
COCC(O)C,CCOC(=O)C(C)=C,0.69248176,0.16022801
COCC(O)C,CCOC(C(O)C)=O,0.07361039,0.01900174
COCC(O)C,CC(C)C(OC(C(C)C)=O)=O,0.76833127,0.17509816
COCC(O)C,CC(C)COC(C(C)C)=O,0.71938331,0.16896974
COCC(O)C,CC(C)COC(=O)C(C)=C,0.77246119,0.17994827
COCC(O)C,CCCCOC(C(C)C)=O,0.71976813,0.16924456
COCC(O)C,CCCCOC(=O)C(C)=C,0.74822022,0.17498334
COCC(O)C,CCC(CC)C=O,0.62744457,0.14338285
COCC(O)C,OCC1CCCO1,-0.00172929,-0.00019328
COCC(O)C,OCc1occc1,-0.64253712,-0.16439365
COCC(O)C,O=Cc1occc1,1.00430769,0.24294521
COCC(O)C,CC(C)(C)c1ccccc1,1.39677838,0.27532949
COCC(O)C,OOC(C)(C)c(cc1)ccc1C(C)C,-1.84914863,-0.50590449
COCC(O)C,CC(C)(C)c(cc1)ccc1C,1.47866791,0.29708726
COCC(O)C,OC1CCC(CC1)C(C)(C)C,-0.07209053,-0.01665735
COCC(O)C,CC(C)(C)C1CCC(CC1)=O,0.33123862,0.08156987
COCC(O)C,CC(C)c1ccccc1,1.39795732,0.27300174
COCC(O)C,COC(=O)c(ccc1)cc1C,0.84074554,0.19447863
COCC(O)C,OC1CC(CC=C1C)C(C)=C,-0.53597775,-0.13753443
COCC(O)C,CC(C)c1cc(C(C)C)ccc1,1.51611268,0.3084036
COCC(O)C,CCCC(CCC)C(O)=O,-2.65923072,-0.73386618
COCC(O)C,CC(C=O)c(cc1)ccc1C,0.75794572,0.1752932
COCC(O)C,CC1CCC(C(C)C)CC1,2.35391105,0.48198668
COCC(O)C,CC(C)c(cc1)ccc1C,1.4673115,0.29228762
COCC(O)C,C=CC1CC=CCC1,1.53160338,0.29447164
COCC(O)C,CCc1ccccc1,1.37147507,0.26268344
COCC(O)C,C=Cc1ccccc1,1.24669003,0.24264372
COCC(O)C,OCC1CCCCC1,-0.30670873,-0.07742076
COCC(O)C,COc1ccccc1,1.08193196,0.22450403
COCC(O)C,OCC1CCCCO1,0.00721435,0.00107398
COCC(O)C,OCC(CO1)OC1(C)C,-0.08443606,-0.02106208
COCC(O)C,Cc1cc(C=C)ccc1,1.26285338,0.24828796
COCC(O)C,COc(ccc1)cc1C,1.0534669,0.21938745
COCC(O)C,COC(=O)Cc1ccccc1,0.82433364,0.19437726
COCC(O)C,COC(OC)Cc1ccccc1,0.59360046,0.14225125
COCC(O)C,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.7971802,0.18446326
COCC(O)C,CC(C)COC(=O)Cc1ccccc1,0.66456112,0.15600599
COCC(O)C,O=C(OCc2ccccc2)Cc1ccccc1,0.80046127,0.18646395
COCC(O)C,CCc1cc(CC)cc(CC)c1,1.5860423,0.32490127
COCC(O)C,CC(=O)Oc(ccc1)cc1O,-2.90246636,-0.80639646
COCC(O)C,COC(OC)CC(OC)OC,0.31110584,0.07619422
COCC(O)C,CCCCC(CC)COC(C)=O,0.68165241,0.16134501
COCC(O)C,CCCCC(CC)COC(=O)C=C,0.81281836,0.18986714
COCC(O)C,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.57123819,0.12638274
COCC(O)C,COC(CCc1ccccc1)=O,0.7559095,0.17740242
COCC(O)C,CC(C)C(OCc1ccccc1)=O,0.72818446,0.1693139
COCC(O)C,CCCC(OCc1ccccc1)=O,0.72969049,0.16921695
COCC(O)C,CC(C)CC(OCc1ccccc1)=O,0.71615846,0.16689105
COCC(O)C,CC(OCCc1ccccc1)=O,0.71675816,0.16963592
COCC(O)C,CC(C)C(OCCc1ccccc1)=O,0.72972323,0.17052866
COCC(O)C,CC(C)C(OCCOc1ccccc1)=O,0.64628362,0.15158103
COCC(O)C,CCCc1ccccc1,1.39142135,0.27261176
COCC(O)C,CC(C)C(=O)Oc(cc1)ccc1C,0.76793657,0.17650651
COCC(O)C,CCCc(cc1)ccc1OC,1.03985828,0.2197939
COCC(O)C,CCCCC1OC(CC1)=O,0.40018131,0.0973946
COCC(O)C,CCCCc1ccccc1,1.41713242,0.28289251
COCC(O)C,O=COCc1ccccc1,0.86334514,0.20276328
COCC(O)C,CCCCCC1OC(CC1)=O,0.3917138,0.09533114
COCC(O)C,O=COCCc1ccccc1,0.75359324,0.1759955
COCC(O)C,CCCCCCCC1OC(CC1)=O,0.40253138,0.09747079
COCC(O)C,CCCCC(CO)CC,-0.40283821,-0.10196826
COCC(O)C,COc(cc1)ccc1C,1.03885294,0.21693007
COCC(O)C,CC(C)COC(CCc1occc1)=O,0.63318245,0.14851767
COCC(O)C,CCc1ccc(CC)cc1,1.48708783,0.29693132
