SMILES0,SMILES,gamma1,gamma2
COCC(O)CO,OC(C)C(O)=O,-2.21222136,-0.58588983
COCC(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.39354593,0.48884562
COCC(O)CO,OCC(O)C,0.04658508,0.01299901
COCC(O)CO,O=C1CCO1,1.63973499,0.36949316
COCC(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.89134296,0.20503086
COCC(O)CO,CCOCC,0.60248897,0.15530636
COCC(O)CO,OCC,0.12367342,0.0317204
COCC(O)CO,CCCCCC=O,0.94195869,0.21327201
COCC(O)CO,CO,0.19788106,0.05140654
COCC(O)CO,OC(C)C,0.17682863,0.04319106
COCC(O)CO,CC(C)=O,-0.01292611,-0.00650692
COCC(O)CO,OCCC,0.11375761,0.02925399
COCC(O)CO,OCCCC,0.22446008,0.05942633
COCC(O)CO,OCCCCC,0.31229796,0.08283937
COCC(O)CO,CC1OC1,0.33944167,0.07095346
COCC(O)CO,CCC(C)(C)C,4.38718767,0.7876953
COCC(O)CO,CC(C)(C)C(C)=O,0.57106789,0.13386371
COCC(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.23385792,0.29915471
COCC(O)CO,COC(C)(C)OC,0.45205262,0.11133667
COCC(O)CO,CCC1(CC)CCCCC1,4.32829293,0.82605151
COCC(O)CO,CCOC(C)(OCC)OCC,0.4455808,0.12080056
COCC(O)CO,CC(C)CCCC(O)(C)CC,0.8191768,0.20331482
COCC(O)CO,CCC(C)C,4.45868194,0.7788769
COCC(O)CO,CC(=C)C=C,2.86507864,0.48150763
COCC(O)CO,CC(=C)C#C,0.6529183,0.0969629
COCC(O)CO,OCC(C)C,0.07817604,0.02479291
COCC(O)CO,CC(C)C=O,0.73518914,0.15478164
COCC(O)CO,CC(=C)C=O,0.76204104,0.16786914
COCC(O)CO,CCC(O)C,0.23970498,0.06010435
COCC(O)CO,CCC(C)=O,0.14906004,0.03284043
COCC(O)CO,COC(C)=O,0.62273318,0.13616375
COCC(O)CO,CC(C)C(C)C,4.42111917,0.79672759
COCC(O)CO,CC(C)C(O)=O,-2.42915957,-0.63831213
COCC(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.19722968,0.27880842
COCC(O)CO,OOC(C)(C)C(CC1)CCC1C,-1.38158276,-0.34054637
COCC(O)CO,CCOC(C(O)(C)C)=O,0.36256708,0.09073531
COCC(O)CO,COC(=O)C(C)=C,1.14751231,0.25342141
COCC(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.15116483,0.24873523
COCC(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.01866744,0.23985285
COCC(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.85398904,0.17212446
COCC(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,1.16080151,0.26849582
COCC(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.31662108,0.29991445
COCC(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.49785929,0.33312961
COCC(O)CO,CC(C)CCOC(=O)c1ccccc1O,2.08345388,0.45102833
COCC(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,1.88429812,0.41044843
COCC(O)CO,O=C2c1ccccc1CO2,1.15219825,0.27398093
COCC(O)CO,OCC(O)C(O)C(O)CO,-0.08396459,-0.02139788
COCC(O)CO,CCC(CC)C(O)=O,-2.31781015,-0.60536511
COCC(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.39010731,-0.09136074
COCC(O)CO,COc1cc(C)ccc1C(C)(C)C,2.81245768,0.55069208
COCC(O)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,3.64018406,0.73058111
COCC(O)CO,COC(=O)c1ccccc1C,1.57316359,0.35051992
COCC(O)CO,CC(=O)c1ccc(C)cc1C,0.94089052,0.22693618
COCC(O)CO,Cc2c1ccccc1ccc2,2.50793637,0.48006094
COCC(O)CO,O=C2CCCCC2C1CCCCC1,1.12386845,0.26675975
COCC(O)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.91835199,0.21539399
COCC(O)CO,CC(C=O)c1ccccc1,1.34314079,0.29863949
COCC(O)CO,CCC(O)c1ccccc1,-0.61791685,-0.14075339
COCC(O)CO,CCOC(=O)c1ccccc1,1.50106511,0.33793227
COCC(O)CO,CC(OC(C)c2ccccc2)c1ccccc1,1.68537449,0.38741108
COCC(O)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.548853,0.34239783
COCC(O)CO,CCOC(=O)c(cc1)ccc1C,1.49309464,0.33939727
COCC(O)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.98631705,-0.21881583
COCC(O)CO,O=C(OCCc1ccccc1)c2ccccc2,1.70310166,0.38096998
COCC(O)CO,CCCc2cc1OCOc1cc2,1.86107915,0.37403356
COCC(O)CO,COC(C1CCC(CC1)C(OC)=O)=O,0.75574918,0.17836541
COCC(O)CO,CCCC1CCCCC1=O,0.80552764,0.19343386
COCC(O)CO,CCOc1ccc(C=CC)cc1O,-1.04018842,-0.18153964
COCC(O)CO,CCCC(O)C(CO)CC,0.36747825,0.09063412
COCC(O)CO,Cc(ccc1C)cc1C,2.90881082,0.54361651
COCC(O)CO,CCOC(=O)C(OCC)=O,1.08787625,0.2485918
COCC(O)CO,CC1OC(C(C)OC1=O)=O,0.78060537,0.1869657
COCC(O)CO,CCCCC(=O)C(C)=O,1.4003515,0.30327457
COCC(O)CO,C=CCOC(=O)C(C)=C,1.47944621,0.32958724
COCC(O)CO,C1OC1c2ccccc2,1.56190632,0.33545218
COCC(O)CO,CCC(C)CC,4.45891579,0.80773861
COCC(O)CO,CCC(CC)=O,0.42551723,0.09810331
COCC(O)CO,OCC(CO)=O,0.24399449,0.05302483
COCC(O)CO,COC(=O)C=C,1.09544789,0.23976566
COCC(O)CO,COC(CO)=O,0.11090484,0.02820576
COCC(O)CO,CC1CCCC1,4.40912122,0.78018671
COCC(O)CO,CC1CCCO1,-0.17073418,-0.02597232
COCC(O)CO,O=C1CCCO1,0.53642887,0.12714878
COCC(O)CO,CCCC(C)C(O)=O,-2.34265557,-0.61418651
COCC(O)CO,CCOC(C(C)C)=O,1.08812439,0.24695063
COCC(O)CO,CCOC(=O)C(C)=C,1.22882244,0.27655874
COCC(O)CO,CCOC(C(O)C)=O,0.25793787,0.06436004
COCC(O)CO,CC(C)C(OC(C(C)C)=O)=O,1.45867961,0.32083634
COCC(O)CO,CC(C)COC(C(C)C)=O,1.36505585,0.31477679
COCC(O)CO,CC(C)COC(=O)C(C)=C,1.47952596,0.33731215
COCC(O)CO,CCCCOC(C(C)C)=O,1.3753392,0.31708214
COCC(O)CO,CCCCOC(=O)C(C)=C,1.43172673,0.32817977
COCC(O)CO,CCC(CC)C=O,1.12100395,0.24852598
COCC(O)CO,OCC1CCCO1,-0.10629373,-0.0242866
COCC(O)CO,OCc1occc1,-0.56490801,-0.13373174
COCC(O)CO,O=Cc1occc1,0.94397756,0.22529015
COCC(O)CO,CC(C)(C)c1ccccc1,2.87471077,0.5434675
COCC(O)CO,OOC(C)(C)c(cc1)ccc1C(C)C,-1.30429326,-0.32965217
COCC(O)CO,CC(C)(C)c(cc1)ccc1C,3.0288458,0.58364634
COCC(O)CO,OC1CCC(CC1)C(C)(C)C,0.5712796,0.14481605
COCC(O)CO,CC(C)(C)C1CCC(CC1)=O,0.57160992,0.1387906
COCC(O)CO,CC(C)c1ccccc1,2.8465488,0.53161755
COCC(O)CO,COC(=O)c(ccc1)cc1C,1.50376252,0.33713647
COCC(O)CO,OC1CC(CC=C1C)C(C)=C,0.09820399,0.02505753
COCC(O)CO,CC(C)c1cc(C(C)C)ccc1,3.10979635,0.60815834
COCC(O)CO,CCCC(CCC)C(O)=O,-2.16819068,-0.57346968
COCC(O)CO,CC(C=O)c(cc1)ccc1C,1.37660972,0.30822791
COCC(O)CO,CC1CCC(C(C)C)CC1,4.35508542,0.83902431
COCC(O)CO,CC(C)c(cc1)ccc1C,2.98927727,0.57009145
COCC(O)CO,C=CC1CC=CCC1,3.07694099,0.56350369
COCC(O)CO,CCc1ccccc1,2.76196798,0.50360836
COCC(O)CO,C=Cc1ccccc1,2.41368086,0.44399075
COCC(O)CO,OCC1CCCCC1,0.29542183,0.07825873
COCC(O)CO,COc1ccccc1,1.97204682,0.38373857
COCC(O)CO,OCC1CCCCO1,0.11019393,0.03248058
COCC(O)CO,OCC(CO1)OC1(C)C,0.02096213,0.00628514
COCC(O)CO,Cc1cc(C=C)ccc1,2.53749373,0.47621076
COCC(O)CO,COc(ccc1)cc1C,2.04819454,0.4057644
COCC(O)CO,COC(=O)Cc1ccccc1,1.28329415,0.29381547
COCC(O)CO,COC(OC)Cc1ccccc1,1.07338613,0.25385226
COCC(O)CO,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.4631987,0.32962502
COCC(O)CO,CC(C)COC(=O)Cc1ccccc1,1.31810478,0.30306294
COCC(O)CO,O=C(OCc2ccccc2)Cc1ccccc1,1.37968926,0.31526484
COCC(O)CO,CCc1cc(CC)cc(CC)c1,3.21140313,0.6301779
COCC(O)CO,CC(=O)Oc(ccc1)cc1O,-3.00947462,-0.82125239
COCC(O)CO,COC(OC)CC(OC)OC,0.4985472,0.12024049
COCC(O)CO,CCCCC(CC)COC(C)=O,1.34282269,0.31250244
COCC(O)CO,CCCCC(CC)COC(=O)C=C,1.67314307,0.38260385
COCC(O)CO,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.33891371,0.28865844
COCC(O)CO,COC(CCc1ccccc1)=O,1.28627894,0.29382651
COCC(O)CO,CC(C)C(OCc1ccccc1)=O,1.39673491,0.31676911
COCC(O)CO,CCCC(OCc1ccccc1)=O,1.40609259,0.31944707
COCC(O)CO,CC(C)CC(OCc1ccccc1)=O,1.4667627,0.33438747
COCC(O)CO,CC(OCCc1ccccc1)=O,1.21522373,0.28163211
COCC(O)CO,CC(C)C(OCCc1ccccc1)=O,1.45976199,0.33352364
COCC(O)CO,CC(C)C(OCCOc1ccccc1)=O,1.25539005,0.28761718
COCC(O)CO,CCCc1ccccc1,2.84142616,0.53265158
COCC(O)CO,CC(C)C(=O)Oc(cc1)ccc1C,1.50700001,0.33726991
COCC(O)CO,CCCc(cc1)ccc1OC,2.18109424,0.4452468
COCC(O)CO,CCCCC1OC(CC1)=O,0.53938725,0.12861564
